           km_, km_check_num,   km_namen, km_rank_under, km_rank_top,    km_link, 
831 :          @,          0,       2217,         20,         34,         -1, 
832 :          @,          0,       2218,         34,         43,         -1, 
833 :          @,          0,       2219,         43,        999,         -1, 
834 :          @,          0,       2495,         10,         25,         -1, 
835 :          @,          0,       2496,         25,         39,         -1, 
836 :          @,          0,       2497,         39,        999,         -1, 
837 :          @,          0,       2501,         37,         51,         -1, 
838 :          @,          0,       2502,         51,         66,         -1, 
839 :          @,          0,       2503,         66,        999,         -1, 
840 : mons_MJ3010_100_clr0_NM_001,          4,       2217,          0,         34,         -1, 
841 :          @,          0,       2218,         34,        999,         -1, 
842 :          @,          0,       2496,          0,         39,         -1, 
843 :          @,          0,       2497,         39,        999,         -1, 
844 : mons_MJ3010_100_clr0_NM_002,          6,       2216,          0,         20,         -1, 
845 :          @,          0,       2217,         20,         34,         -1, 
846 :          @,          0,       2218,         34,        999,         -1, 
847 :          @,          0,       2495,          0,         25,         -1, 
848 :          @,          0,       2496,         25,         39,         -1, 
849 :          @,          0,       2497,         39,        999,         -1, 
850 : mons_MJ3010_100_clr1_00,         12,       2222,         16,         31,         -1, 
851 :          @,          0,       2223,         31,         45,         -1, 
852 :          @,          0,       2224,         45,         59,         -1, 
853 :          @,          0,       2225,         59,         66,         -1, 
854 :          @,          0,       2226,         66,         86,         -1, 
855 :          @,          0,       2227,         86,        999,         -1, 
856 :          @,          0,       2501,         37,         51,         -1, 
857 :          @,          0,       2502,         51,         66,         -1, 
858 :          @,          0,       2503,         66,        999,         -1, 
859 :          @,          0,       2507,         28,         59,         -1, 
860 :          @,          0,       2508,         59,         73,         -1, 
861 :          @,          0,       2509,         73,        999,         -1, 
862 : mons_MJ3010_100_clr1_NM_003,          9,       2222,          0,         31,         -1, 
863 :          @,          0,       2223,         31,         45,         -1, 
864 :          @,          0,       2224,         45,        999,         -1, 
865 :          @,          0,       2501,          0,         51,         -1, 
866 :          @,          0,       2502,         51,         66,         -1, 
867 :          @,          0,       2503,         66,        999,         -1, 
868 :          @,          0,       2507,          0,         59,         -1, 
869 :          @,          0,       2508,         59,         73,         -1, 
870 :          @,          0,       2509,         73,        999,         -1, 
871 : mons_MJ3010_100_clr1_NM_004,          2,       2223,          0,         45,         -1, 
872 :          @,          0,       2224,         45,        999,         -1, 
873 : mons_MJ3010_100_clr1_NM_005,          1,       2218,          0,        999,         -1, 
874 : mons_MJ3010_100_clr2_00,         21,       2216,        999,        999,         -1, 
875 :          @,          0,       2217,         20,         34,         -1, 
876 :          @,          0,       2218,         34,         43,         -1, 
877 :          @,          0,       2219,         43,         58,         -1, 
878 :          @,          0,       2220,         58,         71,         -1, 
879 :          @,          0,       2221,         71,        999,         -1, 
880 :          @,          0,       2222,         20,         31,         -1, 
881 :          @,          0,       2223,         31,         45,         -1, 
882 :          @,          0,       2224,         45,         59,         -1, 
883 :          @,          0,       2225,         59,         66,         -1, 
884 :          @,          0,       2226,         66,         86,         -1, 
885 :          @,          0,       2227,         86,        999,         -1, 
886 :          @,          0,       2495,         10,         25,         -1, 
887 :          @,          0,       2496,         25,         39,         -1, 
888 :          @,          0,       2497,         39,        999,         -1, 
889 :          @,          0,       2501,         37,         51,         -1, 
890 :          @,          0,       2502,         51,         66,         -1, 
891 :          @,          0,       2503,         66,        999,         -1, 
892 :          @,          0,       2507,         43,         59,         -1, 
893 :          @,          0,       2508,         59,         73,         -1, 
894 :          @,          0,       2509,         73,        999,         -1, 
895 : mons_MJ3010_100_clr2_NM_006,          7,       2217,          0,         34,         -1, 
896 :          @,          0,       2218,         34,        999,         -1, 
897 :          @,          0,       2222,          0,         31,         -1, 
898 :          @,          0,       2223,         31,         45,         -1, 
899 :          @,          0,       2224,         45,        999,         -1, 
900 :          @,          0,       2496,          0,         39,         -1, 
901 :          @,          0,       2497,         39,        999,         -1, 
902 : mons_MJ3010_100_clr2_NM_007,          6,       2220,          0,         71,         -1, 
903 :          @,          0,       2221,         71,        999,         -1, 
904 :          @,          0,       2224,          0,        999,         -1, 
905 :          @,          0,       2501,          0,         51,         -1, 
906 :          @,          0,       2502,         51,         66,         -1, 
907 :          @,          0,       2503,         66,        999,         -1, 
908 : mons_MJ3010_100_clr2_NM_008,          3,       2225,          0,         66,         -1, 
909 :          @,          0,       2226,         66,         86,         -1, 
910 :          @,          0,       2227,         86,        999,         -1, 
911 : mons_MJ3020_100_clr0_00,          9,       2234,         17,         31,         -1, 
912 :          @,          0,       2235,         31,         45,         -1, 
913 :          @,          0,       2236,         45,         59,         -1, 
914 :          @,          0,       2237,         59,         66,         -1, 
915 :          @,          0,       2238,         66,         86,         -1, 
916 :          @,          0,       2239,         86,        999,         -1, 
917 :          @,          0,       2504,         31,         51,         -1, 
918 :          @,          0,       2505,         51,         66,         -1, 
919 :          @,          0,       2506,         66,        999,         -1, 
920 : mons_MJ3020_100_clr0_NM_001,          6,       2234,          0,         31,         -1, 
921 :          @,          0,       2235,         31,         45,         -1, 
922 :          @,          0,       2236,         45,        999,         -1, 
923 :          @,          0,       2504,          0,         51,         -1, 
924 :          @,          0,       2505,         51,         66,         -1, 
925 :          @,          0,       2506,         66,        999,         -1, 
926 : mons_MJ3020_100_clr0_NM_002,          4,       2233,          0,        999,         -1, 
927 :          @,          0,       2239,          0,        999,         -1, 
928 :          @,          0,       2506,          0,        999,         -1, 
929 :          @,          0,       2512,          0,        999,         -1, 
930 : mons_MJ3020_100_clr1_00,          9,       2228,          5,         20,         -1, 
931 :          @,          0,       2229,         20,         34,         -1, 
932 :          @,          0,       2230,         34,         43,         -1, 
933 :          @,          0,       2231,         43,         58,         -1, 
934 :          @,          0,       2232,         58,         71,         -1, 
935 :          @,          0,       2233,         71,        999,         -1, 
936 :          @,          0,       2495,         10,         25,         -1, 
937 :          @,          0,       2496,         25,         39,         -1, 
938 :          @,          0,       2497,         39,        999,         -1, 
939 : mons_MJ3020_100_clr1_NM_003,          4,       2231,          0,         58,         -1, 
940 :          @,          0,       2232,         58,         71,         -1, 
941 :          @,          0,       2233,         71,        999,         -1, 
942 :          @,          0,       2497,          0,        999,         -1, 
943 : mons_MJ3020_100_clr1_NM_004,          1,       2233,          0,        999,         -1, 
944 : mons_MJ3020_100_clr1_NM_005,          6,       2232,          0,         71,         -1, 
945 :          @,          0,       2233,         71,        999,         -1, 
946 :          @,          0,       2497,          0,        999,         -1, 
947 :          @,          0,       2510,          0,         59,         -1, 
948 :          @,          0,       2511,         59,         73,         -1, 
949 :          @,          0,       2512,         73,        999,         -1, 
950 : mons_MJ3020_100_clr2_00,         18,       2228,          5,         20,         -1, 
951 :          @,          0,       2229,         20,         34,         -1, 
952 :          @,          0,       2230,         34,         43,         -1, 
953 :          @,          0,       2231,         43,         58,         -1, 
954 :          @,          0,       2232,         58,         71,         -1, 
955 :          @,          0,       2233,         71,        999,         -1, 
956 :          @,          0,       2234,         17,         31,         -1, 
957 :          @,          0,       2235,         31,         45,         -1, 
958 :          @,          0,       2236,         45,         59,         -1, 
959 :          @,          0,       2237,         59,         66,         -1, 
960 :          @,          0,       2238,         66,         86,         -1, 
961 :          @,          0,       2239,         86,        999,         -1, 
962 :          @,          0,       2504,         37,         51,         -1, 
963 :          @,          0,       2505,         51,         66,         -1, 
964 :          @,          0,       2506,         66,        999,         -1, 
965 :          @,          0,       2510,         45,         59,         -1, 
966 :          @,          0,       2511,         59,         73,         -1, 
967 :          @,          0,       2512,         73,        999,         -1, 
968 : mons_MJ3020_100_clr2_NM_006,          4,       2233,          0,        999,         -1, 
969 :          @,          0,       2239,          0,        999,         -1, 
970 :          @,          0,       2506,          0,        999,         -1, 
971 :          @,          0,       2512,          0,        999,         -1, 
972 : mons_MJ3020_100_clr2_NM_007,          2,       2235,          0,         45,         -1, 
973 :          @,          0,       2236,         45,        999,         -1, 
974 : mons_MJ3020_100_clr2_NM_008,          6,       2232,          0,         71,         -1, 
975 :          @,          0,       2233,         71,        999,         -1, 
976 :          @,          0,       2235,          0,         45,         -1, 
977 :          @,          0,       2236,         45,        999,         -1, 
978 :          @,          0,       2505,          0,         66,         -1, 
979 :          @,          0,       2506,         66,        999,         -1, 
980 : mons_MJ4010_100_clr0_00,         13,       2240,          5,         20,         -1, 
981 :          @,          0,       2241,         20,         34,         -1, 
982 :          @,          0,       2242,         34,        999,         -1, 
983 :          @,          0,       2243,         17,         31,         -1, 
984 :          @,          0,       2244,         31,         45,         -1, 
985 :          @,          0,       2245,         45,        999,         -1, 
986 :          @,          0,       2489,         27,         41,         -1, 
987 :          @,          0,       2490,         41,         56,         -1, 
988 :          @,          0,       2491,         56,        999,         -1, 
989 :          @,          0,       2495,         10,         25,         -1, 
990 :          @,          0,       2496,         25,         39,         -1, 
991 :          @,          0,       2497,         39,        999,         -1, 
992 :          @,          0,         -1,         -1,         -1,        355, 
993 : mons_MJ4010_100_clr0_NM_001,          4,       2242,          0,        999,         -1, 
994 :          @,          0,       2245,          0,        999,         -1, 
995 :          @,          0,       2250,          0,         71,         -1, 
996 :          @,          0,       2251,         71,        999,         -1, 
997 : mons_MJ4010_100_clr0_NM_002,          4,       2242,          0,        999,         -1, 
998 :          @,          0,       2244,          0,         45,         -1, 
999 :          @,          0,       2245,         45,        999,         -1, 
1000 :          @,          0,         -1,         -1,         -1,        355, 
1001 : mons_MJ4010_100_clr1_00,         12,       2240,        999,        999,         -1, 
1002 :          @,          0,       2241,         20,         34,         -1, 
1003 :          @,          0,       2242,         34,        999,         -1, 
1004 :          @,          0,       2243,         20,         31,         -1, 
1005 :          @,          0,       2244,         31,         45,         -1, 
1006 :          @,          0,       2245,         45,        999,         -1, 
1007 :          @,          0,       2246,         32,         46,         -1, 
1008 :          @,          0,       2247,         46,         61,         -1, 
1009 :          @,          0,       2248,         61,        999,         -1, 
1010 :          @,          0,       2495,         10,         25,         -1, 
1011 :          @,          0,       2496,         25,         39,         -1, 
1012 :          @,          0,       2497,         39,        999,         -1, 
1013 : mons_MJ4010_100_clr1_NM_003,          4,       2245,          0,        999,         -1, 
1014 :          @,          0,       2247,          0,         61,         -1, 
1015 :          @,          0,       2248,         61,        999,         -1, 
1016 :          @,          0,         -1,         -1,         -1,        355, 
1017 : mons_MJ4010_100_clr1_NM_004,          9,       2242,          0,        999,         -1, 
1018 :          @,          0,       2244,          0,         45,         -1, 
1019 :          @,          0,       2245,         45,        999,         -1, 
1020 :          @,          0,       2246,          0,         46,         -1, 
1021 :          @,          0,       2247,         46,         61,         -1, 
1022 :          @,          0,       2248,         61,        999,         -1, 
1023 :          @,          0,       2490,          0,         56,         -1, 
1024 :          @,          0,       2491,         56,        999,         -1, 
1025 :          @,          0,       2497,          0,        999,         -1, 
1026 : mons_MJ4010_100_clr1_NM_005,          9,       2241,          0,         34,         -1, 
1027 :          @,          0,       2242,         34,        999,         -1, 
1028 :          @,          0,       2243,          0,         31,         -1, 
1029 :          @,          0,       2244,         31,         45,         -1, 
1030 :          @,          0,       2245,         45,        999,         -1, 
1031 :          @,          0,       2246,          0,         46,         -1, 
1032 :          @,          0,       2247,         46,         61,         -1, 
1033 :          @,          0,       2248,         61,        999,         -1, 
1034 :          @,          0,         -1,         -1,         -1,        355, 
1035 : mons_MJ4010_100_clr2_00,          8,       2246,         32,         46,         -1, 
1036 :          @,          0,       2247,         46,         61,         -1, 
1037 :          @,          0,       2248,         61,        999,         -1, 
1038 :          @,          0,       2249,         43,         58,         -1, 
1039 :          @,          0,       2250,         58,         71,         -1, 
1040 :          @,          0,       2251,         71,        999,         -1, 
1041 :          @,          0,         -1,         -1,         -1,        355, 
1042 :          @,          0,         -1,         -1,         -1,        370, 
1043 : mons_MJ4010_100_clr2_NM_006,          4,       2248,          0,        999,         -1, 
1044 :          @,          0,       2251,          0,        999,         -1, 
1045 :          @,          0,         -1,         -1,         -1,        355, 
1046 :          @,          0,         -1,         -1,         -1,        370, 
1047 : mons_MJ4010_100_clr2_NM_007,          8,       2246,          0,         46,         -1, 
1048 :          @,          0,       2247,         46,         61,         -1, 
1049 :          @,          0,       2248,         61,        999,         -1, 
1050 :          @,          0,       2249,          0,         58,         -1, 
1051 :          @,          0,       2250,         58,         71,         -1, 
1052 :          @,          0,       2251,         71,        999,         -1, 
1053 :          @,          0,         -1,         -1,         -1,        355, 
1054 :          @,          0,         -1,         -1,         -1,        370, 
1055 : mons_MJ4010_100_clr2_NM_008,          4,       2248,          0,        999,         -1, 
1056 :          @,          0,       2251,          0,        999,         -1, 
1057 :          @,          0,         -1,         -1,         -1,        355, 
1058 :          @,          0,         -1,         -1,         -1,        370, 
1059 : mons_MC0010_100_clr0_00,          6,       2252,         10,         20,         -1, 
1060 :          @,          0,       2253,         20,         34,         -1, 
1061 :          @,          0,       2254,         34,        999,         -1, 
1062 :          @,          0,       2258,         32,         46,         -1, 
1063 :          @,          0,       2259,         46,         61,         -1, 
1064 :          @,          0,       2260,         61,        999,         -1, 
1065 : mons_MC0010_100_clr0_NM_001,          4,       2260,          0,        999,         -1, 
1066 :          @,          0,       2513,          0,         74,         -1, 
1067 :          @,          0,       2514,         74,         89,         -1, 
1068 :          @,          0,       2515,         89,        999,         -1, 
1069 : mons_MC0010_100_clr0_NM_002,          5,       2253,          0,         34,         -1, 
1070 :          @,          0,       2254,         34,        999,         -1, 
1071 :          @,          0,       2258,          0,         46,         -1, 
1072 :          @,          0,       2259,         46,         61,         -1, 
1073 :          @,          0,       2260,         61,        999,         -1, 
1074 : mons_MC0010_100_clr1_00,          6,       2255,         17,         31,         -1, 
1075 :          @,          0,       2256,         31,         45,         -1, 
1076 :          @,          0,       2257,         45,        999,         -1, 
1077 :          @,          0,       2261,         31,         58,         -1, 
1078 :          @,          0,       2262,         58,         71,         -1, 
1079 :          @,          0,       2263,         71,        999,         -1, 
1080 : mons_MC0010_100_clr1_NM_003,          6,       2255,          0,         31,         -1, 
1081 :          @,          0,       2256,         31,         45,         -1, 
1082 :          @,          0,       2257,         45,        999,         -1, 
1083 :          @,          0,       2513,          0,         74,         -1, 
1084 :          @,          0,       2514,         74,         89,         -1, 
1085 :          @,          0,       2515,         89,        999,         -1, 
1086 : mons_MC0010_100_clr1_NM_004,          3,       2255,          0,         31,         -1, 
1087 :          @,          0,       2256,         31,         45,         -1, 
1088 :          @,          0,       2257,         45,        999,         -1, 
1089 : mons_MC0010_100_clr1_NM_005,          7,       2257,          0,        999,         -1, 
1090 :          @,          0,       2261,          0,         58,         -1, 
1091 :          @,          0,       2262,         58,         71,         -1, 
1092 :          @,          0,       2263,         71,        999,         -1, 
1093 :          @,          0,       2513,          0,         74,         -1, 
1094 :          @,          0,       2514,         74,         89,         -1, 
1095 :          @,          0,       2515,         89,        999,         -1, 
1096 : mons_MC0010_100_clr2_00,          9,       2258,         32,         46,         -1, 
1097 :          @,          0,       2259,         46,         61,         -1, 
1098 :          @,          0,       2260,         61,        999,         -1, 
1099 :          @,          0,       2261,         43,         58,         -1, 
1100 :          @,          0,       2262,         58,         71,         -1, 
1101 :          @,          0,       2263,         71,        999,         -1, 
1102 :          @,          0,       2513,         60,         74,         -1, 
1103 :          @,          0,       2514,         74,         89,         -1, 
1104 :          @,          0,       2515,         89,        999,         -1, 
1105 : mons_MC0010_100_clr2_NM_006,          6,       2258,          0,         46,         -1, 
1106 :          @,          0,       2259,         46,         61,         -1, 
1107 :          @,          0,       2260,         61,        999,         -1, 
1108 :          @,          0,       2513,          0,         74,         -1, 
1109 :          @,          0,       2514,         74,         89,         -1, 
1110 :          @,          0,       2515,         89,        999,         -1, 
1111 : mons_MC0010_100_clr2_NM_007,          8,       2259,          0,         61,         -1, 
1112 :          @,          0,       2260,         61,        999,         -1, 
1113 :          @,          0,       2261,          0,         58,         -1, 
1114 :          @,          0,       2262,         58,         71,         -1, 
1115 :          @,          0,       2263,         71,        999,         -1, 
1116 :          @,          0,       2513,          0,         74,         -1, 
1117 :          @,          0,       2514,         74,         89,         -1, 
1118 :          @,          0,       2515,         89,        999,         -1, 
1119 : mons_MC0010_100_clr2_NM_008,          3,       2261,          0,         58,         -1, 
1120 :          @,          0,       2262,         58,         71,         -1, 
1121 :          @,          0,       2263,         71,        999,         -1, 
1122 : mons_MC3010_100_clr0_00,         12,       2264,          9,         31,         -1, 
1123 :          @,          0,       2265,         31,         45,         -1, 
1124 :          @,          0,       2266,         45,         59,         -1, 
1125 :          @,          0,       2267,         59,         66,         -1, 
1126 :          @,          0,       2268,         66,         86,         -1, 
1127 :          @,          0,       2269,         86,        999,         -1, 
1128 :          @,          0,       2486,          9,         31,         -1, 
1129 :          @,          0,       2487,         31,         45,         -1, 
1130 :          @,          0,       2488,         45,        999,         -1, 
1131 :          @,          0,       2489,          9,         41,         -1, 
1132 :          @,          0,       2490,         41,         56,         -1, 
1133 :          @,          0,       2491,         56,        999,         -1, 
1134 : mons_MC3010_100_clr0_NM_001,          6,       2264,          0,         31,         -1, 
1135 :          @,          0,       2265,         31,         45,         -1, 
1136 :          @,          0,       2266,         45,         59,         -1, 
1137 :          @,          0,       2486,          0,         31,         -1, 
1138 :          @,          0,       2487,         31,         45,         -1, 
1139 :          @,          0,       2488,         45,        999,         -1, 
1140 : mons_MC3010_100_clr0_NM_002,          6,       2265,          0,         45,         -1, 
1141 :          @,          0,       2266,         45,        999,         -1, 
1142 :          @,          0,       2487,          0,         45,         -1, 
1143 :          @,          0,       2488,         45,        999,         -1, 
1144 :          @,          0,       2490,          0,         56,         -1, 
1145 :          @,          0,       2491,         56,        999,         -1, 
1146 : mons_MC3010_100_clr1_00,         13,       2264,         11,         31,         -1, 
1147 :          @,          0,       2265,         31,         45,         -1, 
1148 :          @,          0,       2266,         45,         59,         -1, 
1149 :          @,          0,       2267,         59,         66,         -1, 
1150 :          @,          0,       2268,         66,         86,         -1, 
1151 :          @,          0,       2269,         86,        999,         -1, 
1152 :          @,          0,       2486,         17,         31,         -1, 
1153 :          @,          0,       2487,         31,         45,         -1, 
1154 :          @,          0,       2488,         45,        999,         -1, 
1155 :          @,          0,       2510,         45,         59,         -1, 
1156 :          @,          0,       2511,         59,         73,         -1, 
1157 :          @,          0,       2512,         73,        999,         -1, 
1158 :          @,          0,       2537,          0,        999,         -1, 
1159 : mons_MC3010_100_clr1_NM_003,          7,       2265,          0,         45,         -1, 
1160 :          @,          0,       2266,         45,        999,         -1, 
1161 :          @,          0,       2487,          0,         45,         -1, 
1162 :          @,          0,       2488,         45,        999,         -1, 
1163 :          @,          0,       2537,          0,         84,         -1, 
1164 :          @,          0,       2538,         84,         99,         -1, 
1165 :          @,          0,       2539,         99,        999,         -1, 
1166 : mons_MC3010_100_clr1_NM_004,          3,       2264,          0,         31,         -1, 
1167 :          @,          0,       2265,         31,         45,         -1, 
1168 :          @,          0,       2266,         45,        999,         -1, 
1169 : mons_MC3010_100_clr1_NM_005,         10,       2267,          0,         66,         -1, 
1170 :          @,          0,       2268,         66,         86,         -1, 
1171 :          @,          0,       2269,         86,        999,         -1, 
1172 :          @,          0,       2488,          0,        999,         -1, 
1173 :          @,          0,       2491,          0,        999,         -1, 
1174 :          @,          0,       2511,          0,         73,         -1, 
1175 :          @,          0,       2512,         73,        999,         -1, 
1176 :          @,          0,       2537,          0,         84,         -1, 
1177 :          @,          0,       2538,         84,         99,         -1, 
1178 :          @,          0,       2539,         99,        999,         -1, 
1179 : mons_MC3010_100_clr2_00,         15,       2264,         12,         31,         -1, 
1180 :          @,          0,       2265,         31,         45,         -1, 
1181 :          @,          0,       2266,         45,         59,         -1, 
1182 :          @,          0,       2267,         59,         66,         -1, 
1183 :          @,          0,       2268,         66,         86,         -1, 
1184 :          @,          0,       2269,         86,        999,         -1, 
1185 :          @,          0,       2486,         17,         31,         -1, 
1186 :          @,          0,       2487,         31,         45,         -1, 
1187 :          @,          0,       2488,         45,        999,         -1, 
1188 :          @,          0,       2489,         27,         41,         -1, 
1189 :          @,          0,       2490,         41,         56,         -1, 
1190 :          @,          0,       2491,         56,        999,         -1, 
1191 :          @,          0,       2510,         45,         59,         -1, 
1192 :          @,          0,       2511,         59,         73,         -1, 
1193 :          @,          0,       2512,         73,        999,         -1, 
1194 : mons_MC3010_100_clr2_NM_006,          8,       2265,          0,         45,         -1, 
1195 :          @,          0,       2266,         45,         59,         -1, 
1196 :          @,          0,       2486,          0,         31,         -1, 
1197 :          @,          0,       2487,         31,         45,         -1, 
1198 :          @,          0,       2488,         45,        999,         -1, 
1199 :          @,          0,       2510,          0,         59,         -1, 
1200 :          @,          0,       2511,         59,         73,         -1, 
1201 :          @,          0,       2512,         73,        999,         -1, 
1202 : mons_MC3010_100_clr2_NM_007,          3,       2268,          0,         86,         -1, 
1203 :          @,          0,       2269,         86,        999,         -1, 
1204 :          @,          0,       2488,          0,        999,         -1, 
1205 : mons_MC3010_100_clr2_NM_008,          4,       2269,          0,        999,         -1, 
1206 :          @,          0,       2552,          0,        106,         -1, 
1207 :          @,          0,       2552,        106,        120,         -1, 
1208 :          @,          0,       2552,        120,        999,         -1, 
1209 : mons_MC3020_100_clr0_00,         13,       2270,         11,         31,         -1, 
1210 :          @,          0,       2271,         31,         45,         -1, 
1211 :          @,          0,       2272,         45,         59,         -1, 
1212 :          @,          0,       2273,         59,         66,         -1, 
1213 :          @,          0,       2274,         66,         86,         -1, 
1214 :          @,          0,       2275,         86,        999,         -1, 
1215 :          @,          0,       2492,         11,         52,         -1, 
1216 :          @,          0,       2493,         52,         65,         -1, 
1217 :          @,          0,       2494,         65,        999,         -1, 
1218 :          @,          0,       2519,         11,         40,         -1, 
1219 :          @,          0,       2520,         40,         54,         -1, 
1220 :          @,          0,       2521,         54,        999,         -1, 
1221 :          @,          0,         -1,         -1,         -1,        200, 
1222 : mons_MC3020_100_clr0_NM_001,         12,       2271,          0,         45,         -1, 
1223 :          @,          0,       2272,         45,        999,         -1, 
1224 :          @,          0,       2528,          0,         66,         -1, 
1225 :          @,          0,       2529,         66,         79,         -1, 
1226 :          @,          0,       2530,         79,        999,         -1, 
1227 :          @,          0,       2549,          0,        106,         -1, 
1228 :          @,          0,       2550,        106,        120,         -1, 
1229 :          @,          0,       2551,        120,        999,         -1, 
1230 :          @,          0,       1665,          0,         38,         -1, 
1231 :          @,          0,       1666,         38,         45,         -1, 
1232 :          @,          0,       1667,         45,        999,         -1, 
1233 :          @,          0,       1662,          0,        999,         -1, 
1234 : mons_MC3020_100_clr0_NM_002,          9,       2270,          0,         31,         -1, 
1235 :          @,          0,       2271,         31,         45,         -1, 
1236 :          @,          0,       2272,         45,        999,         -1, 
1237 :          @,          0,       2276,          0,         46,         -1, 
1238 :          @,          0,       2277,         46,         61,         -1, 
1239 :          @,          0,       2278,         61,        999,         -1, 
1240 :          @,          0,       2537,          0,         84,         -1, 
1241 :          @,          0,       2538,         84,         99,         -1, 
1242 :          @,          0,       2539,         99,        999,         -1, 
1243 : mons_MC3020_100_clr1_00,         20,       2270,         16,         31,         -1, 
1244 :          @,          0,       2271,         31,         45,         -1, 
1245 :          @,          0,       2272,         45,         59,         -1, 
1246 :          @,          0,       2273,         59,         66,         -1, 
1247 :          @,          0,       2274,         66,         86,         -1, 
1248 :          @,          0,       2275,         86,        999,         -1, 
1249 :          @,          0,       2276,         16,         46,         -1, 
1250 :          @,          0,       2277,         46,         61,         -1, 
1251 :          @,          0,       2278,         61,        999,         -1, 
1252 :          @,          0,       2492,         16,         52,         -1, 
1253 :          @,          0,       2493,         52,         65,         -1, 
1254 :          @,          0,       2494,         65,        999,         -1, 
1255 :          @,          0,       2504,         16,         51,         -1, 
1256 :          @,          0,       2505,         51,         66,         -1, 
1257 :          @,          0,       2506,         66,        999,         -1, 
1258 :          @,          0,       1728,         16,         42,         -1, 
1259 :          @,          0,       1729,         42,         49,         -1, 
1260 :          @,          0,       1730,         49,         56,         -1, 
1261 :          @,          0,       1731,         56,         63,         -1, 
1262 :          @,          0,       1732,         63,        999,         -1, 
1263 : mons_MC3020_100_clr1_NM_003,         20,       2270,          0,         31,         -1, 
1264 :          @,          0,       2271,         31,         45,         -1, 
1265 :          @,          0,       2272,         45,        999,         -1, 
1266 :          @,          0,       2276,          0,         46,         -1, 
1267 :          @,          0,       2277,         46,         61,         -1, 
1268 :          @,          0,       2278,         61,        999,         -1, 
1269 :          @,          0,       2492,          0,         52,         -1, 
1270 :          @,          0,       2493,         52,         65,         -1, 
1271 :          @,          0,       2494,         65,        999,         -1, 
1272 :          @,          0,       2504,          0,         51,         -1, 
1273 :          @,          0,       2505,         51,         66,         -1, 
1274 :          @,          0,       2506,         66,        999,         -1, 
1275 :          @,          0,       2534,          0,         84,         -1, 
1276 :          @,          0,       2535,         84,         99,         -1, 
1277 :          @,          0,       2536,         99,        999,         -1, 
1278 :          @,          0,       1728,          0,         42,         -1, 
1279 :          @,          0,       1729,         42,         49,         -1, 
1280 :          @,          0,       1730,         49,         56,         -1, 
1281 :          @,          0,       1731,         56,         63,         -1, 
1282 :          @,          0,       1732,         63,        999,         -1, 
1283 : mons_MC3020_100_clr1_NM_004,          6,       2270,          0,         31,         -1, 
1284 :          @,          0,       2271,         31,         45,         -1, 
1285 :          @,          0,       2272,         45,        999,         -1, 
1286 :          @,          0,       2276,          0,         46,         -1, 
1287 :          @,          0,       2277,         46,         61,         -1, 
1288 :          @,          0,       2278,         61,        999,         -1, 
1289 : mons_MC3020_100_clr1_NM_005,         11,       2275,          0,        999,         -1, 
1290 :          @,          0,       2278,          0,        999,         -1, 
1291 :          @,          0,       2549,          0,        106,         -1, 
1292 :          @,          0,       2550,        106,        120,         -1, 
1293 :          @,          0,       2551,        120,        999,         -1, 
1294 :          @,          0,       2543,          0,        106,         -1, 
1295 :          @,          0,       2544,        106,        120,         -1, 
1296 :          @,          0,       2545,        120,        999,         -1, 
1297 :          @,          0,       1760,          0,         92,         -1, 
1298 :          @,          0,       1761,         92,         98,         -1, 
1299 :          @,          0,       1762,         98,        999,         -1, 
1300 : mons_MC3020_100_clr2_00,         14,       2270,         17,         31,         -1, 
1301 :          @,          0,       2271,         31,         45,         -1, 
1302 :          @,          0,       2272,         45,         59,         -1, 
1303 :          @,          0,       2273,         59,         66,         -1, 
1304 :          @,          0,       2274,         66,         86,         -1, 
1305 :          @,          0,       2275,         86,        999,         -1, 
1306 :          @,          0,       2279,         43,         58,         -1, 
1307 :          @,          0,       2280,         58,         71,         -1, 
1308 :          @,          0,       2281,         71,        999,         -1, 
1309 :          @,          0,       2534,         28,         84,         -1, 
1310 :          @,          0,       2535,         84,         99,         -1, 
1311 :          @,          0,       2536,         99,        999,         -1, 
1312 :          @,          0,       2549,         28,        999,         -1, 
1313 :          @,          0,         -1,         -1,         -1,        335, 
1314 : mons_MC3020_100_clr2_NM_006,         12,       2270,          0,         31,         -1, 
1315 :          @,          0,       2271,         31,         45,         -1, 
1316 :          @,          0,       2272,         45,        999,         -1, 
1317 :          @,          0,       2279,          0,         58,         -1, 
1318 :          @,          0,       2280,         58,         71,         -1, 
1319 :          @,          0,       2281,         71,        999,         -1, 
1320 :          @,          0,       2549,          0,        106,         -1, 
1321 :          @,          0,       2550,        106,        120,         -1, 
1322 :          @,          0,       2551,        120,        999,         -1, 
1323 :          @,          0,       2534,          0,         84,         -1, 
1324 :          @,          0,       2535,         84,         99,         -1, 
1325 :          @,          0,       2536,         99,        999,         -1, 
1326 : mons_MC3020_100_clr2_NM_007,         12,       2270,          0,         31,         -1, 
1327 :          @,          0,       2271,         31,         45,         -1, 
1328 :          @,          0,       2272,         45,        999,         -1, 
1329 :          @,          0,       2279,          0,         58,         -1, 
1330 :          @,          0,       2280,         58,         71,         -1, 
1331 :          @,          0,       2281,         71,        999,         -1, 
1332 :          @,          0,       2537,          0,         84,         -1, 
1333 :          @,          0,       2538,         84,         99,         -1, 
1334 :          @,          0,       2539,         99,        999,         -1, 
