           km_, km_get_item, km_get_eplv,    km_cost, km_auto_only,  km_sortid,   km_daiji, km_material_1, km_material_1_num, km_material_1_key, km_material_2, km_material_2_num, km_material_2_key, km_material_3, km_material_3_num, km_material_3_key, km_material_4, km_material_4_num, km_material_4_key, 
171 : accessories_amulet,    8324403,          0,      47040,          0,       2611,         -1,    9044744,          5,          1,    9044344,          2,          0,    9044333,          2,          0,         -1,          0,          0, 
172 : accessories_amulet,    8324407,          0,      47040,          0,       2612,        287,    9044248,          1,          1,    9044403,          2,          0,    9044755,          1,          0,         -1,          0,          0, 
173 : accessories_amulet,    8324396,          0,      55860,          0,       2613,         -1,    9044789,          1,          1,    9044249,          3,          0,    9044709,          1,          0,         -1,          0,          0, 
174 : accessories_jewel,    8324416,          0,      18000,          0,       2700,         -1,    9044213,          1,          1,    9044701,          2,          0,    9044725,          3,          0,         -1,          0,          0, 
175 : accessories_jewel,    8324417,          0,      94500,          0,       2701,        286,    9044230,          1,          1,    9044612,          3,          0,    9044393,          5,          0,         -1,          0,          0, 
176 : accessories_jewel,    8324411,          0,     141750,          0,       2702,         -1,    9044097,          1,          0,    9044258,          2,          1,    9044241,          1,          0,         -1,          0,          0, 
177 : accessories_jewel,    8324412,          0,     141750,          0,       2703,         -1,    9044098,          1,          0,    9044262,          1,          1,    9044241,          1,          0,         -1,          0,          0, 
178 : accessories_jewel,    8324413,          0,     141750,          0,       2704,         -1,    9044099,          2,          0,    9044260,          2,          1,    9044241,          1,          0,         -1,          0,          0, 
179 : accessories_jewel,    8324414,          0,     141750,          0,       2705,         -1,    9044100,          1,          0,    9044261,          2,          1,    9044241,          1,          0,         -1,          0,          0, 
180 : accessories_jewel,    8324415,          0,     141750,          0,       2706,         -1,    9044101,          1,          0,    9044259,          2,          1,    9044241,          1,          0,         -1,          0,          0, 
181 : accessories_jewel,    8324418,          0,     141750,          0,       2707,        286,    9044231,          1,          1,    9044700,          2,          0,    9044773,          4,          0,         -1,          0,          0, 
182 : accessories_jewel,    8324419,          0,     141750,          0,       2708,        286,    9044232,          1,          1,    9044482,          4,          0,    9044773,          4,          0,         -1,          0,          0, 
183 : accessories_etc,    8324424,          0,      21630,          0,       2800,         -1,    9044542,          3,          0,    9044245,          1,          1,    9044432,          2,          0,         -1,          0,          0, 
184 : accessories_etc,    8324425,          0,      33990,          0,       2801,         -1,    9044093,          1,          1,    9044713,          2,          0,    9044441,          5,          0,         -1,          0,          0, 
185 : accessories_etc,    8324429,          0,      43260,          0,       2802,         -1,    9044374,          4,          1,    9044721,          3,          0,    9044391,          2,          0,         -1,          0,          0, 
186 : accessories_etc,    8324431,          0,      52530,          0,       2803,         -1,    9044564,          2,          0,    9044600,          2,          0,    9044353,          3,          1,         -1,          0,          0, 
187 : accessories_etc,    8324426,          0,      98880,          0,       2804,         -1,    9044786,          1,          0,    9044788,          1,          0,    9044754,          1,          1,         -1,          0,          0, 
188 : accessories_etc,    8324432,          0,      98880,          0,       2805,         -1,    9044790,          1,          0,    9044792,          1,          0,    9044755,          1,          1,         -1,          0,          0, 
189 : accessories_etc,    8324420,          0,      64890,          0,       2806,         -1,    9044798,          1,          1,    9044247,          1,          0,    9044539,          3,          0,         -1,          0,          0, 
190 : accessories_etc,    8324421,          0,      64890,          0,       2807,         -1,    9044795,          1,          1,    9044247,          1,          0,    9044761,          3,          0,         -1,          0,          0, 
191 : accessories_etc,    8324422,          0,      64890,          0,       2808,         -1,    9044796,          1,          1,    9044247,          1,          0,    9044705,          3,          0,         -1,          0,          0, 
192 : accessories_etc,    8324433,          0,     888888,          0,       2809,         -1,    9044793,          1,          1,    9044784,          1,          1,    9044780,          1,          1,         -1,          0,          0, 
193 : accessories_earring,    8324335,          0,       5000,          0,       5000,         -1,    9044105,          5,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0, 
194 : accessories_amulet,    8324408,          0,       7350,          0,       5001,         -1,    9044105,          8,          0,    9044106,          2,          0,         -1,          0,          0,         -1,          0,          0, 
195 : accessories_anklet,    8324386,          0,       9900,          0,       5002,         -1,    9044105,         12,          0,    9044106,         12,          0,         -1,          0,          0,         -1,          0,          0, 
196 : accessories_ring,    8324269,          0,      31500,          0,       5003,         -1,    9044105,         14,          0,    9044107,         10,          0,         -1,          0,          0,         -1,          0,          0, 
197 : accessories_necklace,    8324245,          0,      53550,          0,       5004,         -1,    9044105,         15,          0,    9044106,         25,          0,    9044107,         20,          0,         -1,          0,          0, 
198 : sword_l_uniq_06,    8323292,          0,     469775,          0,       5005,         -1,    9044105,         30,          0,    9044106,         40,          0,    9044107,         30,          0,         -1,          0,          0, 
199 : sword_m_uniq_01,    8323229,          0,      12900,          1,          0,         -1,    9044170,          1,          0,    9044716,          1,          0,    9044561,          1,          0,         -1,          0,          0, 
200 : axe_l_uniq_02,    8323542,          0,       9560,          1,          0,         -1,    9044265,          2,          0,    9044407,          3,          0,    9044625,          3,          0,         -1,          0,          0, 
201 : sword_l_uniq_02,    8323285,          0,      11730,          1,          0,         -1,    9044254,          1,          0,    9044746,          1,          0,    9044600,          1,          0,         -1,          0,          0, 
202 : katana_s_uniq_02,    8323351,          0,      24510,          1,          0,         -1,    9044271,          1,          0,    9044443,          3,          0,    9044735,          2,          0,         -1,          0,          0, 
203 : shield_m_uniq_01,    8324151,          0,      38700,          1,          0,         -1,    9044267,          1,          0,    9044726,          2,          0,    9044325,          2,          0,         -1,          0,          0, 
204 : sword_l_uniq_03,    8323287,          0,      59340,          1,          0,         -1,    9044272,          1,          0,    9044441,          6,          0,    9044447,          1,          0,         -1,          0,          0, 
205 : lance_l_uniq_01_01,    8323825,          0,      40670,          1,          0,         -1,    9044239,          2,          0,    9044621,          2,          0,    9044388,          3,          0,         -1,          0,          0, 
206 : hammer_m_uniq_01,    8323636,          0,      81590,          1,          0,         -1,    9044273,          1,          0,    9044543,          2,          0,    9044721,          3,          0,         -1,          0,          0, 
207 : staff_x_uniq_02,    8323978,          0,      65030,          1,          0,         -1,    9044240,          2,          0,    9044768,          3,          0,    9044402,          6,          0,         -1,          0,          0, 
208 : sword_s_WSA010_normal,    8323126,          0,        270,          1,          0,         -1,    9044235,          2,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0, 
209 : sword_m_WMA010_normal,    8323170,          0,        300,          1,          0,         -1,    9044235,          2,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0, 
210 : katana_m_WMB010_normal,    8323353,          0,        320,          1,          0,         -1,    9044235,          2,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0, 
211 : katana_l_WLB010_normal,    8323394,          0,        360,          1,          0,         -1,    9044235,          2,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0, 
212 : hammer_m_WMD010_normal,    8323604,          0,        350,          1,          0,         -1,    9044235,          2,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0, 
213 : hammer_l_WLD010_normal,    8323637,          0,        390,          1,          0,         -1,    9044235,          2,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0, 
214 : axe_m_WMC030_normal,    8323479,          0,        480,          1,          0,         -1,    9044235,          3,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0, 
215 : katana_m_WMB020_normal,    8323365,          0,       1260,          1,          0,         -1,    9044236,          2,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0, 
216 : axe_l_WLC030_normal,    8323524,          0,       1500,          1,          0,         -1,    9044236,          2,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0, 
217 : lance_m_uniq_07,    8323774,          0,       2650,          1,          0,         -1,    9044235,          3,          0,    9044593,          2,          0,    9044251,          2,          0,         -1,          0,          0, 
218 : shield_l_uniq_06,    8324188,          0,       2450,          1,          0,         -1,    9044235,          3,          0,    9044494,          4,          0,    9044327,          3,          0,         -1,          0,          0, 
219 : katana_l_uniq_06,    8323417,          0,       3670,          1,          0,         -1,    9044243,          3,          0,    9044693,          2,          0,    9044423,          7,          0,         -1,          0,          0, 
220 : sword_s_uniq_15_cr_only,    8323160,          0,       8910,          1,          0,         -1,    9044253,          2,          0,    9044170,          1,          0,    9044379,          5,          0,         -1,          0,          0, 
221 : sword_l_uniq_04_cr_only,    8323284,          0,       5870,          1,          0,         -1,    9044252,          2,          0,    9044729,          3,          0,    9044334,          2,          0,         -1,          0,          0, 
222 : hammer_x_uniq_05,    8323718,          0,       7400,          1,          0,         -1,    9044236,          3,          0,    9044460,          4,          0,    9044354,          2,          0,         -1,          0,          0, 
223 : hammer_s_uniq_03,    8323601,          0,       5360,          1,          0,         -1,    9044236,          3,          0,    9044683,          8,          0,    9044389,          2,          0,         -1,          0,          0, 
224 : axe_m_uniq_04,    8323508,          0,       5610,          1,          0,         -1,    9044236,          3,          0,    9044619,          1,          0,    9044358,          2,          0,         -1,          0,          0, 
225 : axe_l_uniq_06,    8323543,          0,      12750,          1,          0,         -1,    9044244,          3,          0,    9044376,          6,          0,    9044625,          2,          0,         -1,          0,          0, 
226 : staff_l_uniq_06,    8323962,          0,      13770,          1,          0,         -1,    9044244,          3,          0,    9044673,          5,          0,    9044626,          1,          0,         -1,          0,          0, 
227 : staff_m_uniq_08,    8323938,          0,      12240,          1,          0,         -1,    9044244,          3,          0,    9044673,          5,          0,    9044407,          3,          0,         -1,          0,          0, 
228 : axe_l_uniq_01_cr_only,    8323544,          0,      37130,          1,          0,         -1,    9044370,          1,          0,    9044413,          3,          0,    9044320,          2,          0,         -1,          0,          0, 
229 : sword_m_uniq,    8323233,          0,      28050,          1,          0,         -1,    9044256,          3,          0,    9044377,          5,          0,    9044734,          2,          0,         -1,          0,          0, 
230 : shield_m_uniq_06,    8324152,          0,      28050,          1,          0,         -1,    9044256,          3,          0,    9044518,          2,          0,    9044695,          2,          0,         -1,          0,          0, 
231 : lance_l_uniq_06,    8323824,          0,      40670,          1,          0,         -1,    9044256,          3,          0,    9044425,          5,          0,    9044388,          2,          0,         -1,          0,          0, 
232 : lance_m_uniq_02_cr_only,    8323779,          0,      90090,          1,          0,         -1,    9044240,          1,          0,    9044367,          3,          0,    9044405,          4,          0,         -1,          0,          0, 
233 : sword_l_uniq,    8323291,          0,      41060,          1,          0,         -1,    9044247,          3,          0,    9044393,          5,          0,    9044620,          2,          0,         -1,          0,          0, 
234 : staff_m_uniq_04_cr_only,    8323941,          0,     162540,          1,          0,         -1,    9044270,          1,          0,    9044361,          1,          0,    9044727,          2,          0,         -1,          0,          0, 
235 : ancientry_sword_WMA070,    8323108,          0,     113400,          1,          0,         -1,    9044231,         20,          0,    9044227,         20,          0,    9044224,         25,          0,         -1,          0,          0, 
236 : ancientry_katana_WXB020,    8323109,          0,     153090,          1,          0,         -1,    9044232,         20,          0,    9044228,         20,          0,    9044222,         30,          0,         -1,          0,          0, 
237 : ancientry_axe_WSC030,    8323110,          0,     113400,          1,          0,         -1,    9044231,         20,          0,    9044229,         20,          0,    9044219,         30,          0,         -1,          0,          0, 
238 : ancientry_hammer_WLD050,    8323111,          0,     147420,          1,          0,         -1,    9044232,         20,          0,    9044230,         20,          0,    9044220,         30,          0,         -1,          0,          0, 
239 : ancientry_lance_WSE030,    8323112,          0,     136080,          1,          0,         -1,    9044231,         20,          0,    9044225,         25,          0,    9044221,         30,          0,         -1,          0,          0, 
240 : ancientry_staff_WMF050,    8323113,          0,     136080,          1,          0,         -1,    9044232,         20,          0,    9044226,         25,          0,    9044223,         25,          0,         -1,          0,          0, 
241 : ancientry_shield_WMG040,    8323114,          0,     113400,          1,          0,         -1,    9044231,         20,          0,    9044232,         20,          0,    9044222,         30,          0,         -1,          0,          0, 
242 : sword_l_uniq_06_cr_only,    8323292,          0,     281870,          1,          0,         -1,    9044275,          2,          0,    9044607,          4,          0,    9044378,          2,          0,         -1,          0,          0, 
243 : pt_ancientry_sword_WMA070,    8323108,          0,     170100,          0,       5500,        289,    9044108,         20,          1,    9109858,          1,          1,         -1,          0,          0,         -1,          0,          0, 
244 : pt_ancientry_katana_WXB020,    8323109,          0,     229640,          0,       5501,        289,    9044108,         20,          1,    9109659,          1,          1,         -1,          0,          0,         -1,          0,          0, 
245 : pt_ancientry_axe_WSC030,    8323110,          0,     170100,          0,       5502,        289,    9044108,         20,          1,    9109759,          1,          1,         -1,          0,          0,         -1,          0,          0, 
246 : pt_ancientry_hammer_WLD050,    8323111,          0,     221130,          0,       5503,        289,    9044108,         20,          1,    9109822,          1,          1,         -1,          0,          0,         -1,          0,          0, 
247 : pt_ancientry_lance_WSE030,    8323112,          0,     204120,          0,       5504,        289,    9044108,         20,          1,    9109860,          1,          1,         -1,          0,          0,         -1,          0,          0, 
248 : pt_ancientry_staff_WMF050,    8323113,          0,     204120,          0,       5505,        289,    9044108,         20,          1,    9109873,          1,          1,         -1,          0,          0,         -1,          0,          0, 
249 : pt_ancientry_shield_WMG040,    8323114,          0,     170100,          0,       5506,        289,    9044108,         20,          1,    9109894,          1,          1,         -1,          0,          0,         -1,          0,          0, 
250 : pt_ancientry_accessories_01,    8323115,          0,     416750,          0,       5507,        290,    9044108,         20,          1,    9109896,          1,          1,         -1,          0,          0,         -1,          0,          0, 
251 : pt_ancientry_accessories_02,    8323116,          0,     244760,          0,       5508,        290,    9044108,         20,          1,    9109884,          1,          1,         -1,          0,          0,         -1,          0,          0, 
252 : pt_ancientry_accessories_03,    8323117,          0,     297680,          0,       5509,        290,    9044108,         20,          1,    9109875,          1,          1,         -1,          0,          0,         -1,          0,          0, 
253 : ex_uniq_valeria_heart,    8324586,          0,       1120,          0,       6000,         -1,    9044793,          1,          1,    9109859,          5,          1,    9044107,         99,          1,         -1,          0,          0, 

