           km_,   km_chara, km_mons_count_id, km_mons_rare, km_mons_boss, km_shield_weapon_chg, km_chara_class, km_base_hp, km_base_ap, km_battle_ap_charge, km_base_str, km_base_mgc, km_base_spd,  km_per_id, km_base_per, km_base_tension, km_tension_style, km_hp_growth_type, km_hp_growth_type_101, km_hp_growth_type_201, km_ap_growth_type, km_ap_growth_type_101, km_ap_growth_type_201, km_str_growth_type, km_str_growth_type_101, km_str_growth_type_201, km_mgc_growth_type, km_mgc_growth_type_101, km_mgc_growth_type_201, km_spd_growth_type, km_spd_growth_type_101, km_spd_growth_type_201, km_per_growth_type, km_per_growth_type_101, km_per_growth_type_201, km_eqskill_oh_oh, km_eqskill_oh_th, km_eqskill_oh_ww, km_eqskill_th_th, km_eqskill_s_fw, km_eqskill_s_oh, km_eqskill_s_th, km_artsskill_sword, km_artsskill_katana, km_artsskill_axe, km_artsskill_mace, km_artsskill_spear, km_artsskill_staff, km_mgcskill_01, km_mgcskill_02, km_mgcskill_03, km_mgcskill_04, km_mgcskill_05, km_mgcskill_06, km_mgcskill_07, km_itemskill_01, km_itemskill_02, km_itemskill_03, km_itemskill_04, km_itemskill_05, km_itemskill_06, km_df_att_zan, km_df_att_da, km_df_att_shou, km_df_att_kantu, km_df_fire, km_df_thunder,  km_df_ice, km_df_acid, km_df_poison, km_preset_act_arts, km_preset_act_magic, km_preset_act_item, km_eq_main_weapon, km_eqlv_main, km_eq_style, km_eq_sub_weapon1, km_eqlv_sub, km_eq_accessories1, km_eq_accessories2, km_logic_target_union, km_logic_target_unit, km_pre_logic_target_union, km_post_logic_target_union, km_btl_action, km_btl_action_append_1, km_btl_action_append_2, km_btl_action_append_3,  km_demise, km_item_money, km_item_surely, km_eqlv_surely, km_item_surely_num, km_item_normal1, km_eqlv_normal1, km_item_normal1_num, km_item_normal2, km_eqlv_normal2, km_item_normal2_num, km_item_rare, km_eqlv_rare, km_item_rare_num, km_item_veryrare, km_eqlv_veryrare, km_item_veryrare_num, km_item_tuika1, km_eqlv_tuika1, km_item_tuika1_num, km_item_tuika1_odd, km_item_tuika1_getd, km_item_tuika2, km_eqlv_tuika2, km_item_tuika2_num, km_item_tuika2_odd, km_item_tuika2_getd, 
473 : CRK_50_E00_v0,        773,        210,          0,          0,          0,        366,        355,        156,         31,         20,         19,         17,          0,         20,         40,          0,          4,         58,        112,         13,         67,        121,         22,         76,        130,         34,         88,        142,         43,         97,        151,         52,        106,        160,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          5,         20,         10,         20,          5,          5,         10,         10,         -1,         -1,         -1,       1372,          0,         55,         -1,         -1,         -1,         -1,        341,       5197,         -1,         -1,       1763,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044651,         99,          1,    8978434,         99,          1,    9109734,         99,          1,    9044654,         99,          1,    9044655,         99,          1,         30,        242,    9044656,         99,          1,         15,        272, 
474 : CRK_50_E00_v1,        776,        210,          0,          0,          0,        366,        355,        156,         31,         20,         19,         17,          0,         20,         40,          0,          4,         58,        112,         13,         67,        121,         22,         76,        130,         34,         88,        142,         43,         97,        151,         52,        106,        160,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          5,         20,         10,         20,          5,          5,         10,         10,         -1,         -1,         -1,       1372,          0,         55,         -1,         -1,         -1,         -1,        341,       5207,         -1,         -1,       1763,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044651,         99,          2,    9044654,         99,          1,    9109734,         99,          1,    9044427,         99,          1,    9044655,         99,          1,         30,        242,    9044656,         99,          1,         15,        272, 
475 : CRK_50_E02_v0,        841,        276,          0,          0,          0,        371,       1672,        456,         91,         28,         20,         19,          0,         20,         40,          0,          5,         59,        113,         14,         68,        122,         23,         77,        131,         35,         89,        143,         44,         98,        152,         53,        107,        161,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          5,         10,         20,         20,         10,          5,          5,         10,         -1,         -1,         -1,       1424,          0,         64,         -1,         -1,         -1,         -1,        363,       5300,         -1,         -1,       2212,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044464,         99,          1,    9109802,         99,          1,    9044455,         99,          1,    8978434,         99,          1,    9044705,         99,          1,         30,        247,    9044706,         99,          1,         30,        277, 
476 : CRK_99_E08,        914,        348,          1,          0,          1,        376,      25800,       1282,        250,         45,         25,         22,          0,         20,         40,          0,          8,         62,        116,         14,         68,        122,         26,         80,        134,         38,         92,        146,         47,        101,        155,         53,        107,        161,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,         30,         30,         30,         30,         30,         30,         30,         30,         -1,         -1,         -1,       1441,          0,         71,         -1,         -1,         -1,         -1,        389,       5470,         -1,        404,       3020,         -1,         -1,         -1,          1,          0,    9109874,         99,          1,    9044447,         99,          3,    9044402,         99,          1,    9044108,         99,          1,    9044436,         99,          1,    9044749,         99,          1,         30,        252,    9044750,         99,          1,         15,        282, 
477 : NUD_02_E00_v0,        640,         99,          0,          0,          0,        357,        156,         31,          6,         20,         14,         17,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,         10,         10,          5,         10,          5,         20,         -1,         -1,         -1,       1381,          0,         34,         -1,         -1,         -1,         -1,        296,       4959,         -1,         -1,       1096,        455,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044398,         99,          1,    9044393,         99,          1,    9109601,         99,          1,    8978434,         99,          1,    9044569,         99,          1,         30,        233,    9044570,         99,          1,         15,        263, 
478 : NUD_02_E00_v1,        643,         99,          0,          0,          0,        357,        156,         31,          6,         20,         14,         17,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,         10,         10,          5,         10,          5,         20,         -1,         -1,         -1,       1381,          0,         34,         -1,         -1,         -1,         -1,        296,       4964,         -1,         -1,       1096,        455,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044398,         99,          2,    9044393,         99,          2,    9109601,         99,          1,    8978434,         99,          2,    9044569,         99,          1,         30,        233,    9044570,         99,          1,         15,        263, 
479 : NUD_02_E00_v2,        646,         99,          0,          0,          0,        357,        156,         31,          6,         20,         14,         17,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,         10,         10,          5,         10,          5,         20,         -1,         -1,         -1,       1381,          0,         34,         -1,         -1,         -1,         -1,        296,       4964,         -1,         -1,       1096,        455,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044398,         99,          3,    9044393,         99,          3,    9109601,         99,          1,    8978434,         99,          3,    9044569,         99,          1,         30,        233,    9044570,         99,          1,         15,        263, 
480 : NUD_02_E01_v0,        878,        313,          0,          0,          0,        374,        627,        125,         25,         21,         17,         12,          0,         20,         40,          0,          4,         58,        112,         13,         67,        121,         22,         76,        130,         34,         88,        142,         43,         97,        151,         52,        106,        160,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          5,         20,         10,          5,          5,         20,         10,         10,         -1,         -1,         -1,       1373,          0,         68,         -1,         -1,         -1,         -1,        375,       5397,         -1,         -1,       2636,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044335,         99,          1,    9109839,         99,          1,    8978440,         99,          1,    9044736,         99,          1,    9044732,         99,          1,         30,        250,    9044733,         99,          1,         30,        280, 
481 : NUD_02_E01_v1,        881,        314,          0,          0,          0,        374,        627,        125,         25,         21,         17,         12,          0,         20,         40,          0,          4,         58,        112,         13,         67,        121,         22,         76,        130,         34,         88,        142,         43,         97,        151,         52,        106,        160,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          5,         20,         10,          5,          5,         20,         10,         10,         -1,         -1,         -1,       1378,          0,         68,         -1,         -1,         -1,         -1,        375,       5411,         -1,         -1,       2636,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044335,         99,          2,    9109842,         99,          1,    9044325,         99,          1,    9044737,         99,          1,    9044732,         99,          1,         30,        250,    9044733,         99,          1,         30,        280, 
482 : NUD_02_E02_v0,        744,        188,          0,          0,          0,        364,       1246,        308,         61,         27,         10,         12,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,         10,          5,          5,         20,         10,          5,         10,         -1,         -1,         -1,       1437,          0,         50,         -1,         -1,         -1,         -1,        333,       5146,         -1,         -1,       1636,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044461,         99,          1,    8978440,         99,          1,    9044635,         99,          1,    9109705,         99,          1,    9044637,         99,          1,         30,        240,    9044638,         99,          1,         15,        270, 
483 : NUD_02_E02_v1,        747,        188,          0,          0,          0,        364,       1246,        308,         61,         27,         10,         12,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,         10,          5,          5,         20,         10,          5,         10,         -1,         -1,         -1,       1437,          0,         50,         -1,         -1,         -1,         -1,        333,       5154,         -1,         -1,       1636,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044461,         99,          2,    9044635,         99,          1,    9044636,         99,          1,    8978440,         99,          2,    9044637,         99,          1,         30,        240,    9044638,         99,          1,         15,        270, 
484 : NUD_02_E03_v0,        671,        124,          0,          0,          0,        359,       1895,        541,        108,         30,         21,         11,          0,         20,         40,          0,          5,         59,        113,         14,         68,        122,         23,         77,        131,         35,         89,        143,         44,         98,        152,         53,        107,        161,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,         10,          5,         20,          5,          5,         10,         10,         -1,         -1,         -1,       1376,          0,         39,         -1,         -1,         -1,         -1,        309,       5001,         -1,         -1,       1300,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044449,         99,          1,    8978436,         99,          1,    9109632,         99,          1,    9044586,         99,          1,    9044588,         99,          1,         30,        235,    9044589,         99,          1,         30,        265, 
485 : NUD_02_E03_v1,        674,        124,          0,          0,          0,        359,       1895,        541,        108,         30,         21,         11,          0,         20,         40,          0,          5,         59,        113,         14,         68,        122,         23,         77,        131,         35,         89,        143,         44,         98,        152,         53,        107,        161,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,         10,          5,         20,          5,          5,         10,         10,         -1,         -1,         -1,       1376,          0,         39,         -1,         -1,         -1,         -1,        309,       5011,         -1,         -1,       1300,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044449,         99,          2,    9044586,         99,          1,    9109632,         99,          1,    8978436,         99,          2,    9044588,         99,          1,         30,        235,    9044589,         99,          1,         30,        265, 
486 : NUD_99_E07,        836,        270,          1,          0,          1,        370,      10336,        228,         45,         33,         16,         18,          0,         20,         40,          0,          6,         60,        114,         12,         66,        120,         24,         78,        132,         36,         90,        144,         45,         99,        153,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,          5,         10,         10,         10,          5,         20,         10,          5,         -1,         -1,         -1,       1453,          0,         63,         -1,         -1,         -1,         -1,         15,       5295,         -1,         -1,       2169,         -1,         -1,         -1,          1,          0,         -1,         -1,        255,    9044383,         99,          3,    9109797,         99,          1,    9044385,         99,          3,    9044467,         99,          1,    9044696,         99,          1,         30,        246,    9044697,         99,          1,         15,        276, 
487 : NUD_99_E08,       1741,         -1,          1,          0,          0,        346,       7600,        124,         27,         33,         23,         20,          0,         20,         40,          0,          8,         62,        116,         14,         68,        122,         26,         80,        134,         38,         92,        146,         47,        101,        155,         53,        107,        161,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         10,         10,         10,         10,         10,         10,         10,         10,         -1,         -1,         -1,       1475,          0,          1,         -1,         -1,         -1,         -1,         56,       4157,         -1,         -1,        285,         -1,         -1,         -1,          1,      20625,    9044014,         99,          1,    8978482,         99,          3,    8978485,         99,          3,    8324264,         99,          1,    8323909,          0,          1,         -1,         -1,        255,        255,         -1,         -1,         -1,        255,        255,         -1, 
488 : NUD_99_E09,        908,        342,          1,          0,          1,        376,      22800,       1282,        250,         37,         25,         18,          0,         20,         40,          0,          8,         62,        116,         14,         68,        122,         26,         80,        134,         38,         92,        146,         47,        101,        155,         53,        107,        161,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,         30,         30,         30,         30,         30,         30,         30,         30,         -1,         -1,         -1,       1442,          0,         71,         -1,         -1,         -1,         -1,        389,       5470,         -1,        397,       2875,         -1,         -1,         -1,          1,          0,    9109868,         99,          1,    9044447,         99,          3,    9044402,         99,          1,    9044108,         99,          1,    9044436,         99,          1,    9044749,         99,          1,         30,        252,    9044750,         99,          1,         15,        282, 
489 : NWD_00_E00_v0,        701,        147,          0,          0,          0,        361,        188,         37,          7,         21,         10,         18,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          5,         20,         10,         10,          5,         20,         10,          5,         -1,         -1,         -1,       1429,          0,         44,         -1,         -1,         -1,         -1,        317,       5048,         -1,         -1,       1419,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044419,         99,          1,    9044441,         99,          1,    9109662,         99,          1,    8978434,         99,          1,    9044606,         99,          1,         30,        237,    9044607,         99,          1,         15,        267, 
490 : NWD_00_E00_v1,        704,        147,          0,          0,          0,        361,        188,         37,          7,         21,         10,         18,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          5,         20,         10,         10,          5,         20,         10,          5,         -1,         -1,         -1,       1429,          0,         44,         -1,         -1,         -1,         -1,        317,       5054,         -1,         -1,       1419,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044419,         99,          2,    9044441,         99,          2,    9109662,         99,          1,    8978434,         99,          2,    9044606,         99,          1,         30,        237,    9044607,         99,          1,         15,        267, 
491 : NWD_00_E01_v0,        917,        352,          0,          0,          0,        377,        698,        146,         29,         25,         14,         12,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,         10,          5,         20,         10,          5,         10,         -1,         -1,         -1,       1438,          0,         73,         -1,         -1,         -1,         -1,        405,       5530,         -1,         -1,       3062,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044425,         99,          1,    9044759,         99,          1,    9109877,         99,          1,    8323527,          0,          1,    9044761,         99,          1,         30,        253,    9044762,         99,          1,         15,        283, 
492 : NWD_00_E02_v0,        611,         73,          0,          0,          0,        355,        648,        176,         35,         24,         19,         12,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         20,         10,         10,         10,          5,         10,         20,          5,         -1,         -1,         -1,       1453,          0,         30,         -1,         -1,         -1,         -1,        284,       4874,         -1,         -1,        930,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044380,         99,          1,    9044441,         99,          1,    9109572,         99,          1,    8978440,         99,          1,    9044550,         99,          1,         30,        231,    9044551,         99,          1,         15,        261, 
493 : NWD_00_E02_v1,        614,         73,          0,          0,          0,        355,        648,        176,         35,         24,         19,         12,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         20,         10,         10,         10,          5,         10,         20,          5,         -1,         -1,         -1,       1453,          0,         30,         -1,         -1,         -1,         -1,        288,       4882,         -1,         -1,        930,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044380,         99,          2,    9044441,         99,          2,    9109572,         99,          1,    8978440,         99,          2,    9044550,         99,          1,         30,        231,    9044551,         99,          1,         15,        261, 
494 : NWD_00_E03_v0,        774,        211,          0,          0,          0,        366,        355,        156,         31,         20,         19,         17,          0,         20,         40,          0,          4,         58,        112,         13,         67,        121,         22,         76,        130,         34,         88,        142,         43,         97,        151,         52,        106,        160,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          5,         20,         10,         20,          5,          5,         10,         10,         -1,         -1,         -1,       1372,          0,         55,         -1,         -1,         -1,         -1,        341,       5197,         -1,         -1,       1799,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044366,         99,          1,    9044653,         99,          1,    8978436,         99,          1,    9044658,         99,          1,    9044655,         99,          1,         30,        242,    9044656,         99,          1,         15,        272, 
495 : NWD_00_E03_v1,        777,        211,          0,          0,          0,        366,        355,        156,         31,         20,         19,         17,          0,         20,         40,          0,          4,         58,        112,         13,         67,        121,         22,         76,        130,         34,         88,        142,         43,         97,        151,         52,        106,        160,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          5,         20,         10,         20,          5,          5,         10,         10,         -1,         -1,         -1,       1372,          0,         55,         -1,         -1,         -1,         -1,        341,       5207,         -1,         -1,       1799,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044366,         99,          1,    9044653,         99,          1,    9044654,         99,          1,    9044658,         99,          1,    9044655,         99,          1,         30,        242,    9044656,         99,          1,         15,        272, 
496 : NWD_00_E04_v0,        802,        238,          0,          0,          0,        368,        167,         41,          8,         21,         19,         14,          0,         20,         40,          0,          5,         59,        113,         14,         68,        122,         23,         77,        131,         35,         89,        143,         44,         98,        152,         53,        107,        161,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,         10,          5,         10,          5,          5,         20,         10,         -1,         -1,         -1,       1387,          0,         59,         -1,         -1,         -1,         -1,        350,       5239,         -1,         -1,       1989,        455,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044398,         99,          1,    8978434,         99,          1,    9109763,         99,          1,    9044675,         99,          1,    9044676,         99,          1,         30,        244,    9044677,         99,          1,         15,        274, 
497 : NWD_00_E04_v1,        805,        238,          0,          0,          0,        368,        167,         41,          8,         21,         19,         14,          0,         20,         40,          0,          5,         59,        113,         14,         68,        122,         23,         77,        131,         35,         89,        143,         44,         98,        152,         53,        107,        161,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         10,         10,          5,         10,          5,          5,         20,         10,         -1,         -1,         -1,       1387,          0,         59,         -1,         -1,         -1,         -1,        350,       5245,         -1,         -1,       1989,        455,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044398,         99,          2,    9044675,         99,          1,    9109763,         99,          1,    8978434,         99,          2,    9044676,         99,          1,         30,        244,    9044677,         99,          1,         15,        274, 
498 : NWD_99_E01,        654,        107,          1,          0,          1,        357,       2840,         42,          7,         26,         19,         18,          0,         20,         40,          0,          6,         60,        114,         12,         66,        120,         24,         78,        132,         36,         90,        144,         45,         99,        153,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,         10,         10,          5,         10,          5,         20,         -1,         -1,         -1,       1396,          0,         34,         -1,         -1,         -1,         -1,         15,          8,         -1,         -1,       1119,         -1,         -1,         -1,          1,          0,         -1,         -1,        255,    9044441,         99,          3,    9109615,         99,          1,    9044393,         99,          2,    9044568,         99,          1,    9044569,         99,          1,         30,        233,    9044570,         99,          1,         15,        263, 
499 : NWD_99_E02,        710,        155,          1,          0,          1,        361,       3420,         51,          9,         28,         14,         19,          0,         20,         40,          0,          6,         60,        114,         12,         66,        120,         24,         78,        132,         36,         90,        144,         45,         99,        153,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,          5,         20,         10,         10,          5,         20,         10,          5,         -1,         -1,         -1,       1442,          0,         44,         -1,         -1,         -1,         -1,         15,       5060,         -1,         -1,       1440,         -1,         -1,         -1,          1,          0,         -1,         -1,        255,    9044419,         99,          3,    9109671,         99,          1,    9044441,         99,          2,    9044604,         99,          1,    9044606,         99,          1,         30,        237,    9044607,         99,          1,         15,        267, 
500 : NWD_99_E03,        770,        206,          1,          0,          1,        365,       4740,         70,         13,         28,         21,         17,          0,         20,         40,          0,          6,         60,        114,         12,         66,        120,         24,         78,        132,         36,         90,        144,         45,         99,        153,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         10,         20,         10,          5,         20,         10,          5,         -1,         -1,         -1,       1380,          0,         52,         -1,         -1,         -1,         -1,         15,         10,         -1,         -1,       1746,         -1,         -1,         -1,          1,          0,    9109731,         99,          1,    9044441,         99,          3,    9044385,         99,          2,    9044108,         99,          1,    9044434,         99,          1,    9044646,         99,          1,         30,        241,    9044647,         99,          1,         15,        271, 
501 : GTN_01_E00_v0,        758,        200,          0,          0,          0,        365,        356,         71,         14,         22,         15,         16,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         10,         20,         10,          5,         20,         10,          5,         -1,         -1,         -1,       1365,          0,         52,         -1,         -1,         -1,         -1,        337,       5176,         -1,         -1,       1734,        455,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044385,         99,          1,    8978434,         99,          1,    9109719,         99,          1,    9044434,         99,          1,    9044646,         99,          1,         30,        241,    9044647,         99,          1,         15,        271, 
502 : GTN_01_E00_v1,        761,        200,          0,          0,          0,        365,        356,         71,         14,         22,         15,         16,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         10,         20,         10,          5,         20,         10,          5,         -1,         -1,         -1,       1365,          0,         52,         -1,         -1,         -1,         -1,        337,       5180,         -1,         -1,       1734,        455,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044385,         99,          2,    9044434,         99,          1,    9109719,         99,          1,    8978434,         99,          2,    9044646,         99,          1,         30,        241,    9044647,         99,          1,         15,        271, 
503 : GTN_01_E00_v2,        764,        200,          0,          0,          0,        365,        356,         71,         14,         22,         15,         16,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         10,         20,         10,          5,         20,         10,          5,         -1,         -1,         -1,       1365,          0,         52,         -1,         -1,         -1,         -1,        337,       5180,         -1,         -1,       1734,        455,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044385,         99,          3,    9044434,         99,          2,    9109719,         99,          1,    8978434,         99,          3,    9044646,         99,          1,         30,        241,    9044647,         99,          1,         15,        271, 
504 : GTN_01_E01_v0,        831,        265,          0,          0,          0,        370,        798,        152,         30,         25,         12,         17,          0,         20,         40,          0,          3,         57,        111,         12,         66,        120,         21,         75,        129,         33,         87,        141,         42,         96,        150,         51,        105,        159,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,          5,         10,         10,         10,          5,         20,         10,          5,         -1,         -1,         -1,       1445,          0,         63,         -1,         -1,         -1,         -1,        359,       5285,         -1,         -1,       2170,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044467,         99,          1,    9044408,         99,          1,    9109792,         99,          1,    9044695,         99,          1,    9044696,         99,          1,         30,        246,    9044697,         99,          1,         15,        276, 
505 : GTN_01_E02_v0,        852,        288,          0,          0,          0,        372,       6270,        836,        167,         30,         21,         19,          0,         20,         40,          0,          4,         58,        112,         13,         67,        121,         22,         76,        130,         34,         88,        142,         43,         97,        151,         52,        106,        160,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,         10,          5,         10,          5,         10,         20,          5,         -1,         -1,         -1,       1459,          0,         65,         -1,         -1,         -1,         -1,        367,       5321,        370,         -1,       2329,         -1,         -1,         -1,         -1,          0,         -1,         -1,        255,    9044437,         99,          1,    9109813,         99,          1,    9044442,         99,          1,    8978440,         99,          1,    9044714,         99,          1,         30,        248,    9044715,         99,          1,         30,        278, 
