           km_, km_check_num, km_btl_action, km_logic_ctrl_15, km_logic_ctrl_14, km_logic_ctrl_13, km_logic_ctrl_12, km_logic_ctrl_11, km_logic_ctrl_10, km_logic_ctrl_9, km_logic_ctrl_8, km_logic_ctrl_7, km_logic_ctrl_6, km_logic_ctrl_5, km_logic_ctrl_4, km_logic_ctrl_3, km_logic_ctrl_2, km_logic_ctrl_1, km_logic_ctrl_0,   km_ratio,    km_tgt1,   km_cond1,  km_arg1_1,  km_arg1_2,    km_tgt2,   km_cond2,  km_arg2_1,  km_arg2_2,    km_tgt3,   km_cond3,  km_arg3_1,  km_arg3_2,  km_ex_tgt, km_ex_cond, km_ex_arg_1, km_ex_arg_2, 
1804 :          @,          0,    9175147,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         25,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1805 :          @,          0,    9175152,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         25,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1806 :          @,          0,    4915203,          0,          0,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1807 :          @,          0,    4718595,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1808 :   atk_type,         52,    9175184,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,        100,         11,        429,          0,         30,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1809 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,        100,         11,        305,       2000,         -1,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1810 :          @,          0,    9175257,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          7,        441,         -1,         -1,          7,        448,    5570563,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1811 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          7,        429,          0,         30,          7,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1812 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          7,        305,       2000,         -1,          7,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1813 :          @,          0,    9175201,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,         11,        442,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1814 :          @,          0,    9175201,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,         11,        442,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1815 :          @,          0,    9175201,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,          7,        442,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1816 :          @,          0,    9175201,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,          7,        442,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1817 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,         11,        429,         30,         60,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1818 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,         11,        209,       1000,       2000,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1819 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,         30,         60,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1820 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,       1000,       2000,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1821 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,          0,         60,         11,         97,         -1,         -1,          1,        164,    9175197,         -1,         -1,         -1,         -1,         -1, 
1822 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,       1000,       2000,         11,         97,         -1,         -1,          1,        164,    9175197,         -1,         -1,         -1,         -1,         -1, 
1823 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,          7,        429,         30,         60,          7,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1824 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,          7,        209,       1000,       2000,          7,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1825 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,          7,        429,         30,         60,          7,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1826 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,          7,        209,       1000,       2000,          7,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1827 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,          7,        429,          0,         60,          7,         97,         -1,         -1,          1,        164,    9175197,         -1,         -1,         -1,         -1,         -1, 
1828 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,          7,        209,       1000,       2000,          7,         97,         -1,         -1,          1,        164,    9175197,         -1,         -1,         -1,         -1,         -1, 
1829 :          @,          0,    9175257,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        441,         -1,         -1,         11,        464,    5570571,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1830 :          @,          0,    9175257,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,         11,        441,         -1,         -1,         11,        464,    5570571,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1831 :          @,          0,    9175257,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,          7,        441,         -1,         -1,          7,        464,    5570571,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1832 :          @,          0,    9175257,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,          7,        441,         -1,         -1,          7,        464,    5570571,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1833 :          @,          0,    9175194,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         40,         11,        429,         60,         80,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1834 :          @,          0,    9175194,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         40,         11,        209,        500,       1000,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1835 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         11,        429,         60,         80,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1836 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         11,        209,        500,       1000,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1837 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,          0,         90,         11,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
1838 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,        500,       1000,         11,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
1839 :          @,          0,    9175194,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         40,          7,        429,         60,         80,          7,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1840 :          @,          0,    9175194,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         40,          7,        209,        500,       1000,          7,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1841 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          7,        429,         60,         80,          7,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1842 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          7,        209,        500,       1000,          7,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1843 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,          7,        429,          0,         90,          7,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
1844 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,          7,        209,        500,       1000,          7,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
1845 :          @,          0,    9175201,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         50,         11,        443,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1846 :          @,          0,    9175201,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,         11,        443,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1847 :          @,          0,    9175201,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         50,          7,        443,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1848 :          @,          0,    9175201,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         20,          7,        443,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1849 :          @,          0,    9175143,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,         50,          4,        158,         -1,         -1,         13,        427,         50,        999,          1,        261,    9175193,         -1,         -1,         -1,         -1,         -1, 
1850 :          @,          0,    9175148,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,         50,          4,        158,         -1,         -1,         13,        427,         50,        999,          1,        261,    9175193,         -1,         -1,         -1,         -1,         -1, 
1851 :          @,          0,    9175143,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         50,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,          1,        261,    9175193,         -1,         -1,         -1,         -1,         -1, 
1852 :          @,          0,    9175148,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         50,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,          1,        261,    9175193,         -1,         -1,         -1,         -1,         -1, 
1853 :          @,          0,    4915203,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,          1,        261,    9175193,         -1,         -1,         -1,         -1,         -1, 
1854 :          @,          0,    9175143,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         50,          4,        158,         -1,         -1,         13,        427,         50,        999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1855 :          @,          0,    9175148,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         50,          4,        158,         -1,         -1,         13,        427,         50,        999,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1856 :          @,          0,    9175143,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1857 :          @,          0,    9175148,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1858 :          @,          0,    4915203,          0,          0,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1859 :          @,          0,    4718595,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,          1,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1860 : atk_type_10_01,         15,    4915203,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          4,        158,         -1,         -1,          1,        164,    4915203,         -1,         11,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
1861 :          @,          0,    9175184,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          1,        100,         11,         97,         -1,         -1,         13,        426,          0,         30,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1862 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          1,        100,         11,         97,         -1,         -1,         13,        426,          0,         80,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
1863 :          @,          0,    9175184,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,          7,        429,          0,         30,          7,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1864 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          7,        429,          0,         80,          7,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
1865 :          @,          0,    9175143,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         50,          4,        158,         -1,         -1,          1,        152,   20381697,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1866 :          @,          0,    9175148,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         50,          4,        158,         -1,         -1,          1,        152,   20381701,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1867 :          @,          0,    9175153,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         50,          4,        158,         -1,         -1,          1,        152,   20381699,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1868 :          @,          0,    9175073,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         50,          4,        158,         -1,         -1,          1,        152,   20381700,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1869 :          @,          0,    9175073,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         50,          4,        158,         -1,         -1,          1,        152,   20381698,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1870 :          @,          0,    4915203,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,          4,        158,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1871 :          @,          0,    9175184,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,         11,         97,         -1,         -1,         13,        426,          0,         30,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1872 :          @,          0,    9175184,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,         11,         97,         -1,         -1,         13,        426,          0,         60,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1873 :          @,          0,    9175201,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,        100,         11,        441,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1874 :          @,          0,    9175194,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,         11,         97,         -1,         -1,         13,        426,          0,         80,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1875 :   atk_type,         53,    9175201,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         11,        443,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1876 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         11,        429,          0,         30,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1877 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         11,        305,       2000,         -1,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1878 :          @,          0,    9175257,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          7,        441,         -1,         -1,          7,        448,    5570563,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1879 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          7,        429,          0,         30,          7,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1880 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          7,        305,       2000,         -1,          7,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1881 :          @,          0,    9175201,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,         11,        442,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1882 :          @,          0,    9175201,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,         11,        442,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1883 :          @,          0,    9175201,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,        100,          7,        442,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1884 :          @,          0,    9175201,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,          7,        442,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1885 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,         11,        429,         30,         60,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1886 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,         11,        209,       1000,       2000,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1887 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,         30,         60,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1888 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,       1000,       2000,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1889 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,          0,         60,         11,         97,         -1,         -1,          1,        164,    9175197,         -1,         -1,         -1,         -1,         -1, 
1890 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,       1000,       2000,         11,         97,         -1,         -1,          1,        164,    9175197,         -1,         -1,         -1,         -1,         -1, 
1891 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,          7,        429,         30,         60,          7,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1892 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         67,          7,        209,       1000,       2000,          7,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1893 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,          7,        429,         30,         60,          7,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1894 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,          7,        209,       1000,       2000,          7,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1895 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,          7,        429,          0,         60,          7,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
1896 :          @,          0,    9175184,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,          7,        209,       1000,       2000,          7,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
1897 :          @,          0,    9175257,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,         11,        441,         -1,         -1,         13,        464,    5570571,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1898 :          @,          0,    9175257,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         30,         11,        441,         -1,         -1,         13,        464,    5570571,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1899 :          @,          0,    9175257,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,          7,        441,         -1,         -1,          7,        464,    5570571,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1900 :          @,          0,    9175257,          0,          0,          0,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,          7,        441,         -1,         -1,          7,        464,    5570571,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1901 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         40,         11,        429,         60,         80,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1902 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         40,         11,        209,        500,       1000,         11,         97,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
1903 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,         60,         80,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1904 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,        500,       1000,         11,         97,         -1,         -1,          1,        149,    5505718,         -1,         -1,         -1,         -1,         -1, 
1905 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        429,          0,         90,         11,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
1906 :          @,          0,    9175185,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,        100,         11,        209,        500,       1000,         11,         97,         -1,         -1,          1,        164,    9175043,         -1,         -1,         -1,         -1,         -1, 
