           km_, km_is01_exp, km_is01_exp2, km_is01_lv, km_is02_exp, km_is02_exp2, km_is02_lv, km_is03_exp, km_is03_exp2, km_is03_lv, km_is04_exp, km_is04_exp2, km_is04_lv, km_is05_exp, km_is05_exp2, km_is05_lv, km_is06_exp, km_is06_exp2, km_is06_lv, km_is07_exp, km_is07_exp2, km_is07_lv, km_is08_exp, km_is08_exp2, km_is08_lv, km_is09_exp, km_is09_exp2, km_is09_lv, km_is10_exp, km_is10_exp2, km_is10_lv, km_is11_exp, km_is11_exp2, km_is11_lv, km_is12_exp, km_is12_exp2, km_is12_lv, km_is13_exp, km_is13_exp2, km_is13_lv, km_is14_exp, km_is14_exp2, km_is14_lv, km_is15_exp, km_is15_exp2, km_is15_lv, km_is16_exp, km_is16_exp2, km_is16_lv, 
173 : btl_free_npc_105_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
174 : btl_free_npc_073_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
175 : btl_free_npc_073_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
176 : btl_free_npc_073_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
177 : btl_free_npc_073_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
178 : btl_free_npc_073_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
179 : btl_free_npc_073_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
180 : btl_free_npc_017_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
181 : btl_free_npc_017_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
182 : btl_free_npc_017_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
183 : btl_free_npc_017_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
184 : btl_free_npc_017_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
185 : btl_free_npc_017_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
186 : btl_free_npc_043_item_yakusou,         47,          0,          3,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
187 : btl_free_npc_043_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
188 : btl_free_npc_043_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
189 : btl_free_npc_043_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
190 : btl_free_npc_043_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
191 : btl_free_npc_043_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
192 : btl_free_npc_132_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
193 : btl_free_npc_132_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
194 : btl_free_npc_132_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
195 : btl_free_npc_132_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
196 : btl_free_npc_132_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
197 : btl_free_npc_132_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
198 : btl_free_npc_151_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
199 : btl_free_npc_151_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
200 : btl_free_npc_151_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
201 : btl_free_npc_151_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
202 : btl_free_npc_151_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
203 : btl_free_npc_151_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
204 : btl_free_npc_031_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
205 : btl_free_npc_031_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
206 : btl_free_npc_031_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
207 : btl_free_npc_031_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
208 : btl_free_npc_031_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
209 : btl_free_npc_031_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
210 : btl_pc_loki_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
211 : btl_pc_loki_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
212 : btl_pc_loki_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
213 : btl_pc_loki_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
214 : btl_pc_loki_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
215 : btl_pc_loki_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
216 : btl_free_npc_296_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
217 : btl_free_npc_296_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
218 : btl_free_npc_296_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
219 : btl_free_npc_296_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
220 : btl_free_npc_296_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
221 : btl_free_npc_296_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
222 : btl_free_npc_276_item_yakusou,         14,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
223 : btl_free_npc_276_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
224 : btl_free_npc_276_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
225 : btl_free_npc_276_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
226 : btl_free_npc_276_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
227 : btl_free_npc_276_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
228 : btl_free_npc_179_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
229 : btl_free_npc_179_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
230 : btl_free_npc_179_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
231 : btl_free_npc_179_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
232 : btl_free_npc_179_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
233 : btl_free_npc_179_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
234 : btl_free_npc_165_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
235 : btl_free_npc_165_item_potion,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
236 : btl_free_npc_165_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
237 : btl_free_npc_165_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
238 : btl_free_npc_165_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
239 : btl_free_npc_165_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
240 : btl_free_npc_188_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
241 : btl_free_npc_188_item_potion,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
242 : btl_free_npc_188_item_nuri,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
243 : btl_free_npc_188_item_bakuyaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
244 : btl_free_npc_188_item_mahen,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
245 : btl_free_npc_188_item_special,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
246 : btl_free_npc_046_item_yakusou,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
