           km_,   km_namen,    km_help, km_st_type_st_type_15, km_st_type_st_type_14, km_st_type_st_type_13, km_st_type_st_type_12, km_st_type_st_type_11, km_st_type_st_type_10, km_st_type_st_type_9, km_st_type_st_type_8, km_st_type_st_type_7, km_st_type_st_type_6, km_st_type_st_type_5, km_st_type_st_type_4, km_st_type_st_type_3, km_st_type_st_type_2, km_st_type_st_type_1, km_st_type_st_type_0,   km_count, km_st_clr_st_clr_15, km_st_clr_st_clr_14, km_st_clr_st_clr_13, km_st_clr_st_clr_12, km_st_clr_st_clr_11, km_st_clr_st_clr_10, km_st_clr_st_clr_9, km_st_clr_st_clr_8, km_st_clr_st_clr_7, km_st_clr_st_clr_6, km_st_clr_st_clr_5, km_st_clr_st_clr_4, km_st_clr_st_clr_3, km_st_clr_st_clr_2, km_st_clr_st_clr_1, km_st_clr_st_clr_0,   km_stchk, km_st_seigyo_st_seigyo_15, km_st_seigyo_st_seigyo_14, km_st_seigyo_st_seigyo_13, km_st_seigyo_st_seigyo_12, km_st_seigyo_st_seigyo_11, km_st_seigyo_st_seigyo_10, km_st_seigyo_st_seigyo_9, km_st_seigyo_st_seigyo_8, km_st_seigyo_st_seigyo_7, km_st_seigyo_st_seigyo_6, km_st_seigyo_st_seigyo_5, km_st_seigyo_st_seigyo_4, km_st_seigyo_st_seigyo_3, km_st_seigyo_st_seigyo_2, km_st_seigyo_st_seigyo_1, km_st_seigyo_st_seigyo_0, km_act_ctrl_act_ctrl_31, km_act_ctrl_act_ctrl_30, km_act_ctrl_act_ctrl_29, km_act_ctrl_act_ctrl_28, km_act_ctrl_act_ctrl_27, km_act_ctrl_act_ctrl_26, km_act_ctrl_act_ctrl_25, km_act_ctrl_act_ctrl_24, km_act_ctrl_act_ctrl_23, km_act_ctrl_act_ctrl_22, km_act_ctrl_act_ctrl_21, km_act_ctrl_act_ctrl_20, km_act_ctrl_act_ctrl_19, km_act_ctrl_act_ctrl_18, km_act_ctrl_act_ctrl_17, km_act_ctrl_act_ctrl_16, km_act_ctrl_act_ctrl_15, km_act_ctrl_act_ctrl_14, km_act_ctrl_act_ctrl_13, km_act_ctrl_act_ctrl_12, km_act_ctrl_act_ctrl_11, km_act_ctrl_act_ctrl_10, km_act_ctrl_act_ctrl_9, km_act_ctrl_act_ctrl_8, km_act_ctrl_act_ctrl_7, km_act_ctrl_act_ctrl_6, km_act_ctrl_act_ctrl_5, km_act_ctrl_act_ctrl_4, km_act_ctrl_act_ctrl_3, km_act_ctrl_act_ctrl_2, km_act_ctrl_act_ctrl_1, km_act_ctrl_act_ctrl_0, km_prog_id_status_turn, km_prog_id_status_count, km_prog_id_status_prog, km_prog_id_status_prog_off, km_sort_id, km_menu_unitstatusinfo_on_text_id, km_menu_unitstatusinfo_on_text_id_one, km_menu_unitstatusinfo_off_text_id, km_menu_unitstatusinfo_off_text_id_one, km_enu_sequence_off_text_id, km_rend_model, km_rend_model_motion, km_font_pop_model, km_font_pop_model_mons, km_sp_script_id, km_sp_logic_id, km_unit_logic_act_no_target, km_unit_act_off, km_multi_react_off, km_unit_sp_damage_to_death_odds, km_unit_actx5, km_unit_invi_physics_num, km_unit_invi_magic_num, km_unit_offset_minus_damage, km_union_jin_offset, km_union_jin_no_vanguard, km_union_logic_act_target_change, km_union_logic_come_target, km_union_logic_no_lockup, km_union_offset_str, km_union_offset_int, km_union_offset_spd, km_union_offset_eq_ap, km_union_offset_eq_ac, km_union_offset_eq_guard, km_union_offset_apc, km_union_offset_act_ct_odds, km_union_offset_plus_damage, km_union_offset_minus_damage, 
24 : union_status_025,         89,        129,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         24,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        201,        202,         82,         -1,          0,         -1,          0,         -1,         36,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         10,         10,          8,          8,          8,          0,         40,         30,          0, 
25 : union_status_026,         90,        130,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         25,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        203,        204,         83,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -2,         -2,         -2,          0,          0,          0,          0,          0,          0,          0, 
26 : union_status_027,         91,        131,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         26,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        203,        204,         84,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -4,         -4,         -4,         -4,         -4,         -4,          0,        -10,          0,         30, 
27 : union_status_028,         92,        132,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         27,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        203,        204,         85,         -1,          0,         -1,          0,         -1,         39,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -6,         -6,         -6,         -8,         -8,         -8,          0,        -20,          0,         50, 
28 : union_status_029,         93,        133,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         28,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
29 : union_status_030,         94,        134,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         29,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
30 : union_status_031,         95,        135,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
31 : union_status_032,         96,        136,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         31,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
32 : union_status_033,         97,        137,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         32,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
33 : union_status_034,         98,        138,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         33,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
34 : union_status_035,         99,        139,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         34,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
35 : union_status_036,        100,        140,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         35,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
36 : union_status_037,        101,        141,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         36,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
37 : union_status_038,        102,        142,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         37,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
38 : union_status_039,        103,        143,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         38,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
39 : union_status_040,        104,        144,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         39,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
40 : union_status_041,        105,        145,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         40,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
41 : union_status_042,        106,        146,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
42 : union_status_043,        107,        147,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         42,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,        255,        255,        255,          0,         -1,          0,         -1,          0,         -1,         -1,          0,         -1,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
43 : union_status_044,        108,        148,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         43,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        205,        206,         50,         -1,          0,         27,          1,         -1,         -1,          0,        210,        594,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         30,          0,          0,          0, 
44 : union_status_045,        109,        149,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         44,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        207,        208,         51,         -1,          0,         28,          1,         -1,         -1,          0,        211,        595,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        -30,          0,          0,          0, 
45 : union_status_046,        110,        150,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         45,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        209,        210,         52,         -1,          0,         29,          1,         -1,         37,          0,        212,        596,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         15,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
46 : union_status_047,        111,        151,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         46,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        211,        212,         53,         -1,          0,         30,          1,         -1,         38,          0,        213,        597,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        -15,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
47 : union_status_048,        112,        152,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         47,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        213,        214,         54,         -1,          0,         31,          1,         -1,         37,          0,        214,        598,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         15,          0,          0,          0,          0,          0,          0,          0,          0, 
48 : union_status_049,        113,        153,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         48,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        215,        216,         55,         -1,          0,         32,          1,         -1,         38,          0,        215,        599,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        -15,          0,          0,          0,          0,          0,          0,          0,          0, 
49 : union_status_050,        114,        154,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         49,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        217,        218,         56,         -1,          0,         33,          1,         -1,         37,          0,        216,        600,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         15,          0,          0,          0,          0,          0,          0,          0, 
50 : union_status_051,        115,        155,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        219,        220,         57,         -1,          0,         34,          1,         -1,         38,          0,        217,        601,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        -15,          0,          0,          0,          0,          0,          0,          0, 
51 : union_status_052,        116,        156,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         51,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        221,        222,         60,         -1,          0,         35,          1,         -1,         37,          0,        218,        602,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         15,          0,          0,          0,          0,          0,          0, 
52 : union_status_053,        117,        157,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         52,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        223,        224,         61,         -1,          0,         36,          1,         -1,         38,          0,        219,        603,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        -15,          0,          0,          0,          0,          0,          0, 
53 : union_status_054,        118,        158,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         53,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        225,        226,         62,         -1,          0,         37,          1,         -1,         37,          0,        220,        604,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         15,          0,          0,          0,          0,          0, 
54 : union_status_055,        119,        159,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          3,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         54,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        241,        255,        227,        228,         63,         -1,          0,         38,          1,         -1,         38,          0,        221,        605,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        -15,          0,          0,          0,          0,          0, 
