           km_,   km_namen,    km_help, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell,  km_no_buy, km_no_menu, km_mons_dissec, km_continue_count, 
260 : gem_jewel_016,        261,        261,         10,         52,       4215,     315000,       3150,          0,          0,          0,          0,        100, 
261 : gem_jewel_017,        262,        262,         10,         52,       4216,     315000,       3150,          0,          0,          0,          0,        100, 
262 : gem_jewel_018,        263,        263,         10,         52,       4217,     315000,       3150,          0,          0,          0,          0,        100, 
263 : gem_jewel_019,        264,        264,         10,         52,       4218,     360000,       3600,          0,          0,          0,          0,        100, 
264 : gem_jewel_020,        265,        265,         10,         52,       4219,     360000,       3600,          0,          0,          0,          0,        100, 
265 : gem_jewel_021,        266,        266,         10,         52,       4220,     495000,       4950,          0,          0,          0,          0,        100, 
266 : gem_jewel_022,        267,        267,         10,         52,       4221,     495000,       4950,          0,          0,          0,          0,        100, 
267 : ores_normal_001,        268,        268,         10,         52,       5000,        300,          3,          0,          0,          0,          0,        100, 
268 : ores_normal_002,        269,        269,         10,         52,       5001,        600,          6,          0,          0,          0,          0,        100, 
269 : ores_normal_003,        270,        270,         10,         52,       5002,        900,          9,          0,          0,          0,          0,        100, 
270 : ores_normal_004,        271,        271,         10,         52,       5003,       1500,         15,          0,          0,          0,          0,        100, 
271 : ores_normal_005,        272,        272,         10,         52,       5004,       1800,         18,          0,          0,          0,          0,        100, 
272 : ores_normal_006,        273,        273,         10,         52,       5005,       2100,         21,          0,          0,          0,          0,        100, 
273 : ores_normal_007,        274,        274,         10,         52,       5006,       2400,         24,          0,          0,          0,          0,        100, 
274 : ores_normal_008,        275,        275,         10,         52,       5007,       2400,         24,          0,          0,          0,          0,        100, 
275 : ores_rare_001,        276,        276,         10,         52,       5100,        600,          6,          0,          0,          0,          0,        100, 
276 : ores_rare_002,        277,        277,         10,         52,       5101,       2400,         24,          0,          0,          0,          0,        100, 
277 : ores_rare_003,        278,        278,         10,         52,       5102,       3000,         30,          0,          0,          0,          0,        100, 
278 : ores_rare_004,        279,        279,         10,         52,       5103,       3600,         36,          0,          0,          0,          0,        100, 
279 : ores_rare_005,        280,        280,         10,         52,       5104,       4200,         42,          0,          0,          0,          0,        100, 
280 : ores_rare_006,        281,        281,         10,         52,       5105,       4800,         48,          0,          0,          0,          0,        100, 
281 : ores_rare_007,        282,        282,         10,         52,       5106,       6600,         66,          0,          0,          0,          0,        100, 
282 : ores_rare_008,        283,        283,         10,         52,       5107,       7800,         78,          0,          0,          0,          0,        100, 
283 : ores_uniq_001,        284,        284,         10,         52,       5200,         30,          1,          0,          0,          0,          0,        100, 
284 : ores_uniq_002,        285,        285,         10,         52,       5201,        800,          8,          0,          0,          0,          0,        100, 
285 : ores_uniq_003,        286,        286,         10,         52,       5202,       1200,         12,          0,          0,          0,          0,        100, 
286 : ores_uniq_004,        287,        287,         10,         52,       5203,       1600,         16,          0,          0,          0,          0,        100, 
287 : ores_uniq_005,        288,        288,         10,         52,       5204,       2000,         20,          0,          0,          0,          0,        100, 
288 : ores_uniq_006,        289,        289,         10,         52,       5205,       2400,         24,          0,          0,          0,          0,        100, 
289 : ores_uniq_007,        290,        290,         10,         52,       5206,       2800,         28,          0,          0,          0,          0,        100, 
290 : ores_crystal_001,        291,        291,         10,         52,       5300,      12000,        120,          0,          0,          0,          0,        100, 
291 : ores_crystal_002,        292,        292,         10,         52,       5301,      12000,        120,          0,          0,          0,          0,        100, 
292 : ores_crystal_003,        293,        293,         10,         52,       5302,      12000,        120,          0,          0,          0,          0,        100, 
293 : ores_crystal_004,        294,        294,         10,         52,       5303,      12000,        120,          0,          0,          0,          0,        100, 
294 : ores_crystal_005,        295,        295,         10,         52,       5304,      14000,        140,          0,          0,          0,          0,        100, 
295 : metal_normal_001,        296,        296,         12,         54,       6000,       1500,         15,          0,          0,          0,          0,        100, 
296 : metal_normal_002,        297,        297,         12,         54,       6001,       3000,         30,          0,          0,          0,          0,        100, 
297 : metal_normal_003,        298,        298,         12,         54,       6002,       4500,         45,          0,          0,          0,          0,        100, 
298 : metal_normal_004,        299,        299,         12,         54,       6003,       6000,         60,          0,          0,          0,          0,        100, 
299 : metal_normal_005,        300,        300,         12,         54,       6004,       7500,         75,          0,          0,          0,          0,        100, 
300 : metal_normal_006,        301,        301,         12,         54,       6005,       9000,         90,          0,          0,          0,          0,        100, 
301 : metal_normal_007,        302,        302,         12,         54,       6006,      10500,        105,          0,          0,          0,          0,        100, 
302 : metal_normal_008,        303,        303,         12,         54,       6007,      12000,        120,          0,          0,          0,          0,        100, 
303 : metal_rare_004,        304,        304,         12,         54,       6103,      12000,        120,          0,          0,          0,          0,        100, 
304 : metal_rare_005,        305,        305,         12,         54,       6104,      15000,        150,          0,          0,          0,          0,        100, 
305 : metal_rare_006,        306,        306,         12,         54,       6105,      18000,        180,          0,          0,          0,          0,        100, 
306 : metal_rare_007,        307,        307,         12,         54,       6106,      21000,        210,          0,          0,          0,          0,        100, 
307 : metal_rare_008,        308,        308,         12,         54,       6107,      39000,        390,          0,          0,          0,          0,        100, 
308 : molder_eq_normal_001,        309,        309,         15,         57,       7000,        375,          4,          0,          0,          0,          0,        100, 
309 : molder_eq_normal_002,        310,        310,         15,         57,       7001,        375,          4,          0,          0,          0,          0,        100, 
310 : molder_eq_normal_003,        311,        311,         15,         57,       7002,        375,          4,          0,          0,          0,          0,        100, 
311 : molder_eq_normal_004,        312,        312,         15,         57,       7003,        375,          4,          0,          0,          0,          0,        100, 
312 : molder_eq_normal_005,        313,        313,         15,         57,       7004,        375,          4,          0,          0,          0,          0,        100, 
313 : molder_eq_normal_006,        314,        314,         15,         57,       7005,        375,          4,          0,          0,          0,          0,        100, 
314 : molder_eq_normal_007,        315,        315,         15,         57,       7006,        375,          4,          0,          0,          0,          0,        100, 
315 : molder_eq_normal_008,        316,        316,         15,         57,       7007,        450,          5,          0,          0,          0,          0,        100, 
316 : molder_eq_normal_009,        317,        317,         15,         57,       7008,        450,          5,          0,          0,          0,          0,        100, 
317 : molder_eq_normal_010,        318,        318,         15,         57,       7009,        450,          5,          0,          0,          0,          0,        100, 
318 : molder_eq_normal_011,        319,        319,         15,         57,       7010,        450,          5,          0,          0,          0,          0,        100, 
319 : molder_eq_normal_012,        320,        320,         15,         57,       7011,        450,          5,          0,          0,          0,          0,        100, 
320 : molder_eq_normal_013,        321,        321,         15,         57,       7012,        450,          5,          0,          0,          0,          0,        100, 
321 : molder_eq_normal_014,        322,        322,         15,         57,       7013,        450,          5,          0,          0,          0,          0,        100, 
322 : molder_eq_rare_001,        323,        323,         15,         57,       7100,       1050,         11,          0,          0,          0,          0,        100, 
323 : molder_eq_rare_002,        324,        324,         15,         57,       7101,       1050,         11,          0,          0,          0,          0,        100, 
324 : molder_eq_rare_003,        325,        325,         15,         57,       7102,       1050,         11,          0,          0,          0,          0,        100, 
325 : molder_eq_rare_004,        326,        326,         15,         57,       7103,       1050,         11,          0,          0,          0,          0,        100, 
326 : molder_eq_rare_005,        327,        327,         15,         57,       7104,       1050,         11,          0,          0,          0,          0,        100, 
327 : molder_eq_rare_006,        328,        328,         15,         57,       7105,       1050,         11,          0,          0,          0,          0,        100, 
328 : molder_eq_rare_007,        329,        329,         15,         57,       7106,       1050,         11,          0,          0,          0,          0,        100, 
329 : molder_eq_rare_008,        330,        330,         15,         57,       7107,       1200,         12,          0,          0,          0,          0,        100, 
330 : molder_eq_rare_009,        331,        331,         15,         57,       7108,       1200,         12,          0,          0,          0,          0,        100, 
331 : molder_eq_rare_010,        332,        332,         15,         57,       7109,       1200,         12,          0,          0,          0,          0,        100, 
332 : molder_eq_rare_011,        333,        333,         15,         57,       7110,       1650,         17,          0,          0,          0,          0,        100, 
333 : molder_eq_rare_012,        334,        334,         15,         57,       7111,       1650,         17,          0,          0,          0,          0,        100, 
334 : molder_eq_rare_013,        335,        335,         15,         57,       7112,       1950,         20,          0,          0,          0,          1,        100, 
335 : molder_eq_rare_014,        336,        336,         15,         57,       7113,       1950,         20,          0,          0,          0,          1,        100, 
336 : salvage_crock_002,        337,        337,         15,         57,       9201,        140,          1,          0,          0,          0,          0,        100, 
337 : salvage_crock_003,        338,        338,         15,         57,       9202,        210,          2,          0,          0,          0,          0,        100, 
338 : salvage_crock_004,        339,        339,         15,         57,       9203,        280,          3,          0,          0,          0,          0,        100, 
339 : salvage_crock_005,        340,        340,         15,         57,       9204,        350,          4,          0,          0,          0,          0,        100, 
340 : salvage_crock_006,        341,        341,         15,         57,       9205,        420,          4,          0,          0,          0,          0,        100, 
341 : salvage_crock_008,        342,        342,         15,         57,       9207,        560,          6,          0,          0,          0,          0,        100, 
342 : salvage_book_003,        343,        343,         15,         57,       9302,        900,          9,          0,          0,          0,          0,        100, 
343 : salvage_book_005,        344,        344,         15,         57,       9304,       1500,         15,          0,          0,          0,          0,        100, 
344 : salvage_book_007,        345,        345,         15,         57,       9306,       2100,         21,          0,          0,          0,          0,        100, 
345 : salvage_book_008,        346,        346,         15,         57,       9307,       3900,         39,          0,          0,          0,          0,        100, 
346 : salvage_dish_002,        347,        347,         15,         57,       9401,       1000,         10,          0,          0,          0,          0,        100, 
347 : salvage_dish_005,        348,        348,         15,         57,       9404,       2500,         25,          0,          0,          0,          0,        100, 
348 : salvage_dish_006,        349,        349,         15,         57,       9405,       3000,         30,          0,          0,          0,          0,        100, 
349 : salvage_dish_008,        350,        350,         15,         57,       9407,       5500,         55,          0,          0,          0,          0,        100, 
350 : salvage_coin_001,        351,        351,         15,         57,       9500,        130,          1,          0,          0,          0,          0,        100, 
351 : salvage_coin_003,        352,        352,         15,         57,       9502,        390,          4,          0,          0,          0,          0,        100, 
352 : salvage_coin_004,        353,        353,         15,         57,       9503,        520,          5,          0,          0,          0,          0,        100, 
353 : salvage_coin_006,        354,        354,         15,         57,       9505,        780,          8,          0,          0,          0,          0,        100, 
354 : salvage_coin_007,        355,        355,         15,         57,       9506,        910,          9,          0,          0,          0,          0,        100, 
355 : salvage_coin_008,        356,        356,         15,         57,       9507,       1690,         17,          0,          0,          0,          0,        100, 
356 : plant_root_002,        357,        357,         11,         53,      10001,        160,          2,          0,          0,          0,          0,        100, 
357 : plant_root_005,        358,        358,         11,         53,      10004,        400,          4,          0,          0,          0,          0,        100, 
358 : plant_root_007,        359,        359,         11,         53,      10006,        560,          6,          0,          0,          0,          0,        100, 
359 : plant_grass_001,        360,        360,         11,         53,      10100,         30,          1,          0,          0,          0,          0,        100, 
360 : plant_grass_004,        361,        361,         11,         53,      10103,        120,          1,          0,          0,          0,          0,        100, 
361 : plant_grass_006,        362,        362,         11,         53,      10105,        180,          2,          0,          0,          0,          0,        100, 
362 : plant_string_001,        363,        363,         11,         53,      10200,         40,          1,          0,          0,          0,          0,        100, 
363 : plant_string_003,        364,        364,         11,         53,      10202,        120,          1,          0,          0,          0,          0,        100, 
364 : plant_string_005,        365,        365,         11,         53,      10204,        200,          2,          0,          0,          0,          0,        100, 
365 : plant_string_008,        366,        366,         11,         53,      10207,        320,          3,          0,          0,          0,          0,        100, 
366 : plant_fruit_002,        367,        367,         11,         53,      10301,        150,          2,          0,          0,          0,          0,        100, 
367 : plant_fruit_004,        368,        368,         11,         53,      10303,        300,          3,          0,          0,          0,          0,        100, 
368 : plant_fruit_007,        369,        369,         11,         53,      10306,        525,          5,          0,          0,          0,          0,        100, 
369 : plant_bloom_003,        370,        370,         11,         53,      10402,        360,          4,          0,          0,          0,          0,        100, 
370 : plant_bloom_005,        371,        371,         11,         53,      10404,        600,          6,          0,          0,          0,          0,        100, 
371 : plant_bloom_007,        372,        372,         11,         53,      10406,        840,          8,          0,          0,          0,          0,        100, 
372 : plant_wood_001,        373,        373,         11,         53,      10500,        600,          6,          0,          0,          0,          0,        100, 
373 : plant_wood_003,        374,        374,         11,         53,      10502,       1800,         18,          0,          0,          0,          0,        100, 
374 : plant_wood_004,        375,        375,         11,         53,      10503,       2400,         24,          0,          0,          0,          0,        100, 
375 : plant_wood_006,        376,        376,         11,         53,      10505,       3600,         36,          0,          0,          0,          0,        100, 
376 : plant_wood_008,        377,        377,         11,         53,      10507,       5400,         54,          0,          0,          0,          0,        100, 
377 : plant_seed_001,        378,        378,         11,         53,      10600,        480,          5,          0,          0,          0,          0,        100, 
378 : plant_seed_002,        379,        379,         11,         53,      10601,        960,         10,          0,          0,          0,          0,        100, 
379 : plant_seed_007,        380,        380,         11,         53,      10606,       3360,         34,          0,          0,          0,          0,        100, 
380 : plant_leaf_002,        381,        381,         11,         53,      10701,        320,          3,          0,          0,          0,          0,        100, 
381 : plant_leaf_004,        382,        382,         11,         53,      10703,        640,          6,          0,          0,          0,          0,        100, 
382 : plant_leaf_005,        383,        383,         11,         53,      10704,        800,          8,          0,          0,          0,          0,        100, 
383 : plant_cotton_003,        384,        384,         11,         53,      10802,       1950,         20,          0,          0,          0,          0,        100, 
384 : plant_cotton_005,        385,        385,         11,         53,      10804,       3250,         33,          0,          0,          0,          0,        100, 
385 : plant_cotton_007,        386,        386,         11,         53,      10806,       4550,         46,          0,          0,          0,          0,        100, 
386 : nature_water_002,        387,        387,         13,         55,      11001,        330,          3,          0,          0,          0,          0,        100, 
387 : nature_water_004,        388,        388,         13,         55,      11003,        660,          7,          0,          0,          0,          0,        100, 
388 : nature_water_005,        389,        389,         13,         55,      11004,        825,          8,          0,          0,          0,          0,        100, 
389 : nature_water_007,        390,        390,         13,         55,      11006,       1155,         12,          0,          0,          0,          0,        100, 
390 : nature_oil_001,        391,        391,         13,         55,      11100,        580,          6,          0,          0,          0,          0,        100, 
391 : nature_oil_004,        392,        392,         13,         55,      11103,       2320,         23,          0,          0,          0,          0,        100, 
392 : nature_oil_006,        393,        393,         13,         55,      11105,       3480,         35,          0,          0,          0,          0,        100, 
393 : nature_oil_008,        394,        394,         13,         55,      11107,       4640,         46,          0,          0,          0,          0,        100, 
394 : nature_gas_003,        395,        395,         13,         55,      11202,       3150,         32,          0,          0,          0,          0,        100, 
395 : nature_gas_005,        396,        396,         13,         55,      11204,       5250,         53,          0,          0,          0,          0,        100, 
396 : nature_gas_007,        397,        397,         13,         55,      11206,       7350,         74,          0,          0,          0,          0,        100, 
397 : nature_shell_002,        398,        398,         13,         55,      11301,        440,          4,          0,          0,          0,          0,        100, 
398 : nature_shell_004,        399,        399,         13,         55,      11303,        880,          9,          0,          0,          0,          0,        100, 
399 : nature_shell_006,        400,        400,         13,         55,      11305,       1320,         13,          0,          0,          0,          0,        100, 
400 : nature_shell_008,        401,        401,         13,         55,      11307,       2420,         24,          0,          0,          0,          0,        100, 
401 : nature_bug_003,        402,        402,         13,         55,      11402,        960,         10,          0,          0,          0,          0,        100, 
402 : nature_bug_005,        403,        403,         13,         55,      11404,       1600,         16,          0,          0,          0,          0,        100, 
403 : nature_bug_008,        404,        404,         13,         55,      11407,       3520,         35,          0,          0,          0,          0,        100, 
404 : nature_cloth_003,        405,        405,         13,         57,      11502,      10500,        105,          0,          0,          0,          0,        100, 
405 : nature_cloth_005,        406,        406,         13,         57,      11504,      17500,        175,          0,          0,          0,          0,        100, 
406 : nature_cloth_006,        407,        407,         13,         57,      11505,      21000,        210,          0,          0,          0,          0,        100, 
407 : nature_cloth_007,        408,        408,         13,         57,      11506,      24500,        245,          0,          0,          0,          0,        100, 
408 : brute_carapace_003,        409,        409,         14,         56,      13002,       1260,         13,          0,          0,          0,          0,        100, 
409 : brute_carapace_005,        410,        410,         14,         56,      13004,       2100,         21,          0,          0,          0,          1,        100, 
410 : brute_carapace_008,        411,        411,         14,         56,      13007,       3360,         34,          0,          0,          0,          1,        100, 
411 : brute_husk_002,        412,        412,         14,         56,      13101,        680,          7,          0,          0,          0,          0,        100, 
412 : brute_husk_004,        413,        413,         14,         56,      13103,       1360,         14,          0,          0,          0,          0,        100, 
413 : brute_husk_007,        414,        414,         14,         56,      13106,       2380,         24,          0,          0,          0,          1,        100, 
414 : brute_coat_001,        415,        415,         14,         56,      13200,        165,          2,          0,          0,          0,          1,        100, 
415 : brute_coat_004,        416,        416,         14,         56,      13203,        660,          7,          0,          0,          0,          0,        100, 
416 : brute_shuck_002,        417,        417,         14,         56,      13301,        620,          6,          0,          0,          0,          0,        100, 
417 : brute_shuck_005,        418,        418,         14,         56,      13304,       1550,         16,          0,          0,          0,          0,        100, 
418 : brute_fur_001,        419,        419,         14,         56,      13400,        345,          3,          0,          0,          0,          0,        100, 
419 : brute_fur_003,        420,        420,         14,         56,      13402,       1035,         10,          0,          0,          0,          0,        100, 
420 : brute_fur_006,        421,        421,         14,         56,      13405,       2070,         21,          0,          0,          0,          0,        100, 
421 : brute_leather_002,        422,        422,         14,         56,      13501,        470,          5,          0,          0,          0,          0,        100, 
422 : brute_leather_004,        423,        423,         14,         56,      13503,        940,          9,          0,          0,          0,          0,        100, 
423 : brute_leather_007,        424,        424,         14,         56,      13506,       1645,         16,          0,          0,          0,          0,        100, 
424 : brute_squama_002,        425,        425,         14,         56,      13601,        350,          4,          0,          0,          0,          0,        100, 
425 : brute_squama_005,        426,        426,         14,         56,      13604,        875,          9,          0,          0,          0,          0,        100, 
426 : brute_squama_007,        427,        427,         14,         56,      13606,       1225,         12,          0,          0,          0,          0,        100, 
427 : brute_angle_001,        428,        428,         14,         56,      13700,        150,          2,          0,          0,          0,          0,        100, 
428 : brute_angle_003,        429,        429,         14,         56,      13702,        450,          5,          0,          0,          0,          0,        100, 
429 : brute_fang_001,        430,        430,         14,         56,      13800,        155,          2,          0,          0,          0,          0,        100, 
430 : brute_fang_004,        431,        431,         14,         56,      13803,        620,          6,          0,          0,          0,          0,        100, 
431 : brute_bone_001,        432,        432,         14,         56,      13900,         85,          1,          0,          0,          0,          0,        100, 
432 : brute_bone_003,        433,        433,         14,         56,      13902,        255,          3,          0,          0,          0,          0,        100, 
433 : brute_bone_004,        434,        434,         14,         56,      13903,        340,          3,          0,          0,          0,          0,        100, 
434 : brute_bone_006,        435,        435,         14,         56,      13905,        510,          5,          0,          0,          0,          0,        100, 
435 : brute_bone_008,        436,        436,         14,         56,      13907,       1105,         11,          0,          0,          0,          0,        100, 
436 : brute_claw_002,        437,        437,         14,         56,      14001,        240,          2,          0,          0,          0,          0,        100, 
437 : brute_claw_007,        438,        438,         14,         56,      14006,        840,          8,          0,          0,          0,          0,        100, 
438 : brute_feather_001,        439,        439,         14,         56,      14300,        135,          1,          0,          0,          0,          0,        100, 
439 : brute_feather_003,        440,        440,         14,         56,      14302,        405,          4,          0,          0,          0,          0,        100, 
440 : brute_feather_006,        441,        441,         14,         56,      14305,        810,          8,          0,          0,          0,          0,        100, 
441 : brute_flesh_002,        442,        442,         14,         56,      14801,       1200,         12,          0,          0,          0,          1,        100, 
442 : brute_flesh_005,        443,        443,         14,         56,      14804,       3000,         30,          0,          0,          0,          1,        100, 
443 : brute_humoral_001,        444,        444,         14,         56,      14900,        780,          8,          0,          0,          0,          1,        100, 
444 : brute_humoral_003,        445,        445,         14,         56,      14902,       2340,         23,          0,          0,          0,          1,        100, 
445 : brute_humoral_004,        446,        446,         14,         56,      14903,       3120,         31,          0,          0,          0,          1,        100, 
446 : brute_humoral_007,        447,        447,         14,         56,      14906,       5460,         55,          0,          0,          0,          1,        100, 
447 : brute_egg_001,        448,        448,         14,         56,      15000,       1450,         15,          0,          0,          0,          1,        100, 
448 : brute_egg_003,        449,        449,         14,         56,      15002,       4350,         44,          0,          0,          0,          1,        100, 
449 : brute_egg_005,        450,        450,         14,         56,      15004,       7250,         73,          0,          0,          0,          1,        100, 
450 : monster_carapace_004,        451,        451,         14,         56,      20300,        320,          3,          0,          0,          0,          0,        100, 
451 : monster_husk_002,        452,        452,         14,         56,      20100,       2000,         20,          0,          0,          0,          0,        100, 
452 : monster_husk_004,        453,        453,         14,         56,      20301,        500,          5,          0,          0,          0,          0,        100, 
453 : monster_husk_010,        454,        454,         14,         56,      20900,       4000,         40,          0,          0,          0,          0,        100, 
454 : monster_husk_011,        455,        455,         14,         56,      21000,       1000,         10,          0,          0,          0,          0,        100, 
455 : monster_coat_002,        456,        456,         14,         56,      20101,        340,          3,          0,          0,          0,          0,        100, 
456 : monster_coat_013,        457,        457,         14,         56,      21200,       2040,         20,          0,          0,          0,          0,        100, 
457 : monster_shuck_001,        458,        458,         14,         56,      20000,       1120,         11,          0,          0,          0,          0,        100, 
458 : monster_shuck_006,        459,        459,         14,         56,      20500,       1680,         17,          0,          0,          0,          0,        100, 
459 : monster_shuck_007,        460,        460,         14,         56,      20600,       1680,         17,          0,          0,          0,          0,        100, 
460 : monster_shuck_009,        461,        461,         14,         56,      20800,        280,          3,          0,          0,          0,          0,        100, 
461 : monster_shuck_010,        462,        462,         14,         56,      20901,       1120,         11,          0,          0,          0,          0,        100, 
462 : monster_shuck_012,        463,        463,         14,         56,      21100,        280,          3,          0,          0,          0,          0,        100, 
463 : monster_shuck_013,        464,        464,         14,         56,      21201,        560,          6,          0,          0,          0,          0,        100, 
464 : monster_fur_002,        465,        465,         14,         56,      20102,       1050,         11,          0,          0,          0,          0,        100, 
465 : monster_leather_001,        466,        466,         14,         56,      20001,       4080,         41,          0,          0,          0,          0,        100, 
466 : monster_leather_002,        467,        467,         14,         56,      20103,       4080,         41,          0,          0,          0,          0,        100, 
467 : monster_leather_009,        468,        468,         14,         56,      20801,       2720,         27,          0,          0,          0,          0,        100, 
468 : monster_leather_010,        469,        469,         14,         56,      20902,       4760,         48,          0,          0,          0,          0,        100, 
469 : monster_leather_013,        470,        470,         14,         56,      21202,       3400,         34,          0,          0,          0,          0,        100, 
470 : monster_squama_002,        471,        471,         14,         56,      20104,        350,          4,          0,          0,          0,          0,        100, 
471 : monster_squama_009,        472,        472,         14,         56,      20802,        175,          2,          0,          0,          0,          0,        100, 
472 : monster_squama_010,        473,        473,         14,         56,      20903,        700,          7,          0,          0,          0,          1,        100, 
473 : monster_angle_002,        474,        474,         14,         56,      20105,       3175,         32,          0,          0,          0,          0,        100, 
474 : monster_angle_013,        475,        475,         14,         56,      21203,       3810,         38,          0,          0,          0,          0,        100, 
475 : monster_fang_002,        476,        476,         14,         56,      20106,       1665,         17,          0,          0,          0,          0,        100, 
476 : monster_fang_003,        477,        477,         14,         56,      20200,       1110,         11,          0,          0,          0,          0,        100, 
477 : monster_fang_007,        478,        478,         14,         56,      20601,        555,          6,          0,          0,          0,          0,        100, 
478 : monster_fang_009,        479,        479,         14,         56,      20803,       1110,         11,          0,          0,          0,          0,        100, 
479 : monster_fang_010,        480,        480,         14,         56,      20904,       2775,         28,          0,          0,          0,          0,        100, 
480 : monster_fang_011,        481,        481,         14,         56,      21001,        555,          6,          0,          0,          0,          1,        100, 
481 : monster_fang_013,        482,        482,         14,         56,      21204,       2220,         22,          0,          0,          0,          0,        100, 
482 : monster_bone_001,        483,        483,         14,         56,      20002,        870,          9,          0,          0,          0,          1,        100, 
483 : monster_bone_002,        484,        484,         14,         56,      20107,        435,          4,          0,          0,          0,          1,        100, 
484 : monster_bone_003,        485,        485,         14,         56,      20201,       1740,         17,          0,          0,          0,          1,        100, 
485 : monster_bone_009,        486,        486,         14,         56,      20804,        870,          9,          0,          0,          0,          1,        100, 
486 : monster_bone_010,        487,        487,         14,         56,      20905,       3045,         30,          0,          0,          0,          1,        100, 
487 : monster_bone_011,        488,        488,         14,         56,      21002,       2175,         22,          0,          0,          0,          0,        100, 
488 : monster_bone_012,        489,        489,         14,         56,      21101,        435,          4,          0,          0,          0,          1,        100, 
489 : monster_bone_013,        490,        490,         14,         56,      21205,        435,          4,          0,          0,          0,          1,        100, 
490 : monster_claw_001,        491,        491,         14,         56,      20003,        355,          4,          0,          0,          0,          0,        100, 
491 : monster_claw_002,        492,        492,         14,         56,      20108,        710,          7,          0,          0,          0,          0,        100, 
492 : monster_claw_003,        493,        493,         14,         56,      20202,        355,          4,          0,          0,          0,          0,        100, 
493 : monster_claw_004,        494,        494,         14,         56,      20302,       1420,         14,          0,          0,          0,          0,        100, 
494 : monster_claw_009,        495,        495,         14,         56,      20805,       1420,         14,          0,          0,          0,          0,        100, 
495 : monster_claw_010,        496,        496,         14,         56,      20906,       1420,         14,          0,          0,          0,          0,        100, 
496 : monster_claw_011,        497,        497,         14,         56,      21003,       1420,         14,          0,          0,          0,          0,        100, 
497 : monster_claw_012,        498,        498,         14,         56,      21102,       1420,         14,          0,          0,          0,          0,        100, 
498 : monster_claw_013,        499,        499,         14,         56,      21206,        710,          7,          0,          0,          0,          0,        100, 
499 : monster_feather_003,        500,        500,         14,         56,      20203,       2970,         30,          0,          0,          0,          0,        100, 
500 : monster_feather_005,        501,        501,         14,         56,      20400,        495,          5,          0,          0,          0,          0,        100, 
501 : monster_feather_006,        502,        502,         14,         56,      20501,        495,          5,          0,          0,          0,          0,        100, 
502 : monster_wing_003,        503,        503,         14,         56,      20204,      11550,        116,          0,          0,          0,          1,        100, 
503 : monster_wing_006,        504,        504,         14,         56,      20502,      11550,        116,          0,          0,          0,          1,        100, 
504 : monster_wing_010,        505,        505,         14,         56,      20907,      13200,        132,          0,          0,          0,          1,        100, 
505 : monster_wing_011,        506,        506,         14,         56,      21004,       9900,         99,          0,          0,          0,          1,        100, 
506 : monster_wing_012,        507,        507,         14,         56,      21103,       9900,         99,          0,          0,          0,          1,        100, 
507 : monster_wing_013,        508,        508,         14,         56,      21207,      13200,        132,          0,          0,          0,          1,        100, 
508 : monster_flesh_002,        509,        509,         14,         56,      20109,       4250,         43,          0,          0,          0,          1,        100, 
509 : monster_flesh_003,        510,        510,         14,         56,      20205,       5100,         51,          0,          0,          0,          1,        100, 
510 : monster_flesh_006,        511,        511,         14,         56,      20503,       1700,         17,          0,          0,          0,          1,        100, 
511 : monster_flesh_007,        512,        512,         14,         56,      20602,       1700,         17,          0,          0,          0,          1,        100, 
512 : monster_flesh_009,        513,        513,         14,         56,      20806,       5100,         51,          0,          0,          0,          1,        100, 
513 : monster_flesh_010,        514,        514,         14,         56,      20908,       4250,         43,          0,          0,          0,          1,        100, 
514 : monster_flesh_011,        515,        515,         14,         56,      21005,       5950,         60,          0,          0,          0,          1,        100, 
515 : monster_flesh_012,        516,        516,         14,         56,      21104,       5100,         51,          0,          0,          0,          1,        100, 
516 : monster_flesh_013,        517,        517,         14,         56,      21208,       3400,         34,          0,          0,          0,          1,        100, 
517 : monster_humoral_004,        518,        518,         14,         56,      20303,       9450,         95,          0,          0,          0,          1,        100, 
518 : monster_humoral_005,        519,        519,         14,         56,      20401,      12600,        126,          0,          0,          0,          1,        100, 
519 : monster_humoral_006,        520,        520,         14,         56,      20504,      12600,        126,          0,          0,          0,          1,        100, 
520 : monster_humoral_007,        521,        521,         14,         56,      20603,      15750,        158,          0,          0,          0,          1,        100, 
521 : monster_humoral_008,        522,        522,         14,         56,      20700,       6300,         63,          0,          0,          0,          0,        100, 
522 : monster_humoral_010,        523,        523,         14,         56,      20909,      22050,        221,          0,          0,          0,          1,        100, 
523 : monster_humoral_011,        524,        524,         14,         56,      21006,      25200,        252,          0,          0,          0,          1,        100, 
524 : monster_humoral_012,        525,        525,         14,         56,      21105,      18900,        189,          0,          0,          0,          1,        100, 
525 : monster_humoral_013,        526,        526,         14,         56,      21209,      22050,        221,          0,          0,          0,          1,        100, 
526 : breed_001_normal_001,        527,        527,         14,         56,      30000,        350,          4,          0,          0,          0,          0,        100, 
527 : breed_001_normal_002,        528,        528,         14,         56,      30001,        385,          4,          0,          0,          0,          1,        100, 
528 : breed_001_normal_003,        529,        529,         14,         56,      30002,       1225,         12,          0,          0,          0,          0,        100, 
529 : breed_001_normal_004,        530,        530,         14,         56,      30003,       2100,         21,          0,          0,          0,          1,        100, 
530 : breed_001_normal_005,        531,        531,         14,         56,      30004,       7000,         70,          0,          0,          0,          0,        100, 
