           km_,   km_namen,    km_help, km_jin_type,  km_jin_lv, km_argument, km_need_daiji, km_need_hero01, km_need_hero02, km_need_hero03, km_need_hero04, km_need_hero05, km_need_hero06, km_need_hero07, km_need_hero08, km_need_hero09, km_need_hero10, km_need_hero11, km_need_hero12, km_need_hero13, km_jin_formation, km_selected_front_ratio, km_add_select_front_ratio, km_add_impress_1, km_add_impress_2, km_add_para_butsu_ap_1, km_add_para_butsu_ac_1, km_add_para_mgc_ap_1, km_add_para_mgc_ac_1, km_add_para_str_1, km_add_para_int_1, km_add_para_spd_1, km_add_para_butsu_ap_2, km_add_para_butsu_ac_2, km_add_para_mgc_ap_2, km_add_para_mgc_ac_2, km_add_para_str_2, km_add_para_int_2, km_add_para_spd_2, km_add_para_butsu_ap_3, km_add_para_butsu_ac_3, km_add_para_mgc_ap_3, km_add_para_mgc_ac_3, km_add_para_str_3, km_add_para_int_3, km_add_para_spd_3, km_add_para_butsu_ap_4, km_add_para_butsu_ac_4, km_add_para_mgc_ap_4, km_add_para_mgc_ac_4, km_add_para_str_4, km_add_para_int_4, km_add_para_spd_4, km_add_para_butsu_ap_5, km_add_para_butsu_ac_5, km_add_para_mgc_ap_5, km_add_para_mgc_ac_5, km_add_para_str_5, km_add_para_int_5, km_add_para_spd_5, 
70 : butsu_attack_type_H_002,         71,         24,         24,          2,          0,    8913225,          2,          0,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,         80,         67,          0,         -1,         -1,        103,        108,        100,        108,        100,        100,        108,        103,        100,        100,        100,        108,        100,        108,        103,        100,        100,        100,        108,        100,        108,        100,         31,        100,         31,        100,        100,         31,        100,         31,        100,         31,        100,        100,         31, 
71 : butsu_attack_type_H_003,         72,         24,         24,          3,          0,    8913225,          3,          0,          0,          0,          0,          0,          0,          0,          0,          4,          0,          0,          0,         80,         67,          0,         -1,         -1,        105,        110,        100,        110,        100,        100,        110,        105,        100,        100,        100,        110,        100,        110,        105,        100,        100,        100,        110,        100,        110,        100,         32,        100,         32,        100,        100,         32,        100,         32,        100,         32,        100,        100,         32, 
72 : butsu_attack_type_I_001,         73,         25,         24,          4,          0,    8913226,          3,          1,          0,          0,          0,          0,          0,          1,          0,          5,          0,          0,          0,         80,         67,          0,         -1,         -1,        108,        113,        100,        113,        100,        100,        113,        108,        100,        100,        100,        113,        100,        113,        108,        100,        100,        100,        113,        100,        113,        100,         33,        100,         33,        100,        100,         33,        100,         33,        100,         33,        100,        100,         33, 
73 : butsu_attack_type_I_002,         74,         25,         24,          5,          0,    8913226,          3,          1,          0,          0,          0,          0,          0,          2,          0,          5,          0,          0,          0,         80,         67,          0,         -1,         -1,        110,        115,        100,        115,        100,        100,        115,        110,        100,        100,        100,        115,        100,        115,        110,        100,        100,        100,        115,        100,        115,        100,         34,        100,         34,        100,        100,         34,        100,         34,        100,         34,        100,        100,         34, 
74 : butsu_attack_type_I_003,         75,         25,         24,          6,          0,    8913226,          3,          1,          0,          0,          0,          0,          0,          3,          0,          5,          0,          0,          0,         80,         67,          0,         -1,         -1,        112,        120,        100,        120,        100,        100,        120,        112,        100,        100,        100,        120,        100,        120,        112,        100,        100,        100,        120,        100,        120,        100,         35,        100,         35,        100,        100,         35,        100,         35,        100,         35,        100,        100,         35, 
75 : butsu_attack_type_J_001,         76,         26,         24,          7,          0,    8913227,          3,          1,          0,          0,          0,          0,          0,          4,          0,          5,          0,          0,          0,         80,         67,          0,        294,        294,        115,        125,        100,        125,        100,        100,        125,        115,        100,        100,        100,        125,        100,        125,        115,        100,        100,        100,        125,        100,        125,        100,         36,        100,         36,        100,        100,         36,        100,         36,        100,         36,        100,        100,         36, 
76 : butsu_attack_type_J_002,         77,         26,         24,          8,          0,    8913227,          3,          1,          0,          0,          0,          0,          0,          5,          0,          5,          0,          0,          0,         80,         67,          0,        295,        295,        118,        130,        100,        130,        100,        100,        130,        118,        100,        100,        100,        130,        100,        130,        118,        100,        100,        100,        130,        100,        130,        100,         37,        100,         37,        100,        100,         37,        100,         37,        100,         37,        100,        100,         37, 
77 : butsu_attack_type_J_003,         78,         26,         24,          9,          0,    8913227,          3,          1,          1,          0,          0,          0,          0,          5,          0,          5,          5,          5,          5,         80,         67,          0,        296,        296,        120,        135,        100,        135,        100,        100,        135,        120,        100,        100,        100,        135,        100,        135,        120,        100,        100,        100,        135,        100,        135,        100,         38,        100,         38,        100,        100,         38,        100,         38,        100,         38,        100,        100,         38, 
78 : butsu_attack_type_K_001,         79,         27,         25,          1,          0,    8913228,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         85,         67,          0,         -1,         -1,        105,        105,        100,        100,        100,        100,         50,        105,        100,        100,        100,        105,        100,        100,        105,        100,        100,        100,        105,        100,        100,        100,        100,        105,         50,        100,        100,        100,        100,        100,        105,         50,        100,        100,        100, 
79 : butsu_attack_type_K_002,         80,         27,         25,          2,          0,    8913228,          0,          2,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,         85,         67,          0,         -1,         -1,        108,        108,        100,        100,        100,        100,         51,        108,        100,        100,        100,        108,        100,        100,        108,        100,        100,        100,        108,        100,        100,        100,        100,        108,         51,        100,        100,        100,        100,        100,        108,         51,        100,        100,        100, 
80 : butsu_attack_type_K_003,         81,         27,         25,          3,          0,    8913228,          0,          3,          0,          0,          0,          0,          0,          0,          0,          4,          0,          0,          0,         85,         67,          0,         -1,         -1,        110,        110,        100,        100,        100,        100,         52,        110,        100,        100,        100,        110,        100,        100,        110,        100,        100,        100,        110,        100,        100,        100,        100,        110,         52,        100,        100,        100,        100,        100,        110,         52,        100,        100,        100, 
81 : butsu_attack_type_L_001,         82,         28,         25,          4,          0,    8913229,          0,          3,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,         85,         67,          0,         -1,         -1,        113,        113,        100,        100,        100,        100,         53,        113,        100,        100,        100,        113,        100,        100,        113,        100,        100,        100,        113,        100,        100,        100,        100,        113,         53,        100,        100,        100,        100,        100,        113,         53,        100,        100,        100, 
82 : butsu_attack_type_L_002,         83,         28,         25,          5,          0,    8913229,          0,          4,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,         85,         67,          0,         -1,         -1,        115,        115,        100,        100,        100,        100,         54,        115,        100,        100,        100,        115,        100,        100,        115,        100,        100,        100,        115,        100,        100,        100,        100,        115,         54,        100,        100,        100,        100,        100,        115,         54,        100,        100,        100, 
83 : butsu_attack_type_L_003,         84,         28,         25,          6,          0,    8913229,          0,          5,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,         85,         67,          0,         -1,         -1,        120,        120,        100,        100,        100,        100,         55,        120,        100,        100,        100,        120,        100,        100,        120,        100,        100,        100,        120,        100,        100,        100,        100,        120,         55,        100,        100,        100,        100,        100,        120,         55,        100,        100,        100, 
84 : butsu_attack_type_M_001,         85,         29,         26,          1,          0,    8913230,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         90,         75,          0,        216,        216,        105,         50,        100,         50,        105,        100,        100,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,        100,        100,        100,        105,        100,        105,        100,        100,        100, 
85 : butsu_attack_type_M_002,         86,         29,         26,          2,          0,    8913230,          3,          0,          0,          0,          0,          0,          0,          0,          0,          4,          0,          0,          0,         90,         75,          0,        217,        217,        108,         51,        100,         51,        108,        100,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100,        100,        100,        108,        100,        108,        100,        100,        100, 
86 : butsu_attack_type_M_003,         87,         29,         26,          3,          0,    8913230,          3,          0,          0,          0,          0,          1,          1,          1,          1,          4,          0,          0,          0,         90,         75,          0,        218,        218,        110,         52,        100,         52,        110,        100,        100,        110,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100,        100,        100,        100,        110,        100,        110,        100,        100,        100, 
87 : butsu_attack_type_O_001,         88,         30,         26,          4,          0,    8913231,          3,          1,          0,          0,          0,          1,          1,          1,          1,          4,          0,          0,          0,         90,         75,          0,        196,        196,        113,         53,        100,         53,        113,        100,        100,        113,        100,        100,        100,        100,        100,        100,        113,        100,        100,        100,        100,        100,        100,        113,        100,        100,        100,        100,        100,        100,        100,        113,        100,        113,        100,        100,        100, 
88 : butsu_attack_type_O_002,         89,         30,         26,          5,          0,    8913231,          3,          1,          0,          0,          0,          1,          1,          1,          1,          5,          0,          0,          0,         90,         75,          0,        197,        197,        115,         54,        100,         54,        115,        100,        100,        115,        100,        100,        100,        100,        100,        100,        115,        100,        100,        100,        100,        100,        100,        115,        100,        100,        100,        100,        100,        100,        100,        115,        100,        115,        100,        100,        100, 
89 : butsu_attack_type_O_003,         90,         30,         26,          6,          0,    8913231,          3,          2,          0,          0,          0,          1,          1,          1,          1,          5,          0,          0,          0,         90,         75,          0,        198,        198,        120,         55,        100,         55,        120,        100,        100,        120,        100,        100,        100,        100,        100,        100,        120,        100,        100,        100,        100,        100,        100,        120,        100,        100,        100,        100,        100,        100,        100,        120,        100,        120,        100,        100,        100, 
90 : butsu_attack_type_P_001,         91,         31,         27,          1,          0,    8913232,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         95,         80,          0,        464,        464,        105,        105,        100,        100,        105,        100,        100,        105,        105,        100,        100,        100,        100,        100,        105,        105,        100,        100,        100,        100,        100,         60,         60,         60,         60,        100,        100,        100,         60,         60,         60,         60,        100,        100,        100, 
91 : butsu_attack_type_P_002,         92,         31,         27,          2,          0,    8913232,          0,          2,          0,          0,          0,          0,          0,          0,          0,          3,          0,          0,          0,         95,         80,          0,        465,        465,        108,        108,        100,        100,        108,        100,        100,        108,        108,        100,        100,        100,        100,        100,        108,        108,        100,        100,        100,        100,        100,         61,         61,         61,         61,        100,        100,        100,         61,         61,         61,         61,        100,        100,        100, 
92 : butsu_attack_type_P_003,         93,         31,         27,          3,          0,    8913232,          1,          3,          0,          0,          0,          0,          0,          0,          0,          5,          0,          0,          0,         95,         80,          0,        466,        466,        110,        110,        100,        100,        110,        100,        100,        110,        110,        100,        100,        100,        100,        100,        110,        110,        100,        100,        100,        100,        100,         62,         62,         62,         62,        100,        100,        100,         62,         62,         62,         62,        100,        100,        100, 
93 : butsu_attack_type_Q_001,         94,         32,         28,          1,          0,    8913233,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         67,          0,        299,        299,        105,        100,        100,        100,        105,        100,        100,        105,        105,        100,        100,        100,        100,         60,        105,        105,        100,        100,        100,        100,         60,        100,        105,        100,        100,        100,        100,         60,        100,        105,        100,        100,        100,        100,         60, 
94 : butsu_attack_type_Q_002,         95,         32,         28,          2,          0,    8913233,          0,          2,          0,          1,          1,          0,          0,          0,          0,          3,          0,          0,          0,        100,         67,          0,        300,        300,        108,        100,        100,        100,        108,        100,        100,        108,        108,        100,        100,        100,        100,         61,        108,        108,        100,        100,        100,        100,         61,        100,        108,        100,        100,        100,        100,         61,        100,        108,        100,        100,        100,        100,         61, 
95 : butsu_attack_type_Q_003,         96,         32,         28,          3,          0,    8913233,          1,          3,          0,          2,          2,          0,          0,          0,          0,          5,          0,          0,          0,        100,         67,          0,        301,        301,        110,        100,        100,        100,        110,        100,        100,        110,        110,        100,        100,        100,        100,         62,        110,        110,        100,        100,        100,        100,         62,        100,        110,        100,        100,        100,        100,         62,        100,        110,        100,        100,        100,        100,         62, 
96 : butsu_attack_type_R_001,         97,         33,         29,          1,          0,    8913234,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        105,         54,          0,        534,        534,        100,        105,        100,        105,         60,        100,        100,        105,        100,        100,        100,        100,        100,         60,        105,        100,        100,        100,        100,        100,         60,        100,        100,        100,        100,        100,         60,        100,        100,        100,        105,        100,        100,         60,        100, 
97 : butsu_attack_type_R_002,         98,         33,         29,          2,          0,    8913234,          0,          2,          0,          1,          1,          0,          0,          0,          0,          3,          0,          0,          0,        105,         54,          0,        535,        535,        100,        108,        100,        108,         61,        100,        100,        108,        100,        100,        100,        100,        100,         61,        108,        100,        100,        100,        100,        100,         61,        100,        100,        100,        100,        100,         61,        100,        100,        100,        108,        100,        100,         61,        100, 
98 : butsu_attack_type_R_003,         99,         33,         29,          3,          0,    8913234,          1,          3,          0,          2,          2,          0,          0,          0,          0,          5,          0,          0,          0,        105,         54,          0,        536,        536,        100,        110,        100,        110,         62,        100,        100,        110,        100,        100,        100,        100,        100,         62,        110,        100,        100,        100,        100,        100,         62,        100,        100,        100,        100,        100,         62,        100,        100,        100,        110,        100,        100,         62,        100, 
99 : butsu_attack_type_S_001,        100,         34,         30,          1,          0,    8913235,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        110,        100,          0,         -1,         -1,        105,          0,        100,          0,        105,        100,        105,        105,          0,        100,          0,        105,        100,        105,        105,          0,        100,          0,        105,        100,        105,        105,          0,        100,          0,        105,        100,        105,        105,          0,        100,          0,        105,        100,        105, 
100 : butsu_attack_type_S_002,        101,         34,         30,          2,          0,    8913235,          2,          0,          0,          0,          0,          5,          0,          0,          0,          3,          0,          0,          3,        110,        100,          0,         -1,         -1,        108,          0,        100,          0,        108,        100,        108,        108,          0,        100,          0,        108,        100,        108,        108,          0,        100,          0,        108,        100,        108,        108,          0,        100,          0,        108,        100,        108,        108,          0,        100,          0,        108,        100,        108, 
101 : butsu_attack_type_S_003,        102,         34,         30,          3,          0,    8913235,          3,          0,          0,          0,          0,          5,          0,          0,          0,          4,          0,          0,          4,        110,        100,          0,         -1,         -1,        110,          0,        100,          0,        110,        100,        110,        110,          0,        100,          0,        110,        100,        110,        110,          0,        100,          0,        110,        100,        110,        110,          0,        100,          0,        110,        100,        110,        110,          0,        100,          0,        110,        100,        110, 
102 : butsu_attack_type_T_001,        103,         35,         30,          4,          0,    8913236,          3,          1,          0,          0,          0,          5,          0,          0,          0,          4,          0,          0,          4,        110,        100,          0,        304,        304,        113,          0,        100,          0,        113,        100,        113,        113,          0,        100,          0,        113,        100,        113,        113,          0,        100,          0,        113,        100,        113,        113,          0,        100,          0,        113,        100,        113,        113,          0,        100,          0,        113,        100,        113, 
103 : butsu_attack_type_T_002,        104,         35,         30,          5,          0,    8913236,          3,          1,          0,          0,          0,          5,          0,          0,          0,          5,          0,          0,          5,        110,        100,          0,        305,        305,        115,          0,        100,          0,        115,        100,        115,        115,          0,        100,          0,        115,        100,        115,        115,          0,        100,          0,        115,        100,        115,        115,          0,        100,          0,        115,        100,        115,        115,          0,        100,          0,        115,        100,        115, 
104 : butsu_attack_type_T_003,        105,         35,         30,          6,          0,    8913236,          3,          2,          0,          0,          0,          5,          0,          0,          0,          5,          0,          0,          5,        110,        100,          0,        306,        306,        120,          0,        100,          0,        120,        100,        120,        120,          0,        100,          0,        120,        100,        120,        120,          0,        100,          0,        120,        100,        120,        120,          0,        100,          0,        120,        100,        120,        120,          0,        100,          0,        120,        100,        120, 
105 : butsu_attack_type_U_001,        106,         36,         31,          1,          0,    8913237,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        115,         75,          0,         -1,         -1,        105,         30,        100,        100,        105,        100,         30,        105,         30,        100,        100,        105,        100,         30,        105,         30,        100,        100,        100,        100,         30,        100,        105,        105,        100,        100,        100,         30,        100,        105,        105,        100,        100,        100,         30, 
106 : butsu_attack_type_U_002,        107,         36,         31,          2,          0,    8913237,          2,          0,          0,          0,          1,          0,          0,          0,          0,          3,          0,          0,          0,        115,         75,          0,         -1,         -1,        110,         31,        100,        100,        108,        100,         31,        110,         31,        100,        100,        108,        100,         31,        110,         31,        100,        100,        100,        100,         31,        100,        108,        108,        100,        100,        100,         31,        100,        108,        108,        100,        100,        100,         31, 
107 : butsu_attack_type_U_003,        108,         36,         31,          3,          0,    8913237,          3,          0,          0,          0,          1,          0,          0,          0,          0,          4,          0,          0,          0,        115,         75,          0,         -1,         -1,        115,         32,        100,        100,        110,        100,         32,        115,         32,        100,        100,        110,        100,         32,        115,         32,        100,        100,        100,        100,         32,        100,        110,        110,        100,        100,        100,         32,        100,        110,        110,        100,        100,        100,         32, 
108 : butsu_attack_type_V_001,        109,         37,         31,          4,          0,    8913238,          3,          0,          0,          0,          1,          1,          0,          0,          0,          5,          0,          0,          0,        115,         75,          0,        281,        281,        120,         33,        100,        100,        113,        100,         33,        120,         33,        100,        100,        113,        100,         33,        120,         33,        100,        100,        100,        100,         33,        100,        113,        113,        100,        100,        100,         33,        100,        113,        113,        100,        100,        100,         33, 
109 : butsu_attack_type_V_002,        110,         37,         31,          5,          0,    8913238,          3,          0,          0,          0,          1,          2,          0,          0,          0,          5,          0,          0,          0,        115,         75,          0,        281,        281,        125,         34,        100,        100,        115,        100,         34,        125,         34,        100,        100,        115,        100,         34,        125,         34,        100,        100,        100,        100,         34,        100,        115,        115,        100,        100,        100,         34,        100,        115,        115,        100,        100,        100,         34, 
110 : butsu_attack_type_V_003,        111,         37,         31,          6,          0,    8913238,          3,          1,          0,          0,          1,          2,          0,          0,          0,          5,          0,          0,          0,        115,         75,          0,        281,        281,        130,         35,        100,        100,        120,        100,         35,        130,         35,        100,        100,        120,        100,         35,        130,         35,        100,        100,        100,        100,         35,        100,        120,        120,        100,        100,        100,         35,        100,        120,        120,        100,        100,        100,         35, 
111 : butsu_attack_type_W_001,        112,         38,         31,          7,          0,    8913239,          4,          1,          0,          0,          1,          2,          1,          0,          0,          5,          0,          0,          0,        115,         75,          0,        116,        116,        135,         36,        100,        100,        125,        100,         36,        135,         36,        100,        100,        125,        100,         36,        135,         36,        100,        100,        100,        100,         36,        100,        125,        125,        100,        100,        100,         36,        100,        125,        125,        100,        100,        100,         36, 
112 : butsu_attack_type_W_002,        113,         38,         31,          8,          0,    8913239,          4,          1,          1,          0,          1,          2,          1,          1,          0,          5,          0,          0,          0,        115,         75,          0,        117,        117,        150,         37,        100,        100,        130,        100,         37,        150,         37,        100,        100,        130,        100,         37,        150,         37,        100,        100,        100,        100,         37,        100,        130,        130,        100,        100,        100,         37,        100,        130,        130,        100,        100,        100,         37, 
113 : butsu_attack_type_W_003,        114,         38,         31,          9,          0,    8913239,          4,          1,          2,          0,          1,          2,          1,          1,          1,          5,          0,          0,          0,        115,         75,          0,        118,        118,        200,         38,        100,        100,        135,        100,         38,        200,         38,        100,        100,        135,        100,         38,        200,         38,        100,        100,        100,        100,         38,        100,        135,        135,        100,        100,        100,         38,        100,        135,        135,        100,        100,        100,         38, 
114 : butsu_attack_type_X_001,        115,         39,         32,          1,          0,    8913240,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        120,        100,          0,        151,        151,        120,        100,        100,        100,        105,        100,        100,        120,        100,        100,        100,        105,        100,        100,        120,        100,        100,        100,        105,        100,        100,        100,        105,        100,         30,        100,         30,        100,        100,        105,        100,         30,        100,         30,        100, 
115 : butsu_attack_type_X_002,        116,         39,         32,          2,          0,    8913240,          3,          0,          0,          0,          0,          0,          0,          0,          1,          5,          0,          0,          0,        120,        100,          0,        152,        152,        125,        100,        100,        100,        108,        100,        100,        125,        100,        100,        100,        108,        100,        100,        125,        100,        100,        100,        108,        100,        100,        100,        108,        100,         35,        100,         35,        100,        100,        108,        100,         35,        100,         35,        100, 
116 : butsu_attack_type_X_003,        117,         39,         32,          3,          0,    8913240,          5,          0,          0,          0,          0,          0,          0,          0,          2,          5,          0,          0,          0,        120,        100,          0,        153,        153,        130,        100,        100,        100,        110,        100,        100,        130,        100,        100,        100,        110,        100,        100,        130,        100,        100,        100,        110,        100,        100,        100,        110,        100,         40,        100,         40,        100,        100,        110,        100,         40,        100,         40,        100, 
117 : butsu_attack_type_Y_001,        118,         40,         33,          1,          0,    8913241,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        125,        100,          0,        282,        282,        115,        115,          0,          0,        100,        100,        100,        115,        115,          0,          0,        105,         60,        100,        115,        115,          0,          0,        105,         60,        100,        115,        115,          0,          0,        105,         60,        100,        115,        115,          0,          0,        105,         60,        100, 
118 : butsu_attack_type_Y_002,        119,         40,         33,          2,          0,    8913241,          3,          0,          0,          0,          0,          0,          0,          0,          2,          5,          0,          0,          0,        125,        100,          0,        282,        282,        120,        120,          0,          0,        100,        100,        100,        120,        120,          0,          0,        108,         61,        100,        120,        120,          0,          0,        108,         61,        100,        120,        120,          0,          0,        108,         61,        100,        120,        120,          0,          0,        108,         61,        100, 
119 : butsu_attack_type_Y_003,        120,         40,         33,          3,          0,    8913241,          5,          0,          0,          0,          0,          0,          0,          0,          3,          5,          0,          0,          0,        125,        100,          0,        282,        282,        130,        130,          0,          0,        100,        100,        100,        130,        130,          0,          0,        110,         62,        100,        130,        130,          0,          0,        110,         62,        100,        130,        130,          0,          0,        110,         62,        100,        130,        130,          0,          0,        110,         62,        100, 
120 : mahou_attack_type_A_001,        121,         41,         40,          1,          0,    8913242,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        130,         80,          0,         -1,         -1,        100,        105,        100,        100,         50,         50,         50,        100,        100,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        105,        100,        100,        100,        105,        100,        100,        105,        100, 
121 : mahou_attack_type_A_002,        122,         41,         40,          2,          0,    8913242,          2,          0,          0,          0,          0,          0,          0,          2,          0,          0,          3,          0,          0,        130,         80,          0,         -1,         -1,        100,        108,        100,        100,         51,         51,         51,        100,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        108,        100,        100,        100,        108,        100,        100,        108,        100, 
122 : mahou_attack_type_A_003,        123,         41,         40,          3,          0,    8913242,          3,          0,          0,          0,          0,          0,          0,          2,          0,          0,          4,          0,          0,        130,         80,          0,         -1,         -1,        100,        110,        100,        100,         52,         52,         52,        100,        100,        110,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100,        100,        100,        110,        100,        100,        110,        100,        100,        100,        110,        100,        100,        110,        100, 
123 : mahou_attack_type_B_001,        124,         42,         40,          4,          0,    8913243,          3,          0,          0,          0,          0,          0,          0,          3,          0,          0,          4,          0,          0,        130,         80,          0,         -1,         -1,        100,        113,        100,        100,         53,         53,         53,        100,        100,        113,        100,        100,        100,        100,        100,        100,        113,        100,        100,        100,        100,        100,        100,        113,        100,        100,        113,        100,        100,        100,        113,        100,        100,        113,        100, 
124 : mahou_attack_type_B_002,        125,         42,         40,          5,          0,    8913243,          3,          1,          0,          0,          0,          0,          0,          3,          0,          0,          5,          0,          0,        130,         80,          0,         -1,         -1,        100,        115,        100,        100,         54,         54,         54,        100,        100,        115,        100,        100,        100,        100,        100,        100,        115,        100,        100,        100,        100,        100,        100,        115,        100,        100,        115,        100,        100,        100,        115,        100,        100,        115,        100, 
125 : mahou_attack_type_B_003,        126,         42,         40,          6,          0,    8913243,          3,          2,          0,          0,          0,          0,          0,          3,          0,          0,          5,          0,          0,        130,         80,          0,         -1,         -1,        100,        120,        100,        100,         55,         55,         55,        100,        100,        120,        100,        100,        100,        100,        100,        100,        120,        100,        100,        100,        100,        100,        100,        120,        100,        100,        120,        100,        100,        100,        120,        100,        100,        120,        100, 
126 : mahou_attack_type_C_001,        127,         43,         41,          1,          0,    8913244,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        135,         67,          0,         -1,         -1,        100,        100,        105,        100,        100,        105,        100,         50,         50,        100,        100,        100,        100,        100,         50,         50,        100,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100,        100,        100,        105,        100,        100,        100,        100, 
127 : mahou_attack_type_C_002,        128,         43,         41,          2,          0,    8913244,          2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        135,         67,          0,         -1,         -1,        100,        100,        108,        100,        100,        108,        100,         51,         51,        100,        100,        100,        100,        100,         51,         51,        100,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100,        100,        100,        108,        100,        100,        100,        100, 
128 : mahou_attack_type_C_003,        129,         43,         41,          3,          0,    8913244,          3,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        135,         67,          0,         -1,         -1,        100,        100,        110,        100,        100,        110,        100,         52,         52,        100,        100,        100,        100,        100,         52,         52,        100,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100,        100,        100,        110,        100,        100,        100,        100, 
129 : mahou_attack_type_D_001,        130,         44,         41,          4,          0,    8913245,          4,          0,          0,          0,          0,          0,          0,          0,          1,          0,          5,          0,          0,        135,         67,          0,         -1,         -1,        100,        100,        113,        100,        100,        113,        100,         53,         53,        100,        100,        100,        100,        100,         53,         53,        100,        100,        100,        100,        100,        100,        100,        113,        100,        100,        100,        100,        100,        100,        113,        100,        100,        100,        100, 
130 : mahou_attack_type_D_002,        131,         44,         41,          5,          0,    8913245,          4,          0,          0,          0,          0,          0,          0,          0,          2,          0,          5,          0,          0,        135,         67,          0,         -1,         -1,        100,        100,        115,        100,        100,        115,        100,         54,         54,        100,        100,        100,        100,        100,         54,         54,        100,        100,        100,        100,        100,        100,        100,        115,        100,        100,        100,        100,        100,        100,        115,        100,        100,        100,        100, 
