           km_, km_totsugeki_exp, km_totsugeki_exp2, km_totsugeki_lv_base, km_totsugeki_lv_now, km_totsugeki_lv_battle, km_totsugeki_use_flag, km_sogeki_exp, km_sogeki_exp2, km_sogeki_lv_base, km_sogeki_lv_now, km_sogeki_lv_battle, km_sogeki_use_flag, km_kousaku_exp, km_kousaku_exp2, km_kousaku_lv_base, km_kousaku_lv_now, km_kousaku_lv_battle, km_kousaku_use_flag, km_kyujo_exp, km_kyujo_exp2, km_kyujo_lv_base, km_kyujo_lv_now, km_kyujo_lv_battle, km_kyujo_use_flag, km_senjutsu_exp, km_senjutsu_exp2, km_senjutsu_lv_base, km_senjutsu_lv_now, km_senjutsu_lv_battle, km_senjutsu_use_flag, km_senryaku_exp, km_senryaku_exp2, km_senryaku_lv_base, km_senryaku_lv_now, km_senryaku_lv_battle, km_senryaku_use_flag, km_kinki_exp, km_kinki_exp2, km_kinki_lv_base, km_kinki_lv_now, km_kinki_lv_battle, km_kinki_use_flag, 
94 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
95 : btl_free_npc_006,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
96 : btl_free_npc_020,         79,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
97 : btl_free_npc_052,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
98 : btl_free_npc_089,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
99 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
100 : btl_pc_nora,        131,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
101 : btl_free_npc,        177,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
102 : btl_free_npc,        157,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
103 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,         70,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
104 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,        157,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
105 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
106 : btl_free_npc_086,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        180,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
107 : btl_free_npc_077,        157,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
108 : btl_free_npc_085,        178,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
109 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
110 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
111 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
112 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        235,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
113 : btl_free_npc,        235,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
114 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,        235,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
115 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
116 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
117 : btl_free_npc,        157,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
118 : btl_free_npc_078,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
119 : btl_free_npc_080,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
120 : btl_free_npc,        235,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
121 : btl_free_npc_023,        157,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
122 : btl_free_npc_079,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,         70,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
123 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
124 : btl_free_npc_032,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
125 : btl_free_npc_082,          0,          0,         -1,         -1,         -1,          0,        235,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
126 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
127 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
128 : btl_free_npc_024,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        157,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
129 : btl_pc_sibal,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
130 : btl_pc_maddox,       3470,          0,         21,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,       1830,          0,         11,         -1,         -1,          0,         52,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
131 : btl_pc_leshau,          0,          0,         -1,         -1,         -1,          0,       2023,          0,         12,         -1,         -1,          0,        106,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
132 : btl_pc_rhagoh,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,       1088,          0,         12,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
133 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
134 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
135 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
136 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
137 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
138 : btl_free_npc_012,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
139 : btl_free_npc,        157,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
140 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
141 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
142 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
143 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
144 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
145 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,        235,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
146 : btl_free_npc,        235,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
147 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
148 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        157,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
149 : btl_free_npc,        157,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
150 : btl_free_npc_048,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
151 : btl_free_npc_013,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
152 : btl_free_npc_050,          0,          0,         -1,         -1,         -1,          0,        235,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
153 : btl_free_npc_092,        157,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
154 : btl_free_npc_019,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        157,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
155 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
156 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
157 : btl_free_npc_033,          0,          0,         -1,         -1,         -1,          0,        235,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
158 : btl_free_npc_045,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
159 : btl_free_npc_058,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
160 : btl_free_npc_075,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
161 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,         70,          0,          3,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
162 :       emmy,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,          1,         -1,         -1,          0,       3208,          0,         23,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
163 : btl_pc_darien,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,         36,          0,          2,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
164 : btl_pc_glenys,          0,          0,         -1,         -1,         -1,          0,          9,          0,          1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,       2992,          0,         21,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
165 : btl_pc_roberto,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
166 : btl_guest_npc_002,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
167 : btl_guest_npc_003,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
168 : btl_guest_npc_004,        585,          0,          6,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        585,          0,          6,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
169 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,        749,          0,          7,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
170 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        731,          0,          7,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
171 : btl_free_npc,        585,          0,          6,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
172 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
173 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
174 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,        126,          0,          4,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
175 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
176 : btl_free_npc_002,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
177 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0,          0,          0,         -1,         -1,         -1,          0, 
