           km_, km_sp_ctrl_15, km_sp_ctrl_14, km_sp_ctrl_13, km_sp_ctrl_12, km_sp_ctrl_11, km_sp_ctrl_10, km_sp_ctrl_9, km_sp_ctrl_8, km_sp_ctrl_7, km_sp_ctrl_6, km_sp_ctrl_5, km_sp_ctrl_4, km_sp_ctrl_3, km_sp_ctrl_2, km_sp_ctrl_1, km_sp_ctrl_0, km_majidesu, km_action_attr_31, km_action_attr_30, km_action_attr_29, km_action_attr_28, km_action_attr_27, km_action_attr_26, km_action_attr_25, km_action_attr_24, km_action_attr_23, km_action_attr_22, km_action_attr_21, km_action_attr_20, km_action_attr_19, km_action_attr_18, km_action_attr_17, km_action_attr_16, km_action_attr_15, km_action_attr_14, km_action_attr_13, km_action_attr_12, km_action_attr_11, km_action_attr_10, km_action_attr_9, km_action_attr_8, km_action_attr_7, km_action_attr_6, km_action_attr_5, km_action_attr_4, km_action_attr_3, km_action_attr_2, km_action_attr_1, km_action_attr_0, 
78 : M_MS_ATK_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
79 : M_MS_ATK_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
80 : M_MS_ATK_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         33,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
81 : M_MS_ATK_min,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
82 : M_MS_ATK_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
83 : M_IS_ATK_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
84 : M_IS_ATK_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
85 : M_IS_ATK_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         33,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
86 : M_IS_ATK_min,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
87 : M_IS_ATK_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
88 : A_ATK_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
89 : A_ATK_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
90 : A_ATK_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         33,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
91 :  A_ATK_min,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
92 : A_ATK_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
93 : CR_ATK_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
94 : CR_ATK_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
95 : CR_ATK_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         33,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
96 : CR_ATK_min,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
97 : CR_ATK_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
98 : LR_ATK_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
99 : LR_ATK_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
100 : LR_ATK_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         33,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
101 : LR_ATK_min,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
102 : LR_ATK_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
103 : AS_ATK_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
104 : AS_ATK_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
105 : AS_ATK_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         33,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
106 : AS_ATK_min,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
107 : AS_ATK_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
108 : MS_ATK_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
109 : MS_ATK_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
110 : MS_ATK_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         33,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
111 : MS_ATK_min,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
112 : MS_ATK_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
113 : IS_ATK_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
114 : IS_ATK_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
115 : IS_ATK_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         33,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
116 : IS_ATK_min,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
117 : IS_ATK_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
118 : IS_AE_ATK_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
119 : IS_AE_ATK_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
120 : IS_AE_ATK_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         33,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
121 : IS_AE_ATK_min,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
122 : IS_AE_ATK_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
123 : WS_ATK_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
124 : WS_ATK_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
125 : WS_ATK_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         33,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
126 : WS_ATK_min,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
127 : WS_ATK_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
128 : ST_ATK_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
129 : ST_ATK_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
130 : ST_ATK_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
131 : ST_ATK_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
132 : MS_ST_ATK_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
133 : MS_ST_ATK_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
134 : MS_ST_ATK_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
135 : MS_ST_ATK_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
136 : IS_ST_ATK_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
137 : IS_ST_ATK_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
138 : IS_ST_ATK_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
139 : IS_ST_ATK_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
140 : R_ST_ATK_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
141 : R_ST_ATK_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
142 : R_ST_ATK_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
143 : R_ST_ATK_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
144 : HP_REC_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
145 : HP_REC_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
146 : HP_REC_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         33,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
147 : HP_REC_min,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
148 : HP_REC_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
149 : A_HP_REC_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
150 : A_HP_REC_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
151 : A_HP_REC_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
152 : A_HP_REC_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
153 : MS_HP_REC_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
154 : MS_HP_REC_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
155 : MS_HP_REC_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
156 : MS_HP_REC_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
157 : IS_HP_REC_full,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
158 : IS_HP_REC_normal,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         67,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
159 : IS_HP_REC_slight,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
160 : IS_HP_REC_rand,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
