           km_,   km_chara,   km_param, km_party_lock, km_party_guest, km_not_reserve, km_sort_id, km_chara_class, km_base_lv, km_base_hp, km_base_ap, km_battle_ap_charge, km_base_str, km_base_mgc, km_base_spd,  km_per_id, km_base_per, km_base_tension, km_tension_style, km_hp_growth_type, km_hp_growth_type_101, km_hp_growth_type_201, km_ap_growth_type, km_ap_growth_type_101, km_ap_growth_type_201, km_str_growth_type, km_str_growth_type_101, km_str_growth_type_201, km_mgc_growth_type, km_mgc_growth_type_101, km_mgc_growth_type_201, km_spd_growth_type, km_spd_growth_type_101, km_spd_growth_type_201, km_per_growth_type, km_per_growth_type_101, km_per_growth_type_201, km_eqskill_oh_oh, km_eqskill_oh_th, km_eqskill_oh_ww, km_eqskill_th_th, km_eqskill_s_fw, km_eqskill_s_oh, km_eqskill_s_th, km_artsskill_sword, km_artsskill_katana, km_artsskill_axe, km_artsskill_mace, km_artsskill_spear, km_artsskill_staff, km_mgcskill_01, km_mgcskill_02, km_mgcskill_03, km_mgcskill_04, km_mgcskill_05, km_mgcskill_06, km_mgcskill_07, km_itemskill_01, km_itemskill_02, km_itemskill_03, km_itemskill_04, km_itemskill_05, km_itemskill_06, km_df_att_zan, km_df_att_da, km_df_att_shou, km_df_att_kantu, km_df_fire, km_df_thunder,  km_df_ice, km_df_acid, km_df_poison, km_preset_act_arts, km_preset_act_magic, km_preset_act_item, km_eq_main_weapon, km_eqlv_main, km_eq_style, km_eq_sub_weapon1, km_eqlv_sub, km_eq_accessories1, km_eq_accessories2, km_eq_accessories_sp, km_logic_target_union, km_logic_target_unit, km_pre_logic_target_union, km_post_logic_target_union, km_btl_action, km_btl_action_append_1, km_btl_action_append_2, km_btl_action_append_3,  km_demise,   km_money,  km_item_1, km_item_1_num,  km_item_2, km_item_2_num,  km_item_3, km_item_3_num,  km_item_4, km_item_4_num,  km_item_5, km_item_5_num,  km_item_6, km_item_6_num,  km_item_7, km_item_7_num,  km_item_8, km_item_8_num, km_aim_weapon, km_aim_accessory_01, km_aim_accessory_02, km_open_heikin, km_open_phy, km_open_mgc, km_end_of_the_rainbow, km_lootmes, km_ptalk_count, km_ptalk_mes, 
112 : btl_free_npc,        275,        111,          0,          0,          0,      10062,          6,         19,        212,         24,          4,         24,         17,         20,          3,         25,         38,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         51,         98,        165,        100,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       5870,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         36,        204,        207,          1,          0,          0,          9,         35,         -1,         -1, 
113 : btl_free_npc,        276,        112,          0,          0,          0,      10063,        181,         19,        211,         18,          3,         19,         23,         17,         79,         21,         47,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        148,        165,        397,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       3400,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        405,        210,        213,          1,          0,          0,         14,         37,         -1,         -1, 
114 : btl_free_npc,        277,        113,          0,          0,          0,      10064,        186,         19,        216,         20,          3,         18,         24,         15,         62,         16,         66,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        140,        165,        834,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4590,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        825,        210,        213,          1,          0,          0,         19,         35,         -1,         -1, 
115 : btl_free_npc,        278,        114,          0,          0,          0,      10065,        187,         19,        156,         20,          3,         15,         26,         17,        164,         13,         69,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        144,        165,        111,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4660,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         84,        210,        213,          1,          0,          0,         16,         35,         -1,         -1, 
116 : btl_free_npc,        279,        115,          0,          0,          0,      10066,          0,         19,        198,         20,          3,         22,         19,         20,         97,         25,         35,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         43,         98,        165,        283,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       3730,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        273,        204,        207,          1,          0,          0,         14,         36,         -1,         -1, 
117 : btl_free_npc,        280,        116,          0,          0,          0,      10067,          1,         19,        206,         19,          3,         23,         17,         16,        122,         19,         52,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         51,         98,        165,        567,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4050,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        573,        204,        207,          1,          0,          0,         16,         36,         -1,         -1, 
118 : btl_free_npc,        281,        117,          0,          0,          0,      10068,        187,         19,        151,         18,          3,         18,         27,         16,         36,         20,         43,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,          0,        140,        165,        534,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4020,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        531,        210,        213,          1,          0,          0,          8,         37,         -1,         -1, 
119 : btl_free_npc_078,        282,        118,          0,          0,          0,      10069,          6,         19,        196,         24,          4,         24,         15,         19,        114,         16,         58,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         20,         10,          5,         51,         98,        165,        508,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       5930,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        525,        204,        207,          1,          0,          0,         19,         37,         -1,         -1, 
120 : btl_free_npc_080,        283,        119,          0,          0,          0,      10070,         18,         19,        152,         20,          3,         24,         18,         16,        106,         26,         56,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         20,         10,          5,          0,         98,        208,        823,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       3460,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        810,        204,        207,          1,          0,          0,         18,         38,         -1,         -1, 
121 : btl_free_npc,        284,        120,          0,          0,          0,      10071,        186,         19,        172,         26,          4,         18,         24,         15,        154,         12,         66,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         20,         10,          5,          0,        140,        165,        100,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       2970,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         36,        210,        213,          1,          0,          0,         18,         37,         -1,         -1, 
122 : btl_free_npc_023,        285,        121,          0,          0,          0,      10072,        181,         19,        145,         21,          3,         18,         23,         16,         52,         23,         48,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         20,         10,          5,          0,        140,        165,        283,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4470,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        273,        210,        213,          1,          0,          0,         12,         38,         -1,         -1, 
123 : btl_free_npc_079,        286,        122,          0,          0,          0,      10073,        180,         19,        176,         23,          3,         19,         21,         18,         66,         24,         56,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         20,         10,          5,          0,        152,        165,        786,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4480,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        768,        210,        213,          1,          0,          0,         15,         34,         -1,         -1, 
124 : btl_free_npc,        287,        123,          0,          0,          0,      10074,         18,         19,        171,         18,          3,         24,         20,         17,         40,         16,         68,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,          0,         98,        212,        577,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       3900,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        603,        204,        207,          1,          0,          0,          8,         36,         -1,         -1, 
125 : btl_free_npc_032,        288,        124,          0,          0,          0,      10075,          0,         19,        156,         27,          4,         21,         18,         15,        139,         16,         54,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,         51,         98,        165,        172,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4590,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        165,        204,        207,          1,          0,          0,          7,         38,         -1,         -1, 
126 : btl_free_npc_082,        289,        125,          0,          0,          0,      10076,        187,         19,        152,         27,          4,         19,         26,         17,        129,         22,         36,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         10,         20,          5,          0,        144,        165,        324,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4160,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        351,        210,        213,          1,          0,          0,         18,         36,         -1,         -1, 
127 : btl_free_npc,        290,        126,          0,          0,          0,      10077,          6,         19,        183,         24,          4,         24,         15,         17,        118,         18,         61,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,          0,         98,        215,        442,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       5570,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        468,        204,        207,          1,          0,          0,         15,         37,         -1,         -1, 
128 : btl_free_npc,        291,        127,          0,          0,          0,      10078,          6,         19,        193,         26,          4,         25,         16,         19,        136,         19,         54,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,         67,         98,        165,        722,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4220,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        714,        204,        207,          1,          0,          0,         11,         37,         -1,         -1, 
129 : btl_free_npc_024,        292,        128,          0,          0,          0,      10079,        181,         19,        198,         21,          3,         15,         23,         15,        162,         21,         51,          0,          1,         55,        109,         10,         64,        118,         19,         73,        127,         31,         85,        139,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         10,         20,          5,          0,        148,        165,        871,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       5390,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        849,        210,        213,          1,          0,          0,         13,         37,         -1,         -1, 
130 : btl_pc_maddox,         37,        130,          0,          0,          0,        107,        199,         25,        330,         29,          4,         15,         27,         17,        142,         20,         69,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         20,         10,          5,         35,        132,        200,        787,          0,          3,         -1,         -1,       1317,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      12580,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        807,        162,        165,          1,          0,          0,         26,         29,         12,         18, 
131 : btl_pc_leshau,         36,        131,          0,          0,          0,        108,        204,         25,        299,         25,          4,         17,         26,         18,        105,         18,         30,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         20,         10,          5,         36,        133,        201,        509,          0,          1,         -1,         -1,       1148,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      14390,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        528,        168,        171,          1,          0,          0,         37,         28,         13,         19, 
132 : btl_pc_rhagoh,         23,        132,          0,          0,          0,        109,        216,         25,        253,         28,          4,         16,         26,         19,         82,         20,         32,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,         20,         10,         10,          5,          5,         20,        117,        185,        545,          0,          1,         -1,         -1,       1175,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      11920,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        570,         48,         51,          1,          0,          0,         33,         15,         14,         20, 
133 : btl_free_npc,        293,        133,          0,          0,          0,        230,         19,         23,        236,         27,          4,         23,         17,         20,         81,         26,         30,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         67,         98,        208,        675,          0,          3,         -1,         -1,       1235,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       3850,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        669,        204,        207,          1,          1,          1,         19,         35,         42,         48, 
134 : btl_free_npc,        294,        134,          0,          0,          0,        231,          6,         23,        268,         27,          4,         22,         18,         14,        128,         19,         34,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         83,         98,        165,        294,          0,          1,         -1,         -1,       1267,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      10800,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        318,        204,        207,          1,          1,          1,         27,         37,         44,         50, 
135 : btl_free_npc,        295,        135,          0,          0,          0,        232,          6,         23,        222,         27,          4,         22,         13,         17,        162,         16,         43,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         20,         10,         10,          5,         67,         98,        215,        712,          0,          3,         -1,         -1,       1235,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       7310,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        705,        204,        207,          1,          1,          1,         22,         41,         48,         54, 
136 : btl_free_npc,        296,        136,          0,          0,          0,        233,          8,         23,        284,         22,          3,         25,         19,         16,         66,         22,         47,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         20,         10,         10,          5,         75,         98,        165,        545,          0,          0,       1086,          0,       1235,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       7160,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        564,        204,        207,          1,          1,          1,         26,         40,         47,         53, 
137 : btl_free_npc,        297,        137,          0,          0,          0,        234,         21,         23,        261,         27,          4,         26,         18,         19,        125,         17,         55,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         20,         10,         10,          5,         67,         98,        212,        835,          0,          3,         -1,         -1,       1267,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4490,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        828,        204,        207,          1,          1,          1,         24,         40,         47,         53, 
138 : btl_free_npc_012,        298,        138,          0,          0,          0,        235,          7,         23,        206,         21,          3,         24,         15,         17,         99,         23,         31,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         20,         10,          5,         91,         98,        165,         57,          0,          2,         56,          0,       1267,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,      10760,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         30,        204,        207,          1,          1,          1,         16,         35,         42,         48, 
139 : btl_free_npc,        299,        139,          0,          0,          0,        236,        198,         23,        243,         26,          4,         15,         26,         19,         53,         18,         61,          0,          1,         55,        109,         10,         64,        118,         16,         70,        124,         28,         82,        136,         40,         94,        148,         49,        103,        157,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         10,         20,          5,          5,         10,         10,         20,          5,          0,        155,        165,        723,          0,          3,         -1,         -1,       1148,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       9810,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        735,        210,        213,          1,          1,          1,         27,         35,         42,         48, 
140 : btl_free_npc,        300,        140,          0,          0,          0,        237,         20,         23,        251,         29,          4,         25,         15,         19,        143,         14,         64,          0,          0,         54,        108,          9,         63,        117,         15,         69,        123,         27,         81,        135,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,          5,         10,         10,         20,          5,         91,         98,        212,        453,          0,          2,        453,          0,       1267,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4460,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        480,        204,        207,          1,          1,          1,         26,         36,         43,         49, 
141 : btl_free_npc,        301,        141,          0,          0,          0,      10080,          6,         22,        183,         25,          4,         24,         14,         18,        125,         19,         49,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         67,         98,        165,        711,          0,          3,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       4230,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        684,        204,        207,          1,          0,          0,         14,         37,         -1,         -1, 
142 : btl_free_npc,        302,        142,          0,          0,          0,      10081,         18,         22,        207,         22,          3,         24,         18,         14,        143,         15,         33,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,          0,         98,        208,        182,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       3900,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        198,        204,        207,          1,          0,          0,         13,         35,         -1,         -1, 
143 : btl_free_npc,        303,        143,          0,          0,          0,      10082,          1,         22,        199,         25,          4,         23,         17,         15,        167,         19,         32,          0,          0,         54,        108,          9,         63,        117,         18,         72,        126,         30,         84,        138,         39,         93,        147,         48,        102,        156,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         10,         20,          5,          5,         20,         10,         10,          5,          5,         51,         98,        165,        577,          0,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,       2840,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,        624,        204,        207,          1,          0,          0,          8,         34,         -1,         -1, 
