           km_, km_preset_skill_type, km_btl_rank_min, km_btl_rank_max, km_check_num, km_growth_category, km_action_id_0, km_action_id_1, km_action_id_2, km_action_id_3, km_action_id_4, km_action_id_5, km_action_id_6, km_action_id_7, 
243 :          @,        205,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
244 :          @,        205,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
245 :          @,        205,          0,        255,          0,         26,       2035,       2039,       2044,       2048,         -1,         -1,         -1,         -1, 
246 : btl_pc_leucetius,        206,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
247 :          @,        206,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
248 :          @,        206,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
249 :          @,        206,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
250 :          @,        206,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
251 :          @,        206,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
252 :   yakusouC,        207,          0,        255,          6,         21,       1883,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
253 :          @,        207,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
254 :          @,        207,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
255 :          @,        207,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
256 :          @,        207,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
257 :          @,        207,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
258 :   yakusouB,        208,          0,        255,          6,         21,       1884,       1888,         -1,         -1,         -1,         -1,         -1,         -1, 
259 :          @,        208,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
260 :          @,        208,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
261 :          @,        208,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
262 :          @,        208,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
263 :          @,        208,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
264 :   yakusouA,        209,          0,        255,          6,         21,       1885,       1889,       1894,       1898,         -1,         -1,         -1,         -1, 
265 :          @,        209,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
266 :          @,        209,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
267 :          @,        209,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
268 :          @,        209,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
269 :          @,        209,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
270 :   yakusouS,        210,          0,        255,          6,         21,       1885,       1889,       1894,       1899,       1903,         -1,         -1,         -1, 
271 :          @,        210,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
272 :          @,        210,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
273 :          @,        210,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
274 :          @,        210,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
275 :          @,        210,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
276 :    potionC,        211,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
277 :          @,        211,          0,        255,          0,         22,       1913,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
278 :          @,        211,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
279 :          @,        211,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
280 :          @,        211,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
281 :          @,        211,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
282 :    potionB,        212,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
283 :          @,        212,          0,        255,          0,         22,       1914,       1918,         -1,         -1,         -1,         -1,         -1,         -1, 
284 :          @,        212,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
285 :          @,        212,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
286 :          @,        212,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
287 :          @,        212,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
288 :    potionA,        213,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
289 :          @,        213,          0,        255,          0,         22,       1915,       1919,       1924,       1928,         -1,         -1,         -1,         -1, 
290 :          @,        213,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
291 :          @,        213,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
292 :          @,        213,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
293 :          @,        213,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
294 :    potionS,        214,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
295 :          @,        214,          0,        255,          0,         22,       1915,       1920,       1924,       1929,       1933,         -1,         -1,         -1, 
296 :          @,        214,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
297 :          @,        214,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
298 :          @,        214,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
299 :          @,        214,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
300 :      nuriC,        215,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
301 :          @,        215,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
302 :          @,        215,          0,        255,          0,         23,       1943,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
303 :          @,        215,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
304 :          @,        215,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
305 :          @,        215,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
306 :      nuriB,        216,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
307 :          @,        216,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
308 :          @,        216,          0,        255,          0,         23,       1944,       1948,         -1,         -1,         -1,         -1,         -1,         -1, 
309 :          @,        216,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
310 :          @,        216,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
311 :          @,        216,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
312 :      nuriA,        217,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
313 :          @,        217,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
314 :          @,        217,          0,        255,          0,         23,       1945,       1949,       1954,       1958,         -1,         -1,         -1,         -1, 
315 :          @,        217,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
316 :          @,        217,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
317 :          @,        217,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
318 :      nuriS,        218,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
319 :          @,        218,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
320 :          @,        218,          0,        255,          0,         23,       1945,       1950,       1954,       1959,       1963,         -1,         -1,         -1, 
321 :          @,        218,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
322 :          @,        218,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
323 :          @,        218,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
324 :      bombC,        219,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
325 :          @,        219,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
326 :          @,        219,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
327 :          @,        219,          0,        255,          0,         24,       1973,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
328 :          @,        219,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
329 :          @,        219,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
330 :      bombB,        220,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
331 :          @,        220,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
332 :          @,        220,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
333 :          @,        220,          0,        255,          0,         24,       1974,       1978,         -1,         -1,         -1,         -1,         -1,         -1, 
334 :          @,        220,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
335 :          @,        220,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
336 :      bombA,        221,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
337 :          @,        221,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
338 :          @,        221,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
339 :          @,        221,          0,        255,          0,         24,       1975,       1979,       1984,       1988,         -1,         -1,         -1,         -1, 
340 :          @,        221,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
341 :          @,        221,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
342 :      bombS,        222,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
343 :          @,        222,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
344 :          @,        222,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
345 :          @,        222,          0,        255,          0,         24,       1975,       1980,       1984,       1989,       1993,         -1,         -1,         -1, 
346 :          @,        222,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
347 :          @,        222,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
348 :      trapC,        223,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
349 :          @,        223,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
350 :          @,        223,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
351 :          @,        223,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
352 :          @,        223,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
353 :          @,        223,          0,        255,          0,         26,       2033,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
354 :      trapB,        224,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
355 :          @,        224,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
356 :          @,        224,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
357 :          @,        224,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
358 :          @,        224,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
359 :          @,        224,          0,        255,          0,         26,       2034,       2038,         -1,         -1,         -1,         -1,         -1,         -1, 
360 :      trapA,        225,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
361 :          @,        225,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
362 :          @,        225,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
363 :          @,        225,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
364 :          @,        225,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
365 :          @,        225,          0,        255,          0,         26,       2035,       2039,       2043,         -1,         -1,         -1,         -1,         -1, 
366 :      trapS,        226,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
367 :          @,        226,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
368 :          @,        226,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
369 :          @,        226,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
370 :          @,        226,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
371 :          @,        226,          0,        255,          0,         26,       2035,       2039,       2044,       2048,         -1,         -1,         -1,         -1, 
372 : yakusouBnuriC,        227,          0,        255,          6,         21,       1884,       1888,         -1,         -1,         -1,         -1,         -1,         -1, 
373 :          @,        227,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
374 :          @,        227,          0,        255,          0,         23,       1943,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
375 :          @,        227,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
376 :          @,        227,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
377 :          @,        227,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
378 : yakusouAbombC,        228,          0,        255,          6,         21,       1885,       1889,       1894,       1898,         -1,         -1,         -1,         -1, 
379 :          @,        228,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
380 :          @,        228,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
381 :          @,        228,          0,        255,          0,         24,       1973,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
382 :          @,        228,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
383 :          @,        228,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
384 : nuriAyakusouA,        229,          0,        255,          6,         21,       1885,       1889,       1893,         -1,         -1,         -1,         -1,         -1, 
385 :          @,        229,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
386 :          @,        229,          0,        255,          0,         23,       1945,       1949,       1954,       1958,         -1,         -1,         -1,         -1, 
387 :          @,        229,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
388 :          @,        229,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
389 :          @,        229,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
390 : yakusouSpotionS,        230,          0,        255,          6,         21,       1885,       1889,       1894,       1898,         -1,         -1,         -1,         -1, 
391 :          @,        230,          0,        255,          0,         22,       1915,       1920,       1924,       1929,       1933,         -1,         -1,         -1, 
392 :          @,        230,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
393 :          @,        230,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
394 :          @,        230,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
395 :          @,        230,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
396 : yakusouSpotionA,        231,          0,        255,          6,         21,       1885,       1890,       1894,       1899,       1903,         -1,         -1,         -1, 
397 :          @,        231,          0,        255,          0,         22,       1913,       1918,       1923,         -1,         -1,         -1,         -1,         -1, 
398 :          @,        231,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
399 :          @,        231,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
400 :          @,        231,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
401 :          @,        231,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
402 : nuriSpotionS,        232,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
403 :          @,        232,          0,        255,          0,         22,       1915,       1919,       1924,       1928,         -1,         -1,         -1,         -1, 
404 :          @,        232,          0,        255,          0,         23,       1945,       1950,       1954,       1959,       1963,         -1,         -1,         -1, 
405 :          @,        232,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
406 :          @,        232,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
407 :          @,        232,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
408 : trapSyakusouS,        233,          0,        255,          6,         21,       1885,       1889,       1894,       1898,         -1,         -1,         -1,         -1, 
409 :          @,        233,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
410 :          @,        233,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
411 :          @,        233,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
412 :          @,        233,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
413 :          @,        233,          0,        255,          0,         26,       2035,       2039,       2044,       2048,         -1,         -1,         -1,         -1, 
414 : btl_7th_01,        248,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
415 :          @,        248,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
416 :          @,        248,          0,        255,          0,         23,       1945,       1950,       1954,       1959,       1963,         -1,         -1,         -1, 
417 :          @,        248,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
418 :          @,        248,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
419 :          @,        248,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
420 : btl_7th_02,        249,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
421 :          @,        249,          0,        255,          0,         22,       1915,       1920,       1924,       1929,       1933,         -1,         -1,         -1, 
422 :          @,        249,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
423 :          @,        249,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
424 :          @,        249,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
425 :          @,        249,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
426 : btl_7th_03,        250,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
427 :          @,        250,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
428 :          @,        250,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
429 :          @,        250,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
430 :          @,        250,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
431 :          @,        250,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
432 : btl_7th_04,        251,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
433 :          @,        251,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
434 :          @,        251,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
435 :          @,        251,          0,        255,          0,         24,       1975,       1980,       1984,       1989,       1993,         -1,         -1,         -1, 
436 :          @,        251,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
437 :          @,        251,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
438 : btl_7th_05,        252,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
439 :          @,        252,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
440 :          @,        252,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
441 :          @,        252,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
442 :          @,        252,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
443 :          @,        252,          0,        255,          0,         26,       2035,       2039,       2044,       2048,         -1,         -1,         -1,         -1, 
444 : btl_7th_06,        253,          0,        255,          6,         21,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
445 :          @,        253,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
446 :          @,        253,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
447 :          @,        253,          0,        255,          0,         24,       1975,       1980,       1984,       1989,       1993,         -1,         -1,         -1, 
448 :          @,        253,          0,        255,          0,         25,       2005,       2010,       2014,       2019,       2024,         -1,         -1,         -1, 
449 :          @,        253,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
450 : btl_7th_07,        254,          0,        255,          6,         21,       1885,       1890,       1894,       1899,       1903,         -1,         -1,         -1, 
451 :          @,        254,          0,        255,          0,         22,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
452 :          @,        254,          0,        255,          0,         23,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
453 :          @,        254,          0,        255,          0,         24,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
454 :          @,        254,          0,        255,          0,         25,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
455 :          @,        254,          0,        255,          0,         26,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 

