           km_, km_check_num, km_btl_command, km_logic_ctrl_ctrl_15, km_logic_ctrl_ctrl_14, km_logic_ctrl_ctrl_13, km_logic_ctrl_ctrl_12, km_logic_ctrl_ctrl_11, km_logic_ctrl_ctrl_10, km_logic_ctrl_ctrl_9, km_logic_ctrl_ctrl_8, km_logic_ctrl_ctrl_7, km_logic_ctrl_ctrl_6, km_logic_ctrl_ctrl_5, km_logic_ctrl_ctrl_4, km_logic_ctrl_ctrl_3, km_logic_ctrl_ctrl_2, km_logic_ctrl_ctrl_1, km_logic_ctrl_ctrl_0,   km_ratio, km_moral_above, km_moral_under,    km_tgt1,   km_cond1,  km_arg1_1,  km_arg1_2,    km_tgt2,   km_cond2,  km_arg2_1,  km_arg2_2,    km_tgt3,   km_cond3,  km_arg3_1,  km_arg3_2, 
112 :          @,          0,         59,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         60,          0,          0,         19,        382,         -1,         -1,         -1,         -1,         -1,         -1,         13,        287,          2,         -1, 
113 :          @,          0,         53,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         30,          0,          0,         22,        372,         -1,         -1,         17,        376,         -1,         -1,         -1,         -1,         -1,         -1, 
114 :          @,          0,         54,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         22,        372,         -1,         -1,         17,        376,         -1,         -1,         13,        213,    5505718,         -1, 
115 :          @,          0,         74,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          1,          0,         13,        372,         -1,         -1,         13,        213,    5505718,         -1,         13,        475,          2,         -1, 
116 :  ATTR_0240,         11,        207,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,         50,          0,          0,         13,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
117 :          @,          0,         81,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         13,        340,         -1,         -1,         17,        344,         -1,         -1,         -1,         -1,         -1,         -1, 
118 :          @,          0,         80,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,         67,          0,          0,         13,        340,         -1,         -1,         17,        344,         -1,         -1,         -1,         -1,         -1,         -1, 
119 :          @,          0,         77,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,         33,          0,          0,         13,        340,         -1,         -1,         17,        344,         -1,         -1,         -1,         -1,         -1,         -1, 
120 :          @,          0,         82,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         -1,         -1,         -1,         -1, 
121 :          @,          0,        100,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         -1,         -1,         -1,         -1, 
122 :          @,          0,        101,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         13,        213,    5505718,         -1, 
123 :          @,          0,         78,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,         50,          0,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         -1,         -1,         -1,         -1, 
124 :          @,          0,         79,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         13,        213,    5505718,         -1, 
125 :          @,          0,         75,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,         25,          0,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         -1,         -1,         -1,         -1, 
126 :          @,          0,         76,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          0,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         13,        213,    5505718,         -1, 
127 :  ATTR_0200,         22,        177,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        344,         -1,         -1,         13,        213,    5505718,         -1,         13,        287,          4,          2, 
128 :          @,          0,        176,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         80,          0,          0,         17,        344,         -1,         -1,         17,        338,    7667716,         -1,         13,        287,          4,          2, 
129 :          @,          0,        175,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         80,          0,          0,         17,        344,         -1,         -1,         17,        338,    7667717,         -1,         13,        287,          4,          2, 
130 :          @,          0,        174,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         67,          0,          0,         17,        344,         -1,         -1,         13,        482,          3,         -1,         13,        287,          4,          2, 
131 :          @,          0,        173,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         67,          0,          0,         17,        344,         -1,         -1,         -1,         -1,         -1,         -1,         13,        287,          4,          2, 
132 :          @,          0,        172,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        344,         -1,         -1,         13,        213,    5505718,         -1,         13,        191,          4,         -1, 
133 :          @,          0,        171,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         80,          0,          0,         17,        344,         -1,         -1,         17,        338,    7667716,         -1,         13,        191,          4,         -1, 
134 :          @,          0,        170,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         80,          0,          0,         17,        344,         -1,         -1,         17,        338,    7667717,         -1,         13,        191,          4,         -1, 
135 :          @,          0,        169,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         67,          0,          0,         17,        344,         -1,         -1,         13,        482,          3,         -1,         13,        191,          4,         -1, 
136 :          @,          0,        168,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         67,          0,          0,         17,        344,         -1,         -1,         -1,         -1,         -1,         -1,         13,        191,          4,         -1, 
137 :          @,          0,        179,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,          0,         -1,         -1,         13,        213,    5505718,         -1,         13,        191,          2,         -1, 
138 :          @,          0,        178,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         67,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         13,        191,          2,         -1, 
139 :          @,          0,        167,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,          0,         -1,         -1,         13,        213,    5505718,         -1,         13,        287,          4,          2, 
140 :          @,          0,        166,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         67,          0,          0,         17,          0,         -1,         -1,         13,        482,          3,         -1,         13,        287,          4,          2, 
141 :          @,          0,        165,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         67,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         13,        287,          4,          2, 
142 :          @,          0,        164,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         50,          0,          0,         17,          0,         -1,         -1,         13,        482,          3,         -1,         13,        287,          4,          2, 
143 :          @,          0,        163,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         50,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         13,        287,          4,          2, 
144 :          @,          0,        162,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,          0,         -1,         -1,         13,        213,    5505718,         -1,         13,        191,          4,         -1, 
145 :          @,          0,        161,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         67,          0,          0,         17,          0,         -1,         -1,         13,        482,          3,         -1,         13,        191,          4,         -1, 
146 :          @,          0,        160,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         67,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         13,        191,          4,         -1, 
147 :          @,          0,        159,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         50,          0,          0,         17,          0,         -1,         -1,         13,        482,          3,         -1,         13,        191,          4,         -1, 
148 :          @,          0,        158,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         50,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         13,        191,          4,         -1, 
149 :  ATTR_0175,          4,        198,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        368,         -1,         -1,         17,        383,         -1,         -1,         -1,         -1,         -1,         -1, 
150 :          @,          0,        197,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,        349,         -1,         -1,         13,        213,    5505714,         -1,         17,        383,         -1,         -1, 
151 :          @,          0,        196,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        367,         -1,         -1,         17,        383,         -1,         -1,         -1,         -1,         -1,         -1, 
152 :          @,          0,        195,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,        348,         -1,         -1,         13,        213,    5505713,         -1,         17,        383,         -1,         -1, 
153 :  ATTR_0120,          6,        200,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        340,         -1,         -1,         13,        372,         -1,         -1,         13,        211,   20447252,          0, 
154 :          @,          0,        199,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,        340,         -1,         -1,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
155 :          @,          0,        131,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         50,          0,          0,         17,          0,         -1,         -1,         13,        211,   20447275,          0,         -1,         -1,         -1,         -1, 
156 :          @,          0,        130,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
157 :          @,          0,        129,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         50,          0,          0,         17,          0,         -1,         -1,         13,        211,   20447252,          0,         -1,         -1,         -1,         -1, 
158 :          @,          0,        128,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
159 :  ATTR_0119,         12,        194,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,        426,          0,         90,         13,        219,   20381699,          4,         17,        191,          3,         -1, 
160 :          @,          0,        193,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,        191,          3,         -1,         13,        219,   20381700,          4,         -1,         -1,         -1,         -1, 
161 :          @,          0,        192,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,        191,          3,         -1,         13,        219,   20381701,          4,         -1,         -1,         -1,         -1, 
162 :          @,          0,        191,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,        191,          3,         -1,         13,        219,   20381697,          4,         -1,         -1,         -1,         -1, 
163 :          @,          0,        154,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
164 :          @,          0,        182,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         33,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
165 :          @,          0,        153,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
166 :          @,          0,        155,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,          5,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
167 :          @,          0,        156,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         50,          0,          0,         17,        344,         -1,         -1,         13,        361,         -1,         -1,         -1,         -1,         -1,         -1, 
168 :          @,          0,        157,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,        340,         -1,         -1,         19,        361,         -1,         -1,         -1,         -1,         -1,         -1, 
169 :          @,          0,        181,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         40,          0,          0,         17,          0,         -1,         -1,         13,        213,    5505718,         -1,         13,        191,          2,         -1, 
170 :          @,          0,        180,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         13,        191,          2,         -1, 
171 :  ATTR_0110,          6,        151,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        531,          3,          2,         13,        396,          4,          2,         -1,         -1,         -1,         -1, 
172 :          @,          0,        150,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        531,          3,          1,         13,        396,          4,          2,         -1,         -1,         -1,         -1, 
173 :          @,          0,        152,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        531,          3,          0,         13,        396,          4,          2,         -1,         -1,         -1,         -1, 
174 :          @,          0,        148,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         40,          0,          0,         17,        531,          3,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
175 :          @,          0,        147,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         40,          0,          0,         17,        531,          3,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
176 :          @,          0,        149,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         30,          0,          0,         17,        531,          3,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
177 :  ATTR_0109,          6,        144,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        531,          3,          2,         13,        396,          4,          3,         -1,         -1,         -1,         -1, 
178 :          @,          0,        146,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        531,          3,          1,         13,        396,          4,          3,         -1,         -1,         -1,         -1, 
179 :          @,          0,        145,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        531,          3,          0,         13,        396,          4,          3,         -1,         -1,         -1,         -1, 
180 :          @,          0,        141,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         35,          0,          0,         17,        531,          3,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
181 :          @,          0,        143,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         25,          0,          0,         17,        531,          3,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
182 :          @,          0,        142,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         35,          0,          0,         17,        531,          3,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
183 :  ATTR_0108,          6,        140,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        531,          3,          2,         13,        396,          4,          3,         -1,         -1,         -1,         -1, 
184 :          @,          0,        139,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        531,          3,          1,         13,        396,          4,          3,         -1,         -1,         -1,         -1, 
185 :          @,          0,        138,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        531,          3,          0,         13,        396,          4,          3,         -1,         -1,         -1,         -1, 
186 :          @,          0,        137,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,        531,          3,          2,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
187 :          @,          0,        136,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         30,          0,          0,         17,        531,          3,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
188 :          @,          0,        135,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         30,          0,          0,         17,        531,          3,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
189 :  ATTR_0105,          3,        134,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,          0,         -1,         -1,         13,        213,    5505717,         -1,         -1,         -1,         -1,         -1, 
190 :          @,          0,        133,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,          0,         -1,         -1,         13,        213,    5505716,         -1,         -1,         -1,         -1,         -1, 
191 :          @,          0,        132,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,          0,         -1,         -1,         13,        213,    5505715,         -1,         -1,         -1,         -1,         -1, 
192 :  ATTR_0090,          6,        190,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         10,          0,          0,         17,          3,         40,        999,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
193 :          @,          0,        189,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,          6,          0,          0,         17,        340,         -1,         -1,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
194 :          @,          0,        188,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,          3,          0,          0,         17,          0,         -1,         -1,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
195 :          @,          0,        187,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         17,          3,         40,        999,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
196 :          @,          0,        186,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         10,          0,          0,         17,        340,         -1,         -1,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
197 :          @,          0,        185,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,          5,          0,          0,         17,          0,         -1,         -1,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
198 :  ATTR_0089,          2,         28,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          1,         20,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
199 :          @,          0,         27,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          1,         20,          0,          0,         17,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
200 :  ATTR_0080,          6,        204,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         50,          0,          0,         19,          0,         -1,         -1,         13,        372,         -1,         -1,         13,        211,   20447275,          0, 
201 :          @,          0,        203,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         19,          0,         -1,         -1,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
202 :          @,          0,        202,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         19,          0,         -1,         -1,         13,        372,         -1,         -1,         13,        211,   20447275,          0, 
203 :          @,          0,        102,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,         33,          1,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         -1,         -1,         -1,         -1, 
204 :          @,          0,        201,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         20,          0,          0,         19,          0,         -1,         -1,         13,        372,         -1,         -1,         -1,         -1,         -1,         -1, 
205 :          @,          0,        103,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,        100,          1,          0,         13,        372,         -1,         -1,         13,        213,    5505718,         -1,         13,        475,          2,         -1, 
206 :  ATTR_0070,          6,         86,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         22,        448,    5570571,         -1,         13,        191,          2,         -1,         13,        464,    5570571,         -1, 
207 :          @,          0,         97,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         50,          1,          0,         17,        401,         -1,         -1,         19,        382,         -1,         -1,         -1,         -1,         -1,         -1, 
208 :          @,          0,         98,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         33,          1,          0,         19,        382,         -1,         -1,         17,        369,         -1,         -1,         -1,         -1,         -1,         -1, 
209 :          @,          0,         99,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         50,          0,          0,         19,        382,         -1,         -1,         17,        369,         -1,         -1,         13,        213,    5505718,         -1, 
210 :          @,          0,         95,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         33,          1,          0,         22,        372,         -1,         -1,         17,        376,         -1,         -1,         -1,         -1,         -1,         -1, 
211 :          @,          0,         96,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,         50,          0,          0,         22,        372,         -1,         -1,         17,        376,         -1,         -1,         13,        213,    5505718,         -1, 
212 :  ATTR_0016,          1,        205,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,         20,          0,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         -1,         -1,         -1,         -1, 
213 :  ATTR_0015,          1,        206,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,         20,          0,          0,         22,        464,    5570579,         -1,         22,         20,         -1,         -1,         22,        464,    5570580,         -1, 
214 :  ATTR_0014,          1,        210,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          1,          0,          0,          0,         20,          0,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         -1,         -1,         -1,         -1, 
215 :  ATTR_0013,          1,        211,          0,          1,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,         20,          0,          0,         22,        464,    5570580,         -1,         22,         84,         -1,         -1,         22,        464,    5570579,         -1, 
216 :  ATTR_0012,          7,         52,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        344,         -1,         -1,         13,        448,    5570579,         -1,         -1,         -1,         -1,         -1, 
217 :          @,          0,         50,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        372,         -1,         -1,         13,        448,    5570579,         -1,         -1,         -1,         -1,         -1, 
218 :          @,          0,         51,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         17,        344,         -1,         -1,         13,        213,    5505722,         -1,         -1,         -1,         -1,         -1, 
219 :          @,          0,         49,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         50,          0,          0,         17,        372,         -1,         -1,         13,        213,    5505722,         -1,         -1,         -1,         -1,         -1, 
220 :          @,          0,         39,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         33,          0,          0,         13,        515,          0,          1,         22,        448,    5570579,         -1,         13,        475,          2,         -1, 
221 :          @,          0,         38,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         13,        448,    5570580,         -1,         13,        515,          0,          1,         13,        475,          2,         -1, 
222 :          @,          0,         37,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         33,          0,          0,         13,        213,    5505720,         -1,         13,        515,          0,          1,         13,        475,          2,         -1, 
223 :  ATTR_0011,          2,         35,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         33,          1,          0,         13,        372,         -1,         -1,         13,         -1,         -1,         -1,         13,        475,          2,         -1, 
224 :          @,          0,         33,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         33,          0,          0,         13,        213,    5505721,         -1,         13,        515,          0,          1,         13,        475,          2,         -1, 
225 :  ATTR_0010,         10,         48,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         -1,         -1,         -1,         -1, 
226 :          @,          0,         47,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         -1,         -1,         -1,         -1, 
227 :          @,          0,         46,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         -1,         -1,         -1,         -1, 
228 :          @,          0,         45,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,         50,          0,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         13,        211,   20447275,          0, 
229 :          @,          0,         44,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,          0,        100,          0,          0,         13,        372,         -1,         -1,         13,        475,          2,         -1,         13,        211,   20447252,          0, 
