           km_,   km_namen, km_class_ancestry, km_class_rank, km_class_type, km_class_lv, km_class_rankup,      km_hp,      km_ap,     km_spd, km_mgcskill_07, km_sp_ctrl_15, km_sp_ctrl_14, km_sp_ctrl_13, km_sp_ctrl_12, km_sp_ctrl_11, km_sp_ctrl_10, km_sp_ctrl_9, km_sp_ctrl_8, km_sp_ctrl_7, km_sp_ctrl_6, km_sp_ctrl_5, km_sp_ctrl_4, km_sp_ctrl_3, km_sp_ctrl_2, km_sp_ctrl_1, km_sp_ctrl_0,     km_str,     km_mgc, km_eqskill_oh_oh, km_eqskill_oh_th, km_eqskill_oh_ww, km_eqskill_th_th, km_eqskill_s_fw, km_eqskill_s_oh, km_eqskill_s_th, km_artsskill_sword, km_artsskill_katana, km_artsskill_axe, km_artsskill_mace, km_artsskill_spear, km_artsskill_staff, km_mgcskill_01, km_mgcskill_02, km_mgcskill_03, km_mgcskill_04, km_mgcskill_05, km_mgcskill_06, km_mgcc_cnt, km_mgcc_threshold, km_itemskill_01, km_itemskill_02, km_itemskill_03, km_itemskill_04, km_itemskill_05, km_itemskill_06, km_class_bonus_1, km_class_bonus_2, km_class_bonus_3, km_class_bonus_4, km_logic_target_union, km_logic_target_unit, 
59 : class_fighter_type_J_006,         60,          1,          3,         10,          6,          1,        672,         52,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,         48,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        255,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        115,         36,         50,        691,         56,       2955, 
60 : class_fighter_type_K_001,         61,          1,          4,         11,          1,          0,        624,         47,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         41,          0,          9,          9,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        116,         -1,         50,        691,         59,       2955, 
61 : class_fighter_type_K_002,         62,          1,          4,         11,          2,          0,        636,         49,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         43,          0,         10,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        116,        544,         50,        691,         59,       2955, 
62 : class_fighter_type_K_003,         63,          1,          4,         11,          3,          0,        672,         52,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         45,          0,         11,         11,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        117,        544,         50,        691,         59,       2990, 
63 : class_fighter_type_K_004,         64,          1,          4,         11,          4,          1,        732,         55,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         47,          0,         12,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        118,        545,         50,        691,         59,       2990, 
64 : class_fighter_type_K_005,         65,          1,          4,         11,          5,          1,        804,         60,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         50,          0,         13,         13,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        119,        546,         50,        691,         59,       3056, 
65 : class_fighter_type_K_006,         66,          1,          4,         11,          6,          1,        900,         68,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         54,          0,         14,         14,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        120,        547,         50,        691,         59,       3056, 
66 : class_fighter_type_L_001,         67,          1,          4,         12,          1,          0,        624,         47,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         41,          0,          9,          0,          9,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        121,        691,         50,        697,         59,       2955, 
67 : class_fighter_type_L_002,         68,          1,          4,         12,          2,          0,        636,         49,         22,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         43,          0,         10,          0,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        121,        691,         50,        697,         59,       2955, 
68 : class_fighter_type_L_003,         69,          1,          4,         12,          3,          0,        672,         52,         23,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         45,          0,         11,          0,         11,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        122,        691,         50,        697,         59,       2969, 
69 : class_fighter_type_L_004,         70,          1,          4,         12,          4,          1,        732,         55,         23,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         47,          0,         12,          0,         12,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        123,        691,         50,        697,         59,       2969, 
70 : class_fighter_type_L_005,         71,          1,          4,         12,          5,          1,        804,         60,         24,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         50,          0,         13,          0,         13,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        124,        691,         50,        697,         59,       2969, 
71 : class_fighter_type_L_006,         72,          1,          4,         12,          6,          1,        900,         68,         25,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         54,          0,         14,          0,         14,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        125,        691,         50,        697,         59,       2969, 
72 : class_fighter_type_M_001,         73,          1,          5,         13,          1,          0,        768,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,         47,          0,         13,         13,          0,         13,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          0,          6,          0,          0,          0,        131,         -1,         -1,        698,         47,       3190, 
73 : class_fighter_type_M_002,         74,          1,          5,         13,          2,          0,        804,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,         49,          0,         14,         14,          0,         14,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          0,          6,          0,          0,          0,        131,        136,         -1,        698,         47,       3190, 
74 : class_fighter_type_M_003,         75,          1,          5,         13,          3,          0,        852,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,         51,          0,         15,         15,          0,         15,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          0,          6,          0,          0,          0,        132,        136,        554,        698,         47,       3190, 
75 : class_fighter_type_M_004,         76,          1,          5,         13,          4,          1,        912,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,         53,          0,         16,         16,          0,         16,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          0,          6,          0,          0,          0,        133,        137,        554,        698,         47,       3190, 
76 : class_fighter_type_M_005,         77,          1,          5,         13,          5,          1,       1020,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,         56,          0,         17,         17,          0,         17,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          0,          6,          0,          0,          0,        134,        138,        554,        698,         47,       3190, 
77 : class_fighter_type_M_006,         78,          1,          5,         13,          6,          1,       1146,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,         61,          0,         18,         18,          0,         18,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          6,          0,          6,          0,          0,          0,        135,        139,        554,        698,         47,       3190, 
78 : class_fighter_type_N_001,         79,          1,          6,         14,          1,          0,       1008,          0,         24,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,         53,          0,          0,         16,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,        151,         56,         50,        696,         47,       3056, 
79 : class_fighter_type_N_002,         80,          1,          6,         14,          2,          0,       1044,          0,         24,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,         55,          0,          0,         17,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,        151,         56,         50,        696,         47,       3056, 
80 : class_fighter_type_N_003,         81,          1,          6,         14,          3,          0,       1104,          0,         25,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,         57,          0,          0,         18,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,        152,         57,         50,        696,         47,       3056, 
81 : class_fighter_type_N_004,         82,          1,          6,         14,          4,          1,       1188,          0,         26,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,         59,          0,          0,         19,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,        153,         58,         50,        696,         51,       3127, 
82 : class_fighter_type_N_005,         83,          1,          6,         14,          5,          1,       1320,          0,         26,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,         63,          0,          0,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,        154,         59,         50,        696,         51,       3127, 
83 : class_fighter_type_N_006,         84,          1,          6,         14,          6,          1,       1464,          0,         28,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,         68,          0,          0,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,          0,          0,          0,        155,         60,         50,        696,         51,       3127, 
84 : class_fighter_type_O_001,         85,          1,          7,         15,          1,          0,       1236,         89,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         59,          0,          0,          0,          0,          0,          0,          0,          0,         19,         19,         19,         19,         19,         19,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        151,         -1,         50,        696,         63,       3102, 
85 : class_fighter_type_O_002,         86,          1,          7,         15,          2,          0,       1284,         92,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         61,          0,          0,          0,          0,          0,          0,          0,          0,         20,         20,         20,         20,         20,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        151,        687,         50,        696,         63,       3102, 
86 : class_fighter_type_O_003,         87,          1,          7,         15,          3,          0,       1356,         97,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         64,          0,          0,          0,          0,          0,          0,          0,          0,         21,         21,         21,         21,         21,         21,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        152,        687,         50,        696,         63,       3102, 
87 : class_fighter_type_O_004,         88,          1,          7,         15,          4,          1,       1464,        104,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         67,          0,          0,          0,          0,          0,          0,          0,          0,         22,         22,         22,         22,         22,         22,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        153,        687,         50,        696,         63,       3102, 
88 : class_fighter_type_O_005,         89,          1,          7,         15,          5,          1,       1620,        112,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         71,          0,          0,          0,          0,          0,          0,          0,          0,         23,         23,         23,         23,         23,         23,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        154,        687,         50,        696,         63,       3102, 
89 : class_fighter_type_O_006,         90,          1,          7,         15,          6,          1,       1800,        124,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          1,          0,         74,          0,          0,          0,          0,          0,          0,          0,          0,         25,         25,         25,         25,         25,         25,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        155,        687,         50,        696,         63,       3102, 
90 : class_technique_type_A_001,         91,          2,          5,         16,          1,          0,        520,         47,         21,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         41,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,        449,         -1,         -1,        694,         47,       3250, 
91 : class_technique_type_A_002,         92,          2,          5,         16,          2,          0,        530,         49,         22,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         43,         43,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,        449,        176,         -1,        694,         47,       3250, 
92 : class_technique_type_A_003,         93,          2,          5,         16,          3,          0,        560,         52,         23,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         45,         45,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,        450,        176,        181,        694,         47,       3250, 
93 : class_technique_type_A_004,         94,          2,          5,         16,          4,          1,        610,         55,         23,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         47,         47,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,        451,        177,        181,        694,         47,       3250, 
94 : class_technique_type_A_005,         95,          2,          5,         16,          5,          1,        670,         60,         24,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         50,         50,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,        452,        178,        182,        694,         47,       3250, 
95 : class_technique_type_A_006,         96,          2,          5,         16,          6,          1,        750,         68,         25,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         54,         54,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,          0,          0,        453,        179,        183,        694,         47,       3250, 
96 : class_technique_type_B_001,         97,          2,          5,         17,          1,          0,        640,          0,         23,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         47,         47,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,        474,         -1,         -1,        693,         59,       3459, 
97 : class_technique_type_B_002,         98,          2,          5,         17,          2,          0,        670,          0,         23,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         49,         49,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,        474,        534,         -1,        693,         59,       3459, 
98 : class_technique_type_B_003,         99,          2,          5,         17,          3,          0,        710,          0,         24,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         51,         51,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,        475,        534,        186,        693,         59,       3459, 
99 : class_technique_type_B_004,        100,          2,          5,         17,          4,          1,        760,          0,         24,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         53,         53,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,        476,        535,        186,        693,         59,       3459, 
100 : class_technique_type_B_005,        101,          2,          5,         17,          5,          1,        850,          0,         25,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         56,         56,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,        477,        536,        187,        693,         59,       3459, 
101 : class_technique_type_B_006,        102,          2,          5,         17,          6,          1,        960,          0,         26,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         61,         61,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,        478,        537,        188,        693,         59,       3459, 
102 : class_technique_type_C_001,        103,          2,          5,         18,          1,          0,        640,          0,         23,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         47,         47,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,        459,         -1,         -1,        694,         59,       3459, 
103 : class_technique_type_C_002,        104,          2,          5,         18,          2,          0,        670,          0,         23,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         49,         49,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,        459,         38,         -1,        694,         59,       3459, 
104 : class_technique_type_C_003,        105,          2,          5,         18,          3,          0,        710,          0,         24,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         51,         51,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,        460,         38,        181,        694,         59,       3459, 
105 : class_technique_type_C_004,        106,          2,          5,         18,          4,          1,        760,          0,         24,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         53,         53,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,        461,         39,        181,        694,         59,       3459, 
106 : class_technique_type_C_005,        107,          2,          5,         18,          5,          1,        850,          0,         25,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         56,         56,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,        462,         40,        182,        694,         59,       3459, 
107 : class_technique_type_C_006,        108,          2,          5,         18,          6,          1,        960,          0,         26,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,         61,         61,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,          0,          0,          0,        463,         41,        183,        694,         59,       3459, 
108 : class_technique_type_D_001,        109,          2,          6,         19,          1,          0,        840,         74,         24,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,         53,         53,         15,          0,          0,          0,          0,          0,          0,         13,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        166,         -1,         50,        690,         63,       3391, 
109 : class_technique_type_D_002,        110,          2,          6,         19,          2,          0,        870,         76,         24,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,         55,         55,         16,          0,          0,          0,          0,          0,          0,         14,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        166,         38,         50,        690,         63,       3391, 
110 : class_technique_type_D_003,        111,          2,          6,         19,          3,          0,        920,         80,         25,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,         57,         57,         17,          0,          0,          0,          0,          0,          0,         15,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        167,         38,         50,        690,         63,       3391, 
111 : class_technique_type_D_004,        112,          2,          6,         19,          4,          1,        990,         86,         26,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,         59,         59,         18,          0,          0,          0,          0,          0,          0,         16,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        168,         39,         50,        690,         63,       3391, 
112 : class_technique_type_D_005,        113,          2,          6,         19,          5,          1,       1100,         94,         26,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,         63,         63,         19,          0,          0,          0,          0,          0,          0,         17,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        169,         40,         50,        690,         63,       3391, 
113 : class_technique_type_D_006,        114,          2,          6,         19,          6,          1,       1220,        105,         28,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,         68,         68,         20,          0,          0,          0,          0,          0,          0,         18,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        170,         41,         50,        690,         63,       3391, 
114 : class_magic_knight_type_A_001,        133,          4,          4,         23,          1,          0,          0,         47,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         41,         41,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         51,         -1,         50,        697,         59,       4090, 
115 : class_magic_knight_type_A_002,        134,          4,          4,         23,          2,          0,          0,         49,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         43,         43,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         51,        379,         50,        697,         59,       4090, 
116 : class_magic_knight_type_A_003,        135,          4,          4,         23,          3,          0,          0,         52,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         45,         45,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         52,        379,         50,        697,         59,       4090, 
117 : class_magic_knight_type_A_004,        136,          4,          4,         23,          4,          1,          0,         55,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         47,         47,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        254,        254,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         53,        380,         50,        697,         59,       4090, 
