           km_,   km_namen,    km_icon, km_eq_type, km_eq_sword, km_eq_katana,  km_eq_axe, km_eq_mace, km_eq_spear, km_eq_staff, km_eq_shield, km_eq_accessory,  km_size_s,  km_size_m,  km_size_l, km_size_ll,  km_eq_sub, km_eq_twoh, km_eq_subonly, km_eqset_qsitis, km_eqset_mitras, km_eqset_yamas, km_eqset_sovanis, km_eqonly_qsitis, km_eqonly_mitras, km_eqonly_yamas, km_eqonly_sovanis, km_eqonly_chara, 
138 : mitras_shield_LL,         35,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,         -1, 
139 : yamas_shield_S,         32,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,         -1, 
140 : yamas_shield_M,         33,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          1,          0,          0,         10,          0,          0,          0,          1,          0,         -1, 
141 : yamas_shield_L,         34,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          1,          0,          1,          0,          0,         20,          0,          0,          0,          1,          0,         -1, 
142 : yamas_shield_LL,         35,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,          0,         30,          0,          0,          0,          1,          0,         -1, 
143 : sovanis_shield_S,         32,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
144 : sovanis_shield_M,         33,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
145 : sovanis_shield_L,         34,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
146 : sovanis_shield_LL,         35,         21,          3,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,         -1, 
147 :  accessory,         36,         31,          4,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        100,        100,        100,        100,          0,          0,          0,          0,         -1, 
148 : qsitis_accessory,         36,         31,          4,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        100,        100,        100,        100,          1,          0,          0,          0,         -1, 
149 : mitras_accessory,         36,         31,          4,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        100,        100,        100,        100,          0,          1,          0,          0,         -1, 
150 : yamas_accessory,         36,         31,          4,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        100,        100,        100,        100,          0,          0,          1,          0,         -1, 
151 : sovanis_accessory,         36,         31,          4,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        100,        100,        100,        100,          0,          0,          0,          1,         -1, 
152 : accessory_rush,         36,         31,          4,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        100,        100,        100,        100,          0,          0,          0,          0,          0, 
153 : accessory_irina,         36,         31,          4,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        100,        100,        100,        100,          0,          0,          0,          0,        293, 
154 : accessory_david,         36,         31,          4,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        100,        100,        100,        100,          0,          0,          0,          0,          1, 
155 : accessory_emmy,         36,         31,          4,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        100,        100,        100,        100,          0,          0,          0,          0,        162, 
156 : accessory_plocter,         36,         31,          4,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        100,        100,        100,        100,          0,          0,          0,          0,          3, 
157 : accessory_pagus,         36,         31,          4,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        100,        100,        100,        100,          0,          0,          0,          0,          4, 
158 : accessory_torgal,         36,         31,          4,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        100,        100,        100,        100,          0,          0,          0,          0,          5, 
159 : accessory_jager,         36,         31,          4,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,        100,        100,        100,        100,          0,          0,          0,          0,        228, 

