           km_, km_ms01_exp, km_ms01_exp2, km_ms01_lv, km_ms02_exp, km_ms02_exp2, km_ms02_lv, km_ms03_exp, km_ms03_exp2, km_ms03_lv, km_ms04_exp, km_ms04_exp2, km_ms04_lv, km_ms05_exp, km_ms05_exp2, km_ms05_lv, km_ms06_exp, km_ms06_exp2, km_ms06_lv, km_ms07_exp, km_ms07_exp2, km_ms07_lv, km_ms08_exp, km_ms08_exp2, km_ms08_lv, km_ms09_exp, km_ms09_exp2, km_ms09_lv, km_ms10_exp, km_ms10_exp2, km_ms10_lv, km_ms11_exp, km_ms11_exp2, km_ms11_lv, km_ms12_exp, km_ms12_exp2, km_ms12_lv, km_ms13_exp, km_ms13_exp2, km_ms13_lv, km_ms14_exp, km_ms14_exp2, km_ms14_lv, km_ms15_exp, km_ms15_exp2, km_ms15_lv, km_ms16_exp, km_ms16_exp2, km_ms16_lv, 
416 : btl_free_npc_015_magic_kyujo,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
417 : btl_free_npc_015_magic_senjutsu,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
418 : btl_free_npc_015_magic_senryaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
419 : btl_free_npc_015_magic_kinki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
420 : btl_free_npc_090_magic_totsugeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
421 : btl_free_npc_090_magic_sogeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
422 : btl_free_npc_090_magic_kousaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
423 : btl_free_npc_090_magic_kyujo,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
424 : btl_free_npc_090_magic_senjutsu,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
425 : btl_free_npc_090_magic_senryaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
426 : btl_free_npc_090_magic_kinki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
427 : btl_free_npc_146_magic_totsugeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
428 : btl_free_npc_146_magic_sogeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
429 : btl_free_npc_146_magic_kousaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
430 : btl_free_npc_146_magic_kyujo,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
431 : btl_free_npc_146_magic_senjutsu,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
432 : btl_free_npc_146_magic_senryaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
433 : btl_free_npc_146_magic_kinki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
434 : btl_free_npc_118_magic_totsugeki,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
435 : btl_free_npc_118_magic_sogeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
436 : btl_free_npc_118_magic_kousaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
437 : btl_free_npc_118_magic_kyujo,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
438 : btl_free_npc_118_magic_senjutsu,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
439 : btl_free_npc_118_magic_senryaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
440 : btl_free_npc_118_magic_kinki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
441 : btl_pc_jorgen_class1_magic_totsugeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
442 : btl_pc_jorgen_class1_magic_sogeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
443 : btl_pc_jorgen_class1_magic_kousaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
444 : btl_pc_jorgen_class1_magic_kyujo,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
445 : btl_pc_jorgen_class1_magic_senjutsu,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
446 : btl_pc_jorgen_class1_magic_senryaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
447 : btl_pc_jorgen_class1_magic_kinki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
448 : btl_pc_jorgen_class2_magic_totsugeki,         32,          0,          2,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
449 : btl_pc_jorgen_class2_magic_sogeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
450 : btl_pc_jorgen_class2_magic_kousaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
451 : btl_pc_jorgen_class2_magic_kyujo,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
452 : btl_pc_jorgen_class2_magic_senjutsu,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
453 : btl_pc_jorgen_class2_magic_senryaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
454 : btl_pc_jorgen_class2_magic_kinki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
455 : btl_pc_jorgen_class3_magic_totsugeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
456 : btl_pc_jorgen_class3_magic_sogeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
457 : btl_pc_jorgen_class3_magic_kousaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
458 : btl_pc_jorgen_class3_magic_kyujo,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
459 : btl_pc_jorgen_class3_magic_senjutsu,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
460 : btl_pc_jorgen_class3_magic_senryaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
461 : btl_pc_jorgen_class3_magic_kinki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
462 : btl_pc_jorgen_class4_magic_totsugeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
463 : btl_pc_jorgen_class4_magic_sogeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
464 : btl_pc_jorgen_class4_magic_kousaku,        106,          0,          3,        169,          0,          3,         57,          0,          2,         57,          0,          2,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
465 : btl_pc_jorgen_class4_magic_kyujo,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
466 : btl_pc_jorgen_class4_magic_senjutsu,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
467 : btl_pc_jorgen_class4_magic_senryaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
468 : btl_pc_jorgen_class4_magic_kinki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
469 : btl_pc_jorgen_class5_magic_totsugeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
470 : btl_pc_jorgen_class5_magic_sogeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
471 : btl_pc_jorgen_class5_magic_kousaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
472 : btl_pc_jorgen_class5_magic_kyujo,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
473 : btl_pc_jorgen_class5_magic_senjutsu,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
474 : btl_pc_jorgen_class5_magic_senryaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
475 : btl_pc_jorgen_class5_magic_kinki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
476 : btl_pc_jorgen_class6_magic_totsugeki,        106,          0,          3,        169,          0,          3,         57,          0,          2,         86,          0,          2,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
477 : btl_pc_jorgen_class6_magic_sogeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
478 : btl_pc_jorgen_class6_magic_kousaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
479 : btl_pc_jorgen_class6_magic_kyujo,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
480 : btl_pc_jorgen_class6_magic_senjutsu,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
481 : btl_pc_jorgen_class6_magic_senryaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
482 : btl_pc_jorgen_class6_magic_kinki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
483 : btl_pc_jorgen_class7_magic_totsugeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
484 : btl_pc_jorgen_class7_magic_sogeki,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
485 : btl_pc_jorgen_class7_magic_kousaku,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
486 : btl_pc_jorgen_class7_magic_kyujo,          0,          0,          1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
487 : btl_pc_jorgen_class7_magic_senjutsu,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1,          0,          0,         -1, 
