           km_,   km_namen,    km_help, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell, km_no_menu,   km_item1,    km_num1,   km_odds1,   km_item2,    km_num2,   km_odds2,   km_item3,    km_num3,   km_odds3,   km_item4,    km_num4,   km_odds4, km_sozai_type1, km_sozai_type2, km_sozai_type3, km_sozai_type4, km_sozai_type5, km_sozai_type6, km_sozai_type7, km_sozai_type8, 
114 : mons_MC3010_100_clr2,        115,        115,         16,         61,       1802,       4732,       2151,          0,          0,    9044574,          3,         40,    9044453,          3,         40,    9044392,          3,         40,    9044171,          1,          5,          1,          0,          0,          0,          1,          1,          0,          0, 
115 : mons_MC3011_120_clr0,        116,        116,         16,         61,       1803,       2730,       1241,          0,          0,    9044574,          3,         40,    9044397,          3,         40,    9044580,          1,         10,         -1,          0,          0,          1,          0,          0,          0,          1,          1,          0,          0, 
116 : mons_MC3011_120_clr1,        117,        117,         16,         61,       1804,       5460,       2482,          0,          0,    9044574,          4,         50,    9044453,          4,         50,    9044446,          4,         50,    9044583,          1,         20,          1,          0,          0,          0,          1,          1,          0,          0, 
117 : mons_MC3011_120_clr2,        118,        118,         16,         61,       1805,       5460,       2482,          0,          0,    9044575,          3,         40,    9044453,          3,         40,    9044384,          3,         40,         -1,          0,          0,          1,          0,          0,          0,          1,          1,          0,          0, 
118 : mons_MC3010_NM_001,        119,        119,         16,         61,       1810,       7430,       3380,          0,          0,    9044574,          4,         50,    9044453,          4,         50,    9044392,          4,         50,    9044580,          1,         20,          2,          0,          0,          0,          2,          2,          0,          1, 
119 : mons_MC3010_NM_002,        120,        120,         16,         61,       1811,      30580,      13900,          0,          0,    9044574,          4,         50,    9044575,          4,         50,    9044396,          3,         40,    9044171,          1,          5,          3,          0,          0,          0,          3,          3,          0,          1, 
120 : mons_MC3010_NM_003,        121,        121,         16,         61,       1812,      28830,      13100,          0,          0,    9044462,          4,         50,    9044417,          3,         40,    9044480,          1,         10,    9044173,          1,          5,          2,          0,          0,          0,          2,          2,          0,          1, 
121 : mons_MC3010_NM_004,        122,        122,         16,         61,       1813,       7940,       3610,          0,          0,    9044428,          4,         50,    9044446,          4,         50,    9044453,          4,         50,    9044412,          3,         40,          2,          0,          0,          0,          2,          2,          0,          1, 
122 : mons_MC3010_NM_005,        123,        123,         16,         61,       1814,      94350,      42890,          0,          0,    9044480,          3,         40,    9044381,          2,         30,    9044181,          1,          5,    9044184,          1,          3,          3,          0,          0,          0,          3,          3,          0,          1, 
123 : mons_MC3010_NM_006,        124,        124,         16,         61,       1815,      30280,      13760,          0,          0,    9044462,          4,         50,    9044393,          2,         30,    9044480,          1,         10,    9044177,          1,          5,          3,          0,          0,          0,          3,          3,          0,          1, 
124 : mons_MC3010_NM_007,        125,        125,         16,         61,       1816,      43240,      19650,          0,          0,    9044480,          3,         40,    9044394,          2,         30,    9044582,          1,         20,    9044188,          1,          5,          2,          0,          0,          0,          2,          2,          0,          1, 
125 : mons_MC3010_NM_008,        126,        126,         16,         61,       1817,     117640,      53470,          0,          0,    9044480,          3,         40,    9044394,          3,         40,    9044582,          1,         20,    9044188,          1,          5,          3,          0,          0,          0,          3,          3,          0,          1, 
126 : mons_MC3020_100_clr0,        127,        127,         16,         61,       1900,       2100,        955,          0,          0,    9044457,          3,         40,    9044585,          3,         40,    9044466,          3,         40,    9044590,          1,         10,          1,          0,          0,          0,          1,          0,          1,          0, 
127 : mons_MC3020_100_clr1,        128,        128,         16,         61,       1901,       5040,       2291,          0,          0,    9044466,          3,         40,    9044409,          3,         40,    9044384,          3,         40,    9044591,          1,         10,          1,          0,          0,          0,          1,          0,          1,          0, 
128 : mons_MC3020_100_clr2,        129,        129,         16,         61,       1902,      13650,       6205,          0,          0,    9044377,          3,         40,    9044484,          3,         40,    9044587,          1,         10,    9044592,          1,          5,          1,          0,          0,          0,          1,          0,          1,          0, 
129 : mons_MC3021_120_clr0,        130,        130,         16,         61,       1903,       3150,       1432,          0,          0,    9044585,          3,         40,    9044395,          3,         40,    9044589,          1,         10,         -1,          0,          0,          1,          0,          0,          0,          1,          0,          1,          0, 
130 : mons_MC3021_120_clr1,        131,        131,         16,         61,       1904,       6300,       2864,          0,          0,    9044466,          3,         40,    9044409,          3,         40,    9044591,          1,         10,         -1,          0,          0,          1,          0,          0,          0,          1,          0,          1,          0, 
131 : mons_MC3021_120_clr2,        132,        132,         16,         61,       1905,      15750,       7159,          0,          0,    9044484,          3,         40,    9044587,          1,         10,    9044592,          1,          5,         -1,          0,          0,          1,          0,          0,          0,          1,          0,          1,          0, 
132 : mons_MC3020_NM_001,        133,        133,         16,         61,       1910,      17640,       8020,          0,          0,    9044585,          4,         50,    9044466,          4,         50,    9044590,          1,         20,    9044170,          1,          5,          3,          0,          0,          0,          3,          0,          3,          1, 
133 : mons_MC3020_NM_002,        134,        134,         16,         61,       1911,      18480,       8400,          0,          0,    9044585,          4,         50,    9044457,          4,         50,    9044431,          3,         40,    9044590,          1,         20,          3,          0,          0,          0,          3,          0,          3,          1, 
134 : mons_MC3020_NM_003,        135,        135,         16,         61,       1912,      17300,       7860,          0,          0,    9044585,          4,         50,    9044400,          3,         40,    9044591,          1,         20,    9044170,          1,          5,          2,          0,          0,          0,          2,          0,          2,          1, 
135 : mons_MC3020_NM_004,        136,        136,         16,         61,       1913,      17470,       7940,          0,          0,    9044585,          4,         50,    9044400,          3,         40,    9044484,          2,         30,    9044170,          1,          5,          2,          0,          0,          0,          2,          0,          2,          1, 
136 : mons_MC3020_NM_005,        137,        137,         16,         61,       1914,     145150,      65980,          0,          0,    9044587,          1,         20,    9044493,          3,         40,    9044381,          3,         40,    9044187,          1,          5,          3,          0,          0,          0,          3,          0,          3,          1, 
137 : mons_MC3020_NM_006,        138,        138,         16,         61,       1915,      33260,      15120,          0,          0,    9044585,          4,         50,    9044407,          3,         40,    9044484,          3,         40,    9044172,          1,          5,          3,          0,          0,          0,          3,          0,          3,          1, 
138 : mons_MC3020_NM_007,        139,        139,         16,         61,       1916,      33940,      15430,          0,          0,    9044484,          4,         50,    9044587,          1,         20,    9044363,          2,         30,    9044177,          1,          5,          3,          0,          0,          0,          3,          0,          3,          1, 
139 : mons_MC3020_NM_008,        140,        140,         16,         61,       1917,     108860,      49480,          0,          0,    9044442,          4,         50,    9044493,          2,         30,    9044592,          1,         20,    9044182,          1,          5,          3,          0,          0,          0,          3,          0,          3,          1, 
140 : mons_MD0010_100_clr0,        141,        141,         16,         61,       2000,        270,        123,          0,          0,    9044593,          3,         40,    9044397,          2,         30,    9044451,          3,         40,    9044599,          1,          5,          1,          1,          0,          0,          0,          1,          0,          0, 
141 : mons_MD0010_100_clr1,        142,        142,         16,         61,       2001,        648,        295,          0,          0,    9044451,          3,         40,    9044594,          3,         40,    9044397,          3,         40,    9044379,          3,         40,          1,          1,          0,          0,          0,          1,          0,          0, 
142 : mons_MD0010_100_clr2,        143,        143,         16,         61,       2002,       1404,        638,          0,          0,    9044459,          3,         40,    9044379,          3,         40,    9044409,          3,         40,    9044595,          2,         30,          1,          1,          0,          0,          0,          1,          0,          0, 
143 : mons_MD0011_120_clr0,        144,        144,         16,         61,       2003,        405,        184,          0,          0,    9044593,          3,         40,    9044594,          2,         30,    9044451,          2,         30,    9044599,          1,          5,          1,          1,          0,          0,          0,          1,          0,          0, 
144 : mons_MD0011_120_clr1,        145,        145,         16,         61,       2004,        810,        368,          0,          0,    9044451,          3,         40,    9044594,          3,         40,    9044397,          3,         40,    9044379,          3,         40,          1,          1,          0,          0,          0,          1,          0,          0, 
145 : mons_MD0011_120_clr2,        146,        146,         16,         61,       2005,       1620,        736,          0,          0,    9044459,          3,         40,    9044379,          3,         40,    9044409,          3,         40,    9044369,          3,         40,          1,          1,          0,          0,          0,          1,          0,          0, 
146 : mons_MD0012_150_clr0,        147,        147,         16,         61,       2006,        405,        184,          0,          0,    9044593,          3,         40,    9044594,          2,         30,    9044451,          2,         30,    9044599,          1,          5,          1,          1,          0,          0,          0,          1,          0,          0, 
147 : mons_MD0012_150_clr1,        148,        148,         16,         61,       2007,        810,        368,          0,          0,    9044451,          3,         40,    9044594,          3,         40,    9044397,          3,         40,    9044379,          3,         40,          1,          1,          0,          0,          0,          1,          0,          0, 
148 : mons_MD0012_150_clr2,        149,        149,         16,         61,       2008,       1620,        736,          0,          0,    9044459,          3,         40,    9044379,          3,         40,    9044409,          3,         40,    9044369,          3,         40,          1,          1,          0,          0,          0,          1,          0,          0, 
149 : mons_MD0010_NM_001,        150,        150,         16,         61,       2010,       2180,        990,          0,          0,    9044451,          4,         50,    9044404,          3,         40,    9044409,          3,         40,    9044443,          3,         40,          2,          2,          0,          0,          0,          2,          0,          1, 
150 : mons_MD0010_NM_002,        151,        151,         16,         61,       2011,       4280,       1950,          0,          0,    9044594,          4,         50,    9044438,          4,         50,    9044596,          1,         10,    9044170,          1,          5,          2,          2,          0,          0,          0,          2,          0,          1, 
151 : mons_MD0010_NM_003,        152,        152,         16,         61,       2012,      13350,       6070,          0,          0,    9044476,          4,         50,    9044596,          2,         30,    9044381,          2,         30,    9044179,          1,          5,          2,          2,          0,          0,          0,          2,          0,          1, 
152 : mons_MD0010_NM_004,        153,        153,         16,         61,       2013,      18490,       8400,          0,          0,    9044377,          3,         40,    9044596,          1,         10,    9044600,          1,         10,    9044176,          1,          5,          3,          3,          0,          0,          0,          3,          0,          1, 
153 : mons_MD0010_NM_005,        155,        155,         16,         61,       2014,      13090,       5950,          0,          0,    9044416,          4,         50,    9044476,          2,         30,    9044596,          1,         20,    9044173,          1,          5,          3,          3,          0,          0,          0,          3,          0,          1, 
154 : mons_MD0010_NM_006,        154,        154,         16,         61,       2015,      14000,       6360,          0,          0,    9044443,          4,         50,    9044476,          3,         40,    9044596,          1,         10,    9044181,          1,          5,          2,          2,          0,          0,          0,          2,          0,          1, 
155 : mons_MD0010_NM_007,        156,        156,         16,         61,       2016,      18660,       8480,          0,          0,    9044381,          3,         40,    9044405,          3,         40,    9044600,          1,         20,    9044187,          1,          5,          2,          2,          0,          0,          0,          2,          0,          1, 
156 : mons_MD0010_NM_008,        157,        157,         16,         61,       2017,      14130,       6420,          0,          0,    9044476,          4,         50,    9044596,          1,         10,    9044601,          1,         20,    9044179,          1,          5,          2,          2,          0,          0,          0,          2,          0,          1, 
157 : mons_MD1010_100_clr0,        158,        158,         16,         61,       2100,       1260,        573,          0,          0,    9044603,          3,         40,    9044379,          3,         40,    9044404,          3,         40,    9044608,          1,         10,          1,          1,          0,          0,          0,          0,          1,          0, 
158 : mons_MD1010_100_clr1,        159,        159,         16,         61,       2101,       3780,       1718,          0,          0,    9044419,          3,         40,    9044604,          3,         40,    9044605,          1,         10,    9044609,          1,         10,          1,          1,          0,          0,          0,          0,          1,          0, 
159 : mons_MD1010_100_clr2,        160,        160,         16,         61,       2102,       4914,       2234,          0,          0,    9044377,          3,         40,    9044604,          2,         30,    9044605,          1,         10,    9044610,          1,         10,          1,          1,          0,          0,          0,          0,          1,          0, 
160 : mons_MD1011_120_clr0,        161,        161,         16,         61,       2103,       1890,        859,          0,          0,    9044603,          4,         50,    9044379,          4,         50,    9044404,          4,         50,    9044611,          1,         10,          1,          1,          0,          0,          0,          0,          1,          0, 
161 : mons_MD1011_120_clr1,        162,        162,         16,         61,       2104,       4725,       2148,          0,          0,    9044441,          4,         50,    9044476,          4,         50,    9044604,          3,         40,    9044609,          1,         10,          1,          1,          0,          0,          0,          0,          1,          0, 
162 : mons_MD1011_120_clr2,        163,        163,         16,         61,       2105,       5670,       2577,          0,          0,    9044377,          4,         50,    9044604,          3,         40,    9044605,          1,         20,    9044612,          1,         10,          1,          1,          0,          0,          0,          0,          1,          0, 
163 : mons_MD1010_NM_001,        164,        164,         16,         61,       2110,       5290,       2400,          0,          0,    9044603,          4,         50,    9044376,          3,         40,    9044608,          1,         20,    9044169,          1,          5,          2,          2,          0,          0,          0,          0,          2,          1, 
164 : mons_MD1010_NM_002,        165,        165,         16,         61,       2111,      10890,       4950,          0,          0,    9044419,          4,         50,    9044377,          3,         40,    9044605,          1,         20,    9044175,          1,          5,          2,          2,          0,          0,          0,          0,          2,          1, 
165 : mons_MD1010_NM_003,        166,        166,         16,         61,       2112,      16330,       7420,          0,          0,    9044377,          4,         50,    9044367,          3,         40,    9044381,          2,         30,    9044180,          1,          5,          2,          2,          0,          0,          0,          0,          2,          1, 
166 : mons_MD1010_NM_004,        167,        167,         16,         61,       2113,       5490,       2500,          0,          0,    9044419,          4,         50,    9044377,          3,         40,    9044605,          1,         20,    9044175,          1,          5,          2,          2,          0,          0,          0,          0,          2,          1, 
167 : mons_MD1010_NM_005,        168,        168,         16,         61,       2114,      12980,       5900,          0,          0,    9044476,          4,         50,    9044605,          1,         10,    9044367,          2,         30,    9044179,          1,          5,          2,          2,          0,          0,          0,          0,          2,          1, 
168 : mons_MD1010_NM_006,        169,        169,         16,         61,       2115,      15120,       6870,          0,          0,    9044377,          4,         50,    9044367,          3,         40,    9044381,          2,         30,    9044180,          1,          5,          2,          2,          0,          0,          0,          0,          2,          1, 
169 : mons_MD1010_NM_007,        170,        170,         16,         61,       2116,       9980,       4540,          0,          0,    9044419,          4,         50,    9044377,          3,         40,    9044605,          1,         20,    9044175,          1,          5,          2,          2,          0,          0,          0,          0,          2,          1, 
170 : mons_MD1010_NM_008,        171,        171,         16,         61,       2117,      21570,       9800,          0,          0,    9044604,          3,         40,    9044605,          1,         20,    9044610,          1,         20,    9044175,          1,          5,          3,          3,          0,          0,          0,          0,          3,          1, 
171 : mons_MD1020_100_clr0,        172,        172,         16,         61,       2200,        360,        164,          0,          0,    9044614,          3,         40,    9044420,          3,         40,    9044415,          3,         40,    9044619,          1,         10,          1,          0,          0,          1,          0,          1,          0,          0, 
172 : mons_MD1020_100_clr1,        173,        173,         16,         61,       2201,       1728,        785,          0,          0,    9044461,          3,         40,    9044380,          3,         40,    9044616,          1,         10,    9044620,          1,          5,          1,          0,          0,          1,          0,          1,          0,          0, 
173 : mons_MD1020_100_clr2,        174,        174,         16,         61,       2202,       2340,       1064,          0,          0,    9044377,          3,         40,    9044616,          1,         10,    9044410,          2,         30,    9044621,          1,         10,          1,          0,          0,          1,          0,          1,          0,          0, 
174 : mons_MD1021_120_clr0,        175,        175,         16,         61,       2203,       1080,        491,          0,          0,    9044409,          4,         50,    9044379,          4,         50,    9044615,          3,         40,    9044622,          1,         10,          1,          0,          0,          1,          0,          1,          0,          0, 
175 : mons_MD1021_120_clr1,        176,        176,         16,         61,       2204,       2160,        982,          0,          0,    9044461,          3,         40,    9044380,          3,         40,    9044616,          1,         10,    9044620,          1,          5,          1,          0,          0,          1,          0,          1,          0,          0, 
176 : mons_MD1021_120_clr2,        177,        177,         16,         61,       2205,       2700,       1227,          0,          0,    9044377,          3,         40,    9044616,          1,         10,    9044410,          2,         30,    9044621,          1,         10,          1,          0,          0,          1,          0,          1,          0,          0, 
177 : mons_MD1020_NM_001,        178,        178,         16,         61,       2210,       1450,        660,          0,          0,    9044614,          4,         50,    9044485,          3,         40,    9044619,          1,         20,    9044169,          1,          5,          2,          0,          0,          2,          0,          2,          0,          1, 
178 : mons_MD1020_NM_002,        179,        179,         16,         61,       2211,      14980,       6810,          0,          0,    9044377,          4,         50,    9044381,          2,         30,    9044620,          1,         10,    9044177,          1,          5,          3,          0,          0,          3,          0,          3,          0,          1, 
179 : mons_MD1020_NM_003,        180,        180,         16,         61,       2212,       3110,       1410,          0,          0,    9044409,          4,         50,    9044615,          3,         40,    9044616,          1,         20,    9044170,          1,          5,          2,          0,          0,          2,          0,          2,          0,          1, 
180 : mons_MD1020_NM_004,        181,        181,         16,         61,       2213,       2970,       1350,          0,          0,    9044409,          4,         50,    9044615,          3,         40,    9044461,          2,         30,    9044170,          1,          5,          2,          0,          0,          2,          0,          2,          0,          1, 
181 : mons_MD1020_NM_005,        182,        182,         16,         61,       2214,      17450,       7930,          0,          0,    9044377,          4,         50,    9044405,          2,         30,    9044620,          1,         20,    9044182,          1,          5,          3,          0,          0,          3,          0,          3,          0,          1, 
182 : mons_MD1020_NM_006,        183,        183,         16,         61,       2215,       3140,       1430,          0,          0,    9044379,          4,         50,    9044485,          3,         40,    9044616,          1,         20,    9044170,          1,          5,          2,          0,          0,          2,          0,          2,          0,          1, 
183 : mons_MD1020_NM_007,        184,        184,         16,         61,       2216,       9500,       4320,          0,          0,    9044377,          4,         50,    9044381,          2,         30,    9044621,          1,         20,    9044179,          1,          5,          2,          0,          0,          2,          0,          2,          0,          1, 
184 : mons_MD1020_NM_008,        185,        185,         16,         61,       2217,      10680,       4850,          0,          0,    9044381,          3,         40,    9044405,          3,         40,    9044621,          1,         20,    9044185,          1,          5,          2,          0,          0,          2,          0,          2,          0,          1, 
185 : mons_MD2010_100_clr0,        186,        186,         16,         61,       2300,        225,        102,          0,          0,    9044623,          3,         40,    9044415,          3,         40,    9044411,          3,         40,    9044629,          1,          5,          1,          1,          0,          0,          0,          0,          1,          0, 
186 : mons_MD2010_100_clr1,        187,        187,         16,         61,       2301,       1080,        491,          0,          0,    9044420,          3,         40,    9044409,          3,         40,    9044379,          3,         40,    9044626,          1,         10,          1,          1,          0,          0,          0,          0,          1,          0, 
187 : mons_MD2010_100_clr2,        188,        188,         16,         61,       2302,       1170,        532,          0,          0,    9044411,          3,         40,    9044624,          3,         40,    9044485,          2,         30,    9044626,          1,         10,          1,          1,          0,          0,          0,          0,          1,          0, 
188 : mons_MD2011_120_clr0,        189,        189,         16,         61,       2303,        337,        153,          0,          0,    9044623,          3,         40,    9044415,          3,         40,    9044411,          3,         40,    9044629,          1,          5,          1,          1,          0,          0,          0,          0,          1,          0, 
189 : mons_MD2011_120_clr1,        190,        190,         16,         61,       2304,       4050,       1841,          0,          0,    9044377,          4,         50,    9044410,          2,         30,    9044381,          2,         30,    9044632,          1,         10,          1,          1,          0,          0,          0,          0,          1,          0, 
190 : mons_MD2011_120_clr2,        191,        191,         16,         61,       2305,       1350,        614,          0,          0,    9044420,          3,         40,    9044404,          3,         40,    9044625,          2,         30,    9044626,          1,         10,          1,          1,          0,          0,          0,          0,          1,          0, 
191 : mons_MD2010_NM_001,        192,        192,         16,         61,       2310,      11340,       5150,          0,          0,    9044377,          4,         50,    9044381,          2,         30,    9044630,          1,         10,    9044184,          1,          5,          2,          2,          0,          0,          0,          0,          2,          1, 
192 : mons_MD2010_NM_002,        193,        193,         16,         61,       2311,       7780,       3540,          0,          0,    9044461,          4,         50,    9044377,          2,         30,    9044410,          2,         30,    9044174,          1,          5,          2,          2,          0,          0,          0,          0,          2,          1, 
193 : mons_MD2010_NM_003,        194,        194,         16,         61,       2312,       7340,       3340,          0,          0,    9044624,          4,         50,    9044380,          3,         40,    9044626,          1,         10,    9044172,          1,          5,          3,          3,          0,          0,          0,          0,          3,          1, 
194 : mons_MD2010_NM_004,        195,        195,         16,         61,       2313,       3670,       1670,          0,          0,    9044379,          4,         50,    9044625,          2,         30,    9044626,          1,         10,    9044170,          1,          5,          2,          2,          0,          0,          0,          0,          2,          1, 
195 : mons_MD2010_NM_005,        196,        196,         16,         61,       2314,        980,        450,          0,          0,    9044623,          4,         50,    9044415,          4,         50,    9044379,          2,         30,    9044626,          1,         10,          2,          2,          0,          0,          0,          0,          2,          1, 
196 : mons_MD2010_NM_006,        197,        197,         16,         61,       2315,       7700,       3500,          0,          0,    9044461,          4,         50,    9044377,          2,         30,    9044410,          2,         30,    9044175,          1,          5,          2,          2,          0,          0,          0,          0,          2,          1, 
197 : mons_MD2010_NM_007,        198,        198,         16,         61,       2316,      11230,       5100,          0,          0,    9044377,          4,         50,    9044381,          2,         30,    9044631,          1,         10,    9044179,          1,          5,          2,          2,          0,          0,          0,          0,          2,          1, 
198 : mons_MD2010_NM_008,        199,        199,         16,         61,       2317,      11020,       5010,          0,          0,    9044410,          4,         50,    9044381,          2,         30,    9044632,          1,         10,    9044187,          1,          5,          2,          2,          0,          0,          0,          0,          2,          1, 
199 : mons_MD2020_100_clr0,        200,        200,         16,         61,       2400,       2340,       1064,          0,          0,    9044634,          3,         40,    9044418,          3,         40,    9044379,          3,         40,    9044639,          1,          5,          1,          0,          0,          0,          1,          1,          0,          0, 
200 : mons_MD2020_100_clr1,        201,        201,         16,         61,       2401,       5616,       2553,          0,          0,    9044485,          3,         40,    9044635,          2,         30,    9044636,          1,         10,    9044640,          1,         10,          1,          0,          0,          0,          1,          1,          0,          0, 
201 : mons_MD2020_100_clr2,        202,        202,         16,         61,       2402,       3042,       1383,          0,          0,    9044399,          3,         40,    9044634,          3,         40,    9044409,          3,         40,    9044485,          2,         30,          1,          0,          0,          0,          1,          1,          0,          0, 
202 : mons_MD2021_120_clr0,        203,        203,         16,         61,       2403,       3510,       1595,          0,          0,    9044634,          3,         40,    9044418,          3,         40,    9044379,          3,         40,    9044639,          1,          5,          1,          0,          0,          0,          1,          1,          0,          0, 
203 : mons_MD2021_120_clr1,        204,        204,         16,         61,       2404,       7020,       3191,          0,          0,    9044485,          3,         40,    9044398,          3,         40,    9044636,          1,          5,    9044640,          1,         10,          1,          0,          0,          0,          1,          1,          0,          0, 
204 : mons_MD2021_120_clr2,        205,        205,         16,         61,       2405,       3510,       1595,          0,          0,    9044399,          3,         40,    9044634,          3,         40,    9044418,          3,         40,    9044485,          2,         30,          1,          0,          0,          0,          1,          1,          0,          0, 
205 : mons_MD2020_NM_001,        206,        206,         16,         61,       2410,      25040,      11380,          0,          0,    9044377,          4,         50,    9044410,          3,         40,    9044381,          1,         20,    9044177,          1,          5,          2,          0,          0,          0,          2,          2,          0,          1, 
206 : mons_MD2020_NM_002,        207,        207,         16,         61,       2411,       9640,       4380,          0,          0,    9044634,          4,         50,    9044485,          3,         40,    9044400,          3,         40,    9044172,          1,          5,          2,          0,          0,          0,          2,          2,          0,          1, 
207 : mons_MD2020_NM_003,        208,        208,         16,         61,       2412,       9270,       4210,          0,          0,    9044634,          4,         50,    9044485,          3,         40,    9044400,          3,         40,    9044170,          1,          5,          2,          0,          0,          0,          2,          2,          0,          1, 
208 : mons_MD2020_NM_004,        209,        209,         16,         61,       2413,      19090,       8680,          0,          0,    9044380,          4,         50,    9044377,          3,         40,    9044640,          1,         20,    9044174,          1,          5,          2,          0,          0,          0,          2,          2,          0,          1, 
209 : mons_MD2020_NM_005,        210,        210,         16,         61,       2414,      57280,      26040,          0,          0,    9044461,          4,         50,    9044640,          1,         20,    9044182,          1,          5,    9044184,          1,          3,          3,          0,          0,          0,          3,          3,          0,          1, 
210 : mons_MD2020_NM_006,        211,        211,         16,         61,       2415,      30050,      13660,          0,          0,    9044485,          4,         50,    9044461,          3,         40,    9044636,          1,         20,    9044173,          1,          5,          3,          0,          0,          0,          3,          3,          0,          1, 
211 : mons_MD2020_NM_007,        212,        212,         16,         61,       2416,      40810,      18550,          0,          0,    9044381,          3,         40,    9044361,          1,         10,    9044641,          1,         20,    9044187,          1,          5,          2,          0,          0,          0,          2,          2,          0,          1, 
212 : mons_MD2020_NM_008,        213,        213,         16,         61,       2417,      60090,      27310,          0,          0,    9044461,          4,         50,    9044381,          2,         30,    9044641,          1,         20,    9044182,          1,          5,          3,          0,          0,          0,          3,          3,          0,          1, 
213 : mons_MI1010_100_clr0,        214,        214,         16,         61,       2500,       2430,       1105,          0,          0,    9044459,          3,         40,    9044443,          3,         40,    9044644,          2,         30,    9044648,          1,         10,          1,          0,          1,          0,          0,          0,          1,          0, 
214 : mons_MI1010_100_clr1,        215,        215,         16,         61,       2501,       3888,       1767,          0,          0,    9044366,          3,         40,    9044644,          2,         30,    9044645,          1,         10,    9044649,          1,          5,          1,          0,          1,          0,          0,          0,          1,          0, 
215 : mons_MI1010_100_clr2,        216,        216,         16,         61,       2502,       2106,        957,          0,          0,    9044643,          3,         40,    9044644,          2,         30,    9044645,          1,         10,    9044650,          1,          5,          1,          0,          1,          0,          0,          0,          1,          0, 
216 : mons_MI1011_120_clr0,        217,        217,         16,         61,       2503,       3645,       1657,          0,          0,    9044643,          3,         40,    9044443,          3,         40,    9044644,          2,         30,    9044648,          1,         10,          1,          0,          1,          0,          0,          0,          1,          0, 
217 : mons_MI1011_120_clr1,        218,        218,         16,         61,       2504,       4860,       2209,          0,          0,    9044366,          3,         40,    9044644,          2,         30,    9044645,          1,         10,    9044649,          1,          5,          1,          0,          1,          0,          0,          0,          1,          0, 
218 : mons_MI1011_120_clr2,        219,        219,         16,         61,       2505,       2430,       1105,          0,          0,    9044451,          3,         40,    9044642,          3,         40,    9044384,          3,         40,    9044644,          1,         10,          1,          0,          1,          0,          0,          0,          1,          0, 
219 : mons_MI1012_150_clr0,        220,        220,         16,         61,       2506,       3645,       1657,          0,          0,    9044643,          3,         40,    9044443,          3,         40,    9044644,          2,         30,    9044648,          1,         10,          1,          0,          1,          0,          0,          0,          1,          0, 
220 : mons_MI1012_150_clr1,        221,        221,         16,         61,       2507,       4860,       2209,          0,          0,    9044366,          3,         40,    9044644,          2,         30,    9044645,          1,         10,    9044649,          1,          5,          1,          0,          1,          0,          0,          0,          1,          0, 
221 : mons_MI1012_150_clr2,        222,        222,         16,         61,       2508,       2430,       1105,          0,          0,    9044451,          3,         40,    9044642,          3,         40,    9044384,          3,         40,    9044644,          1,         10,          1,          0,          1,          0,          0,          0,          1,          0, 
222 : mons_MI1010_NM_001,        223,        223,         16,         61,       2510,       1750,        800,          0,          0,    9044399,          4,         50,    9044451,          4,         50,    9044642,          3,         40,    9044384,          2,         30,          2,          0,          2,          0,          0,          0,          2,          1, 
223 : mons_MI1010_NM_002,        224,        224,         16,         61,       2511,      26440,      12020,          0,          0,    9044648,          1,         20,    9044410,          2,         30,    9044367,          2,         30,    9044176,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
224 : mons_MI1010_NM_003,        225,        225,         16,         61,       2512,       3430,       1560,          0,          0,    9044451,          4,         50,    9044642,          4,         50,    9044384,          3,         40,    9044459,          3,         40,          2,          0,          2,          0,          0,          0,          2,          1, 
225 : mons_MI1010_NM_004,        226,        226,         16,         61,       2513,      10210,       4640,          0,          0,    9044438,          4,         50,    9044644,          2,         30,    9044645,          1,         10,    9044173,          1,          5,          2,          0,          2,          0,          0,          0,          2,          1, 
226 : mons_MI1010_NM_005,        227,        227,         16,         61,       2514,      14260,       6480,          0,          0,    9044642,          4,         50,    9044412,          2,         30,    9044398,          3,         40,    9044172,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
227 : mons_MI1010_NM_006,        228,        228,         16,         61,       2515,      32400,      14730,          0,          0,    9044476,          4,         50,    9044410,          3,         40,    9044650,          1,         20,    9044182,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
228 : mons_MI1010_NM_007,        229,        229,         16,         61,       2516,      28510,      12960,          0,          0,    9044644,          3,         40,    9044645,          1,         20,    9044650,          1,         20,    9044177,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
229 : mons_MI1010_NM_008,        230,        230,         16,         61,       2517,      13870,       6300,          0,          0,    9044642,          4,         50,    9044416,          2,         30,    9044366,          3,         40,    9044172,          1,          5,          3,          0,          3,          0,          0,          0,          3,          1, 
230 : mons_MI2010_100_clr0,        231,        231,         16,         61,       2600,       2640,       1200,          0,          0,    9044652,          3,         40,    9044409,          3,         40,    9044653,          1,         20,    9044657,          1,          5,          1,          0,          0,          0,          1,          1,          0,          0, 
231 : mons_MI2010_100_clr1,        232,        232,         16,         61,       2601,       1584,        720,          0,          0,    9044445,          3,         40,    9044479,          2,         30,    9044651,          3,         40,    9044652,          2,         30,          1,          0,          0,          0,          1,          1,          0,          0, 
