           km_, km_saisyu_type,   km_item1,   km_odds1,   km_item2,   km_odds2,   km_item3,   km_odds3,   km_item4,   km_odds4, km_rare_item, km_rare_odds, 
244 : VKL_0201_M001,          6,         -2,         10,    9044260,         40,    9044261,         30,    9044257,         20,    9044241,         10, 
245 : VKL_0201_H001,         38,         -2,         10,    9044274,         50,    9044241,         40,         -1,          0,    9044209,         10, 
246 : SBF_0102_M005,          7,         -2,         10,    9044209,         50,    9044210,         40,         -1,          0,    9044249,         10, 
247 : SBF_0201_M002,          7,         -2,         10,    9044248,         60,    9044270,         30,         -1,          0,    9044212,         10, 
248 : SBF_0203_C001,         15,         -2,         10,    9044333,         70,    9044339,         10,    9044472,         10,    9044371,         10, 
249 : SBF_0203_C002,         15,         -2,         10,    9044333,         70,    9044336,         10,    9044472,         10,    9044371,         10, 
250 : SBF_0203_C003,         15,         -2,         10,    9044333,         60,    9044371,         30,         -1,          0,    9044361,         10, 
251 : SBF_0203_M001,          7,         -2,         10,    9044262,         40,    9044241,         40,    9044491,         10,    9044248,         10, 
252 : SBF_0203_M002,          7,         -2,         10,    9044241,         60,    9044242,         20,    9044491,         10,    9044248,         10, 
253 : SBF_0203_M003,          7,         -2,         10,    9044241,         20,    9044242,         70,         -1,          0,    9044270,         10, 
254 : SBF_0203_M004,          7,         -2,         10,    9044242,         20,    9044248,         70,         -1,          0,    9044270,         10, 
255 : SBF_0203_H001,         39,         -2,         10,    9044361,         30,    9044248,         30,    9044765,         30,    9044211,         10, 
256 : SBN_0104_C001,         15,         -2,         10,    9044371,         80,    9044370,         10,         -1,          0,    9044361,         10, 
257 : SBN_0104_M001,          7,         -2,         10,    9044241,         40,    9044242,         30,    9044270,         20,    9044211,         10, 
258 : SBN_0104_M002,          7,         -2,         10,    9044249,         40,    9044212,         40,    9044421,         10,    9044212,         10, 
259 : SBN_0104_M003,          7,         -2,         10,    9044249,         40,    9044211,         50,         -1,          0,    9044317,         10, 

