           km_, km_check_num, km_union_type, km_check_num_1, km_union_id, km_entry_group_set, km_position_x, km_position_y, km_direction, km_wait_no, km_wait_turn, km_is_think, 
362 :          @,          0,          0,          0,          5,        -15,       9600,       1200,        180,          0,          0,          0, 
363 :          @,          0,          0,          0,          6,        -16,      10000,          0,        180,          0,          0,          0, 
364 :          @,          0,          0,          0,          7,        -17,          0,          0,          0,          0,          0,          0, 
365 :          @,          0,          1,         28,          0,    8069978,       3800,      -1200,          0,          0,          0,          0, 
366 :          @,          0,          1,          0,          1,    8069983,       3800,       1200,          0,          0,          0,          0, 
367 :          @,          0,          1,          0,          2,    8069988,       2800,          0,          0,          0,          0,          0, 
368 :          @,          0,          1,          0,          3,    8069993,       1700,          0,          0,          0,          0,          0, 
369 :          @,          0,          1,          0,          4,    8069998,       -300,       -600,          0,          0,          0,          0, 
370 :          @,          0,          1,          0,          5,    8070003,       -300,        600,          0,          0,          0,          0, 
371 :          @,          0,          1,          0,          6,    8070008,      -1400,          0,          0,          0,          0,          0, 
372 :          @,          0,          1,          0,          7,    8070013,       8300,      -9300,         45,          1,         -1,          1, 
373 :          @,          0,          1,          0,          8,    8070018,       6700,      -7600,         45,          2,         -1,          1, 
374 :          @,          0,          1,          0,          9,    8070023,       8300,       9300,        315,          3,         -1,          1, 
375 :          @,          0,          1,          0,         10,    8070028,       6700,       7600,        315,          4,         -1,          1, 
376 :          @,          0,          1,          0,         11,    8070033,      -6800,      -1200,          0,          5,         -1,          1, 
377 :          @,          0,          1,          0,         12,    8070038,      -6800,       1200,          0,          6,         -1,          1, 
378 :          @,          0,          1,          0,         13,    8070043,      -7200,      -2000,          0,          7,         -1,          1, 
379 :          @,          0,          1,          0,         14,    8070048,      -7200,       2000,          0,          8,         -1,          1, 
380 :          @,          0,          1,          0,         15,    8070053,      -8200,       2800,        315,          9,         -1,          1, 
381 :          @,          0,          1,          0,         16,    8070058,      -6400,       4600,        315,         10,         -1,          1, 
382 :          @,          0,          1,          0,         17,    8070063,      -8200,       3800,        315,         11,         -1,          1, 
383 :          @,          0,          1,          0,         18,    8070068,      -7400,       4600,        315,         12,         -1,          1, 
384 :          @,          0,          1,          0,         19,    8070073,      -6400,      -4600,         45,         13,         -1,          1, 
385 :          @,          0,          1,          0,         20,    8070078,      -8200,      -2800,         45,         14,         -1,          1, 
386 :          @,          0,          1,          0,         21,    8070083,      -7400,      -4600,         45,         15,         -1,          1, 
387 :          @,          0,          1,          0,         22,    8070088,      -8200,      -3800,         45,         16,         -1,          1, 
388 :          @,          0,          1,          0,         23,    8070093,      -9800,          0,          0,         17,         -1,          1, 
389 :          @,          0,          1,          0,         24,    8070098,      -9000,       -800,          0,         18,         -1,          1, 
390 :          @,          0,          1,          0,         25,    8070103,      -9000,        800,          0,         19,         -1,          1, 
391 :          @,          0,          1,          0,         26,    8070108,      -9800,      -1200,          0,         20,         -1,          1, 
392 :          @,          0,          1,          0,         27,    8070113,      -9800,       1200,          0,         21,         -1,          1, 
393 : EV1255_001_BTL,          2,          0,          8,          0,        -10,      -1000,          0,          0,          0,          0,          0, 
394 :          @,          0,          0,          0,          1,        -11,      -1600,       -600,          0,          0,          0,          0, 
395 :          @,          0,          0,          0,          2,        -12,      -2200,      -1200,          0,          0,          0,          0, 
396 :          @,          0,          0,          0,          3,        -13,      -1600,      -1800,          0,          0,          0,          0, 
397 :          @,          0,          0,          0,          4,        -14,      -1600,        600,          0,          0,          0,          0, 
398 :          @,          0,          0,          0,          5,        -15,      -2200,       1200,          0,          0,          0,          0, 
399 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
400 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
401 :          @,          0,          1,          6,          0,    8070118,        900,          0,        180,          0,          0,          0, 
402 :          @,          0,          1,          0,          1,    8070123,       2800,      -2000,        150,          0,          0,          0, 
403 :          @,          0,          1,          0,          2,    8070128,       2400,      -1200,        180,          0,          0,          0, 
404 :          @,          0,          1,          0,          3,    8070133,       2000,          0,        180,          0,          0,          0, 
405 :          @,          0,          1,          0,          4,    8070138,       2400,       1200,        180,          0,          0,          0, 
406 :          @,          0,          1,          0,          5,    8070143,       2800,       2000,        210,          0,          0,          0, 
407 : EV1265_001_BTL,          2,          0,          8,          0,        -10,      -1000,          0,          0,          0,          0,          0, 
408 :          @,          0,          0,          0,          1,        -11,      -1600,       -600,          0,          0,          0,          0, 
409 :          @,          0,          0,          0,          2,        -12,      -2200,      -1200,          0,          0,          0,          0, 
410 :          @,          0,          0,          0,          3,        -13,      -1600,      -1800,          0,          0,          0,          0, 
411 :          @,          0,          0,          0,          4,        -14,      -1600,        600,          0,          0,          0,          0, 
412 :          @,          0,          0,          0,          5,        -15,      -2200,       1200,          0,          0,          0,          0, 
413 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
414 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
415 :          @,          0,          1,          1,          0,    8070148,       1000,          0,        180,          0,          0,          0, 
416 : EV1280_001_BTL,          2,          0,          8,          0,        -10,          0,     -12400,         90,          0,          0,          0, 
417 :          @,          0,          0,          0,          1,        -11,        800,     -12800,         90,          0,          0,          0, 
418 :          @,          0,          0,          0,          2,        -12,       -800,     -12800,         90,          0,          0,          0, 
419 :          @,          0,          0,          0,          3,        -13,        400,     -13600,         90,          0,          0,          0, 
420 :          @,          0,          0,          0,          4,        -14,       -400,     -13600,         90,          0,          0,          0, 
421 :          @,          0,          0,          0,          5,        -15,       1200,     -13600,         90,          0,          0,          0, 
422 :          @,          0,          0,          0,          6,        -16,      -1200,     -13600,         90,          0,          0,          0, 
423 :          @,          0,          0,          0,          7,        -17,          0,          0,          0,          0,          0,          0, 
424 :          @,          0,          1,         23,          0,    8070153,       4800,      -5400,        270,          0,          0,          0, 
425 :          @,          0,          1,          0,          1,    8070158,       3200,      -5400,        270,          0,          0,          0, 
426 :          @,          0,          1,          0,          2,    8070163,      -3200,      -5400,        270,          0,          0,          0, 
427 :          @,          0,          1,          0,          3,    8070168,      -4800,      -5400,        270,          0,          0,          0, 
428 :          @,          0,          1,          0,          4,    8070173,       4000,      -4600,        270,          0,          0,          0, 
429 :          @,          0,          1,          0,          5,    8070178,      -4000,      -4600,        270,          0,          0,          0, 
430 :          @,          0,          1,          0,          6,    8070183,       4800,      -3600,        270,          1,         -1,          1, 
431 :          @,          0,          1,          0,          7,    8070183,      -4800,      -3600,        270,          2,         -1,          1, 
432 :          @,          0,          1,          0,          8,    8070188,       4000,      -3600,        270,          3,         -1,          1, 
433 :          @,          0,          1,          0,          9,    8070188,      -4000,      -3600,        270,          4,         -1,          1, 
434 :          @,          0,          1,          0,         10,    8070193,       3200,      -3600,        270,          5,         -1,          1, 
435 :          @,          0,          1,          0,         11,    8070193,      -3200,      -3600,        270,          6,         -1,          1, 
436 :          @,          0,          1,          0,         12,    8070198,       4800,      -2800,        270,          7,         -1,          1, 
437 :          @,          0,          1,          0,         13,    8070198,      -4800,      -2800,        270,          8,         -1,          1, 
438 :          @,          0,          1,          0,         14,    8070203,       4000,      -2800,        270,          9,         -1,          1, 
439 :          @,          0,          1,          0,         15,    8070203,      -4000,      -2800,        270,         10,         -1,          1, 
440 :          @,          0,          1,          0,         16,    8070208,          0,       6100,        270,         11,         -1,          1, 
441 :          @,          0,          1,          0,         17,    8070213,       1600,       6100,        270,         12,         -1,          1, 
442 :          @,          0,          1,          0,         18,    8070218,      -1600,       6100,        270,         13,         -1,          1, 
443 :          @,          0,          1,          0,         19,    8070223,       9200,      -1600,        180,         14,         -1,          1, 
444 :          @,          0,          1,          0,         20,    8070228,       9200,       -500,        180,         15,         -1,          1, 
445 :          @,          0,          1,          0,         21,    8070233,     -10400,       2400,          0,         16,         -1,          1, 
446 :          @,          0,          1,          0,         22,    8070238,     -10400,       3200,          0,         17,         -1,          1, 
447 : EV1330_001_BTL,          2,          0,          8,          0,        -10,       -660,       -660,         45,          0,          0,          0, 
448 :          @,          0,          0,          0,          1,        -11,      -1200,       -660,         45,          0,          0,          0, 
449 :          @,          0,          0,          0,          2,        -12,       -660,      -1200,         45,          0,          0,          0, 
450 :          @,          0,          0,          0,          3,        -13,        750,      -1600,         45,          0,          0,          0, 
451 :          @,          0,          0,          0,          4,        -14,      -1300,        600,         45,          0,          0,          0, 
452 :          @,          0,          0,          0,          5,        -15,       -300,      -3200,         45,          0,          0,          0, 
453 :          @,          0,          0,          0,          6,        -16,      -3200,       -300,         45,          0,          0,          0, 
454 :          @,          0,          0,          0,          7,        -17,      -2600,      -2600,         45,          0,          0,          0, 
455 :          @,          0,          1,          3,          0,    8070243,        600,        600,        225,          0,          0,          0, 
456 :          @,          0,          1,          0,          1,    8070248,       2000,          0,        225,          0,          0,          0, 
457 :          @,          0,          1,          0,          2,    8070253,          0,       2000,        225,          0,          0,          0, 
458 : EV1420_001_BTL,          2,          0,          8,          0,        -10,      11200,          0,        180,          0,          0,          0, 
459 :          @,          0,          0,          0,          1,        -11,      11600,       -800,        180,          0,          0,          0, 
460 :          @,          0,          0,          0,          2,        -12,      11600,        800,        180,          0,          0,          0, 
461 :          @,          0,          0,          0,          3,        -13,      12400,       -400,        180,          0,          0,          0, 
462 :          @,          0,          0,          0,          4,        -14,      12400,        400,        180,          0,          0,          0, 
463 :          @,          0,          0,          0,          5,        -15,      12400,      -1200,        180,          0,          0,          0, 
464 :          @,          0,          0,          0,          6,        -16,      12400,       1200,        180,          0,          0,          0, 
465 :          @,          0,          0,          0,          7,        -17,          0,          0,          0,          0,          0,          0, 
466 :          @,          0,          1,         27,          0,    8070258,       4000,      -1600,          0,          0,          0,          0, 
467 :          @,          0,          1,          0,          1,    8070263,       3600,          0,          0,          0,          0,          0, 
468 :          @,          0,          1,          0,          2,    8070268,       4000,       1600,          0,          0,          0,          0, 
469 :          @,          0,          1,          0,          3,    8070273,       1200,      -3600,          0,          0,          0,          0, 
470 :          @,          0,          1,          0,          4,    8070278,       1200,       3600,          0,          0,          0,          0, 
471 :          @,          0,          1,          0,          5,    8070283,       1600,       -800,          0,          0,          0,          0, 
472 :          @,          0,          1,          0,          6,    8070288,       1600,        800,          0,          0,          0,          0, 
473 :          @,          0,          1,          0,          7,    8070293,      -3200,       -800,          0,          1,         -1,          1, 
474 :          @,          0,          1,          0,          8,    8070298,      -3200,        800,          0,          2,         -1,          1, 
475 :          @,          0,          1,          0,          9,    8070303,      -4400,      -3200,          0,          3,         -1,          1, 
476 :          @,          0,          1,          0,         10,    8070308,      -4400,       3200,          0,          4,         -1,          1, 
477 :          @,          0,          1,          0,         11,    8070313,      -5600,      -1200,          0,          5,         -1,          1, 
478 :          @,          0,          1,          0,         12,    8070318,      -5600,       1200,          0,          6,         -1,          1, 
479 :          @,          0,          1,          0,         13,    8070323,      -6000,          0,          0,          7,         -1,          1, 
480 :          @,          0,          1,          0,         14,    8070328,      -6400,      -2000,          0,          8,         -1,          1, 
481 :          @,          0,          1,          0,         15,    8070333,      -6400,       2000,          0,          9,         -1,          1, 
482 :          @,          0,          1,          0,         16,    8070338,     -12800,          0,          0,         10,         -1,          1, 
483 :          @,          0,          1,          0,         17,    8070343,     -11200,       -800,          0,         11,         -1,          1, 
484 :          @,          0,          1,          0,         18,    8070343,      -7600,      -8000,         90,         12,         -1,          1, 
485 :          @,          0,          1,          0,         19,    8070348,     -11200,        800,          0,         13,         -1,          1, 
486 :          @,          0,          1,          0,         20,    8070348,      -7600,       8000,        270,         14,         -1,          1, 
487 :          @,          0,          1,          0,         21,    8070353,     -12000,      -1600,          0,         15,         -1,          1, 
488 :          @,          0,          1,          0,         22,    8070353,     -13200,      -4400,          0,         16,         -1,          1, 
489 :          @,          0,          1,          0,         23,    8070358,     -12000,       1600,          0,         17,         -1,          1, 
490 :          @,          0,          1,          0,         24,    8070358,     -13200,       4400,          0,         18,         -1,          1, 
491 :          @,          0,          1,          0,         25,    8070363,     -13200,      -2000,          0,         19,         -1,          1, 
492 :          @,          0,          1,          0,         26,    8070368,     -13200,       2000,          0,         20,         -1,          1, 
493 : EV1450_001_BTL,          2,          0,          8,          0,        -10,          0,       1000,        270,          0,          0,          0, 
494 :          @,          0,          0,          0,          1,        -11,       -600,       1600,        270,          0,          0,          0, 
495 :          @,          0,          0,          0,          2,        -12,      -1200,       2200,        270,          0,          0,          0, 
496 :          @,          0,          0,          0,          3,        -13,      -1800,       1600,        270,          0,          0,          0, 
497 :          @,          0,          0,          0,          4,        -14,        600,       1600,        270,          0,          0,          0, 
498 :          @,          0,          0,          0,          5,        -15,       1200,       2200,        270,          0,          0,          0, 
499 :          @,          0,          0,          0,          6,        -16,       1800,       1600,        270,          0,          0,          0, 
500 :          @,          0,          0,          0,          7,        -17,       -600,       2200,        270,          0,          0,          0, 
501 :          @,          0,          1,          6,          0,    8070373,          0,      -3400,         90,          0,          0,          0, 
502 :          @,          0,          1,          0,          1,    8070378,      -2400,      -2200,         75,          0,          0,          0, 
503 :          @,          0,          1,          0,          2,    8070383,      -1200,      -1600,         90,          0,          0,          0, 
504 :          @,          0,          1,          0,          3,    8070388,          0,      -1800,         90,          0,          0,          0, 
505 :          @,          0,          1,          0,          4,    8070393,       1200,      -1600,         90,          0,          0,          0, 
506 :          @,          0,          1,          0,          5,    8070398,       2400,      -2200,        105,          0,          0,          0, 
507 : EV1490_1_001_BTL,          2,          0,          8,          0,        -10,      -1600,          0,          0,          0,          0,          0, 
508 :          @,          0,          0,          0,          1,        -11,      -1000,       -600,          0,          0,          0,          0, 
509 :          @,          0,          0,          0,          2,        -12,      -1000,        600,          0,          0,          0,          0, 
510 :          @,          0,          0,          0,          3,        -13,      -2200,      -1200,          0,          0,          0,          0, 
511 :          @,          0,          0,          0,          4,        -14,      -2200,       1200,          0,          0,          0,          0, 
512 :          @,          0,          0,          0,          5,        -15,      -2200,       1800,          0,          0,          0,          0, 
513 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
514 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
515 :          @,          0,          1,          5,          0,    8070403,       1000,          0,        180,          1,         -1,          1, 
516 :          @,          0,          1,          0,          1,    8070408,       1600,       1200,        180,          0,          0,          0, 
517 :          @,          0,          1,          0,          2,    8070413,       1600,      -1200,        180,          0,          0,          0, 
518 :          @,          0,          1,          0,          5,    8070428,       3200,      -1500,        180,         -1,         -1,          0, 
519 :          @,          0,          1,          0,          6,    8070433,       3200,       1500,        180,         -1,         -1,          0, 
520 : EV1490_2_001_BTL,          2,          0,          8,          0,        -10,      -1600,          0,          0,          0,          0,          0, 
521 :          @,          0,          0,          0,          1,        -11,      -1000,       -600,          0,          0,          0,          0, 
522 :          @,          0,          0,          0,          2,        -12,      -1000,        600,          0,          0,          0,          0, 
523 :          @,          0,          0,          0,          3,        -13,      -2200,      -1200,          0,          0,          0,          0, 
524 :          @,          0,          0,          0,          4,        -14,      -2200,       1200,          0,          0,          0,          0, 
525 :          @,          0,          0,          0,          5,        -15,      -2200,       1800,          0,          0,          0,          0, 
526 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
527 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
528 :          @,          0,          1,          5,          0,    8070438,       1000,          0,        180,          1,         -1,          1, 
529 :          @,          0,          1,          0,          1,    8070443,       1600,       1200,        180,          0,          0,          0, 
530 :          @,          0,          1,          0,          2,    8070448,       1600,      -1200,        180,          0,          0,          0, 
531 :          @,          0,          1,          0,          5,    8070463,       3200,      -1500,        180,         -1,         -1,          0, 
532 :          @,          0,          1,          0,          6,    8070468,       3200,       1500,        180,         -1,         -1,          0, 
533 : EV1490_3_001_BTL,          2,          0,          8,          0,        -10,      -1600,          0,          0,          0,          0,          0, 
534 :          @,          0,          0,          0,          1,        -11,      -1000,       -600,          0,          0,          0,          0, 
535 :          @,          0,          0,          0,          2,        -12,      -1000,        600,          0,          0,          0,          0, 
536 :          @,          0,          0,          0,          3,        -13,      -2200,      -1200,          0,          0,          0,          0, 
537 :          @,          0,          0,          0,          4,        -14,      -2200,       1200,          0,          0,          0,          0, 
538 :          @,          0,          0,          0,          5,        -15,      -2200,       1800,          0,          0,          0,          0, 
539 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
540 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
541 :          @,          0,          1,          5,          0,    8070473,       1000,          0,        180,          1,         -1,          1, 
542 :          @,          0,          1,          0,          1,    8070478,       1600,       1200,        180,          0,          0,          0, 
543 :          @,          0,          1,          0,          2,    8070483,       1600,      -1200,        180,          0,          0,          0, 
544 :          @,          0,          1,          0,          5,    8070498,       3200,      -1500,        180,         -1,         -1,          0, 
545 :          @,          0,          1,          0,          6,    8070503,       3200,       1500,        180,         -1,         -1,          0, 
546 : EV1490_4_001_BTL,          2,          0,          8,          0,        -10,      -1600,          0,          0,          0,          0,          0, 
547 :          @,          0,          0,          0,          1,        -11,      -1000,       -600,          0,          0,          0,          0, 
548 :          @,          0,          0,          0,          2,        -12,      -1000,        600,          0,          0,          0,          0, 
549 :          @,          0,          0,          0,          3,        -13,      -2200,      -1200,          0,          0,          0,          0, 
550 :          @,          0,          0,          0,          4,        -14,      -2200,       1200,          0,          0,          0,          0, 
551 :          @,          0,          0,          0,          5,        -15,      -2200,       1800,          0,          0,          0,          0, 
552 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
553 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
554 :          @,          0,          1,          5,          0,    8070508,       1000,          0,        180,          1,         -1,          1, 
555 :          @,          0,          1,          0,          1,    8070513,       1600,       1200,        180,          0,          0,          0, 
556 :          @,          0,          1,          0,          2,    8070518,       1600,      -1200,        180,          0,          0,          0, 
557 :          @,          0,          1,          0,          5,    8070533,       3200,      -1500,        180,         -1,         -1,          0, 
558 :          @,          0,          1,          0,          6,    8070538,       3200,       1500,        180,         -1,         -1,          0, 
559 : EV1490_5_001_BTL,          2,          0,          8,          0,        -10,      -1600,          0,          0,          0,          0,          0, 
560 :          @,          0,          0,          0,          1,        -11,      -1000,       -600,          0,          0,          0,          0, 
561 :          @,          0,          0,          0,          2,        -12,      -1000,        600,          0,          0,          0,          0, 
562 :          @,          0,          0,          0,          3,        -13,      -2200,      -1200,          0,          0,          0,          0, 
563 :          @,          0,          0,          0,          4,        -14,      -2200,       1200,          0,          0,          0,          0, 
564 :          @,          0,          0,          0,          5,        -15,      -2200,       1800,          0,          0,          0,          0, 
565 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
566 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
567 :          @,          0,          1,          5,          0,    8070543,       1000,          0,        180,          1,         -1,          1, 
568 :          @,          0,          1,          0,          1,    8070548,       1600,       1200,        180,          0,          0,          0, 
569 :          @,          0,          1,          0,          2,    8070553,       1600,      -1200,        180,          0,          0,          0, 
570 :          @,          0,          1,          0,          5,    8070568,       3200,      -1500,        180,         -1,         -1,          0, 
571 :          @,          0,          1,          0,          6,    8070573,       3200,       1500,        180,         -1,         -1,          0, 
572 : EV1490_6_001_BTL,          2,          0,          8,          0,        -10,      -1600,          0,          0,          0,          0,          0, 
573 :          @,          0,          0,          0,          1,        -11,      -1000,       -600,          0,          0,          0,          0, 
574 :          @,          0,          0,          0,          2,        -12,      -1000,        600,          0,          0,          0,          0, 
575 :          @,          0,          0,          0,          3,        -13,      -2200,      -1200,          0,          0,          0,          0, 
576 :          @,          0,          0,          0,          4,        -14,      -2200,       1200,          0,          0,          0,          0, 
577 :          @,          0,          0,          0,          5,        -15,      -2200,       1800,          0,          0,          0,          0, 
578 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
579 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
580 :          @,          0,          1,          5,          0,    8070578,       1000,          0,        180,          1,         -1,          1, 
581 :          @,          0,          1,          0,          1,    8070583,       1600,       1200,        180,          0,          0,          0, 
582 :          @,          0,          1,          0,          2,    8070588,       1600,      -1200,        180,          0,          0,          0, 
583 :          @,          0,          1,          0,          5,    8070603,       3200,      -1500,        180,         -1,         -1,          0, 
584 :          @,          0,          1,          0,          6,    8070608,       3200,       1500,        180,         -1,         -1,          0, 
585 : EV1490_7_001_BTL,          2,          0,          8,          0,        -10,      -1600,          0,          0,          0,          0,          0, 
586 :          @,          0,          0,          0,          1,        -11,      -1000,       -600,          0,          0,          0,          0, 
587 :          @,          0,          0,          0,          2,        -12,      -1000,        600,          0,          0,          0,          0, 
588 :          @,          0,          0,          0,          3,        -13,      -2200,      -1200,          0,          0,          0,          0, 
589 :          @,          0,          0,          0,          4,        -14,      -2200,       1200,          0,          0,          0,          0, 
590 :          @,          0,          0,          0,          5,        -15,      -2200,       1800,          0,          0,          0,          0, 
591 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
592 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
593 :          @,          0,          1,          5,          0,    8070613,       1000,          0,        180,          1,         -1,          1, 
594 :          @,          0,          1,          0,          1,    8070618,       1600,       1200,        180,          0,          0,          0, 
595 :          @,          0,          1,          0,          2,    8070623,       1600,      -1200,        180,          0,          0,          0, 
596 :          @,          0,          1,          0,          5,    8070638,       3200,      -1500,        180,         -1,         -1,          0, 
597 :          @,          0,          1,          0,          6,    8070643,       3200,       1500,        180,         -1,         -1,          0, 
598 : EV1490_8_001_BTL,          2,          0,          8,          0,        -10,      -1600,          0,          0,          0,          0,          0, 
599 :          @,          0,          0,          0,          1,        -11,      -1000,       -600,          0,          0,          0,          0, 
600 :          @,          0,          0,          0,          2,        -12,      -1000,        600,          0,          0,          0,          0, 
601 :          @,          0,          0,          0,          3,        -13,      -2200,      -1200,          0,          0,          0,          0, 
602 :          @,          0,          0,          0,          4,        -14,      -2200,       1200,          0,          0,          0,          0, 
603 :          @,          0,          0,          0,          5,        -15,      -2200,       1800,          0,          0,          0,          0, 
604 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
605 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
606 :          @,          0,          1,          5,          0,    8070648,       1000,          0,        180,          1,         -1,          1, 
607 :          @,          0,          1,          0,          1,    8070653,       1600,       1200,        180,          0,          0,          0, 
608 :          @,          0,          1,          0,          2,    8070658,       1600,      -1200,        180,          0,          0,          0, 
609 :          @,          0,          1,          0,          5,    8070673,       3200,      -1500,        180,         -1,         -1,          0, 
610 :          @,          0,          1,          0,          6,    8070678,       3200,       1500,        180,         -1,         -1,          0, 
611 : QE1060_001_BTL,          2,          0,          8,          0,        -10,      -1000,          0,          0,          0,          0,          0, 
612 :          @,          0,          0,          0,          1,        -11,      -2200,       -600,          0,          0,          0,          0, 
613 :          @,          0,          0,          0,          2,        -12,      -2200,      -1200,          0,          0,          0,          0, 
614 :          @,          0,          0,          0,          3,        -13,      -1600,      -1800,          0,          0,          0,          0, 
615 :          @,          0,          0,          0,          4,        -14,      -1600,        600,          0,          0,          0,          0, 
616 :          @,          0,          0,          0,          5,        -15,      -2200,       1200,          0,          0,          0,          0, 
617 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
618 :          @,          0,          0,          0,          7,        -17,      -1600,       -600,          0,          0,          0,          0, 
619 :          @,          0,          1,          2,          0,    8070683,       1000,        300,        180,          0,          0,          0, 
620 :          @,          0,          1,          0,          1,    8070688,       1600,       -300,        180,          0,          0,          0, 
621 : QE0020_001_BTL,          2,          0,          8,          0,        -10,      -1000,          0,          0,          0,          0,          0, 
622 :          @,          0,          0,          0,          1,        -11,      -1600,       -600,          0,          0,          0,          0, 
623 :          @,          0,          0,          0,          2,        -12,      -2200,      -1200,          0,          0,          0,          0, 
624 :          @,          0,          0,          0,          3,        -13,      -1600,      -1800,          0,          0,          0,          0, 
625 :          @,          0,          0,          0,          4,        -14,      -1600,        600,          0,          0,          0,          0, 
626 :          @,          0,          0,          0,          5,        -15,      -2200,       1200,          0,          0,          0,          0, 
627 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
628 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
629 :          @,          0,          1,          3,          0,    8070693,       1600,        600,        180,          0,          0,          0, 
630 :          @,          0,          1,          0,          1,    8070698,       1000,          0,        180,          0,          0,          0, 
631 :          @,          0,          1,          0,          2,    8070703,       1600,      -1200,        180,          0,          0,          0, 
632 : QE0290_001_BTL,          2,          0,          8,          0,        -10,      -1000,          0,          0,          0,          0,          0, 
633 :          @,          0,          0,          0,          1,        -11,      -1600,       -600,          0,          0,          0,          0, 
634 :          @,          0,          0,          0,          2,        -12,      -2200,      -1200,          0,          0,          0,          0, 
635 :          @,          0,          0,          0,          3,        -13,      -1600,      -1800,          0,          0,          0,          0, 
636 :          @,          0,          0,          0,          4,        -14,      -1600,        600,          0,          0,          0,          0, 
637 :          @,          0,          0,          0,          5,        -15,      -2200,       1200,          0,          0,          0,          0, 
638 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
639 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
640 :          @,          0,          1,          3,          0,    8070708,       1000,          0,        180,          0,          0,          0, 
641 :          @,          0,          1,          0,          1,    8070713,       1600,      -1800,        180,          0,          0,          0, 
642 :          @,          0,          1,          0,          2,    8070718,       2200,       1200,        180,          0,          0,          0, 
643 : QE0030_001_BTL,          2,          0,          8,          0,        -10,      -1000,          0,          0,          0,          0,          0, 
644 :          @,          0,          0,          0,          1,        -11,      -1600,       -600,          0,          0,          0,          0, 
645 :          @,          0,          0,          0,          2,        -12,      -2200,      -1200,          0,          0,          0,          0, 
646 :          @,          0,          0,          0,          3,        -13,      -1600,      -1800,          0,          0,          0,          0, 
647 :          @,          0,          0,          0,          4,        -14,      -1600,        600,          0,          0,          0,          0, 
648 :          @,          0,          0,          0,          5,        -15,      -2200,       1200,          0,          0,          0,          0, 
649 :          @,          0,          0,          0,          6,        -16,      -1600,       1800,          0,          0,          0,          0, 
650 :          @,          0,          0,          0,          7,        -17,      -2200,       -600,          0,          0,          0,          0, 
651 :          @,          0,          1,          4,          0,    8070723,       1000,        300,        180,          0,          0,          0, 
652 :          @,          0,          1,          0,          1,    8070728,       1600,       -300,        180,          0,          0,          0, 
653 :          @,          0,          1,          0,          2,    8070733,       2200,      -1200,        180,          0,          0,          0, 
654 :          @,          0,          1,          0,          3,    8070738,       1600,       1800,        180,          0,          0,          0, 
655 : QE0040_001_BTL,          2,          0,          8,          0,        -10,      -1000,          0,          0,          0,          0,          0, 
656 :          @,          0,          0,          0,          1,        -11,      -1600,       -600,          0,          0,          0,          0, 
657 :          @,          0,          0,          0,          2,        -12,      -2200,      -1200,          0,          0,          0,          0, 
658 :          @,          0,          0,          0,          3,        -13,      -1600,      -1800,          0,          0,          0,          0, 
659 :          @,          0,          0,          0,          4,        -14,      -1600,        600,          0,          0,          0,          0, 
