           km_,   km_namen,    km_help, km_namen_suffix, km_StrNo_SkeletalMesh, km_material_id, km_StrNo_AnimSet_b, km_StrNo_AnimTree_b, km_StrNo_AnimSet_f, km_StrNo_AnimTree_f, km_trax_battle_basic, km_StrNo_sp_staus_pkgname00, km_StrNo_sp_dead_pkgname00, km_StrNo_seb_move, km_StrNo_seb_effect, km_ja_inter, km_StrNo_seb_actorvoice, km_StrNo_voice_cue_prefix, km_btl_voice_chara, km_menu_voice_id, km_blood_type, km_build_id, km_variation_id,    km_df_h,    km_df_m,    km_df_l,    km_lodh, km_chara_hit, km_model_collision_x, km_model_collision_y, km_model_collision_z, km_chara_camera_hit, km_figure_camera_size, km_camera_hit_on, km_z_offset, km_mot_guard_type, km_mot_dead_type, km_mot_sidemove_type, km_ragdoll, km_mot_movespeed_walk, km_mot_movespeed_run, km_mot_movespeed_rev, km_global_breed_category, km_global_breed, km_multi_lockup, km_move_style, km_mode_vibration, km_move_speed_battle_w, km_move_speed_battle_r, km_face_id, km_emblem_id, km_emblem_mat,     km_sex, km_friend_type, km_collision_weight, km_hp_gauge_announce, km_use_shadow, km_model_no_hide, km_nikusitsu, km_shield_count, km_pop_offset, km_on_leader, 
376 : btl_free_npc_067,        197,         -1,          8,      66734,          0,      66735,      66736,      66737,      66738,          0,      66739,      66740,      66741,      66742,          1,      66743,      66744,         37,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         51,         90,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          1, 
377 : btl_free_npc_029,        159,         -1,          8,      66745,          0,      66746,      66747,      66748,      66749,          0,      66750,      66751,      66752,      66753,          1,      66754,      66755,         37,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         51,         74,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          1, 
378 : btl_free_npc_040,        170,         -1,          8,      66756,          0,      66757,      66758,      66759,      66760,          0,      66761,      66762,      66763,      66764,          1,      66765,      66766,         37,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         51,         74,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          1, 
379 : btl_free_npc,        338,         -1,         42,      66767,          0,      66768,      66769,      66770,      66771,          0,      66772,      66773,      66774,      66775,          1,      66776,      66777,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         60,         47,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
380 : btl_free_npc,        446,         -1,         38,      66778,          1,      66779,      66780,      66781,      66782,          0,      66783,      66784,      66785,      66786,          1,      66787,      66788,         45,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        135,         57,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
381 : btl_free_npc,        334,         -1,         27,      66789,          0,      66790,      66791,      66792,      66793,          0,      66794,      66795,      66796,      66797,          1,      66798,      66799,         40,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         76,         62,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          1, 
382 : btl_free_npc,        357,         -1,         46,      66800,          4,      66801,      66802,      66803,      66804,          0,      66805,      66806,      66807,      66808,          1,      66809,      66810,         56,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         84,         37,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          1, 
383 : btl_free_npc,        307,         -1,         12,      66811,          0,      66812,      66813,      66814,      66815,          0,      66816,      66817,      66818,      66819,          1,      66820,      66821,         41,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         92,         63,          1,          1,          2,        600,          0,          0,          0,          0,          0,          0,          1, 
384 : btl_free_npc,        304,         -1,         49,      66822,          0,      66823,      66824,      66825,      66826,          0,      66827,      66828,      66829,      66830,          1,      66831,      66832,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         85,         63,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
385 : btl_free_npc,        306,         -1,         43,      66833,          0,      66834,      66835,      66836,      66837,          0,      66838,      66839,      66840,      66841,          1,      66842,      66843,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        113,         68,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
386 : btl_free_npc,        249,         -1,         53,      66844,          2,      66845,      66846,      66847,      66848,          0,      66849,      66850,      66851,      66852,          1,      66853,      66854,         38,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         68,         50,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
387 : btl_free_npc_035,        165,         -1,         53,      66855,          2,      66856,      66857,      66858,      66859,          0,      66860,      66861,      66862,      66863,          1,      66864,      66865,         48,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        142,         60,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
388 : btl_free_npc_025,        155,         -1,          9,      66866,          0,      66867,      66868,      66869,      66870,          0,      66871,      66872,      66873,      66874,          1,      66875,      66876,         43,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         95,         64,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          1, 
389 : btl_free_npc_016,        146,         -1,         24,      66877,          2,      66878,      66879,      66880,      66881,          0,      66882,      66883,      66884,      66885,          1,      66886,      66887,         37,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         65,         49,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          1, 
390 : btl_free_npc,        417,         -1,          8,      66888,          0,      66889,      66890,      66891,      66892,          0,      66893,      66894,      66895,      66896,          1,      66897,      66898,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         45,         96,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
391 : btl_free_npc,        365,         -1,          8,      66899,          0,      66900,      66901,      66902,      66903,          0,      66904,      66905,      66906,      66907,          1,      66908,      66909,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         45,         72,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
392 : btl_free_npc,        395,         -1,          8,      66910,          0,      66911,      66912,      66913,      66914,          0,      66915,      66916,      66917,      66918,          1,      66919,      66920,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         45,         88,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
393 : btl_free_npc,        367,         -1,          8,      66921,          2,      66922,      66923,      66924,      66925,          0,      66926,      66927,      66928,      66929,          1,      66930,      66931,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         47,         72,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
394 : btl_free_npc,        397,         -1,          8,      66932,          2,      66933,      66934,      66935,      66936,          0,      66937,      66938,      66939,      66940,          1,      66941,      66942,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         47,         84,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
395 : btl_free_npc,        353,         -1,          8,      66943,          0,      66944,      66945,      66946,      66947,          0,      66948,      66949,      66950,      66951,          1,      66952,      66953,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         45,         80,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
396 : btl_free_npc,        388,         -1,          8,      66954,          0,      66955,      66956,      66957,      66958,          0,      66959,      66960,      66961,      66962,          1,      66963,      66964,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         45,         88,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
397 : btl_free_npc,        418,         -1,          8,      66965,          1,      66966,      66967,      66968,      66969,          0,      66970,      66971,      66972,      66973,          1,      66974,      66975,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         46,         72,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
398 : btl_free_npc,        332,         -1,          8,      66976,          1,      66977,      66978,      66979,      66980,          0,      66981,      66982,      66983,      66984,          1,      66985,      66986,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         46,         92,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
399 : btl_free_npc,        278,         -1,          8,      66987,          0,      66988,      66989,      66990,      66991,          0,      66992,      66993,      66994,      66995,          1,      66996,      66997,         38,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         54,         79,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
400 : btl_free_npc,        266,         -1,          8,      66998,          2,      66999,      67000,      67001,      67002,          0,      67003,      67004,      67005,      67006,          1,      67007,      67008,         38,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         56,         75,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
401 : btl_free_npc_063,        193,         -1,          8,      67009,          2,      67010,      67011,      67012,      67013,          0,      67014,      67015,      67016,      67017,          1,      67018,      67019,         38,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         56,         75,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
402 : btl_free_npc,        236,         -1,          8,      67020,          0,      67021,      67022,      67023,      67024,          0,      67025,      67026,      67027,      67028,          1,      67029,      67030,         38,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         54,         83,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
403 : btl_free_npc_003,        133,         -1,          8,      67031,          1,      67032,      67033,      67034,      67035,          0,      67036,      67037,      67038,      67039,          1,      67040,      67041,         38,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         55,         95,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
404 : btl_free_npc,        271,         -1,          8,      67042,          0,      67043,      67044,      67045,      67046,          0,      67047,      67048,      67049,      67050,          1,      67051,      67052,         37,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         51,         74,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          1, 
405 : btl_free_npc_056,        186,         -1,          8,      67053,          0,      67054,      67055,      67056,      67057,          0,      67058,      67059,      67060,      67061,          1,      67062,      67063,         37,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         51,         78,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          1, 
406 : btl_free_npc_053,        183,         -1,          8,      67064,          2,      67065,      67066,      67067,      67068,          0,      67069,      67070,      67071,      67072,          1,      67073,      67074,         37,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         53,         74,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          1, 
407 : btl_free_npc_071,        201,         -1,          8,      67075,          0,      67076,      67077,      67078,      67079,          0,      67080,      67081,      67082,      67083,          1,      67084,      67085,         37,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         51,        102,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          1, 
408 : btl_free_npc,        280,         -1,          8,      67086,          2,      67087,      67088,      67089,      67090,          0,      67091,      67092,      67093,      67094,          1,      67095,      67096,         37,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         53,         74,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          1, 
409 : btl_free_npc,        277,         -1,          8,      67097,          2,      67098,      67099,      67100,      67101,          0,      67102,      67103,      67104,      67105,          1,      67106,      67107,         37,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         53,         86,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          1, 
410 : btl_free_npc,        339,         -1,         44,      67108,          2,      67109,      67110,      67111,      67112,          0,      67113,      67114,      67115,      67116,          1,      67117,      67118,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         62,         47,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
411 : btl_free_npc,        400,         -1,          9,      67119,          0,      67120,      67121,      67122,      67123,          0,      67124,      67125,      67126,      67127,          1,      67128,      67129,         45,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        134,         57,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
412 : btl_free_npc,        325,         -1,         20,      67130,          0,      67131,      67132,      67133,      67134,          0,      67135,      67136,      67137,      67138,          1,      67139,      67140,         40,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         75,         62,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          1, 
413 : btl_free_npc,        362,         -1,         28,      67141,          1,      67142,      67143,      67144,      67145,          0,      67146,      67147,      67148,      67149,          1,      67150,      67151,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         58,         47,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          1, 
414 : btl_free_npc,        447,         -1,         50,      67152,          3,      67153,      67154,      67155,      67156,          0,      67157,      67158,      67159,      67160,          1,      67161,      67162,         49,          0,          1,          0,          0,          0,        600,        200,         20,          1,         45,        165,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        106,         27,          1,          0,          2,        700,          0,          0,          0,          0,          0,          0,          1, 
415 : btl_free_npc,        300,         -1,         19,      67163,          1,      67164,      67165,      67166,      67167,          0,      67168,      67169,      67170,      67171,          1,      67172,      67173,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,        114,         68,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
416 : btl_free_npc,        290,         -1,         36,      67174,          0,      67175,      67176,      67177,      67178,          0,      67179,      67180,      67181,      67182,          1,      67183,      67184,         42,          0,          1,          0,          0,          0,        600,        200,         20,          1,         40,        155,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         87,         63,          1,          1,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
417 : btl_free_npc_041,        171,         -1,         55,      67185,          1,      67186,      67187,      67188,      67189,          0,      67190,      67191,      67192,      67193,          1,      67194,      67195,         38,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         67,         50,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
418 : btl_free_npc_098,        228,         -1,         53,      67196,          4,      67197,      67198,      67199,      67200,          0,      67201,      67202,      67203,      67204,          1,      67205,      67206,         44,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        144,         40,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
419 : btl_free_npc_065,        195,         -1,         17,      67207,          3,      67208,      67209,      67210,      67211,          0,      67212,      67213,      67214,      67215,          1,      67216,      67217,         52,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,        130,         30,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
420 : btl_free_npc_061,        191,         -1,         22,      67218,          2,      67219,      67220,      67221,      67222,          0,      67223,      67224,      67225,      67226,          1,      67227,      67228,         43,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,        125,         69,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          1, 
421 : btl_free_npc,        258,         -1,         41,      67229,          0,      67230,      67231,      67232,      67233,          0,      67234,      67235,      67236,      67237,          1,      67238,      67239,         37,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,         63,         49,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          1, 
422 : btl_free_npc_057,        187,         -1,         23,      67240,          2,      67241,      67242,      67243,      67244,          0,      67245,      67246,      67247,      67248,          1,      67249,      67250,         47,          0,          1,          0,          0,          0,        600,        200,         20,          1,         75,        255,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        180,         -1,          1,          1,          0,          0,          2,          6,        139,         59,          1,          0,          2,       1200,          0,          0,          0,          0,          0,          0,          1, 
423 : btl_free_npc,        322,         -1,          8,      67251,          0,      67252,      67253,      67254,      67255,          0,      67256,      67257,      67258,      67259,          1,      67260,      67261,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         45,         72,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
424 : btl_free_npc,        343,         -1,          8,      67262,          0,      67263,      67264,      67265,      67266,          0,      67267,      67268,      67269,      67270,          1,      67271,      67272,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         45,         88,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
425 : btl_free_npc,        374,         -1,          8,      67273,          0,      67274,      67275,      67276,      67277,          0,      67278,      67279,      67280,      67281,          1,      67282,      67283,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         45,         76,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
426 : btl_free_npc,        434,         -1,          8,      67284,          2,      67285,      67286,      67287,      67288,          0,      67289,      67290,      67291,      67292,          1,      67293,      67294,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         47,         72,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
427 : btl_free_npc,        330,         -1,          8,      67295,          2,      67296,      67297,      67298,      67299,          0,      67300,      67301,      67302,      67303,          1,      67304,      67305,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         47,        100,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
428 : btl_free_npc,        393,         -1,          8,      67306,          1,      67307,      67308,      67309,      67310,          0,      67311,      67312,      67313,      67314,          1,      67315,      67316,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         46,         72,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
429 : btl_free_npc,        344,         -1,          8,      67317,          2,      67318,      67319,      67320,      67321,          0,      67322,      67323,      67324,      67325,          1,      67326,      67327,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         47,         84,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
430 : btl_free_npc,        379,         -1,          8,      67328,          0,      67329,      67330,      67331,      67332,          0,      67333,      67334,      67335,      67336,          1,      67337,      67338,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         45,         92,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
431 : btl_free_npc,        438,         -1,          8,      67339,          1,      67340,      67341,      67342,      67343,          0,      67344,      67345,      67346,      67347,          1,      67348,      67349,         35,          0,          1,          0,          0,          0,        600,        200,         20,          1,         55,        187,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          0,          1,          0,          0,          2,          6,         46,         80,          1,          0,          2,        800,          0,          0,          0,          0,          0,          0,          1, 
432 : btl_free_npc_001,        131,         -1,          8,      67350,          0,      67351,      67352,      67353,      67354,          0,      67355,      67356,      67357,      67358,          1,      67359,      67360,         38,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         54,         79,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
433 : btl_free_npc_036,        166,         -1,          8,      67361,          0,      67362,      67363,      67364,      67365,          0,      67366,      67367,      67368,      67369,          1,      67370,      67371,         38,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         54,         75,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
434 : btl_free_npc_068,        198,         -1,          8,      67372,          1,      67373,      67374,      67375,      67376,          0,      67377,      67378,      67379,      67380,          1,      67381,      67382,         38,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         55,         95,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
435 : btl_free_npc_011,        141,         -1,          8,      67383,          1,      67384,      67385,      67386,      67387,          0,      67388,      67389,      67390,      67391,          1,      67392,      67393,         38,          0,          1,          0,          0,          0,        300,        200,         20,          1,         43,        125,        100,          0,          0,          0,          1,          0,          0,          0,          0,          1,          6,        270,         -1,          2,          1,          0,          0,          2,          6,         55,         83,          1,          0,          2,        500,          0,          0,          0,          0,          0,          0,          1, 
