           km_,     km_lv1, km_lv1para,     km_lv2, km_lv2para,     km_lv3, km_lv3para,     km_lv4, km_lv4para,     km_lv5, km_lv5para,     km_lv6, km_lv6para,     km_lv7, km_lv7para,     km_lv8, km_lv8para,     km_lv9, km_lv9para,    km_lv10, km_lv10para,    km_lv11, km_lv11para,    km_lv12, km_lv12para,    km_lv13, km_lv13para,    km_lv14, km_lv14para,    km_lv15, km_lv15para,    km_lv16, km_lv16para,    km_lv17, km_lv17para,    km_lv18, km_lv18para,    km_lv19, km_lv19para,    km_lv20, km_lv20para,    km_lv21, km_lv21para,    km_lv22, km_lv22para,    km_lv23, km_lv23para,    km_lv24, km_lv24para,    km_lv25, km_lv25para,    km_lv26, km_lv26para,    km_lv27, km_lv27para,    km_lv28, km_lv28para,    km_lv29, km_lv29para,    km_lv30, km_lv30para,    km_lv31, km_lv31para,    km_lv32, km_lv32para,    km_lv33, km_lv33para,    km_lv34, km_lv34para,    km_lv35, km_lv35para,    km_lv36, km_lv36para,    km_lv37, km_lv37para,    km_lv38, km_lv38para,    km_lv39, km_lv39para,    km_lv40, km_lv40para,    km_lv41, km_lv41para,    km_lv42, km_lv42para,    km_lv43, km_lv43para,    km_lv44, km_lv44para,    km_lv45, km_lv45para,    km_lv46, km_lv46para,    km_lv47, km_lv47para,    km_lv48, km_lv48para,    km_lv49, km_lv49para,    km_lv50, km_lv50para,    km_lv51, km_lv51para,    km_lv52, km_lv52para,    km_lv53, km_lv53para,    km_lv54, km_lv54para,    km_lv55, km_lv55para,    km_lv56, km_lv56para,    km_lv57, km_lv57para,    km_lv58, km_lv58para,    km_lv59, km_lv59para,    km_lv60, km_lv60para,    km_lv61, km_lv61para,    km_lv62, km_lv62para,    km_lv63, km_lv63para,    km_lv64, km_lv64para,    km_lv65, km_lv65para,    km_lv66, km_lv66para,    km_lv67, km_lv67para,    km_lv68, km_lv68para,    km_lv69, km_lv69para,    km_lv70, km_lv70para,    km_lv71, km_lv71para,    km_lv72, km_lv72para,    km_lv73, km_lv73para,    km_lv74, km_lv74para,    km_lv75, km_lv75para,    km_lv76, km_lv76para,    km_lv77, km_lv77para,    km_lv78, km_lv78para,    km_lv79, km_lv79para,    km_lv80, km_lv80para,    km_lv81, km_lv81para,    km_lv82, km_lv82para,    km_lv83, km_lv83para,    km_lv84, km_lv84para,    km_lv85, km_lv85para,    km_lv86, km_lv86para,    km_lv87, km_lv87para,    km_lv88, km_lv88para,    km_lv89, km_lv89para,    km_lv90, km_lv90para,    km_lv91, km_lv91para,    km_lv92, km_lv92para,    km_lv93, km_lv93para,    km_lv94, km_lv94para,    km_lv95, km_lv95para,    km_lv96, km_lv96para,    km_lv97, km_lv97para,    km_lv98, km_lv98para,    km_lv99, km_lv99para,   km_lv100, km_lv100para, 
72 : STR_101_athlum_fighter,      15200,         11,      15352,         11,      15504,         11,      15656,         11,      15808,         11,      15960,         11,      16112,         11,      16264,         11,      16416,         11,      16568,         11,      16720,         11,      16872,         11,      17024,         11,      17176,         11,      17328,         11,      17480,         11,      17632,         11,      17784,         11,      17936,         11,      18088,         11,      18240,         11,      18392,         11,      18544,         11,      18696,         11,      18848,         11,      19000,         11,      19152,         11,      19304,         11,      19456,         11,      19608,         11,      19760,         11,      19912,         11,      20064,         11,      20216,         11,      20368,         11,      20520,         11,      20672,         11,      20824,         11,      20976,         11,      21128,         11,      21280,         11,      21432,         11,      21584,         11,      21736,         11,      21888,         11,      22040,         11,      22192,         11,      22344,         11,      22496,         11,      22648,         11,      22800,         11,      22952,         11,      23104,         11,      23256,         11,      23408,         11,      23560,         11,      23712,         11,      23864,         11,      24016,         11,      24168,         11,      24320,         11,      24472,         11,      24624,         11,      24776,         11,      24928,         11,      25080,         11,      25232,         11,      25384,         11,      25536,         11,      25688,         11,      25840,         11,      25992,         11,      26144,         11,      26296,         11,      26448,         11,      26600,         11,      26752,         11,      26904,         11,      27056,         11,      27208,         11,      27360,         11,      27512,         11,      27664,         11,      27816,         11,      27968,         11,      28120,         11,      28272,         11,      28424,         11,      28576,         11,      28728,         11,      28880,         11,      29032,         11,      29184,         11,      29336,         11,      29488,         11,      29640,         11,      29792,         11,      29944,         11,      30096,         11,      30248,         11, 
73 : STR_101_athlum_mage,      16800,         11,      16968,         11,      17136,         11,      17304,         11,      17472,         11,      17640,         11,      17808,         11,      17976,         11,      18144,         11,      18312,         11,      18480,         11,      18648,         11,      18816,         11,      18984,         11,      19152,         11,      19320,         11,      19488,         11,      19656,         11,      19824,         11,      19992,         11,      20160,         11,      20328,         11,      20496,         11,      20664,         11,      20832,         11,      21000,         11,      21168,         11,      21336,         11,      21504,         11,      21672,         11,      21840,         11,      22008,         11,      22176,         11,      22344,         11,      22512,         11,      22680,         11,      22848,         11,      23016,         11,      23184,         11,      23352,         11,      23520,         11,      23688,         11,      23856,         11,      24024,         11,      24192,         11,      24360,         11,      24528,         11,      24696,         11,      24864,         11,      25032,         11,      25200,         11,      25368,         11,      25536,         11,      25704,         11,      25872,         11,      26040,         11,      26208,         11,      26376,         11,      26544,         11,      26712,         11,      26880,         11,      27048,         11,      27216,         11,      27384,         11,      27552,         11,      27720,         11,      27888,         11,      28056,         11,      28224,         11,      28392,         11,      28560,         11,      28728,         11,      28896,         11,      29064,         11,      29232,         11,      29400,         11,      29568,         11,      29736,         11,      29904,         11,      30072,         11,      30240,         11,      30408,         11,      30576,         11,      30744,         11,      30912,         11,      31080,         11,      31248,         11,      31416,         11,      31584,         11,      31752,         11,      31920,         11,      32088,         11,      32256,         11,      32424,         11,      32592,         11,      32760,         11,      32928,         11,      33096,         11,      33264,         11,      33432,         11, 
74 : STR_101_athlum_normal,      16000,         11,      16160,         11,      16320,         11,      16480,         11,      16640,         11,      16800,         11,      16960,         11,      17120,         11,      17280,         11,      17440,         11,      17600,         11,      17760,         11,      17920,         11,      18080,         11,      18240,         11,      18400,         11,      18560,         11,      18720,         11,      18880,         11,      19040,         11,      19200,         11,      19360,         11,      19520,         11,      19680,         11,      19840,         11,      20000,         11,      20160,         11,      20320,         11,      20480,         11,      20640,         11,      20800,         11,      20960,         11,      21120,         11,      21280,         11,      21440,         11,      21600,         11,      21760,         11,      21920,         11,      22080,         11,      22240,         11,      22400,         11,      22560,         11,      22720,         11,      22880,         11,      23040,         11,      23200,         11,      23360,         11,      23520,         11,      23680,         11,      23840,         11,      24000,         11,      24160,         11,      24320,         11,      24480,         11,      24640,         11,      24800,         11,      24960,         11,      25120,         11,      25280,         11,      25440,         11,      25600,         11,      25760,         11,      25920,         11,      26080,         11,      26240,         11,      26400,         11,      26560,         11,      26720,         11,      26880,         11,      27040,         11,      27200,         11,      27360,         11,      27520,         11,      27680,         11,      27840,         11,      28000,         11,      28160,         11,      28320,         11,      28480,         11,      28640,         11,      28800,         11,      28960,         11,      29120,         11,      29280,         11,      29440,         11,      29600,         11,      29760,         11,      29920,         11,      30080,         11,      30240,         11,      30400,         11,      30560,         11,      30720,         11,      30880,         11,      31040,         11,      31200,         11,      31360,         11,      31520,         11,      31680,         11,      31840,         11, 
75 : STR_101_mons_fighter,      16000,          2,      16160,          2,      16320,          2,      16480,          2,      16640,          2,      16800,          2,      16960,          2,      17120,          2,      17280,          2,      17440,          2,      17600,          2,      17760,          2,      17920,          2,      18080,          2,      18240,          2,      18400,          2,      18560,          2,      18720,          2,      18880,          2,      19040,          2,      19200,          2,      19360,          2,      19520,          2,      19680,          2,      19840,          2,      20000,          2,      20160,          2,      20320,          2,      20480,          2,      20640,          2,      20800,          2,      20960,          2,      21120,          2,      21280,          2,      21440,          2,      21600,          2,      21760,          2,      21920,          2,      22080,          2,      22240,          2,      22400,          2,      22560,          2,      22720,          2,      22880,          2,      23040,          2,      23200,          2,      23360,          2,      23520,          2,      23680,          2,      23840,          2,      24000,          2,      24160,          2,      24320,          2,      24480,          2,      24640,          2,      24800,          2,      24960,          2,      25120,          2,      25280,          2,      25440,          2,      25600,          2,      25760,          2,      25920,          2,      26080,          2,      26240,          2,      26400,          2,      26560,          2,      26720,          2,      26880,          2,      27040,          2,      27200,          2,      27360,          2,      27520,          2,      27680,          2,      27840,          2,      28000,          2,      28160,          2,      28320,          2,      28480,          2,      28640,          2,      28800,          2,      28960,          2,      29120,          2,      29280,          2,      29440,          2,      29600,          2,      29760,          2,      29920,          2,      30080,          2,      30240,          2,      30400,          2,      30560,          2,      30720,          2,      30880,          2,      31040,          2,      31200,          2,      31360,          2,      31520,          2,      31680,          2,      31840,          2, 
76 : STR_101_mons_mage,      16000,          2,      16160,          2,      16320,          2,      16480,          2,      16640,          2,      16800,          2,      16960,          2,      17120,          2,      17280,          2,      17440,          2,      17600,          2,      17760,          2,      17920,          2,      18080,          2,      18240,          2,      18400,          2,      18560,          2,      18720,          2,      18880,          2,      19040,          2,      19200,          2,      19360,          2,      19520,          2,      19680,          2,      19840,          2,      20000,          2,      20160,          2,      20320,          2,      20480,          2,      20640,          2,      20800,          2,      20960,          2,      21120,          2,      21280,          2,      21440,          2,      21600,          2,      21760,          2,      21920,          2,      22080,          2,      22240,          2,      22400,          2,      22560,          2,      22720,          2,      22880,          2,      23040,          2,      23200,          2,      23360,          2,      23520,          2,      23680,          2,      23840,          2,      24000,          2,      24160,          2,      24320,          2,      24480,          2,      24640,          2,      24800,          2,      24960,          2,      25120,          2,      25280,          2,      25440,          2,      25600,          2,      25760,          2,      25920,          2,      26080,          2,      26240,          2,      26400,          2,      26560,          2,      26720,          2,      26880,          2,      27040,          2,      27200,          2,      27360,          2,      27520,          2,      27680,          2,      27840,          2,      28000,          2,      28160,          2,      28320,          2,      28480,          2,      28640,          2,      28800,          2,      28960,          2,      29120,          2,      29280,          2,      29440,          2,      29600,          2,      29760,          2,      29920,          2,      30080,          2,      30240,          2,      30400,          2,      30560,          2,      30720,          2,      30880,          2,      31040,          2,      31200,          2,      31360,          2,      31520,          2,      31680,          2,      31840,          2, 
77 : STR_101_mons_normal,      16000,          2,      16160,          2,      16320,          2,      16480,          2,      16640,          2,      16800,          2,      16960,          2,      17120,          2,      17280,          2,      17440,          2,      17600,          2,      17760,          2,      17920,          2,      18080,          2,      18240,          2,      18400,          2,      18560,          2,      18720,          2,      18880,          2,      19040,          2,      19200,          2,      19360,          2,      19520,          2,      19680,          2,      19840,          2,      20000,          2,      20160,          2,      20320,          2,      20480,          2,      20640,          2,      20800,          2,      20960,          2,      21120,          2,      21280,          2,      21440,          2,      21600,          2,      21760,          2,      21920,          2,      22080,          2,      22240,          2,      22400,          2,      22560,          2,      22720,          2,      22880,          2,      23040,          2,      23200,          2,      23360,          2,      23520,          2,      23680,          2,      23840,          2,      24000,          2,      24160,          2,      24320,          2,      24480,          2,      24640,          2,      24800,          2,      24960,          2,      25120,          2,      25280,          2,      25440,          2,      25600,          2,      25760,          2,      25920,          2,      26080,          2,      26240,          2,      26400,          2,      26560,          2,      26720,          2,      26880,          2,      27040,          2,      27200,          2,      27360,          2,      27520,          2,      27680,          2,      27840,          2,      28000,          2,      28160,          2,      28320,          2,      28480,          2,      28640,          2,      28800,          2,      28960,          2,      29120,          2,      29280,          2,      29440,          2,      29600,          2,      29760,          2,      29920,          2,      30080,          2,      30240,          2,      30400,          2,      30560,          2,      30720,          2,      30880,          2,      31040,          2,      31200,          2,      31360,          2,      31520,          2,      31680,          2,      31840,          2, 
78 : STR_101_mons_boss_fighter,      16000,          2,      16160,          2,      16320,          2,      16480,          2,      16640,          2,      16800,          2,      16960,          2,      17120,          2,      17280,          2,      17440,          2,      17600,          2,      17760,          2,      17920,          2,      18080,          2,      18240,          2,      18400,          2,      18560,          2,      18720,          2,      18880,          2,      19040,          2,      19200,          2,      19360,          2,      19520,          2,      19680,          2,      19840,          2,      20000,          2,      20160,          2,      20320,          2,      20480,          2,      20640,          2,      20800,          2,      20960,          2,      21120,          2,      21280,          2,      21440,          2,      21600,          2,      21760,          2,      21920,          2,      22080,          2,      22240,          2,      22400,          2,      22560,          2,      22720,          2,      22880,          2,      23040,          2,      23200,          2,      23360,          2,      23520,          2,      23680,          2,      23840,          2,      24000,          2,      24160,          2,      24320,          2,      24480,          2,      24640,          2,      24800,          2,      24960,          2,      25120,          2,      25280,          2,      25440,          2,      25600,          2,      25760,          2,      25920,          2,      26080,          2,      26240,          2,      26400,          2,      26560,          2,      26720,          2,      26880,          2,      27040,          2,      27200,          2,      27360,          2,      27520,          2,      27680,          2,      27840,          2,      28000,          2,      28160,          2,      28320,          2,      28480,          2,      28640,          2,      28800,          2,      28960,          2,      29120,          2,      29280,          2,      29440,          2,      29600,          2,      29760,          2,      29920,          2,      30080,          2,      30240,          2,      30400,          2,      30560,          2,      30720,          2,      30880,          2,      31040,          2,      31200,          2,      31360,          2,      31520,          2,      31680,          2,      31840,          2, 
79 : STR_101_mons_boss_mage,      16000,          2,      16160,          2,      16320,          2,      16480,          2,      16640,          2,      16800,          2,      16960,          2,      17120,          2,      17280,          2,      17440,          2,      17600,          2,      17760,          2,      17920,          2,      18080,          2,      18240,          2,      18400,          2,      18560,          2,      18720,          2,      18880,          2,      19040,          2,      19200,          2,      19360,          2,      19520,          2,      19680,          2,      19840,          2,      20000,          2,      20160,          2,      20320,          2,      20480,          2,      20640,          2,      20800,          2,      20960,          2,      21120,          2,      21280,          2,      21440,          2,      21600,          2,      21760,          2,      21920,          2,      22080,          2,      22240,          2,      22400,          2,      22560,          2,      22720,          2,      22880,          2,      23040,          2,      23200,          2,      23360,          2,      23520,          2,      23680,          2,      23840,          2,      24000,          2,      24160,          2,      24320,          2,      24480,          2,      24640,          2,      24800,          2,      24960,          2,      25120,          2,      25280,          2,      25440,          2,      25600,          2,      25760,          2,      25920,          2,      26080,          2,      26240,          2,      26400,          2,      26560,          2,      26720,          2,      26880,          2,      27040,          2,      27200,          2,      27360,          2,      27520,          2,      27680,          2,      27840,          2,      28000,          2,      28160,          2,      28320,          2,      28480,          2,      28640,          2,      28800,          2,      28960,          2,      29120,          2,      29280,          2,      29440,          2,      29600,          2,      29760,          2,      29920,          2,      30080,          2,      30240,          2,      30400,          2,      30560,          2,      30720,          2,      30880,          2,      31040,          2,      31200,          2,      31360,          2,      31520,          2,      31680,          2,      31840,          2, 
80 : STR_101_mons_boss_normal,      16000,          2,      16160,          2,      16320,          2,      16480,          2,      16640,          2,      16800,          2,      16960,          2,      17120,          2,      17280,          2,      17440,          2,      17600,          2,      17760,          2,      17920,          2,      18080,          2,      18240,          2,      18400,          2,      18560,          2,      18720,          2,      18880,          2,      19040,          2,      19200,          2,      19360,          2,      19520,          2,      19680,          2,      19840,          2,      20000,          2,      20160,          2,      20320,          2,      20480,          2,      20640,          2,      20800,          2,      20960,          2,      21120,          2,      21280,          2,      21440,          2,      21600,          2,      21760,          2,      21920,          2,      22080,          2,      22240,          2,      22400,          2,      22560,          2,      22720,          2,      22880,          2,      23040,          2,      23200,          2,      23360,          2,      23520,          2,      23680,          2,      23840,          2,      24000,          2,      24160,          2,      24320,          2,      24480,          2,      24640,          2,      24800,          2,      24960,          2,      25120,          2,      25280,          2,      25440,          2,      25600,          2,      25760,          2,      25920,          2,      26080,          2,      26240,          2,      26400,          2,      26560,          2,      26720,          2,      26880,          2,      27040,          2,      27200,          2,      27360,          2,      27520,          2,      27680,          2,      27840,          2,      28000,          2,      28160,          2,      28320,          2,      28480,          2,      28640,          2,      28800,          2,      28960,          2,      29120,          2,      29280,          2,      29440,          2,      29600,          2,      29760,          2,      29920,          2,      30080,          2,      30240,          2,      30400,          2,      30560,          2,      30720,          2,      30880,          2,      31040,          2,      31200,          2,      31360,          2,      31520,          2,      31680,          2,      31840,          2, 
81 : MGC_101_pc_fighter,      16800,         12,      16968,         12,      17136,         12,      17304,         12,      17472,         12,      17640,         12,      17808,         12,      17976,         12,      18144,         12,      18312,         12,      18480,         12,      18648,         12,      18816,         12,      18984,         12,      19152,         12,      19320,         12,      19488,         12,      19656,         12,      19824,         12,      19992,         12,      20160,         12,      20328,         12,      20496,         12,      20664,         12,      20832,         12,      21000,         12,      21168,         12,      21336,         12,      21504,         12,      21672,         12,      21840,         12,      22008,         12,      22176,         12,      22344,         12,      22512,         12,      22680,         12,      22848,         12,      23016,         12,      23184,         12,      23352,         12,      23520,         12,      23688,         12,      23856,         12,      24024,         12,      24192,         12,      24360,         12,      24528,         12,      24696,         12,      24864,         12,      25032,         12,      25200,         12,      25368,         12,      25536,         12,      25704,         12,      25872,         12,      26040,         12,      26208,         12,      26376,         12,      26544,         12,      26712,         12,      26880,         12,      27048,         12,      27216,         12,      27384,         12,      27552,         12,      27720,         12,      27888,         12,      28056,         12,      28224,         12,      28392,         12,      28560,         12,      28728,         12,      28896,         12,      29064,         12,      29232,         12,      29400,         12,      29568,         12,      29736,         12,      29904,         12,      30072,         12,      30240,         12,      30408,         12,      30576,         12,      30744,         12,      30912,         12,      31080,         12,      31248,         12,      31416,         12,      31584,         12,      31752,         12,      31920,         12,      32088,         12,      32256,         12,      32424,         12,      32592,         12,      32760,         12,      32928,         12,      33096,         12,      33264,         12,      33432,         12, 
82 : MGC_101_pc_mage,      15200,         14,      15352,         14,      15504,         14,      15656,         14,      15808,         14,      15960,         14,      16112,         14,      16264,         14,      16416,         14,      16568,         14,      16720,         14,      16872,         14,      17024,         14,      17176,         14,      17328,         14,      17480,         14,      17632,         14,      17784,         14,      17936,         14,      18088,         14,      18240,         14,      18392,         14,      18544,         14,      18696,         14,      18848,         14,      19000,         14,      19152,         14,      19304,         14,      19456,         14,      19608,         14,      19760,         14,      19912,         14,      20064,         14,      20216,         14,      20368,         14,      20520,         14,      20672,         14,      20824,         14,      20976,         14,      21128,         14,      21280,         14,      21432,         14,      21584,         14,      21736,         14,      21888,         14,      22040,         14,      22192,         14,      22344,         14,      22496,         14,      22648,         14,      22800,         14,      22952,         14,      23104,         14,      23256,         14,      23408,         14,      23560,         14,      23712,         14,      23864,         14,      24016,         14,      24168,         14,      24320,         14,      24472,         14,      24624,         14,      24776,         14,      24928,         14,      25080,         14,      25232,         14,      25384,         14,      25536,         14,      25688,         14,      25840,         14,      25992,         14,      26144,         14,      26296,         14,      26448,         14,      26600,         14,      26752,         14,      26904,         14,      27056,         14,      27208,         14,      27360,         14,      27512,         14,      27664,         14,      27816,         14,      27968,         14,      28120,         14,      28272,         14,      28424,         14,      28576,         14,      28728,         14,      28880,         14,      29032,         14,      29184,         14,      29336,         14,      29488,         14,      29640,         14,      29792,         14,      29944,         14,      30096,         14,      30248,         14, 
83 : MGC_101_pc_normal,      16000,         13,      16160,         13,      16320,         13,      16480,         13,      16640,         13,      16800,         13,      16960,         13,      17120,         13,      17280,         13,      17440,         13,      17600,         13,      17760,         13,      17920,         13,      18080,         13,      18240,         13,      18400,         13,      18560,         13,      18720,         13,      18880,         13,      19040,         13,      19200,         13,      19360,         13,      19520,         13,      19680,         13,      19840,         13,      20000,         13,      20160,         13,      20320,         13,      20480,         13,      20640,         13,      20800,         13,      20960,         13,      21120,         13,      21280,         13,      21440,         13,      21600,         13,      21760,         13,      21920,         13,      22080,         13,      22240,         13,      22400,         13,      22560,         13,      22720,         13,      22880,         13,      23040,         13,      23200,         13,      23360,         13,      23520,         13,      23680,         13,      23840,         13,      24000,         13,      24160,         13,      24320,         13,      24480,         13,      24640,         13,      24800,         13,      24960,         13,      25120,         13,      25280,         13,      25440,         13,      25600,         13,      25760,         13,      25920,         13,      26080,         13,      26240,         13,      26400,         13,      26560,         13,      26720,         13,      26880,         13,      27040,         13,      27200,         13,      27360,         13,      27520,         13,      27680,         13,      27840,         13,      28000,         13,      28160,         13,      28320,         13,      28480,         13,      28640,         13,      28800,         13,      28960,         13,      29120,         13,      29280,         13,      29440,         13,      29600,         13,      29760,         13,      29920,         13,      30080,         13,      30240,         13,      30400,         13,      30560,         13,      30720,         13,      30880,         13,      31040,         13,      31200,         13,      31360,         13,      31520,         13,      31680,         13,      31840,         13, 
84 : MGC_101_athlum_fighter,      16800,         11,      16968,         11,      17136,         11,      17304,         11,      17472,         11,      17640,         11,      17808,         11,      17976,         11,      18144,         11,      18312,         11,      18480,         11,      18648,         11,      18816,         11,      18984,         11,      19152,         11,      19320,         11,      19488,         11,      19656,         11,      19824,         11,      19992,         11,      20160,         11,      20328,         11,      20496,         11,      20664,         11,      20832,         11,      21000,         11,      21168,         11,      21336,         11,      21504,         11,      21672,         11,      21840,         11,      22008,         11,      22176,         11,      22344,         11,      22512,         11,      22680,         11,      22848,         11,      23016,         11,      23184,         11,      23352,         11,      23520,         11,      23688,         11,      23856,         11,      24024,         11,      24192,         11,      24360,         11,      24528,         11,      24696,         11,      24864,         11,      25032,         11,      25200,         11,      25368,         11,      25536,         11,      25704,         11,      25872,         11,      26040,         11,      26208,         11,      26376,         11,      26544,         11,      26712,         11,      26880,         11,      27048,         11,      27216,         11,      27384,         11,      27552,         11,      27720,         11,      27888,         11,      28056,         11,      28224,         11,      28392,         11,      28560,         11,      28728,         11,      28896,         11,      29064,         11,      29232,         11,      29400,         11,      29568,         11,      29736,         11,      29904,         11,      30072,         11,      30240,         11,      30408,         11,      30576,         11,      30744,         11,      30912,         11,      31080,         11,      31248,         11,      31416,         11,      31584,         11,      31752,         11,      31920,         11,      32088,         11,      32256,         11,      32424,         11,      32592,         11,      32760,         11,      32928,         11,      33096,         11,      33264,         11,      33432,         11, 
85 : MGC_101_athlum_mage,      15200,         11,      15352,         11,      15504,         11,      15656,         11,      15808,         11,      15960,         11,      16112,         11,      16264,         11,      16416,         11,      16568,         11,      16720,         11,      16872,         11,      17024,         11,      17176,         11,      17328,         11,      17480,         11,      17632,         11,      17784,         11,      17936,         11,      18088,         11,      18240,         11,      18392,         11,      18544,         11,      18696,         11,      18848,         11,      19000,         11,      19152,         11,      19304,         11,      19456,         11,      19608,         11,      19760,         11,      19912,         11,      20064,         11,      20216,         11,      20368,         11,      20520,         11,      20672,         11,      20824,         11,      20976,         11,      21128,         11,      21280,         11,      21432,         11,      21584,         11,      21736,         11,      21888,         11,      22040,         11,      22192,         11,      22344,         11,      22496,         11,      22648,         11,      22800,         11,      22952,         11,      23104,         11,      23256,         11,      23408,         11,      23560,         11,      23712,         11,      23864,         11,      24016,         11,      24168,         11,      24320,         11,      24472,         11,      24624,         11,      24776,         11,      24928,         11,      25080,         11,      25232,         11,      25384,         11,      25536,         11,      25688,         11,      25840,         11,      25992,         11,      26144,         11,      26296,         11,      26448,         11,      26600,         11,      26752,         11,      26904,         11,      27056,         11,      27208,         11,      27360,         11,      27512,         11,      27664,         11,      27816,         11,      27968,         11,      28120,         11,      28272,         11,      28424,         11,      28576,         11,      28728,         11,      28880,         11,      29032,         11,      29184,         11,      29336,         11,      29488,         11,      29640,         11,      29792,         11,      29944,         11,      30096,         11,      30248,         11, 
86 : MGC_101_athlum_normal,      16000,         11,      16160,         11,      16320,         11,      16480,         11,      16640,         11,      16800,         11,      16960,         11,      17120,         11,      17280,         11,      17440,         11,      17600,         11,      17760,         11,      17920,         11,      18080,         11,      18240,         11,      18400,         11,      18560,         11,      18720,         11,      18880,         11,      19040,         11,      19200,         11,      19360,         11,      19520,         11,      19680,         11,      19840,         11,      20000,         11,      20160,         11,      20320,         11,      20480,         11,      20640,         11,      20800,         11,      20960,         11,      21120,         11,      21280,         11,      21440,         11,      21600,         11,      21760,         11,      21920,         11,      22080,         11,      22240,         11,      22400,         11,      22560,         11,      22720,         11,      22880,         11,      23040,         11,      23200,         11,      23360,         11,      23520,         11,      23680,         11,      23840,         11,      24000,         11,      24160,         11,      24320,         11,      24480,         11,      24640,         11,      24800,         11,      24960,         11,      25120,         11,      25280,         11,      25440,         11,      25600,         11,      25760,         11,      25920,         11,      26080,         11,      26240,         11,      26400,         11,      26560,         11,      26720,         11,      26880,         11,      27040,         11,      27200,         11,      27360,         11,      27520,         11,      27680,         11,      27840,         11,      28000,         11,      28160,         11,      28320,         11,      28480,         11,      28640,         11,      28800,         11,      28960,         11,      29120,         11,      29280,         11,      29440,         11,      29600,         11,      29760,         11,      29920,         11,      30080,         11,      30240,         11,      30400,         11,      30560,         11,      30720,         11,      30880,         11,      31040,         11,      31200,         11,      31360,         11,      31520,         11,      31680,         11,      31840,         11, 
87 : MGC_101_mons_fighter,      16000,          2,      16160,          2,      16320,          2,      16480,          2,      16640,          2,      16800,          2,      16960,          2,      17120,          2,      17280,          2,      17440,          2,      17600,          2,      17760,          2,      17920,          2,      18080,          2,      18240,          2,      18400,          2,      18560,          2,      18720,          2,      18880,          2,      19040,          2,      19200,          2,      19360,          2,      19520,          2,      19680,          2,      19840,          2,      20000,          2,      20160,          2,      20320,          2,      20480,          2,      20640,          2,      20800,          2,      20960,          2,      21120,          2,      21280,          2,      21440,          2,      21600,          2,      21760,          2,      21920,          2,      22080,          2,      22240,          2,      22400,          2,      22560,          2,      22720,          2,      22880,          2,      23040,          2,      23200,          2,      23360,          2,      23520,          2,      23680,          2,      23840,          2,      24000,          2,      24160,          2,      24320,          2,      24480,          2,      24640,          2,      24800,          2,      24960,          2,      25120,          2,      25280,          2,      25440,          2,      25600,          2,      25760,          2,      25920,          2,      26080,          2,      26240,          2,      26400,          2,      26560,          2,      26720,          2,      26880,          2,      27040,          2,      27200,          2,      27360,          2,      27520,          2,      27680,          2,      27840,          2,      28000,          2,      28160,          2,      28320,          2,      28480,          2,      28640,          2,      28800,          2,      28960,          2,      29120,          2,      29280,          2,      29440,          2,      29600,          2,      29760,          2,      29920,          2,      30080,          2,      30240,          2,      30400,          2,      30560,          2,      30720,          2,      30880,          2,      31040,          2,      31200,          2,      31360,          2,      31520,          2,      31680,          2,      31840,          2, 
88 : MGC_101_mons_mage,      16000,          2,      16160,          2,      16320,          2,      16480,          2,      16640,          2,      16800,          2,      16960,          2,      17120,          2,      17280,          2,      17440,          2,      17600,          2,      17760,          2,      17920,          2,      18080,          2,      18240,          2,      18400,          2,      18560,          2,      18720,          2,      18880,          2,      19040,          2,      19200,          2,      19360,          2,      19520,          2,      19680,          2,      19840,          2,      20000,          2,      20160,          2,      20320,          2,      20480,          2,      20640,          2,      20800,          2,      20960,          2,      21120,          2,      21280,          2,      21440,          2,      21600,          2,      21760,          2,      21920,          2,      22080,          2,      22240,          2,      22400,          2,      22560,          2,      22720,          2,      22880,          2,      23040,          2,      23200,          2,      23360,          2,      23520,          2,      23680,          2,      23840,          2,      24000,          2,      24160,          2,      24320,          2,      24480,          2,      24640,          2,      24800,          2,      24960,          2,      25120,          2,      25280,          2,      25440,          2,      25600,          2,      25760,          2,      25920,          2,      26080,          2,      26240,          2,      26400,          2,      26560,          2,      26720,          2,      26880,          2,      27040,          2,      27200,          2,      27360,          2,      27520,          2,      27680,          2,      27840,          2,      28000,          2,      28160,          2,      28320,          2,      28480,          2,      28640,          2,      28800,          2,      28960,          2,      29120,          2,      29280,          2,      29440,          2,      29600,          2,      29760,          2,      29920,          2,      30080,          2,      30240,          2,      30400,          2,      30560,          2,      30720,          2,      30880,          2,      31040,          2,      31200,          2,      31360,          2,      31520,          2,      31680,          2,      31840,          2, 
