           km_,   km_namen,    km_help, km_adv_rank, km_adv_number, km_adv_reward, km_scenario_flag, km_s_numup, km_s_numdown, km_event_flag, km_e_numup, km_e_numdown, km_daijinamono, km_btl_lvup, km_btl_lvdown, km_read_only, km_guild_c, km_guild_n, km_guild_l, km_event_flag_rw, km_e_num_rw, km_target_type, km_type1_monster, km_type1_num, km_type2_item, km_type2_param_id, km_type2_param_num, km_type2_num, km_type3_class, km_type3_param_id, km_type3_param_num, km_type3_num, km_type4_num, km_type5_num, 
111 : neutral_eq_006,        125,        125,          4,         55,        111,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    8323749,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
112 : neutral_member_personal_003,        132,        132,          4,         62,        112,          0,       5000,          0,         -1,          0,          0,        299,          0,          0,          1,          0,          1,          0,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         -1,          3,         39,          1,          0,          0, 
113 : neutral_zako_009,         71,         71,          4,          9,        113,          0,       5600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,         47,         18,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
114 : neutral_named_009,         83,         83,          4,         21,        114,          0,       5600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        271,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
115 : neutral_material_020,        110,        110,          4,         44,        115,          0,       5600,          0,         -1,          0,          0,        299,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044262,          0,          0,          4,         -1,          0,          0,          0,          0,          0, 
116 : neutral_material_021,        111,        111,          5,         45,        116,          0,       5600,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044357,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
117 : neutral_eq_007,        126,        126,          4,         56,        117,          0,       5600,          0,         -1,          0,          0,        299,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    8323852,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
118 : neutral_zako_010,         72,         72,          5,         10,        118,          0,       6100,          0,         -1,          0,          0,        299,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        338,          2,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
119 : neutral_named_010,         84,         84,          5,         22,        119,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        315,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
120 : neutral_material_022,        112,        112,          5,         46,        120,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044257,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
121 : neutral_material_023,        113,        113,          5,         47,        121,          0,       6100,          0,         -1,          0,          0,        300,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044347,          0,          0,          4,         -1,          0,          0,          0,          0,          0, 
122 : neutral_zako_011,         73,         73,          5,         11,        122,          0,       6400,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        265,         10,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
123 : neutral_named_011,         85,         85,          5,         23,        123,          0,       6400,          0,         -1,          0,          0,        300,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        296,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
124 : neutral_material_024,        114,        114,          5,         48,        124,          0,       6400,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044361,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
125 : neutral_eq_008,        127,        127,          5,         57,        125,          0,       6400,          0,         -1,          0,          0,        300,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    8323474,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
126 : neutral_zako_012,         74,         74,          5,         12,        126,          0,       6850,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        111,         20,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
127 : neutral_named_012,         86,         86,          5,         24,        127,          0,       6850,          0,         -1,          0,          0,        300,          0,          0,          1,          0,          1,          0,         -1,          0,          1,        347,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
128 : neutral_material_025,        115,        115,          5,         49,        128,          0,       6850,          0,         -1,          0,          0,         -1,          0,          0,          1,          0,          1,          0,         -1,          0,          2,         -1,          0,    9044317,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
129 : neutral_material_029,        116,        116,          6,         72,        129,          0,       5600,          0,         -1,          0,          0,        172,          0,          0,          1,          0,          1,          0,     109000,          1,          2,         -1,          0,    9044187,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
130 : neutral_named_029,         87,         87,          6,         68,        130,          0,       5600,          0,         -1,          0,          0,        172,          0,          0,          1,          0,          1,          0,     109000,          1,          1,        407,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
131 : neutral_material_030,        117,        117,          9,         73,        131,          0,       6400,          0,         -1,          0,          0,        175,          0,          0,          1,          0,          1,          0,     109003,          1,          2,         -1,          0,    9044250,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
132 : neutral_named_030,         88,         88,          9,         69,        132,          0,       6400,          0,         -1,          0,          0,        175,          0,          0,          1,          0,          1,          0,     109003,          1,          1,        413,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
133 : neutral_material_031,        118,        118,         12,         74,        133,          0,       6850,          0,         -1,          0,          0,        178,          0,          0,          1,          0,          1,          0,     109006,          1,          2,         -1,          0,    9044344,          0,          0,          3,         -1,          0,          0,          0,          0,          0, 
134 : neutral_named_031,         89,         89,         12,         70,        134,          0,       6850,          0,         -1,          0,          0,        178,          0,          0,          1,          0,          1,          0,     109006,          1,          1,        420,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
135 : neutral_material_032,        119,        119,         13,         75,        135,          0,       6850,          0,         -1,          0,          0,        179,          0,          0,          1,          0,          1,          0,     109007,          1,          2,         -1,          0,    9044403,          0,          0,          2,         -1,          0,          0,          0,          0,          0, 
136 : neutral_named_032,         90,         90,         13,         71,        136,          0,       6850,          0,         -1,          0,          0,        179,          0,          0,          1,          0,          1,          0,     109007,          1,          1,        423,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
137 : chaos_zako_001,        138,        138,          1,          1,        137,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        289,          6,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
138 : chaos_named_001,        145,        145,          1,          6,        138,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          1,         78,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
139 : chaos_named_002,        146,        146,          1,          7,        139,          0,       5000,          0,         -1,          0,          0,        301,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        132,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
140 : chaos_named_003,        147,        147,          1,          8,        140,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        234,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
141 : chaos_material_001,        163,        163,          1,         22,        141,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044523,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
142 : chaos_material_002,        164,        164,          1,         23,        142,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044554,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
143 : chaos_material_003,        165,        165,          1,         24,        143,          0,       5000,          0,         -1,          0,          0,        301,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044717,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
144 : chaos_eq_001,        191,        191,          1,         50,        144,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    8323419,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
145 : chaos_member_num_001,        196,        196,          2,         55,        145,          0,       5000,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         16,          0,          0,          1,          0,          0, 
146 : chaos_zako_002,        139,        139,          2,          2,        146,          0,       5600,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        369,         12,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
147 : chaos_named_004,        148,        148,          2,          9,        147,          0,       5600,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        100,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
148 : chaos_named_005,        149,        149,          2,         10,        148,          0,       5600,          0,         -1,          0,          0,        301,          0,          0,          1,          1,          0,          0,         -1,          0,          1,         88,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
149 : chaos_named_006,        150,        150,          2,         11,        149,          0,       5600,          0,         -1,          0,          0,        301,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        328,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
150 : chaos_material_004,        166,        166,          2,         25,        150,          0,       5600,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044533,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
151 : chaos_material_005,        167,        167,          2,         26,        151,          0,       5600,          0,         -1,          0,          0,        301,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044601,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
152 : chaos_material_006,        168,        168,          2,         27,        152,          0,       5600,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044649,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
153 : chaos_material_007,        169,        169,          2,         28,        153,          0,       5600,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044700,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
154 : chaos_eq_002,        192,        192,          2,         51,        154,          0,       5600,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    8323574,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
155 : chaos_btl_treasure_001,        200,        200,          3,         59,        155,          0,       5600,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          5,         -1,          0,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,         50, 
156 : chaos_zako_003,        140,        140,          3,          3,        156,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        277,         12,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
157 : chaos_named_007,        151,        151,          3,         12,        157,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          1,         76,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
158 : chaos_named_008,        152,        152,          3,         13,        158,          0,       6100,          0,         -1,          0,          0,        302,          0,          0,          1,          1,          0,          0,         -1,          0,          1,         27,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
159 : chaos_named_009,        153,        153,          3,         14,        159,          0,       6100,          0,         -1,          0,          0,        302,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        165,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
160 : chaos_material_008,        170,        170,          3,         29,        160,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044668,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
161 : chaos_material_009,        171,        171,          3,         30,        161,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044573,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
162 : chaos_material_010,        172,        172,          3,         31,        162,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044691,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
163 : chaos_material_011,        173,        173,          3,         32,        163,          0,       6100,          0,         -1,          0,          0,        302,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044727,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
164 : chaos_material_012,        174,        174,          3,         33,        164,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044753,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
165 : chaos_eq_003,        193,        193,          3,         52,        165,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    8323318,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
166 : chaos_zako_004,        141,        141,          4,          4,        166,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          1,         74,         16,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
167 : chaos_named_010,        154,        154,          4,         15,        167,          0,       6100,          0,         -1,          0,          0,        303,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        356,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
168 : chaos_named_011,        155,        155,          4,         16,        168,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          1,         54,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
169 : chaos_named_012,        156,        156,          4,         17,        169,          0,       6100,          0,         -1,          0,          0,        303,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        297,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
170 : chaos_material_013,        175,        175,          4,         34,        170,          0,       6100,          0,         -1,          0,          0,        303,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044718,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
171 : chaos_material_014,        176,        176,          4,         35,        171,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044545,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
172 : chaos_material_015,        177,        177,          4,         36,        172,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044631,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
173 : chaos_material_016,        178,        178,          4,         37,        173,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044744,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
174 : chaos_material_017,        179,        179,          4,         38,        174,          0,       6100,          0,         -1,          0,          0,        303,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044582,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
175 : chaos_material_018,        180,        180,          4,         39,        175,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044641,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
176 : chaos_eq_004,        194,        194,          4,         53,        176,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    8323826,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
177 : chaos_member_num_002,        197,        197,          5,         56,        177,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         43,          0,          0,          1,          0,          0, 
178 : chaos_member_personal_001,        198,        198,          4,         57,        178,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         -1,          2,         60,          8,          0,          0, 
179 : chaos_btl_treasure_002,        201,        201,          4,         60,        179,          0,       6100,          0,         -1,          0,          0,        303,          0,          0,          1,          1,          0,          0,         -1,          0,          5,         -1,          0,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,         80, 
180 : chaos_zako_005,        142,        142,          5,          5,        180,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        188,         18,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
181 : chaos_named_013,        157,        157,          5,         18,        181,          0,       6100,          0,         -1,          0,          0,        304,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        359,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
182 : chaos_named_014,        158,        158,          5,         19,        182,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        373,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
183 : chaos_named_015,        159,        159,          5,         20,        183,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        349,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
184 : chaos_named_016,        160,        160,          5,         21,        184,          0,       6100,          0,         -1,          0,          0,        305,          0,          0,          1,          1,          0,          0,         -1,          0,          1,        398,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
185 : chaos_material_019,        181,        181,          5,         40,        185,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044580,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
186 : chaos_material_020,        182,        182,          5,         41,        186,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044591,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
187 : chaos_material_021,        183,        183,          5,         42,        187,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044639,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
188 : chaos_material_022,        184,        184,          5,         43,        188,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044571,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
189 : chaos_material_023,        185,        185,          5,         44,        189,          0,       6100,          0,         -1,          0,          0,        305,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044698,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
190 : chaos_material_024,        186,        186,          5,         45,        190,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044737,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
191 : chaos_material_025,        187,        187,          5,         46,        191,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044690,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
192 : chaos_material_026,        188,        188,          5,         47,        192,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044777,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
193 : chaos_material_027,        189,        189,          5,         48,        193,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044592,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
194 : chaos_material_028,        190,        190,          5,         49,        194,          0,       6100,          0,         -1,          0,          0,        305,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    9044514,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
195 : chaos_eq_005,        195,        195,          5,         54,        195,          0,       6100,          0,         -1,          0,          0,        304,          0,          0,          1,          1,          0,          0,         -1,          0,          2,         -1,          0,    8323406,          0,          0,          1,         -1,          0,          0,          0,          0,          0, 
196 : chaos_member_personal_002,        199,        199,          5,         58,        196,          0,       6100,          0,         -1,          0,          0,         -1,          0,          0,          1,          1,          0,          0,         -1,          0,          3,         -1,          0,         -1,          0,          0,          0,         -1,          3,         55,          8,          0,          0, 
197 : chaos_zako_031,        143,        143,          7,         61,        197,          0,       5600,          0,         -1,          0,          0,        173,          0,          0,          1,          1,          0,          0,     109001,          1,          1,        224,         21,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
198 : chaos_named_031,        161,        161,          7,         63,        198,          0,       5600,          0,         -1,          0,          0,        173,          0,          0,          1,          1,          0,          0,     109001,          1,          1,        408,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
199 : chaos_zako_032,        144,        144,         10,         62,        199,          0,       6400,          0,         -1,          0,          0,        176,          0,          0,          1,          1,          0,          0,     109004,          1,          1,        353,         18,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 
200 : chaos_named_032,        162,        162,         10,         64,        200,          0,       6400,          0,         -1,          0,          0,        176,          0,          0,          1,          1,          0,          0,     109004,          1,          1,        414,          1,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0, 

