           km_, km_check_num, km_command, km_logic_target_unit, km_logic_ctrl_15, km_logic_ctrl_14, km_logic_ctrl_13, km_logic_ctrl_12, km_logic_ctrl_11, km_logic_ctrl_10, km_logic_ctrl_9, km_logic_ctrl_8, km_logic_ctrl_7, km_logic_ctrl_6, km_logic_ctrl_5, km_logic_ctrl_4, km_logic_ctrl_3, km_logic_ctrl_2, km_logic_ctrl_1, km_logic_ctrl_0,   km_ratio,    km_tgt1,   km_cond1,  km_arg1_1,  km_arg1_2,    km_tgt2,   km_cond2,  km_arg2_1,  km_arg2_2,    km_tgt3,   km_cond3,  km_arg3_1,  km_arg3_2,  km_ex_tgt, km_ex_cond, km_ex_arg_1, km_ex_arg_2, 
157 :          @,          0,          5,        304,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         10,         22,        426,         30,         60,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
158 :          @,          0,          5,        925,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,         10,         22,        426,          0,         90,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
159 :          @,          0,          5,        254,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         10,         22,        426,         60,         90,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
160 :          @,          0,          5,       2143,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,         10,         22,        426,          0,         90,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
161 :          @,          0,          5,       2193,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          1,         10,         22,        426,          0,         90,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
162 :          @,          0,          6,         23,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,         13,        585,          1,         -1,         13,        520,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
163 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
164 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
165 : CLASS_LONGRANGE,          6,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
166 :          @,          0,          4,       1988,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         20,         15,        584,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
167 :          @,          0,          4,       1988,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         20,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
168 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
169 :          @,          0,          9,       1988,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,         50,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
170 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
171 : CLASS_LONGRANGE,          9,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
172 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        340,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
173 :          @,          0,          4,       1988,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,         30,         15,        584,         -1,         -1,         15,         10,         -1,         -1,         13,        585,          1,         -1,         -1,         -1,         -1,         -1, 
174 :          @,          0,          4,       1988,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,         30,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         13,        585,          1,         -1,         -1,         -1,         -1,         -1, 
175 :          @,          0,          4,       1988,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         20,         15,        584,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
176 :          @,          0,          4,       1988,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         20,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
177 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
178 :          @,          0,          9,       1988,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,         80,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
179 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
180 : CLASS_LONGRANGE,         12,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
181 :          @,          0,          0,         -1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        351,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
182 :          @,          0,          0,         -1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        349,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
183 :          @,          0,          0,         -1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        348,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
184 :          @,          0,          4,       1988,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,         40,         15,        584,         -1,         -1,         15,         10,         -1,         -1,         13,        585,          1,         -1,         -1,         -1,         -1,         -1, 
185 :          @,          0,          4,       1988,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          1,          0,          1,         40,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         13,        585,          1,         -1,         -1,         -1,         -1,         -1, 
186 :          @,          0,          4,       1988,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         10,         15,        584,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
187 :          @,          0,          4,       1988,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          1,         10,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
188 :          @,          0,          6,         23,          0,          0,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,        100,         13,        585,          1,         -1,         13,        520,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
189 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
190 :          @,          0,          9,       1988,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          1,          0,          1,         80,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
191 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
192 : jaana_EV0010,          4,          8,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         13,        491,          2,         -1,         13,        507,    7864320,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
193 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
194 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        586,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
195 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
196 : jaana_fighter_00,          4,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
197 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        586,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
198 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
199 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
200 : jaana_fighter_01,          5,          0,       1808,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,         20,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
201 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
202 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        586,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
203 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
204 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
205 : jaana_shaman_00,         11,          5,        365,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         33,         22,          3,          0,         20,         22,        426,          0,         30,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
206 :          @,          0,          0,       1808,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         10,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
207 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
208 :          @,          0,          5,        365,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         33,         22,        426,          0,         50,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
209 :          @,          0,          5,       2143,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          0,          1,         33,         22,         10,         -1,         -1,         13,        476,         -1,         -1,         13,        490,          1,         -1,         -1,         -1,         -1,         -1, 
210 :          @,          0,          6,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,        100,         13,        585,          1,         -1,         13,        520,          1,         -1,         22,        577,          1,         -1,         -1,         -1,         -1,         -1, 
211 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        586,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
212 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
213 :          @,          0,          6,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,        100,         13,          0,         -1,         -1,         22,          3,          0,         40,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
214 :          @,          0,         10,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         22,          3,         40,        999,         22,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
215 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
216 : jaana_shaman_01,         12,          5,        365,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,         33,         22,          3,          0,         20,         22,        426,          0,         30,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
217 :          @,          0,          0,       1808,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,         33,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
218 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
219 :          @,          0,          5,        365,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,         67,         22,        426,          0,         50,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
220 :          @,          0,          5,        304,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          1,         50,         22,        426,          0,         50,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
221 :          @,          0,          5,       2143,          0,          0,          0,          0,          1,          0,          1,          0,          0,          0,          0,          1,          1,          0,          0,          1,         33,         22,         10,         -1,         -1,         13,        476,         -1,         -1,         13,        490,          1,         -1,         -1,         -1,         -1,         -1, 
222 :          @,          0,          6,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,        100,         13,        585,          1,         -1,         13,        520,          1,         -1,         22,        577,          1,         -1,         -1,         -1,         -1,         -1, 
223 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        586,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
224 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
225 :          @,          0,          6,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,        100,         13,          0,         -1,         -1,         22,          3,          0,         40,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
226 :          @,          0,         10,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         22,          3,         40,        999,         22,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
227 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
228 : jaana_mage_00,          7,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
229 :          @,          0,          4,       1988,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         20,         15,        340,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
230 :          @,          0,          6,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,        100,         13,        585,          1,         -1,         13,        520,          1,         -1,         22,        577,          1,         -1,         -1,         -1,         -1,         -1, 
231 :          @,          0,          4,       1988,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,         10,         15,         10,         -1,         -1,         13,        585,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
232 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        586,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
233 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
234 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
235 : jaana_mage_01,          7,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
236 :          @,          0,          4,       1988,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         33,         15,        340,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
237 :          @,          0,          6,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,        100,         13,        585,          1,         -1,         13,        520,          1,         -1,         22,        577,          1,         -1,         -1,         -1,         -1,         -1, 
238 :          @,          0,          4,       1988,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,         33,         15,         10,         -1,         -1,         13,        585,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
239 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        586,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
240 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
241 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
242 : NM_jaana006_mage_00,          8,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
243 :          @,          0,          4,       1988,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         50,         15,        340,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
244 :          @,          0,          6,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,        100,         13,        585,          1,         -1,         13,        520,          1,         -1,         22,        577,          1,         -1,         -1,         -1,         -1,         -1, 
245 :          @,          0,          4,       1988,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          1,         50,         15,         10,         -1,         -1,         13,        585,          1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
246 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        586,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
247 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
248 :          @,          0,          4,       1988,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
249 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
250 : homunkurusu_00,          4,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
251 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,        578,         -1,         -1,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
252 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
253 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
254 : raputoru_00,          3,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         18,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         13,        672,         28,         -1, 
255 :          @,          0,          0,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         13,        672,         29,         -1, 
256 :          @,          0,          9,          1,          0,          0,          0,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,        100,         15,         10,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         -1,         13,        672,         30,         -1, 
