           km_, km_action_id, km_category_sort_id, km_skill_sort_id, km_skill_growth_type, km_display_is_disp, km_display_is_last, km_display_reserve_0, km_display_reserve_1, km_display_reserve_2, km_display_reserve_3, km_display_reserve_4, km_display_reserve_5, 
284 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
285 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
286 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
287 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
288 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
289 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
290 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
291 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
292 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
293 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
294 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
295 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
296 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
297 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
298 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
299 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
300 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
301 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
302 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
303 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
304 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
305 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
306 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
307 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
308 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
309 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
310 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
311 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
312 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
313 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
314 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
315 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
316 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
317 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
318 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
319 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
320 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
321 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
322 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
323 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
324 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
325 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
326 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
327 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
328 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
329 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
330 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
331 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
332 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
333 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
334 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
335 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
336 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
337 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
338 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
339 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
340 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
341 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
342 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
343 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
344 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
345 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
346 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
347 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
348 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
349 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
350 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
351 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
352 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
353 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
354 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
355 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
356 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
357 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
358 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
359 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
360 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
361 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
362 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
363 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
364 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
365 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
366 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
367 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
368 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
369 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
370 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
371 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
372 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
373 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
374 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
375 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
376 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
377 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
378 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
379 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
380 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
381 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
382 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
383 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
384 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
385 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
386 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
387 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
388 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
389 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
390 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
391 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
392 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
393 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
394 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
395 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
396 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
397 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
398 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
399 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
400 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
401 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
402 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
403 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
404 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
405 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
406 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
407 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
408 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
409 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
410 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
411 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
412 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
413 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
414 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
415 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
416 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
417 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
418 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
419 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
420 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
421 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
422 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
423 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
424 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
425 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
426 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
427 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
428 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
429 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
430 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
431 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
432 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
433 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
434 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
435 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
436 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
437 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
438 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
439 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
440 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
441 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
442 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
443 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
444 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
445 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
446 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
447 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
448 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
449 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
450 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
451 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
452 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
453 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
454 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
455 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
456 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
457 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
458 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
459 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
460 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
461 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
462 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
463 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
464 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
465 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
466 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
467 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
468 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
469 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
470 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
471 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
472 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
473 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
474 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
475 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
476 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
477 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
478 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
479 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
480 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
481 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
482 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
483 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
484 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
485 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
486 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
487 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
488 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
489 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
490 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
491 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
492 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
493 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
494 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
495 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
496 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
497 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
498 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
499 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
500 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
501 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
502 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
503 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
504 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
505 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
506 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
507 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
508 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
509 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
510 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
511 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
512 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
513 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
514 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
515 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
516 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
517 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
518 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
519 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
520 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
521 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
522 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
523 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
524 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
525 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
526 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
527 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
528 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
529 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
530 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
531 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
532 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
533 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
534 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
535 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
536 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
537 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
538 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
539 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
540 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
541 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
542 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
543 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
544 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
545 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
546 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
547 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
548 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
549 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
550 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
551 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
552 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
553 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
554 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
555 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
556 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
557 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
558 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
559 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
560 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
561 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
562 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
563 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
564 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
565 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
566 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
567 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
568 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
569 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
570 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
571 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
572 :        Log,         -1,         -1,         -1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
