           km_,   km_chara,     km_pay, km_scenario_flag, km_s_numup, km_s_numdown, km_event_flag, km_e_numup, km_e_numdown, km_need_clear_adventure, km_daijinamono, km_btl_lvup, km_btl_lvdown, km_read_only, km_respawn, km_respawn_btlnum, km_respawn_time,   km_ASC_c,   km_ASC_n,   km_ASC_l,   km_CPC_c,   km_CPC_n,   km_CPC_l,   km_ERC_c,   km_ERC_n,   km_ERC_l,   km_VAL_c,   km_VAL_n,   km_VAL_l,   km_RIO_c,   km_RIO_n,   km_RIO_l,   km_BAR_c,   km_BAR_n,   km_BAR_l,   km_GOL_c,   km_GOL_n,   km_GOL_l,   km_MEL_c,   km_MEL_n,   km_MEL_l,   km_NGP_c,   km_NGP_n,   km_NGP_l,   km_UNB_c,   km_UNB_n,   km_UNB_l, 
90 : btl_free_npc_020,         97,          0,          0,       1600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
91 : btl_free_npc_052,         98,          0,          0,       1600,          0,         -1,          0,          0,         -1,         -1,         16,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
92 : btl_free_npc_089,         99,          0,          0,       1600,          0,         -1,          0,          0,         -1,         -1,         16,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
93 : btl_free_npc,        100,          0,          0,       1600,          0,         -1,          0,          0,         -1,         -1,         16,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
94 : btl_pc_nora,        101,       9600,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,          0,        180,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
95 : btl_free_npc,        102,       3720,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
96 : btl_free_npc,        103,       5330,          0,       2600,          0,         -1,          0,          0,         84,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
97 : btl_free_npc,        104,       5180,          0,       2600,       3800,         -1,          0,          0,         80,         -1,          0,          0,          1,          1,         20,        120,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
98 : btl_free_npc,        105,       4530,          0,       2600,          0,         -1,          0,          0,         -1,        297,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
99 : btl_free_npc,        106,       3870,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
100 : btl_free_npc_086,        107,       5660,          0,       2600,          0,         -1,          0,          0,         82,         -1,          0,          0,          1,          1,          0,        120,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
101 : btl_free_npc_077,        108,       5130,          0,       2600,       3800,         -1,          0,          0,         87,         -1,          0,          0,          1,          1,         20,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
102 : btl_free_npc_085,        109,       4920,          0,       2600,          0,         -1,          0,          0,         10,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
103 : btl_free_npc,        110,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
104 : btl_free_npc,        111,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
105 : btl_free_npc,        112,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
106 : btl_free_npc,        113,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
107 : btl_free_npc,        114,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
108 : btl_free_npc,        115,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
109 : btl_free_npc,        116,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,         24,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
110 : btl_free_npc,        117,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,         24,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
111 : btl_free_npc,        118,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,         24,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
112 : btl_free_npc_078,        119,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
113 : btl_free_npc_080,        120,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
114 : btl_free_npc,        121,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
115 : btl_free_npc_023,        122,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,         24,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
116 : btl_free_npc_079,        123,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,         24,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
117 : btl_free_npc,        124,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
118 : btl_free_npc_032,        125,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
119 : btl_free_npc_082,        126,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
120 : btl_free_npc,        127,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,         24,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
121 : btl_free_npc,        128,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,         24,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
122 : btl_free_npc_024,        129,          0,          0,       2600,          0,         -1,          0,          0,         -1,         -1,         24,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
123 : btl_pc_maddox,        130,      10400,          0,       3100,          0,     103022,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
124 : btl_pc_leshau,        131,      14400,          0,       3100,          0,     103021,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
125 : btl_pc_rhagoh,        132,      12800,          0,       3100,          0,     103008,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
126 : btl_free_npc,        133,       5670,          0,       3100,          0,         -1,          0,          0,         92,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
127 : btl_free_npc,        134,       6510,          0,       3100,          0,         -1,          0,          0,         93,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
128 : btl_free_npc,        135,       5220,          0,       3100,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
129 : btl_free_npc,        136,       4370,          0,       3100,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
130 : btl_free_npc,        137,       5950,          0,       3100,          0,         -1,          0,          0,         90,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
131 : btl_free_npc_012,        138,       8590,          0,       3100,       3800,         -1,          0,          0,         88,         -1,          0,          0,          1,          1,         20,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
132 : btl_free_npc,        139,       8580,          0,       3100,       3800,         -1,          0,          0,         94,         -1,          0,          0,          1,          1,         20,        120,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
133 : btl_free_npc,        140,       6920,          0,       3100,          0,         -1,          0,          0,         91,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
134 : btl_free_npc,        141,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
135 : btl_free_npc,        142,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
136 : btl_free_npc,        143,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
137 : btl_free_npc,        144,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
138 : btl_free_npc,        145,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
139 : btl_free_npc,        146,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
140 : btl_free_npc,        147,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,         30,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
141 : btl_free_npc,        148,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,         30,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
142 : btl_free_npc,        149,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,         30,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
143 : btl_free_npc_048,        150,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
144 : btl_free_npc_013,        151,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
145 : btl_free_npc_050,        152,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
146 : btl_free_npc_092,        153,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,         30,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
147 : btl_free_npc_019,        154,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,         30,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
148 : btl_free_npc,        155,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
149 : btl_free_npc,        156,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
150 : btl_free_npc_033,        157,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,          0,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
151 : btl_free_npc_045,        158,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,         30,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
152 : btl_free_npc_058,        159,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,         30,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
153 : btl_free_npc_075,        160,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,         30,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
154 : btl_free_npc,        161,          0,          0,       3100,          0,         -1,          0,          0,         -1,         -1,         30,          0,          0,          1,         50,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
155 : btl_pc_darien,        163,      16800,          0,       3200,          0,     103019,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
156 : btl_pc_glenys,        164,      20800,          0,       3200,          0,     103009,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
157 : btl_pc_roberto,        165,      25600,          0,       3200,          0,     103005,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
158 : btl_guest_npc_001,        166,       9800,          0,       3200,          0,     103005,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
159 : btl_guest_npc_002,        167,       9600,          0,       3200,          0,     103005,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
160 : btl_guest_npc_003,        168,       9400,          0,       3200,          0,     103005,          1,          0,         -1,         -1,          0,          0,          1,          1,         10,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
161 : btl_free_npc,        169,       7040,          0,       3200,          0,         -1,          0,          0,        100,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
162 : btl_free_npc,        170,       6000,          0,       3200,          0,         -1,          0,          0,         -1,        292,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
163 : btl_free_npc,        171,       8440,          0,       3200,       3800,         -1,          0,          0,         95,         -1,          0,          0,          1,          1,         20,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
164 : btl_free_npc,        172,       5930,          0,       3200,          0,         -1,          0,          0,         -1,        298,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
165 : btl_free_npc,        173,       6730,          0,       3200,          0,         -1,          0,          0,         97,         -1,          0,          0,          1,          1,          0,        120,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
166 : btl_free_npc,        174,       6680,          0,       3200,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
167 : btl_free_npc,        175,       5870,          0,       3200,          0,         -1,          0,          0,         -1,         -1,          0,          0,          1,          1,         20,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
168 : btl_free_npc_002,        176,       7600,          0,       3200,          0,         -1,          0,          0,         98,         -1,          0,          0,          1,          1,          0,        120,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
