           km_,      km_id,      km_lv,     km_num,   km_bonus, km_break_mons_work, km_is_rush_get, km_is_break, km_is_steal, km_is_surely, km_is_bonus_target, km_yoyaku_unit, km_yoyaku_message, km_yoyaku_name, km_aim_eq_slot, km_aim_eq_cast, km_rob_message, km_rob_name, 
193 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
194 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
195 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
196 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
197 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
198 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
199 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
200 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
201 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
202 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
203 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
204 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
205 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
206 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
207 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
208 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
209 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
210 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
211 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
212 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
213 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
214 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
215 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
216 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
217 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
218 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
219 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
220 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
221 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
222 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
223 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
224 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
225 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
226 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
227 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
228 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
229 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
230 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
231 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
232 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
233 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
234 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
235 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
236 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
237 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
238 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 
239 :       Slot,         -1,          0,          0,          0,         -1,          0,          0,          0,          0,          0,         -1,         -1,         -1,         -1,         -1,         -1,         -1, 

