           km_, km_oh_oh_exp, km_oh_oh_exp2, km_oh_oh_lv_base, km_oh_oh_lv_now, km_oh_oh_lv_battle, km_oh_th_exp, km_oh_th_exp2, km_oh_th_lv_base, km_oh_th_lv_now, km_oh_th_lv_battle, km_oh_ww_exp, km_oh_ww_exp2, km_oh_ww_lv_base, km_oh_ww_lv_now, km_oh_ww_lv_battle, km_th_th_exp, km_th_th_exp2, km_th_th_lv_base, km_th_th_lv_now, km_th_th_lv_battle, km_s_fw_exp, km_s_fw_exp2, km_s_fw_lv_base, km_s_fw_lv_now, km_s_fw_lv_battle, km_s_oh_exp, km_s_oh_exp2, km_s_oh_lv_base, km_s_oh_lv_now, km_s_oh_lv_battle, km_s_th_exp, km_s_th_exp2, km_s_th_lv_base, km_s_th_lv_now, km_s_th_lv_battle, 
92 : btl_free_npc_066,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
93 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
94 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
95 : btl_free_npc_006,          0,          0,         -1,         -1,         -1,        109,          0,          3,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
96 : btl_free_npc_020,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
97 : btl_free_npc_052,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
98 : btl_free_npc_089,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
99 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
100 : btl_pc_nora,          0,          0,         -1,         -1,         -1,       1308,          0,         13,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
101 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
102 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
103 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
104 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
105 : btl_free_npc,         51,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,        208,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
106 : btl_free_npc_086,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
107 : btl_free_npc_077,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
108 : btl_free_npc_085,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
109 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
110 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,        265,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
111 : btl_free_npc,          0,          0,         -1,         -1,         -1,        265,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
112 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
113 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
114 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
115 : btl_free_npc,        187,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
116 : btl_free_npc,          0,          0,         -1,         -1,         -1,        187,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
117 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
118 : btl_free_npc_078,          0,          0,         -1,         -1,         -1,        265,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
119 : btl_free_npc_080,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
120 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
121 : btl_free_npc_023,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
122 : btl_free_npc_079,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
123 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
124 : btl_free_npc_032,          0,          0,         -1,         -1,         -1,        265,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
125 : btl_free_npc_082,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
126 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
127 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,        187,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
128 : btl_free_npc_024,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
129 : btl_pc_sibal,          0,          0,         -1,         -1,         -1,       5000,          0,         32,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
130 : btl_pc_maddox,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,       5000,          0,         32,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
131 : btl_pc_leshau,          0,          0,         -1,         -1,         -1,       4827,          0,         31,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
132 : btl_pc_rhagoh,          0,          0,         -1,         -1,         -1,       3087,          0,         22,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
133 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,        187,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
134 : btl_free_npc,         50,          0,          2,         -1,         -1,        207,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
135 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,        208,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
136 : btl_free_npc,        207,          0,          5,         -1,         -1,         50,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
137 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,        187,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
138 : btl_free_npc_012,         30,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,        187,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
139 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
140 : btl_free_npc,         51,          0,          2,         -1,         -1,          0,          0,         -1,         -1,         -1,        208,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
141 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,        265,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
142 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
143 : btl_free_npc,          0,          0,         -1,         -1,         -1,        265,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
144 : btl_free_npc,        265,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
145 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
146 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
147 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
148 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
149 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
150 : btl_free_npc_048,        265,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
151 : btl_free_npc_013,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
152 : btl_free_npc_050,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
153 : btl_free_npc_092,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
154 : btl_free_npc_019,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
155 : btl_free_npc,        265,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
156 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
157 : btl_free_npc_033,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
158 : btl_free_npc_045,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
159 : btl_free_npc_058,        187,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
160 : btl_free_npc_075,          0,          0,         -1,         -1,         -1,        187,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
161 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
162 :       emmy,       2556,          0,         19,         -1,         -1,         30,          0,          2,         -1,         -1,       5000,          0,         32,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
163 : btl_pc_darien,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,       5000,          0,         32,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
164 : btl_pc_glenys,        187,          0,          5,         -1,         -1,       5000,          0,         32,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
165 : btl_pc_roberto,          0,          0,         -1,         -1,         -1,        607,          0,          9,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
166 : btl_guest_npc_002,        187,          0,          5,         -1,         -1,        607,          0,          9,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
167 : btl_guest_npc_003,        607,          0,          9,         -1,         -1,        187,          0,          5,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
168 : btl_guest_npc_004,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
169 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
170 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
171 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
172 : btl_free_npc,        187,          0,          5,         -1,         -1,        607,          0,          9,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
173 : btl_free_npc,        195,          0,          5,         -1,         -1,        615,          0,          9,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
174 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
175 : btl_free_npc,        208,          0,          5,         -1,         -1,        628,          0,          9,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
176 : btl_free_npc_002,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,        694,          0,          9,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
177 : btl_free_npc,          0,          0,         -1,         -1,         -1,        685,          0,          9,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
178 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
179 : btl_free_npc,          0,          0,         -1,         -1,         -1,        685,          0,          9,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
180 : btl_free_npc,        685,          0,          9,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
181 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
182 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
183 : btl_free_npc,        607,          0,          9,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
184 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
185 : btl_free_npc,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
186 : btl_free_npc,          0,          0,         -1,         -1,         -1,        713,          0,          9,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
187 : btl_free_npc_018,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
188 : btl_free_npc_076,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1,          0,          0,         -1,         -1,         -1, 
