           km_,   km_namen,    km_help, km_primary_model, km_primary_material_id, km_primary_bind_effect_id, km_secondly_model, km_secondly_material_id, km_secondly_bind_effect_id,    km_icon,  km_sortid,   km_price,    km_sell, km_break_cost, km_no_sell, km_no_break, km_no_menu, km_ep_remnant, km_category, km_add_attribute, km_add_impress, km_internal_attr_fire, km_internal_attr_thunder, km_internal_attr_ice, km_internal_attr_acid, km_internal_attr_poison, km_internal_attr_dr_null0, km_internal_attr_dr_null1, km_internal_attr_dr_null2, km_internal_attr_dr_null3, km_internal_attr_dr_null4, km_internal_attr_dr_null5, km_internal_attr_dr_null6, km_internal_attr_dr_null7, km_internal_attr_dr_null8, km_internal_attr_dr_null9, km_internal_attr_control_flag18, km_set_status, km_reset_status, km_prg_num_new, km_lvup_type,      km_ct, km_ap_butsu,  km_ap_mgc, km_dp_butsu,  km_dp_mgc, km_eva_butsu, km_eva_mgc, km_cro_onrate, km_cro_scrate, km_crd_onrate, km_crd_scrate, km_critical_lv, km_exp_eq_style, km_exp_eq_category, km_exp_mgc_category, km_exp_item_category, km_exp_arts_skill, km_exp_technique, km_exp_power, km_exp_magic_skill, km_exp_item_skill, km_exp_master,   km_item1,    km_num1,   km_item2,    km_num2,   km_item3,    km_num3,   km_item4,    km_num4, km_eq_rank, km_eq_not_aim, km_eq_release_mep, km_eq_not_force_replace,  km_heikin,   km_butsu,     km_mgc, km_butsu_ac,  km_mgc_ac,      km_hp,      km_ap,     km_str,     km_mys,     km_spd,     km_unq, km_butsu_at,  km_mgc_at, 
377 : axe_s_WSC010_crystal,        379,        379,         24,          2,         -1,         -1,          0,         -1,         13,       9011,     352000,      17600,       8800,          0,          0,          0,          0,         43,          2,        128,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          4,         67,        116,         27,         46,         15,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044249,          1,    9044270,          1,    9044260,          3,         -1,          0,         82,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
378 : axe_s_WSC010_damascus,        380,        380,         24,          3,         -1,         -1,          0,         -1,         13,       9012,     494000,      24700,      12350,          0,          0,          0,          0,         43,          3,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          4,        136,         94,         53,         35,         16,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044250,          1,    9044270,          2,    9044260,          3,         -1,          0,        110,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
379 : axe_s_WSC010_antique,        381,        381,         24,          2,         12,         -1,          0,         -1,         13,       9039,     315000,      15750,       7875,          0,          0,          0,          0,         43,          2,        840,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,         -1,         22,          1,          4,         89,         61,         35,         25,         12,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044270,          3,    9044242,          1,    9044260,          2,         -1,          0,         68,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
380 : axe_s_WSC020_normal,        382,        382,         25,          0,         -1,         -1,          0,         -1,         13,       9100,       2000,        100,         50,          0,          0,          0,          0,         43,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          4,         49,         32,         19,         10,          5,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044252,          2,    9044348,          1,    9044263,          1,         -1,          0,         19,          0,       1600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
381 : axe_s_WSC020_battle,        383,        383,         25,          0,         -1,         -1,          0,         -1,         13,       9103,       6000,        300,        150,          0,          0,          0,          0,         43,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          4,         58,         40,         24,         15,          6,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044237,          1,    9044331,          1,    9044365,          2,         -1,          0,         30,          0,       2600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
382 : axe_s_WSC020_warriors,        384,        384,         25,          0,         -1,         -1,          0,         -1,         13,       9104,      12000,        600,        300,          0,          0,          0,          0,         43,          7,        226,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          4,         68,         46,         26,         17,          7,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044244,          1,    9044328,          1,    9044341,          2,         -1,          0,         37,          0,       3100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
383 : axe_s_WSC020_brave,        385,        385,         25,          0,         -1,         -1,          0,         -1,         13,       9105,      32000,       1600,        800,          0,          0,          0,          0,         43,          7,        227,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          4,         75,         53,         29,         18,          8,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044255,          1,    9044272,          1,    9044328,          1,         -1,          0,         57,          0,       3200,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
384 : axe_s_WSC020_elite,        386,        386,         25,          0,         -1,         -1,          0,         -1,         13,       9106,      70000,       3500,       1750,          0,          0,          0,          0,         43,          8,        228,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          4,         95,         63,         38,         25,         10,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044247,          1,    9044375,          1,    9044258,          1,         -1,          0,         71,          0,       5600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
385 : axe_s_WSC020_champion,        387,        387,         25,          0,         -1,         -1,          0,         -1,         13,       9107,     147000,       7350,       3675,          0,          0,          0,          0,         43,          8,        229,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          4,        110,         75,         43,         28,         12,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044241,          1,    9044262,          1,    9044258,          2,         -1,          0,         81,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
386 : axe_s_WSC020_warload,        388,        388,         25,          0,         18,         -1,          0,         -1,         13,       9108,     288000,      14400,       7200,          0,          0,          0,          0,         43,          8,        230,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          4,        122,         79,         47,         30,         13,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044241,          2,    9044262,          1,    9044260,          3,         -1,          0,         84,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
387 : axe_s_WSC020_divine,        389,        389,         25,          0,         17,         -1,          0,         -1,         13,       9109,     504000,      25200,      12600,          0,          0,          0,          0,         43,          9,        100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          4,        137,         88,         53,         33,         15,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044242,          3,    9044270,          3,    9044260,          4,         -1,          0,        101,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
388 : axe_s_WSC020_dragon,        390,        390,         25,          1,         -1,         -1,          0,         -1,         13,       9110,     380000,      19000,       9500,          0,          0,          0,          0,         43,          8,        123,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          4,        142,         88,         52,         33,         14,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044248,          2,    9044270,          2,    9044260,          3,         -1,          0,        121,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
389 : axe_s_WSC020_crystal,        391,        391,         25,          2,         -1,         -1,          0,         -1,         13,       9111,     506000,      25300,      12650,          0,          0,          0,          0,         43,          8,        128,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          4,         88,        142,         33,         55,         16,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044249,          3,    9044270,          4,    9044260,          5,         -1,          0,        121,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
390 : axe_s_WSC020_damascus,        392,        392,         25,          3,         -1,         -1,          0,         -1,         13,       9112,     624000,      31200,      15600,          0,          0,          0,          0,         43,          9,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          4,        166,        110,         59,         42,         17,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044250,          5,    9044270,          5,    9044260,          6,         -1,          0,        150,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
391 : axe_s_WSC020_antique,        393,        393,         25,          2,         11,         -1,          0,         -1,         13,       9139,     570000,      28500,      14250,          0,          0,          0,          0,         43,          8,        840,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          3,         -1,         22,          1,          4,        121,         78,         43,         30,         11,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044270,          4,    9044333,          2,    9044274,          3,         -1,          0,         83,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
392 : axe_s_uniq_01,        394,        394,         24,          0,         -1,         -1,          0,         -1,         13,       9200,      12750,        638,        319,          0,          0,          0,          0,         43,          1,        844,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1,         22,          2,          4,         64,         34,         28,         15,          4,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044265,          1,    9044331,          1,    9044365,          1,         -1,          0,         34,          0,       2600,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
393 : axe_s_uniq_02,        395,        395,         25,          1,         17,         -1,          0,         -1,         13,       9201,     115500,       5775,       2888,          0,          0,          0,          0,         43,          8,        851,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          2,        108,         57,         43,         22,          6,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044262,          1,    9044240,          1,    9044258,          1,         -1,          0,         76,          0,       5600,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
394 : axe_s_uniq_03,        396,        396,         24,          2,         13,         -1,          0,         -1,         13,       9202,     162750,       8138,       4069,          0,          0,          0,          0,         43,          1,        924,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         -1,         22,          1,          2,        128,         69,         48,         25,          7,          0,         23,         80,         36,         80,          8,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044270,          3,    9044361,          2,    9044261,          2,         -1,          0,         83,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
395 : axe_m_WMC020_normal,        397,        397,         27,          0,         -1,         -1,          0,         -1,         13,      10100,        550,         28,         14,          0,          0,          0,          0,         44,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          5,         26,         14,          8,          6,          3,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044318,          1,    9044330,          3,         -1,          0,         -1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
396 : axe_m_WMC020_battle,        398,        398,         27,          0,         -1,         -1,          0,         -1,         13,      10103,       1760,         88,         44,          0,          0,          0,          0,         44,          7,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          5,         35,         21,         13,          7,          5,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044235,          1,    9044428,          1,    9044330,          3,         -1,          0,          5,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
397 : axe_m_WMC020_warriors,        399,        399,         27,          0,         -1,         -1,          0,         -1,         13,      10104,       3960,        198,         99,          0,          0,          0,          0,         44,          7,        231,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          5,         46,         30,         12,          8,          6,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044243,          2,    9044235,          2,    9044330,          2,         -1,          0,         13,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
398 : axe_m_WMC020_brave,        400,        400,         27,          0,         -1,         -1,          0,         -1,         13,      10105,      13200,        660,        330,          0,          0,          0,          0,         44,          7,        232,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          5,         57,         36,         14,         11,          8,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044237,          1,    9044331,          2,    9044252,          2,         -1,          0,         25,          0,       2600,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
399 : axe_m_WMC020_elite,        401,        401,         27,          0,         -1,         -1,          0,         -1,         13,      10106,      33000,       1650,        825,          0,          0,          0,          0,         44,          8,        233,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          5,         67,         45,         21,         13,          9,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044245,          1,    9044332,          1,    9044342,          1,         -1,          0,         35,          0,       3200,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
400 : axe_m_WMC020_champion,        402,        402,         27,          0,         -1,         -1,          0,         -1,         13,      10107,      84700,       4235,       2118,          0,          0,          0,          0,         44,          8,        234,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          5,         78,         52,         25,         15,         11,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044268,          1,    9044239,          1,    9044260,          1,         -1,          0,         45,          0,       5000,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
401 : axe_m_WMC020_warload,        403,        403,         27,          0,         18,         -1,          0,         -1,         13,      10108,     168300,       8415,       4208,          0,          0,          0,          0,         44,          8,        235,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          5,         89,         59,         28,         18,         13,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044247,          1,    9044292,          1,    9044259,          2,         -1,          0,         65,          0,       6200,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
402 : axe_m_WMC020_divine,        404,        404,         27,          0,         17,         -1,          0,         -1,         13,      10109,     343200,      17160,       8580,          0,          0,          0,          0,         44,          9,        100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          5,        102,         67,         34,         20,         15,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044242,          1,    9044270,          1,    9044262,          1,         -1,          0,         75,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
403 : axe_m_WMC020_dragon,        405,        405,         27,          1,         -1,         -1,          0,         -1,         13,      10110,     231000,      11550,       5775,          0,          0,          0,          0,         44,          8,        123,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          5,        112,         67,         37,         20,         13,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044248,          1,    9044270,          1,    9044259,          2,         -1,          0,         80,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
404 : axe_m_WMC020_crystal,        406,        406,         27,          2,         -1,         -1,          0,         -1,         13,      10111,     387200,      19360,       9680,          0,          0,          0,          0,         44,          8,        128,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          5,         67,        117,         20,         37,         15,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044249,          1,    9044270,          1,    9044260,          3,         -1,          0,         80,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
405 : axe_m_WMC020_damascus,        407,        407,         27,          3,         -1,         -1,          0,         -1,         13,      10112,     543400,      27170,      13585,          0,          0,          0,          0,         44,          9,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          5,        130,         86,         40,         27,         16,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044250,          1,    9044270,          2,    9044260,          3,         -1,          0,         85,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
406 : axe_m_WMC020_antique,        408,        408,         27,          2,         13,         -1,          0,         -1,         13,      10139,     346500,      17325,       8663,          0,          0,          0,          0,         44,          8,        840,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          5,         -1,         22,          1,          5,         94,         61,         33,         20,         12,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          1,          0,          1,          1,          1,    9044270,          3,    9044242,          1,    9044261,          2,         -1,          0,         68,          0,       6400,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
407 : axe_m_WMC030_normal,        409,        409,         28,          0,         -1,         -1,          0,         -1,         13,      10200,        880,         44,         22,          0,          0,          0,          0,         44,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          5,         27,         13,          7,          6,          3,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044235,          1,    9044318,          1,    9044330,          3,         -1,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
408 : axe_m_WMC030_battle,        410,        410,         28,          0,         -1,         -1,          0,         -1,         13,      10203,       2640,        132,         66,          0,          0,          0,          0,         44,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          5,         38,         20,         13,          6,          5,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044243,          1,    9044235,          2,    9044330,          2,         -1,          0,          5,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
409 : axe_m_WMC030_warriors,        411,        411,         28,          0,         -1,         -1,          0,         -1,         13,      10204,       6600,        330,        165,          0,          0,          0,          0,         44,          1,        191,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          5,         46,         29,         13,         10,          6,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044252,          2,    9044236,          1,    9044263,          1,         -1,          0,         13,          0,       1600,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
410 : axe_m_WMC030_brave,        412,        412,         28,          0,         -1,         -1,          0,         -1,         13,      10205,      17600,        880,        440,          0,          0,          0,          0,         44,          1,        192,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          5,         58,         34,         20,         10,          8,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044244,          1,    9044342,          2,    9044341,          1,         -1,          0,         25,          0,       3100,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
411 : axe_m_WMC030_elite,        413,        413,         28,          0,         -1,         -1,          0,         -1,         13,      10206,      44000,       2200,       1100,          0,          0,          0,          0,         44,          2,        193,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          1,          5,         68,         43,         23,         12,          9,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044255,          1,    9044272,          1,    9044342,          1,         -1,          0,         35,          0,       3200,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
412 : axe_m_WMC030_champion,        414,        414,         28,          0,         -1,         -1,          0,         -1,         13,      10207,     107800,       5390,       2695,          0,          0,          0,          0,         44,          2,        194,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          5,         77,         47,         24,         16,         11,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044247,          1,    9044292,          1,    9044259,          1,         -1,          0,         45,          0,       5600,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
413 : axe_m_WMC030_warload,        415,        415,         28,          0,         18,         -1,          0,         -1,         13,      10208,     207900,      10395,       5198,          0,          0,          0,          0,         44,          2,        195,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          5,         95,         59,         33,         20,         13,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044241,          1,    9044262,          1,    9044259,          2,         -1,          0,         65,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
414 : axe_m_WMC030_divine,        416,        416,         28,          0,         17,         -1,          0,         -1,         13,      10209,     422400,      21120,      10560,          0,          0,          0,          0,         44,          3,        100,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          5,        109,         62,         33,         20,         15,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044242,          1,    9044270,          1,    9044260,          3,         -1,          0,         75,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
415 : axe_m_WMC030_dragon,        417,        417,         28,          1,         -1,         -1,          0,         -1,         13,      10210,     286000,      14300,       7150,          0,          0,          0,          0,         44,          2,        123,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          5,        121,         62,         39,         20,         13,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044248,          1,    9044270,          1,    9044262,          1,         -1,          0,         80,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
416 : axe_m_WMC030_crystal,        418,        418,         28,          2,         -1,         -1,          0,         -1,         13,      10211,     459800,      22990,      11495,          0,          0,          0,          0,         44,          2,        128,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          5,         62,        119,         20,         39,         15,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044249,          1,    9044270,          2,    9044260,          3,         -1,          0,         80,          0,       6400,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
417 : axe_m_WMC030_damascus,        419,        419,         28,          3,         -1,         -1,          0,         -1,         13,      10212,     600600,      30030,      15015,          0,          0,          0,          0,         44,          3,        120,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         22,          0,          5,        135,         78,         43,         26,         16,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044250,          1,    9044270,          3,    9044260,          4,         -1,          0,         85,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
418 : axe_m_WMC030_antique,        420,        420,         28,          2,         12,         -1,          0,         -1,         13,      10239,     429000,      21450,      10725,          0,          0,          0,          0,         44,          2,        840,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          4,         -1,         22,          1,          5,         99,         60,         30,         18,         12,          0,         24,         80,         38,         80,          9,          1,          1,          1,          1,          1,          0,          1,          1,          1,          1,    9044270,          3,    9044242,          2,    9044262,          1,         -1,          0,         68,          0,       6400,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
