           km_,      km_id, km_eq_work,      km_lv,   km_price, km_need_item_01, km_need_num_01, km_need_item_02, km_need_num_02, km_need_item_03, km_need_num_03, km_need_item_04, km_need_num_04, km_sort_id, 
243 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
244 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
245 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
246 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
247 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
248 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
249 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
250 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
251 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
252 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
253 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
254 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 
255 :       Slot,         -1,         -1,          0,          0,         -1,          0,         -1,          0,         -1,          0,         -1,          0,         -1, 

