           km_,   km_namen,    km_help,    km_icon, km_pc_command,  km_lockup, km_lost_lockup, km_sub_target, km_lost_chain, km_order_is_last, km_look_self_ltu, km_move_command, km_no_action, km_forced_ending, km_pos_flank, km_pos_back, km_bonus_st, km_bonus_impress, km_bonus_select_front_ratio, km_bonus_selected_front_ratio, km_logic_target_unit, km_logic_target_union, 
169 : atk_type_10_B,         45,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1808,         -1, 
170 : atk_type_10_01,         45,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1808,         -1, 
171 : atk_type_10_02,         45,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1808,         -1, 
172 : atk_type_10_03,         45,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1808,         -1, 
173 : atk_type_10b,         45,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1808,         -1, 
174 : atk_type_10b_B,         45,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1808,         -1, 
175 : atk_type_10_01b,         45,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1808,         -1, 
176 : atk_type_10_02b,         45,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1808,         -1, 
177 : atk_type_10_03b,         45,         45,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1808,         -1, 
178 : atk_type_11_union,         46,         46,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1928,         -1, 
179 : atk_type_11_union2,         46,         46,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1928,         -1, 
180 :   atk_type,         46,         46,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1875,         -1, 
181 : atk_type_11_01,         46,         46,          5,          1,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1875,         -1, 
182 :   atk_type,         47,         47,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1981,         -1, 
183 :   atk_type,         48,         48,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1985,         -1, 
184 : atk_type_13a,         48,         48,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1,         -1,          0,          0,       1985,         -1, 
185 : atk_long_01,         49,         49,         11,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1988,         -1, 
186 : atk_long_01_02,         49,         49,         11,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1988,         -1, 
187 : atk_long_01_03,         49,         49,         11,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1988,         -1, 
188 : atk_long_02,         50,         50,         11,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1991,         -1, 
189 : atk_long_02_02,         50,         50,         11,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1991,         -1, 
190 : atk_long_02_03,         50,         50,         11,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       1991,         -1, 
191 : atk_target_01,         51,         51,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,         50,          0,       1998,         -1, 
192 : atk_target_02,         52,         52,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,        -50,          0,       2009,         -1, 
193 : atk_target_03,         53,         53,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2020,         -1, 
194 : atk_target_04,         54,         54,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2032,         -1, 
195 : atk_position_01,         55,         55,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1,         -1,          0,          0,       2044,         -1, 
196 : atk_position_01a,         55,         55,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,         -1,         -1,          0,          0,       2044,         -1, 
197 : atk_position_02,         56,         56,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1,         -1,          0,          0,       2064,         -1, 
198 : atk_position_02a,         56,         56,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,         -1,         -1,          0,          0,       2064,         -1, 
199 : atk_situation_01,         57,         57,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2084,         -1, 
200 : atk_situation_01_cls1,         57,         57,          1,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2084,         -1, 
201 : atk_situation_02,         58,         58,          4,          1,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2143,         -1, 
202 : atk_situation_02_cls1,         58,         58,          4,          1,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2143,         -1, 
203 : atk_situation_03,         59,         59,          4,          1,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2193,         -1, 
204 : atk_situation_03_cls1,         59,         59,          4,          1,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2193,         -1, 
205 :  ex_act_01,         61,         61,          4,          1,          1,          0,          1,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2244,         -1, 
206 :  ex_act_04,         64,         64,          4,          1,          0,          1,          1,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2291,         -1, 
207 :  ex_act_02,         62,         62,          5,          1,          0,          1,          1,          1,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2337,         -1, 
208 :  ex_act_03,         63,         63,          5,          1,          0,          1,          1,          1,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2342,         -1, 
209 : ex_act_03_01,         63,         63,          5,          1,          0,          1,          1,          1,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2370,         -1, 
210 :  ex_act_05,         65,         65,          4,          1,          0,          1,          1,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2398,         -1, 
211 :  ex_act_06,         66,         66,          4,          1,          0,          1,          1,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2447,         -1, 
212 : sp_act_1_01,         67,         67,          6,          1,          0,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2497,         -1, 
213 : sp_act_1_02,         68,         68,          6,          1,          0,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2499,         -1, 
214 : sp_act_1_03,         69,         69,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2501,         -1, 
215 : sp_act_1_04,         70,         70,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2508,         -1, 
216 : sp_act_1_05,         71,         71,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2515,         -1, 
217 : sp_act_1_06,         72,         72,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2522,         -1, 
218 : sp_act_1_07,         73,         73,          6,          1,          0,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2529,         -1, 
219 : sp_act_2_01,         74,         74,          6,          1,          0,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2531,         -1, 
220 : sp_act_2_02,         75,         75,          6,          1,          0,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2533,         -1, 
221 : sp_act_2_03,         76,         76,          6,          1,          0,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2535,         -1, 
222 : sp_act_2_04,         77,         77,          6,          1,          0,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2537,         -1, 
223 : sp_act_2_05,         78,         78,          6,          1,          0,          1,          1,          1,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2539,         -1, 
224 : sp_act_3_01,         79,         79,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2541,         -1, 
225 : sp_act_3_02,         80,         80,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2548,         -1, 
226 : sp_act_3_03,         81,         81,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2597,         -1, 
227 : sp_act_3_04,         82,         82,          6,          1,          0,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2646,         -1, 
228 : sp_act_3_05,         83,         83,          6,          1,          0,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2649,         -1, 
229 : sp_act_3_06,         84,         84,          6,          1,          0,          1,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2651,         -1, 
230 : sp_act_3_07,         85,         85,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2654,         -1, 
231 : sp_act_3_08,        107,        107,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2703,         -1, 
232 : sp_act_3_09,        108,        108,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2752,         -1, 
233 :   sp_act_3,        109,        109,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2759,         -1, 
234 :   sp_act_3,        110,        110,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2808,         -1, 
235 :   sp_act_3,        111,        111,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2815,         -1, 
236 :   sp_act_3,        112,        112,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2864,         -1, 
237 :   sp_act_3,        113,        113,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2871,         -1, 
238 :   sp_act_3,        114,        114,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2878,         -1, 
239 :  summon_01,         86,         86,          7,          1,          0,          1,          1,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2885,         -1, 
240 :  summon_02,         87,         87,          7,          1,          0,          1,          1,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2887,         -1, 
241 :  summon_03,         88,         88,          7,          1,          0,          1,          1,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2889,         -1, 
242 :      ev_01,         89,         89,          6,          1,          0,          1,          1,          0,          0,          2,          0,          0,          1,          0,          0,         -1,         -1,          0,          0,          2,         -1, 
243 :  ev_01_ura,        105,        105,          9,          2,          0,          1,          1,          0,          1,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2891,         -1, 
244 :      ev_02,         90,         90,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2892,         -1, 
245 :   ev_03_01,         91,         91,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2899,         -1, 
246 :   ev_03_02,         92,         92,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2906,         -1, 
247 :   ev_03_03,         93,         93,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2913,         -1, 
248 :   ev_03_04,         94,         94,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2920,         -1, 
249 :   ev_03_05,         95,         95,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2927,         -1, 
250 :   ev_03_06,         96,         91,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2541,         -1, 
251 :   ev_04_01,         92,         96,          6,          1,          1,          0,          0,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2934,         -1, 
252 :   ev_04_02,         97,         97,          7,          1,          0,          1,          1,          0,          0,          2,          0,          0,          0,          0,          0,         -1,         -1,          0,          0,       2941,         -1, 

