           km_,   km_namen,    km_help, km_sys_msg, km_categoryid,    km_icon,  km_sortid,   km_price,    km_sell, km_no_sell, km_no_menu,  km_is_dlc, km_continue_count, km_getskill_magic1, km_getskill_magic2, km_getskill_magic3, km_getskill_magic4, km_getskill_magic5, km_getskill_magic6, km_getskill_magic7, km_getskill_item1, km_getskill_item2, km_getskill_item3, km_getskill_item4, km_getskill_item5, km_getskill_item6, 
147 : BND_MAP_003,        148,        148,        338,         17,         71,      40036,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
148 : SBC_MAP_001,        149,        149,        338,         17,         71,      40037,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
149 : SBF_MAP_001,        150,        150,        338,         17,         71,      40038,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
150 : SBV_MAP_001,        151,        151,        338,         17,         71,      40039,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
151 : SBM_MAP_001,        152,        152,        338,         17,         71,      40040,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
152 : SBR_MAP_001,        153,        153,        338,         17,         71,      40041,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
153 : SBN_MAP_001,        154,        154,        338,         17,         71,      40042,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
154 : GST_MAP_001,        155,        155,        338,         17,         71,      40043,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
155 : GST_MAP_002,        156,        156,        338,         17,         71,      40044,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
156 : GST_MAP_003,        157,        157,        338,         17,         71,      40045,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
157 : BHK_MAP_001,        158,        158,        338,         17,         71,      40046,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
158 : BHK_MAP_002,        159,        159,        338,         17,         71,      40047,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
159 : CKD_MAP_001,        160,        160,        338,         17,         71,      40048,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
160 : CKD_MAP_002,        161,        161,        338,         17,         71,      40049,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
161 : CKD_MAP_003,        162,        162,        338,         17,         71,      40050,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
162 : CKD_MAP_004,        163,        163,        338,         17,         71,      40051,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
163 : CKD_MAP_005,        164,        164,        338,         17,         71,      40052,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
164 : SBN_MAP_010,        165,        165,        338,         17,         71,      40053,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
165 : GSD_GIM_001,        166,        166,        338,         17,         71,       1008,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
166 : RBC_GIM_001,        167,        167,        338,         17,         71,       1007,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
167 : CKD_GIM_001,        168,        168,        338,         17,         71,       1002,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
168 : CKD_GIM_002,        169,        169,        338,         17,         71,       1105,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
169 : CKD_GIM_003,        170,        170,        338,         17,         71,       1106,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
170 : CKD_GIM_004,        171,        171,        338,         17,         71,       1107,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
171 : CKD_GIM_005,        172,        172,        338,         17,         71,       2001,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
172 :    dlc_001,        173,        173,        338,         17,         71,       1010,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
173 :    dlc_002,        174,        174,        338,         17,         71,       1011,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
174 :    dlc_003,        175,        175,        338,         17,         71,       1012,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
175 :    dlc_004,        176,        176,        338,         17,         71,       1013,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
176 :    dlc_005,        177,        177,        338,         17,         71,       1014,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
177 :    dlc_006,        178,        178,        338,         17,         71,       1015,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
178 :    dlc_007,        179,        179,        338,         17,         71,       1016,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
179 :    dlc_008,        180,        180,        338,         17,         71,       1017,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
180 :    dlc_clr,        181,        181,        338,         17,         71,       2003,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
181 : nakama_talk_001,        182,        182,        338,         17,         71,       1707,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
182 : nakama_talk_002,        183,        183,        338,         17,         71,       1706,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
183 :   D_ACT_01,        184,        184,        339,         17,         71,      50000,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
184 :   D_ACT_02,        185,        185,        339,         17,         71,      50001,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
185 :   D_ACT_03,        186,        186,        339,         17,         71,      50002,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
186 :   D_ACT_04,        187,        187,        339,         17,         71,      50003,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
187 :   D_ACT_05,        188,        188,        339,         17,         71,      50004,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
188 :   D_ACT_06,        189,        189,        339,         17,         71,      50005,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
189 :   D_ACT_07,        190,        190,        339,         17,         71,      50006,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
190 :   D_ACT_08,        191,        191,        339,         17,         71,      50007,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
191 :   D_ACT_09,        192,        192,        339,         17,         71,      50008,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
192 :      D_ACT,        193,        193,        339,         17,         71,      50009,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
193 :      D_ACT,        194,        194,        339,         17,         71,      50010,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
194 :      D_ACT,        195,        195,        339,         17,         71,      50011,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
195 :      D_ACT,        196,        196,        339,         17,         71,      50012,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
196 :      D_ACT,        197,        197,        339,         17,         71,      50013,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
197 :      D_ACT,        198,        198,        339,         17,         71,      50014,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
198 :      D_ACT,        199,        199,        339,         17,         71,      50015,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
199 :      D_ACT,        200,        200,        339,         17,         71,      50016,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
200 :      D_ACT,        201,        201,        339,         17,         71,      50017,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
201 :      D_ACT,        202,        202,        339,         17,         71,      50018,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
202 :      D_ACT,        203,        203,        339,         17,         71,      50019,          0,          0,          1,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
203 : koukougyoku,        204,        204,        342,         18,         72,       5000,          0,          0,          1,          0,          0,          1,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
204 : aisougyoku,        205,        205,        343,         18,         72,       5001,          0,          0,          1,          0,          0,          1,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
205 : koutougyoku,        206,        206,        344,         18,         72,       5002,          0,          0,          1,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
206 : suiryokugyoku,        207,        207,        345,         18,         72,       5003,          0,          0,          1,          0,          0,          1,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
207 : sikisyougyoku,        208,        208,        346,         18,         72,       5004,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0, 
208 : gechougyoku,        209,        209,        347,         18,         72,       5005,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0, 
209 : kongougyoku,        210,        210,        348,         18,         72,       5006,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0,          0, 
210 : yakusou_chogou,        211,        211,        349,         18,         72,       5100,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,          0, 
211 : inyaku_chougou,        212,        212,        350,         18,         72,       5100,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0, 
212 : nurigusuri_chogou,        213,        213,        351,         18,         72,       5100,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0, 
213 : bakuyaku_chogou,        214,        214,        352,         18,         72,       5100,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0,          0, 
214 : mahen_chogou,        215,        215,        353,         18,         72,       5100,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1,          0, 
215 : sengu_chougou,        216,        216,        354,         18,         72,       5100,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          1, 
216 : tarisuman_r,        217,        217,        338,         17,         71,      30000,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
217 : tarisuman_i,        218,        218,        338,         17,         71,      30001,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
218 : kerendolows,        219,        219,        338,         17,         71,      30002,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
219 : namul_niram,        220,        220,        338,         17,         71,      30003,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
220 :   lob_omen,        221,        221,        338,         17,         71,      30004,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
221 :  buryunaku,        222,        222,        338,         17,         71,      30005,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
222 :    tao_tie,        223,        223,        338,         17,         71,      30100,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
223 : brimuslabus,        224,        224,        338,         17,         71,      30101,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
224 :   blue_elf,        225,        225,        338,         17,         71,      30102,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
225 :  emeth_tag,        226,        226,        338,         17,         71,      30103,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
226 : ex_drop_normal_breed_type_001,        227,        227,        338,         17,         71,       3000,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
227 : ex_drop_normal_breed_type_002,        228,        228,        338,         17,         71,       3002,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
228 : ex_drop_normal_breed_type_003,        229,        229,        338,         17,         71,       3004,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
229 : ex_drop_normal_breed_type_004,        230,        230,        338,         17,         71,       3006,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
230 : ex_drop_normal_breed_type_005,        231,        231,        338,         17,         71,       3008,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
231 : ex_drop_normal_breed_type_006,        232,        232,        338,         17,         71,       3010,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
232 : ex_drop_normal_breed_type_007,        233,        233,        338,         17,         71,       3012,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
233 : ex_drop_normal_breed_type_008,        234,        234,        338,         17,         71,       3014,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
234 : ex_drop_normal_breed_type_009,        235,        235,        338,         17,         71,       3016,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
235 : ex_drop_normal_breed_type_010,        236,        236,        338,         17,         71,       3018,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
236 : ex_drop_normal_breed_type_011,        237,        237,        338,         17,         71,       3020,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
237 : ex_drop_normal_breed_type_012,        238,        238,        338,         17,         71,       3022,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
238 : ex_drop_normal_breed_type_013,        239,        239,        338,         17,         71,       3024,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
239 : ex_drop_normal_breed_type_014,        240,        240,        338,         17,         71,       3026,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
240 : ex_drop_normal_breed_type_015,        241,        241,        338,         17,         71,       3028,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
241 : ex_drop_normal_breed_type_016,        242,        242,        338,         17,         71,       3030,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
242 : ex_drop_normal_breed_type_017,        243,        243,        338,         17,         71,       3032,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
243 : ex_drop_normal_breed_type_018,        244,        244,        338,         17,         71,       3034,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
244 : ex_drop_normal_breed_type_019,        245,        245,        338,         17,         71,       3036,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
245 : ex_drop_normal_breed_type_020,        246,        246,        338,         17,         71,       3038,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
246 : ex_drop_normal_breed_type_021,        247,        247,        338,         17,         71,       3040,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
247 : ex_drop_normal_breed_type_022,        248,        248,        338,         17,         71,       3042,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
248 : ex_drop_normal_breed_type_023,        249,        249,        338,         17,         71,       3044,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
249 : ex_drop_normal_breed_type_024,        250,        250,        338,         17,         71,       3046,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
250 : ex_drop_normal_breed_type_025,        251,        251,        338,         17,         71,       3048,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
251 : ex_drop_normal_breed_type_026,        252,        252,        338,         17,         71,       3050,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
252 : ex_drop_normal_breed_type_027,        253,        253,        338,         17,         71,       3052,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
253 : ex_drop_normal_breed_type_028,        254,        254,        338,         17,         71,       3054,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
254 : ex_drop_normal_breed_type_029,        255,        255,        338,         17,         71,       3056,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
255 : ex_drop_normal_breed_type_030,        256,        256,        338,         17,         71,       3058,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
256 : ex_drop_dl_breed_type_001,        257,        257,        338,         17,         71,       3001,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
257 : ex_drop_dl_breed_type_002,        258,        258,        338,         17,         71,       3003,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
258 : ex_drop_dl_breed_type_003,        259,        259,        338,         17,         71,       3005,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
259 : ex_drop_dl_breed_type_004,        260,        260,        338,         17,         71,       3007,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
260 : ex_drop_dl_breed_type_005,        261,        261,        338,         17,         71,       3009,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
261 : ex_drop_dl_breed_type_006,        262,        262,        338,         17,         71,       3011,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
262 : ex_drop_dl_breed_type_007,        263,        263,        338,         17,         71,       3013,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
263 : ex_drop_dl_breed_type_008,        264,        264,        338,         17,         71,       3015,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
264 : ex_drop_dl_breed_type_009,        265,        265,        338,         17,         71,       3017,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
265 : ex_drop_dl_breed_type_010,        266,        266,        338,         17,         71,       3019,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
266 : ex_drop_dl_breed_type_011,        267,        267,        338,         17,         71,       3021,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
267 : ex_drop_dl_breed_type_012,        268,        268,        338,         17,         71,       3023,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
268 : ex_drop_dl_breed_type_013,        269,        269,        338,         17,         71,       3025,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
269 : ex_drop_dl_breed_type_014,        270,        270,        338,         17,         71,       3027,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
270 : ex_drop_dl_breed_type_015,        271,        271,        338,         17,         71,       3029,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
271 : ex_drop_dl_breed_type_016,        272,        272,        338,         17,         71,       3031,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
272 : ex_drop_dl_breed_type_017,        273,        273,        338,         17,         71,       3033,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
273 : ex_drop_dl_breed_type_018,        274,        274,        338,         17,         71,       3035,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
274 : ex_drop_dl_breed_type_019,        275,        275,        338,         17,         71,       3037,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
275 : ex_drop_dl_breed_type_020,        276,        276,        338,         17,         71,       3039,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
276 : ex_drop_dl_breed_type_021,        277,        277,        338,         17,         71,       3041,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
277 : ex_drop_dl_breed_type_022,        278,        278,        338,         17,         71,       3043,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
278 : ex_drop_dl_breed_type_023,        279,        279,        338,         17,         71,       3045,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
279 : ex_drop_dl_breed_type_024,        280,        280,        338,         17,         71,       3047,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
280 : ex_drop_dl_breed_type_025,        281,        281,        338,         17,         71,       3049,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
281 : ex_drop_dl_breed_type_026,        282,        282,        338,         17,         71,       3051,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
282 : ex_drop_dl_breed_type_027,        283,        283,        338,         17,         71,       3053,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
283 : ex_drop_dl_breed_type_028,        284,        284,        338,         17,         71,       3055,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
284 : ex_drop_dl_breed_type_029,        285,        285,        338,         17,         71,       3057,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
285 : ex_drop_dl_breed_type_030,        286,        286,        338,         17,         71,       3059,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
286 : custom_lv1,        287,        287,        338,         17,         71,       4300,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
287 : custom_lv2,        288,        288,        338,         17,         71,       4300,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
288 : custom_lv3,        289,        289,        338,         17,         71,       4300,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
289 : custom_lv4,        290,        290,        338,         17,         71,       4300,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
290 : custom_lv5,        291,        291,        338,         17,         71,       4300,          0,          0,          1,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
291 : guild_L_pass_01,        292,        292,        338,         17,         71,       4000,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
292 : guild_L_pass_02,        293,        293,        338,         17,         71,       4001,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
293 : guild_L_pass_03,        294,        294,        338,         17,         71,       4002,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
294 : guild_L_pass_04,        295,        295,        338,         17,         71,       4003,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
295 : guild_L_pass_05,        296,        296,        338,         17,         71,       4004,          0,          0,          1,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0, 
